code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""Term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""Release""	""EmisCodeCategoryId""	""AD""",
"""354791000006119""",UNKNOWN,true,"1	""U6091-2""	""U609112""	""[x] adverse reaction to isocarboxazid""	292296002	2164368011	NA	5	1",
"""355081000006115""",UNKNOWN,true,"300	""U6090-8""	""U609018""	""[x] adverse reaction to lofepramine""	292283003	2164359014	NA	5	1",
"""355241000006116""",UNKNOWN,true,"4	""U6090-C""	""U60901C""	""[x] adverse reaction to maprotiline""	292310005	2164371015	NA	5	1",
"""355631000006111""",UNKNOWN,true,"6	""U6090-D""	""U60901D""	""[x] adverse reaction to mianserin""	292311009	2164372010	NA	5	1",
"""355951000006112""",UNKNOWN,true,"600	""U6090-9""	""U609019""	""[x] adverse reaction to nortriptyline""	292284009	2164360016	NA	5	1",
"""356801000006110""",UNKNOWN,true,"4	""U6091-1""	""U609111""	""[x] adverse reaction to phenelzine""	292294004	2164367018	NA	5	1",
"""358461000006112""",UNKNOWN,true,"3	""U6091-3""	""U609113""	""[x] adverse reaction to tranylcypromine""	292297006	2164369015	NA	5	1",
"""358581000006115""",UNKNOWN,true,"10	""U6090-B""	""U60901B""	""[x] adverse reaction to trimipramine""	292285005	2164361017	NA	5	1",
"""358591000006117""",UNKNOWN,true,"6	""U6092-2""	""U609212""	""[x] adverse reaction to tryptophan""	292300001	2164370019	NA	5	1",
"""361871000006118""",UNKNOWN,true,"20	""U1A4-2""	""U1A4.12""	""[x]accidental poisoning with amitriptyline""	216546009	328641017	NA	32	1",
"""361881000006115""",UNKNOWN,true,"20	""U1A4-1""	""U1A4.11""	""[x]accidental poisoning with antidepressant""	216545008	328640016	NA	32	1",
"""417071000006110""",UNKNOWN,true,"100	""U6092""	""U609200""	""[x]other unspec antidepres caus advers effect in therap use""	292275009	432408012	NA	5	1",
"""429581000006118""",UNKNOWN,true,"600	""U6090""	""U609000""	""antidepressant drug adverse reaction""	292275009	432408012	NA	5	1",
"""464501000006117""",UNKNOWN,true,"10000	""TJ900""	""TJ90000""	""adverse reaction to amitriptyline""	292287002	432420016	NA	5	1",
"""464831000006111""",UNKNOWN,true,"1000	""TJ90""	""TJ90.00""	""adverse reaction to antidepressant""	292275009	2164356019	NA	5	1",
"""476791000000114""",UNKNOWN,true,"10	""1TC3""	""1TC3.00""	""previous history of anti-depressant misuse""	277911000000102	476791000000114	NA	27	1",
"""486881000006117""",UNKNOWN,true,"100	""SL90z""	""SL90z00""	""poisoning by antidepressant""	82276009	136477016	NA	32	1",
"""487501000006110""",UNKNOWN,true,"600	""SL90""	""SL90.00""	""antidepressant poisoning""	82276009	1234698019	NA	32	1",
