code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Antipsychotic""",
"""420541000033118""",UNKNOWN,true,"""Depixol Conc.  Injection  500 mg/5 ml""	""Solution for injection""	""Intramuscular""	""Flupentixol""	NA	NA	""Flupentixol""",
"""422941000033113""",UNKNOWN,true,"""Depixol 20mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol""	""20.000mg/1.000ml""	NA	""Flupentixol""",
"""423041000033115""",UNKNOWN,true,"""Depixol Conc 100mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Flupentixol""	""100.000mg/1.000ml""	NA	""Flupentixol""",
"""431741000033118""",UNKNOWN,true,"""Depixol 3mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Flupentixol""	""3.000mg""	NA	""Flupentixol""",
"""476541000033119""",UNKNOWN,true,"""Dozic 5mg/5ml oral solution""	""Oral solution""	""Oral""	""Haloperidol""	""1.000mg/1.000ml""	NA	""Haloperidol""",
"""476641000033118""",UNKNOWN,true,"""Dozic  Liquid  2mg/ml""	NA	NA	""Haloperidol""	NA	NA	""Haloperidol""",
"""479841000033112""",UNKNOWN,true,"""Dolmatil 400mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Sulpiride""	""400.000mg""	NA	""Sulpiride""",
"""480941000033116""",UNKNOWN,true,"""Dolmatil 200mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Sulpiride""	""200.000mg""	NA	""Sulpiride""",
"""483141000033112""",UNKNOWN,true,"""Droperidol  Injection  5mg/ml""	""Solution for injection""	""Intramuscular""	""Droperidol""	NA	NA	""Droperidol""",
"""483341000033110""",UNKNOWN,true,"""Droleptan  Injection  5mg/ml""	""Solution for injection""	""Intramuscular""	""Droperidol""	NA	NA	""Droperidol""",
"""483541000033115""",UNKNOWN,true,"""Droperidol  Liquid  1mg/ml""	NA	NA	""Droperidol""	NA	NA	""Droperidol""",
"""483641000033119""",UNKNOWN,true,"""Droleptan  Liquid  1mg/ml""	NA	NA	""Droperidol""	NA	NA	""Droperidol""",
"""484641000033117""",UNKNOWN,true,"""Droleptan  Tablets  10 mg""	""Tablet""	""Oral""	""Droperidol""	NA	NA	""Droperidol""",
