code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""",
"""10780""",UNKNOWN,true,"""8B6A.00""	""statin prophylaxis""",
"""11416""",UNKNOWN,true,"""U60CA00""	""[x]statin causing adverse effect in therapeutic use""",
"""13031""",UNKNOWN,true,"""TJC2400""	""adverse reaction to simvastatin""",
"""13034""",UNKNOWN,true,"""TJC2500""	""adverse reaction to pravastatin""",
"""42600""",UNKNOWN,true,"""8B3z.00""	""over the counter statin therapy""",
"""56401""",UNKNOWN,true,"""U60C615""	""[x] adverse reaction to simvastatin""",
"""73855""",UNKNOWN,true,"""U60C616""	""[x] adverse reaction to pravastatin""",
