code,code_system,include,term,notes
"""94251011""",UNKNOWN,true,"""G582.00""	""acute heart failure""",
"""1647701000000118""",UNKNOWN,true,"""G583.00""	""heart failure with normal ejection fraction""",
"""1661371000000112""",UNKNOWN,true,"""G583.11""	""hfnef - heart failure with normal ejection fraction""",
"""2227501000000110""",UNKNOWN,true,"""G583.12""	""heart failure with preserved ejection fraction""",
"""1816101000006113""",UNKNOWN,true,"""G584.00""	""right ventricular failure""",
"""395772015""",UNKNOWN,true,"""G58z.00""	""heart failure nos""",
"""139481017""",UNKNOWN,true,"""G58z.11""	""weak heart""",
"""223981000000118""",UNKNOWN,true,"""G58z.12""	""cardiac failure nos""",
"""300217019""",UNKNOWN,true,"""G5y4z00""	""post cardiac operation heart failure nos""",
"""216207010""",UNKNOWN,true,"""G5yy900""	""left ventricular systolic dysfunction""",
"""1489358014""",UNKNOWN,true,"""G5yyA00""	""left ventricular diastolic dysfunction""",
"""2549128016""",UNKNOWN,true,"""G5yyB00""	""right ventricular diastolic dysfunction""",
"""6978012""",UNKNOWN,true,"""G5yyC00""	""diastolic dysfunction""",
"""316833010""",UNKNOWN,true,"""Q48y100""	""congenital cardiac failure""",
"""412678013""",UNKNOWN,true,"""Q490.00""	""neonatal cardiac failure""",
"""317955011""",UNKNOWN,true,"""R2y1000""	""[d]cardiorespiratory failure""",
"""403107019""",UNKNOWN,true,"""SP11100""	""cardiac insufficiency as a complication of care""",
"""350484012""",UNKNOWN,true,"""SP11111""	""heart failure as a complication of care""",
"""325061011""",UNKNOWN,true,"""SP11200""	""cardiorespiratory failure as a complication of care""",
"""1539381000006117""",UNKNOWN,true,"""""	""heart failure lifestyle plan commenced""",
"""1539391000006119""",UNKNOWN,true,"""""	""heart failure information starter pack provided""",
"""1539471000006111""",UNKNOWN,true,"""""	""heart failure monitoring - unstable symptoms""",
"""1539481000006114""",UNKNOWN,true,"""""	""heart failure monitoring - specialist clinical needs""",
"""1539491000006112""",UNKNOWN,true,"""""	""heart failure monitoring - social issues""",
"""1539501000006116""",UNKNOWN,true,"""""	""heart failure monitoring - psychological issues""",
"""1539511000006118""",UNKNOWN,true,"""""	""heart failure monitoring - multiple readmissions""",
"""1539521000006114""",UNKNOWN,true,"""""	""heart failure monitoring - co-medications""",
"""1539531000006112""",UNKNOWN,true,"""""	""heart failure monitoring - co-morbidities""",
"""1539541000006119""",UNKNOWN,true,"""""	""heart failure monitoring - palliative care""",
"""1576321000006113""",UNKNOWN,true,"""""	""cause of death- congestive cardiac failure""",
"""1747691000006119""",UNKNOWN,true,"""""	""emergency heart failure admission since last appointment""",
"""1822161000006116""",UNKNOWN,true,"""""	""heart failure pathway protocol not followed""",
"""1856361000006116""",UNKNOWN,true,"""""	""heart failure monitoring in primary care""",
"""1856371000006111""",UNKNOWN,true,"""""	""heart failure monitoring in secondary care""",
"""1856381000006114""",UNKNOWN,true,"""""	""heart failure monitoring default""",
"""1991651000006115""",UNKNOWN,true,"""""	""severe left ventricular systolic dysfunction""",
"""635801000006110""",UNKNOWN,true,"""""	""echocardiography - poor lv function""",
"""939571000006115""",UNKNOWN,true,"""""	""diastolic dysfunction""",
"""728671000006119""",UNKNOWN,true,"""G210100""	""malignant hypertensive heart disease with ccf""",
"""504901000006118""",UNKNOWN,true,"""G211100""	""benign hypertensive heart disease with ccf""",
"""741681000006111""",UNKNOWN,true,"""G21z100""	""hypertensive heart disease nos with ccf""",
"""741701000006114""",UNKNOWN,true,"""G232.00""	""hypertensive heart&renal dis wth (congestive) heart failure""",
"""789941000006117""",UNKNOWN,true,"""G234.00""	""hyperten heart&renal dis+both(congestv)heart and renal fail""",
"""396391011""",UNKNOWN,true,"""J615700""	""cardiac portal cirrhosis""",
"""305601017""",UNKNOWN,true,"""L09y200""	""cardiac failure following abortive pregnancy""",
"""2533628012""",UNKNOWN,true,"""9On0.00""	""left ventricular dysfunction monitoring first letter""",
"""2533629016""",UNKNOWN,true,"""9On1.00""	""left ventricular dysfunction monitoring second letter""",
"""2533630014""",UNKNOWN,true,"""9On2.00""	""left ventricular dysfunction monitoring third letter""",
"""2548656015""",UNKNOWN,true,"""G5yyE00""	""right ventricular systolic dysfunction""",
"""2549089012""",UNKNOWN,true,"""9On3.00""	""left ventricular dysfunction monitoring verbal invite""",
"""2694523019""",UNKNOWN,true,"""G5yyD00""	""left ventricular cardiac dysfunction""",
"""3515953019""",UNKNOWN,true,"""""	""heart failure self management plan""",
"""226181000000110""",UNKNOWN,true,"""9On..00""	""left ventricular dysfunction monitoring administration""",
"""407001000000113""",UNKNOWN,true,"""9On4.00""	""left ventricular dysfunction monitoring telephone invitation""",
"""407181000000116""",UNKNOWN,true,"""9N4w.00""	""did not attend heart failure clinic""",
"""905391000006119""",UNKNOWN,true,"""""	""[rfc] cardiac failure""",
"""1734161000000119""",UNKNOWN,true,"""8IB8.00""	""referral to heart failure exercise programme not indicated""",
"""1861731000006114""",UNKNOWN,true,"""""	""auras-af - consider the patient to have heart failure""",
"""2115781000000114""",UNKNOWN,true,"""661N500""	""heart failure self-management plan review""",
"""2352391000000117""",UNKNOWN,true,"""2JZ..00""	""on optimal heart failure therapy""",
"""2405871000000117""",UNKNOWN,true,"""8I98.00""	""heart failure rehabilitation programme not available""",
"""2504341000006116""",UNKNOWN,true,"""""	""acute left heart failure""",
"""2585431000006117""",UNKNOWN,true,"""""	""chronic left-sided congestive heart failure""",
"""2660881000006116""",UNKNOWN,true,"""""	""high output heart failure""",
"""2664351000006113""",UNKNOWN,true,"""""	""chronic right-sided heart failure""",
"""3182541000006117""",UNKNOWN,true,"""""	""congestive cardiac failure""",
"""3182551000006115""",UNKNOWN,true,"""""	""ccf - congestive cardiac failure""",
"""3182561000006118""",UNKNOWN,true,"""""	""chf - congestive heart failure""",
