code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Insulin""",
"""726041000033116""",UNKNOWN,true,"""Human Mixtard 30  Injection  10 ml vial""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""726141000033117""",UNKNOWN,true,"""Human Mixtard 10  Penfill cartridges (3 ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""726241000033112""",UNKNOWN,true,"""Human Mixtard 20  Penfill cartridges (3 ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""726341000033119""",UNKNOWN,true,"""Human Mixtard 30  Penfill cartridges (3 ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""726441000033113""",UNKNOWN,true,"""Human Mixtard 40  Penfill cartridges (3 ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""726541000033114""",UNKNOWN,true,"""Human Mixtard 50  Penfill cartridges (3 ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""726641000033110""",UNKNOWN,true,"""Human Insulatard Ge  Penfill cartridges (3 ml)  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""726941000033115""",UNKNOWN,true,"""Human Insulatard Ge  Preloaded pen  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""727041000033119""",UNKNOWN,true,"""HumaJect S Pen 100units/ml solution for injection""	""Solution for injection""	""Subcutaneous/ Intravenous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""",
"""727141000033115""",UNKNOWN,true,"""Humaject (Humulin M1)  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""727241000033110""",UNKNOWN,true,"""Humaject (Humulin M2)  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""727341000033117""",UNKNOWN,true,"""HumaJect M3 Pen 100units/ml suspension for injection""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml""	NA	""Insulin""",
"""727441000033111""",UNKNOWN,true,"""Humaject (Humulin M4)  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""727541000033112""",UNKNOWN,true,"""Humaject (Humulin M5)  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""727641000033113""",UNKNOWN,true,"""Humaject (Humulin I)  Preloaded pen  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""734841000033115""",UNKNOWN,true,"""Hypurin Porcine Biphasic Isophane  Injection (cartridges)""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""734941000033111""",UNKNOWN,true,"""Hypurin Porcine Isophane 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""",
"""735241000033115""",UNKNOWN,true,"""Hypurin Bovine Lente  Injection (cartridges)  100 i.u./ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""735441000033119""",UNKNOWN,true,"""Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""",
"""735841000033116""",UNKNOWN,true,"""Hypurin Bovine Isophane 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""",
"""735941000033112""",UNKNOWN,true,"""Hypurin Bovine Lente 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""",
"""736041000033119""",UNKNOWN,true,"""Hypurin Bovine Neutral 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""",
"""736141000033115""",UNKNOWN,true,"""Hypurin Bovine Protamine Zinc 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""",
"""741441000033115""",UNKNOWN,true,"""Hypodermic Insulin  Syringe""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""757641000033112""",UNKNOWN,true,"""Insulin lispro 100units/ml solution for injection 1.5ml cartridges""	""Solution for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""06010101""	""Insulin""",
"""758341000033117""",UNKNOWN,true,"""Insulin Syringe  Click-count  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""758441000033111""",UNKNOWN,true,"""Insulin Syringe  Disposable  0.5 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""758541000033112""",UNKNOWN,true,"""Insulin Syringe  Disposable  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""759841000033115""",UNKNOWN,true,"""Insulin Zinc Suspension (Human)  Injection  100 units/ml, 10 ml vial""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""762441000033118""",UNKNOWN,true,"""Insulin lispro 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""06010101""	""Insulin""",
"""763341000033116""",UNKNOWN,true,"""Pork Insulatard 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""",
"""763941000033117""",UNKNOWN,true,"""Insulin Zinc Suspension  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""764941000033119""",UNKNOWN,true,"""Insulin Zinc Suspension Lente (Evans)  Injection  100u/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""766241000033115""",UNKNOWN,true,"""Insulin Syringe  Pre-set  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""766741000033114""",UNKNOWN,true,"""Insulin Syringe  Re-usable  0.5 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""766841000033116""",UNKNOWN,true,"""Insulin Syringe  Re-usable  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""776041000033117""",UNKNOWN,true,"""Isophane Insulin (Human, Prb)  Cartridges  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""779141000033111""",UNKNOWN,true,"""Insulin isophane human 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""06010102""	""Insulin""",
"""779641000033118""",UNKNOWN,true,"""Isophane Insulin Injection (Evans)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""779841000033117""",UNKNOWN,true,"""Isophane Insulin  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""823541000033119""",UNKNOWN,true,"""Lentard Mc  Injection  100 units/ml, 10 ml vial""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
