code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""Term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""Release""	""EmisCodeCategoryId""	""AP""",
"""2164408012""",UNKNOWN,true,"3000	""TJ914""	""TJ91400""	""adverse reaction to prochlorperazine""	292398004	2164408012	NA	5	""EvidenceOfAP""",
"""2164409016""",UNKNOWN,true,"600	""TJ90G""	""TJ90G00""	""adverse reaction to flupenthixol""	292405005	2164409016	NA	5	""EvidenceOfAP""",
"""2164410014""",UNKNOWN,true,"1	""TJ90J""	""TJ90J00""	""adverse reaction to oxypertine""	292406006	2164410014	NA	5	""EvidenceOfAP""",
"""2476236016""",UNKNOWN,true,"50	""TJ90G-1""	""TJ90G11""	""adverse reaction to flupentixol""	292405005	2476236016	NA	5	""EvidenceOfAP""",
"""2533121017""",UNKNOWN,true,"4	""4Q12""	""4Q12.00""	""sulpiride level""	1028061000000108	2595951000000112	NA	3	""EvidenceOfAP""",
"""2550038010""",UNKNOWN,true,"3000	""4Q19""	""4Q19.00""	""clozapine level""	1027901000000107	2596981000000111	NA	3	""EvidenceOfAP""",
"""2550650017""",UNKNOWN,true,"500	""4Q1A""	""4Q1A.00""	""norclozapine level""	1027991000000100	2596991000000113	NA	3	""EvidenceOfAP""",
"""68641000006116""",UNKNOWN,true,"300	""46P3""	""46P3.00""	""urine lithium""	998601000000104	2560021000000110	NA	34	""EvidenceOfBP""",
"""109941000006110""",UNKNOWN,true,"20000	""EMISREQ|44W8.""	""44W8.00""	""test request : lithium""	109941000006106	109941000006110	NA	46	""EvidenceOfBP""",
"""297191000000117""",UNKNOWN,true,"200	""4Q1C""	""4Q1C.00""	""olanzapine level""	1030661000000101	2604871000000119	NA	3	""EvidenceOfAP""",
"""352741000006118""",UNKNOWN,true,"200	""U6093-2""	""U609312""	""[x] adverse reaction to chlorpromazine""	292393008	2164404014	NA	5	""EvidenceOfAP""",
"""354061000006112""",UNKNOWN,true,"70	""U6094-5""	""U609415""	""[x] adverse reaction to flupentixol""	292405005	2476236016	NA	5	""EvidenceOfAP""",
"""354071000006117""",UNKNOWN,true,"10	""U6093-3""	""U609313""	""[x] adverse reaction to fluphenazine""	292392003	2164403015	NA	5	""EvidenceOfAP""",
"""354371000006119""",UNKNOWN,true,"700	""U6094-2""	""U609412""	""[x] adverse reaction to haloperidol""	292382006	2164401018	NA	5	""EvidenceOfAP""",
"""356431000006116""",UNKNOWN,true,"3	""U6095-1""	""U609511""	""[x] adverse reaction to oxypertine""	292406006	2164410014	NA	5	""EvidenceOfAP""",
"""356741000006117""",UNKNOWN,true,"10	""U6093-4""	""U609314""	""[x] adverse reaction to pericyazine""	292388005	2164402013	NA	5	""EvidenceOfAP""",
"""356751000006115""",UNKNOWN,true,"5	""U6093-5""	""U609315""	""[x] adverse reaction to perphenazine""	292397009	2164407019	NA	5	""EvidenceOfAP""",
"""357221000006116""",UNKNOWN,true,"1000	""U6093-6""	""U609316""	""[x] adverse reaction to prochlorperazine""	292398004	2164408012	NA	5	""EvidenceOfAP""",
"""357251000006113""",UNKNOWN,true,"50	""U6093-7""	""U609317""	""[x] adverse reaction to promazine""	292395001	2164405010	NA	5	""EvidenceOfAP""",
"""357791000006112""",UNKNOWN,true,"300	""U6065-1""	""U606511""	""[x] adverse reaction to sodium valproate""	292319006	2164374011	NA	5	""EvidenceOfBP""",
"""358321000006112""",UNKNOWN,true,"30	""U6093-8""	""U609318""	""[x] adverse reaction to thioridazine""	292396000	2164406011	NA	5	""EvidenceOfAP""",
"""358541000006114""",UNKNOWN,true,"20	""U6094-4""	""U609414""	""[x] adverse reaction to trifluperidol""	292379001	2164400017	NA	5	""EvidenceOfAP""",
"""541861000000111""",UNKNOWN,true,"40	""44uh""	""44uh.00""	""quetiapine level""	1031591000000102	2595011000000114	NA	34	""EvidenceOfAP""",
"""741241000006115""",UNKNOWN,true,"60000	""44W80""	""44W8000""	""lithium level therapeutic""	166956002	259417018	NA	34	""EvidenceOfBP""",
"""851631000006110""",UNKNOWN,true,"10000	""EMISQLI1""	""""	""lithium monitoring by gp""	851631000006106	851631000006110	NA	1	""EvidenceOfBP""",
"""851641000006117""",UNKNOWN,true,"2000	""EMISQLI2""	""""	""lithium monitoring by mental health team""	851641000006101	851641000006117	NA	1	""EvidenceOfBP""",
"""851651000006115""",UNKNOWN,true,"800	""EMISQLI3""	""""	""lithium monitoring by out patient clinic""	851651000006104	851651000006115	NA	1	""EvidenceOfBP""",
"""851661000006118""",UNKNOWN,true,"70	""EMISQLI4""	""""	""lithium range upper limit""	851661000006102	851661000006118	NA	1	""EvidenceOfBP""",
"""851671000006113""",UNKNOWN,true,"30	""EMISQLI5""	""""	""lithium range lower limit""	851671000006109	851671000006113	NA	1	""EvidenceOfBP""",
"""970271000006111""",UNKNOWN,true,"9	""EMISNQMI138""	""""	""misuse of chlorpromazine (largactyl)""	970271000006107	970271000006111	NA	17	""EvidenceOfAP""",
"""970481000006113""",UNKNOWN,true,"5	""EMISNQMI157""	""""	""misuse of antipsychotic unspecified""	970481000006109	970481000006113	NA	17	""EvidenceOfAP""",
"""970511000006117""",UNKNOWN,true,"5	""EMISNQMI160""	""""	""misuse of thioridazine""	970511000006101	970511000006117	NA	17	""EvidenceOfAP""",
"""970521000006113""",UNKNOWN,true,"2	""EMISNQMI161""	""""	""misuse of trifluoperazine""	970521000006109	970521000006113	NA	17	""EvidenceOfAP""",
"""1012931000006117""",UNKNOWN,true,"300	""ALLERGY4.2.1""	""""	""adverse reaction to antipsychotic drugs""	1012931000006101	1012931000006117	NA	5	""EvidenceOfAP""",
"""1012941000006110""",UNKNOWN,true,"20	""ALLERGY4.2.2""	""""	""adverse reaction to antipsychotic depot injections""	1012941000006106	1012941000006110	NA	5	""EvidenceOfInjectables""",
"""1012951000006112""",UNKNOWN,true,"200	""ALLERGY4.2.3""	""""	""adverse reaction to lithium salts""	1012951000006108	1012951000006112	NA	5	""EvidenceOfBP""",
"""1015171000006113""",UNKNOWN,true,"200	""ALLERGY18225NEMIS""	""""	""adverse reaction to aripiprazole""	1015171000006109	1015171000006113	NA	5	""EvidenceOfAP""",
"""1020211000006113""",UNKNOWN,true,"3000	""ALLERGY5242EMIS""	""""	""adverse reaction to risperidone""	1020211000006109	1020211000006113	NA	5	""EvidenceOfAP""",
"""1021901000006112""",UNKNOWN,true,"20	""ALLERGY1051""	""""	""adverse reaction to methotrimeprazine hydrochloride""	1021901000006108	1021901000006112	NA	5	""EvidenceOfAP""",
"""1021931000006116""",UNKNOWN,true,"4	""ALLERGY1052""	""""	""adverse reaction to methotrimeprazine maleate""	1021931000006100	1021931000006116	NA	5	""EvidenceOfAP""",
"""1026821000006119""",UNKNOWN,true,"40	""ALLERGY1242""	""""	""adverse reaction to pericyazine""	1026821000006103	1026821000006119	NA	5	""EvidenceOfAP""",
"""1026891000006117""",UNKNOWN,true,"70	""ALLERGY1245""	""""	""adverse reaction to perphenazine""	1026891000006101	1026891000006117	NA	5	""EvidenceOfAP""",
"""1027061000006116""",UNKNOWN,true,"7	""ALLERGY12512NEMIS""	""""	""adverse reaction to valproic acid (as semisodium valproate)""	1027061000006100	1027061000006116	NA	5	""EvidenceOfBP""",
"""1028221000006119""",UNKNOWN,true,"80	""ALLERGY1289""	""""	""adverse reaction to pimozide""	1028221000006103	1028221000006119	NA	5	""EvidenceOfAP""",
"""1028671000006116""",UNKNOWN,true,"6	""ALLERGY1302""	""""	""adverse reaction to pipothiazine palmitate""	1028671000006100	1028671000006116	NA	5	""EvidenceOfAP""",
"""1030631000006115""",UNKNOWN,true,"3000	""ALLERGY1384""	""""	""adverse reaction to prochlorperazine maleate""	1030631000006104	1030631000006115	NA	5	""EvidenceOfAP""",
"""1030681000006119""",UNKNOWN,true,"90	""ALLERGY1385""	""""	""adverse reaction to prochlorperazine mesylate""	1030681000006103	1030681000006119	NA	5	""EvidenceOfAP""",
"""1030841000006114""",UNKNOWN,true,"100	""ALLERGY1391""	""""	""adverse reaction to promazine hydrochloride""	1030841000006105	1030841000006114	NA	5	""EvidenceOfAP""",
"""1034041000006113""",UNKNOWN,true,"900	""ALLERGY1512""	""""	""adverse reaction to sodium valproate""	1034041000006109	1034041000006113	NA	5	""EvidenceOfBP""",
"""1035891000006114""",UNKNOWN,true,"300	""ALLERGY1583""	""""	""adverse reaction to sulpiride""	1035891000006105	1035891000006114	NA	5	""EvidenceOfAP""",
"""1037701000006117""",UNKNOWN,true,"400	""ALLERGY1637""	""""	""adverse reaction to thioridazine""	1037701000006101	1037701000006117	NA	5	""EvidenceOfAP""",
"""1038891000006119""",UNKNOWN,true,"500	""ALLERGY1689""	""""	""adverse reaction to trifluoperazine""	1038891000006103	1038891000006119	NA	5	""EvidenceOfAP""",
"""1038941000006118""",UNKNOWN,true,"7	""ALLERGY1690""	""""	""adverse reaction to trifluperidol""	1038941000006102	1038941000006118	NA	5	""EvidenceOfAP""",
"""1039951000006110""",UNKNOWN,true,"200	""ALLERGY17311NEMIS""	""""	""adverse reaction to levomepromazine""	1039951000006106	1039951000006110	NA	5	""EvidenceOfAP""",
"""1040841000006113""",UNKNOWN,true,"100	""ALLERGY17655NEMIS""	""""	""adverse reaction to flupentixol""	1040841000006109	1040841000006113	NA	5	""EvidenceOfAP""",
"""1041141000006114""",UNKNOWN,true,"70	""ALLERGY1775""	""""	""adverse reaction to zuclopenthixol decanoate""	1041141000006105	1041141000006114	NA	5	""EvidenceOfAP""",
"""1041161000006113""",UNKNOWN,true,"30	""ALLERGY1776""	""""	""adverse reaction to zuclopenthixol dihydrochloride""	1041161000006109	1041161000006113	NA	5	""EvidenceOfAP""",
"""1041341000006112""",UNKNOWN,true,"20	""ALLERGY17826NEMIS""	""""	""adverse reaction to pipotiazine""	1041341000006108	1041341000006112	NA	5	""EvidenceOfAP""",
"""1041631000006112""",UNKNOWN,true,"80	""ALLERGY17896NEMIS""	""""	""adverse reaction to prochlorperazine mesilate""	1041631000006108	1041631000006112	NA	5	""EvidenceOfAP""",
"""1044981000006119""",UNKNOWN,true,"20	""ALLERGY200""	""""	""adverse reaction to benperidol""	1044981000006103	1044981000006119	NA	5	""EvidenceOfAP""",
"""1058101000006118""",UNKNOWN,true,"300	""ALLERGY399""	""""	""adverse reaction to chlorpromazine hydrochloride""	1058101000006102	1058101000006118	NA	5	""EvidenceOfAP""",
"""1063011000006118""",UNKNOWN,true,"5000	""ALLERGY4555EMIS""	""""	""adverse reaction to lamotrigine""	1063011000006102	1063011000006118	NA	5	""EvidenceOfBP""",
"""1064551000006113""",UNKNOWN,true,"1	""ALLERGY4646EMIS""	""""	""adverse reaction to remoxipride hydrochloride""	1064551000006109	1064551000006113	NA	5	""EvidenceOfAP""",
"""1069541000006112""",UNKNOWN,true,"60	""ALLERGY6029EMIS""	""""	""adverse reaction to sertindole""	1069541000006108	1069541000006112	NA	5	""EvidenceOfAP""",
"""1071031000006116""",UNKNOWN,true,"2000	""ALLERGY6116EMIS""	""""	""adverse reaction to olanzapine""	1071031000006100	1071031000006116	NA	5	""EvidenceOfAP""",
"""1071111000006114""",UNKNOWN,true,"9	""ALLERGY6121BRIDL""	""""	""adverse reaction to loxapine succinate""	1071111000006105	1071111000006114	NA	5	""EvidenceOfAP""",
"""1080641000006119""",UNKNOWN,true,"400	""ALLERGY739""	""""	""adverse reaction to flupenthixol""	1080641000006103	1080641000006119	NA	5	""EvidenceOfAP""",
"""1080671000006110""",UNKNOWN,true,"30	""ALLERGY740""	""""	""adverse reaction to flupenthixol decanoate""	1080671000006106	1080671000006110	NA	5	""EvidenceOfAP""",
"""1080701000006111""",UNKNOWN,true,"30	""ALLERGY741""	""""	""adverse reaction to fluphenazine decanoate""	1080701000006107	1080701000006111	NA	5	""EvidenceOfAP""",
"""1080751000006110""",UNKNOWN,true,"10	""ALLERGY743""	""""	""adverse reaction to fluphenazine hydrochloride""	1080751000006106	1080751000006110	NA	5	""EvidenceOfAP""",
"""1080841000006118""",UNKNOWN,true,"1	""ALLERGY747""	""""	""adverse reaction to fluspirilene""	1080841000006102	1080841000006118	NA	5	""EvidenceOfAP""",
"""1085441000006112""",UNKNOWN,true,"200	""ALLERGY6351EMIS""	""""	""adverse reaction to quetiapine fumarate""	1085441000006108	1085441000006112	NA	5	""EvidenceOfAP""",
"""1085521000006118""",UNKNOWN,true,"600	""ALLERGY6355EMIS""	""""	""adverse reaction to amisulpride""	1085521000006102	1085521000006118	NA	5	""EvidenceOfAP""",
"""1085851000006112""",UNKNOWN,true,"600	""ALLERGY6375BRIDL""	""""	""adverse reaction to clozapine""	1085851000006108	1085851000006112	NA	5	""EvidenceOfAP""",
"""1086391000006117""",UNKNOWN,true,"300	""ALLERGY641""	""""	""adverse reaction to droperidol""	1086391000006101	1086391000006117	NA	5	""EvidenceOfAP""",
"""1091791000006114""",UNKNOWN,true,"10	""ALLERGY6770EMIS""	""""	""adverse reaction to zotepine""	1091791000006105	1091791000006114	NA	5	""EvidenceOfAP""",
"""1093371000006110""",UNKNOWN,true,"2000	""ALLERGY805""	""""	""adverse reaction to haloperidol""	1093371000006106	1093371000006110	NA	5	""EvidenceOfAP""",
"""1095591000006115""",UNKNOWN,true,"50	""ALLERGY8344BRIDL""	""""	""adverse reaction to zuclopenthixol acetate""	1095591000006104	1095591000006115	NA	5	""EvidenceOfAP""",
"""1097831000006114""",UNKNOWN,true,"500	""ALLERGY963""	""""	""adverse reaction to lithium carbonate""	1097831000006105	1097831000006114	NA	5	""EvidenceOfBP""",
"""1097851000006119""",UNKNOWN,true,"30	""ALLERGY964""	""""	""adverse reaction to lithium citrate""	1097851000006103	1097851000006119	NA	5	""EvidenceOfBP""",
"""1127751000006110""",UNKNOWN,true,"30	""ALLERGY6401NEMIS""	""""	""adverse reaction to valproic acid (as semisodium valproate)""	1127751000006106	1127751000006110	NA	5	""EvidenceOfBP""",
"""1134391000006112""",UNKNOWN,true,"100	""ALLERGY15287NEMIS""	""""	""adverse reaction to haloperidol decanoate""	1134391000006108	1134391000006112	NA	5	""EvidenceOfAP""",
"""1135141000006117""",UNKNOWN,true,"1000	""ALLERGY18227NEMIS""	""""	""adverse reaction to aripiprazole""	1135141000006101	1135141000006117	NA	5	""EvidenceOfAP""",
"""1141911000000113""",UNKNOWN,true,"10000	""9Ol5""	""9Ol5.00""	""lithium monitoring first letter""	513571000000107	1141911000000113	NA	37	""EvidenceOfBP""",
"""1141951000000112""",UNKNOWN,true,"2000	""9Ol6""	""9Ol6.00""	""lithium monitoring second letter""	513591000000106	1141951000000112	NA	37	""EvidenceOfBP""",
"""1141991000000116""",UNKNOWN,true,"600	""9Ol7""	""9Ol7.00""	""lithium monitoring third letter""	513611000000103	1141991000000116	NA	37	""EvidenceOfBP""",
"""1602341000006115""",UNKNOWN,true,"3000	""ALLERGY25236NEMIS""	""""	""adverse reaction to quetiapine""	1602341000006104	1602341000006115	NA	5	""EvidenceOfAP""",
"""1602651000006110""",UNKNOWN,true,"200	""ALLERGY25423NEMIS""	""""	""adverse reaction to chlorpromazine""	1602651000006106	1602651000006110	NA	5	""EvidenceOfAP""",
"""1604341000006111""",UNKNOWN,true,"500	""ALLERGY25426NEMIS""	""""	""adverse reaction to chlorpromazine""	1604341000006107	1604341000006111	NA	5	""EvidenceOfAP""",
"""1622001000006114""",UNKNOWN,true,"20	""ALLERGY26212NEMIS""	""""	""adverse reaction to paliperidone""	1622001000006105	1622001000006114	NA	5	""EvidenceOfAP""",
"""1622711000006110""",UNKNOWN,true,"20	""ALLERGY26214NEMIS""	""""	""adverse reaction to paliperidone""	1622711000006106	1622711000006110	NA	5	""EvidenceOfAP""",
"""1648881000000118""",UNKNOWN,true,"2000	""8CE90""	""8CE9000""	""lithium patient information booklet given""	750061000000108	1648881000000118	NA	32	""EvidenceOfBP""",
"""1648961000000116""",UNKNOWN,true,"400	""8Cd5""	""8Cd5.00""	""advice given about lithium side-effects and toxicity""	750101000000105	1648961000000116	NA	32	""EvidenceOfBP""",
"""1658491000000117""",UNKNOWN,true,"800	""8BM00""	""8BM0000""	""lithium annual review""	753951000000101	1658491000000117	NA	32	""EvidenceOfBP""",
"""1662121000000117""",UNKNOWN,true,"500	""665J""	""665J.00""	""lithium level checked at 3 monthly intervals""	755361000000103	1662121000000117	NA	1	""EvidenceOfBP""",
"""1667141000000114""",UNKNOWN,true,"800	""665K""	""665K.00""	""lithium therapy record book completed""	756471000000108	1667141000000114	NA	1	""EvidenceOfBP""",
"""1744991000006119""",UNKNOWN,true,"5	""ALLERGY42226NEMIS""	""""	""adverse reaction to olanzapine pamoate monohydrate""	1744991000006103	1744991000006119	NA	5	""EvidenceOfAP""",
"""1747721000006112""",UNKNOWN,true,"400	""EMISNQPA105""	""""	""patient lithium therapy pack given""	1747721000006108	1747721000006112	NA	1	""EvidenceOfBP""",
"""1749711000000118""",UNKNOWN,true,"20000	""8BM01""	""8BM0100""	""antipsychotic medication review""	769063007	3688039011	NA	32	""EvidenceOfAP""",
"""1752681000006117""",UNKNOWN,true,"40	""44uj""	""44uj.00""	""risperidone level""	1027531000000108	2595871000000111	NA	34	""EvidenceOfAP""",
"""1781311000006116""",UNKNOWN,true,"5	""ALLERGY51780NEMIS""	""""	""adverse reaction to asenapine""	1781311000006100	1781311000006116	NA	5	""EvidenceOfAP""",
"""1781741000006116""",UNKNOWN,true,"1	""ALLERGY51778NEMIS""	""""	""adverse reaction to asenapine""	1781741000006100	1781741000006116	NA	5	""EvidenceOfAP""",
"""1787691000006113""",UNKNOWN,true,"1	""ALLERGY51957NEMIS""	""""	""adverse reaction to ziprasidone""	1787691000006109	1787691000006113	NA	5	""EvidenceOfAP""",
"""1787851000006118""",UNKNOWN,true,"1	""ALLERGY51955NEMIS""	""""	""adverse reaction to ziprasidone""	1787851000006102	1787851000006118	NA	5	""EvidenceOfAP""",
"""1803541000006114""",UNKNOWN,true,"1	""ALLERGY52137NEMIS""	""""	""adverse reaction to clotiapine""	1803541000006105	1803541000006114	NA	5	""EvidenceOfAP""",
"""1930291000006110""",UNKNOWN,true,"1	""ALLERGY96310NEMIS""	""""	""adverse reaction to lurasidone hydrochloride""	1930291000006106	1930291000006110	NA	5	""EvidenceOfAP""",
"""1931021000006112""",UNKNOWN,true,"20	""ALLERGY96308NEMIS""	""""	""adverse reaction to lurasidone""	1931021000006108	1931021000006112	NA	5	""EvidenceOfAP""",
"""1971031000006112""",UNKNOWN,true,"2	""ALLERGY105648NEMIS""	""""	""adverse reaction to lithium carbonate (essential pharma)""	1971031000006108	1971031000006112	NA	5	""EvidenceOfBP""",
"""1991051000006110""",UNKNOWN,true,"2	""ALLERGY115335NEMIS""	""""	""adverse reaction to loxapine""	1991051000006106	1991051000006110	NA	5	""EvidenceOfAP""",
"""1991411000006118""",UNKNOWN,true,"1	""ALLERGY115333NEMIS""	""""	""adverse reaction to loxapine""	1991411000006102	1991411000006118	NA	5	""EvidenceOfAP""",
"""2281871000000116""",UNKNOWN,true,"9000	""69DD""	""69DD.00""	""antipsychotic medication physical health check""	885271000000107	2281871000000116	NA	1	""EvidenceOfAP""",
