code,code_system,include,term,notes
"""medcodeid""",UNKNOWN,true,"""TermEMIS""	""EMIS""	""QOFEMIS""	""TermRead""	""READ""	""QOFRead""	""TermSNOMED""	""SNOMED""	""QOFSNOMED""	""Group""	""QOFAny""",
"""169061000006112""",UNKNOWN,true,"NA	NA	NA	""Restzustand - schizophrenia""	""E106-1""	""YES""	""Restzustand - schizophrenia""	""26025008""	""YES""	""schizophrenia""	""YES""",
"""1747721000006112""",UNKNOWN,true,"""Patient lithium therapy pack given""	""EMISNQPA105""	""No""	NA	NA	NA	NA	NA	NA	""bipolar""	""NO""",
"""1780205015""",UNKNOWN,true,"NA	NA	NA	""H/O: manic depressive disorder""	""146D""	""NO""	""H/O: manic depressive disorder""	""400998002""	""NO""	""bipolar""	""NO""",
"""1785851000006110""",UNKNOWN,true,"NA	NA	NA	""[X]Bipolar affective disorder type I""	""Eu318""	""YES""	""[X]Bipolar affective disorder type I""	""371596008""	""YES""	""bipolar""	""YES""",
"""1785861000006112""",UNKNOWN,true,"NA	NA	NA	""[X]Bipolar affective disorder type II""	""Eu319""	""YES""	""[X]Bipolar affective disorder type II""	""83225003""	""YES""	""bipolar""	""YES""",
"""1785871000006117""",UNKNOWN,true,"NA	NA	NA	""[X]Bipolar II disorder""	""Eu319-1""	""YES""	""[X]Bipolar II disorder""	""83225003""	""YES""	""bipolar""	""YES""",
"""178723016""",UNKNOWN,true,"NA	NA	NA	""Catatonic schizophrenia in remission""	""E1025""	""YES""	""Catatonic schizophrenia in remission""	""111483008""	""YES""	""schizophrenia""	""YES""",
"""182861000006110""",UNKNOWN,true,"NA	NA	NA	""\""Recurrent manic episodes, partial or unspecified remission\""""	""E1115""	""YES""	""\""Recurrent manic episodes, partial or unspecified remission\""""	""764671000000105""	""YES""	""bipolar""	""YES""",
"""182871000006115""",UNKNOWN,true,"NA	NA	NA	""\""Recurrent manic episodes, severe without mention psychosis\""""	""E1113""	""YES""	""\""Recurrent manic episodes, severe without mention psychosis\""""	""764621000000106""	""YES""	""bipolar""	""YES""",
"""1975081000006110""",UNKNOWN,true,"""\""Undifferentiated schizophrenia, complete remission\""""	""EMISICD10|F2035""	""No""	NA	NA	NA	""\""Undifferentiated schizophrenia, complete remission\""""	""1975081000006106""	""NO""	""schizophrenia""	""NO""",
"""1975211000006110""",UNKNOWN,true,"""\""Post-schizophrenic depression, episodic with progressive deficit\""""	""EMISICD10|F2041""	""No""	NA	NA	NA	""\""Post-schizophrenic depression, episodic with progressive deficit\""""	""1975211000006106""	""NO""	""schizophrenia""	""NO""",
"""1975441000006110""",UNKNOWN,true,"""\""Residual schizophrenia, incomplete remission\""""	""EMISICD10|F2054""	""No""	NA	NA	NA	""\""Residual schizophrenia, incomplete remission\""""	""1975441000006106""	""NO""	""schizophrenia""	""NO""",
"""1975601000006110""",UNKNOWN,true,"""\""Simple schizophrenia, complete remission\""""	""EMISICD10|F2065""	""No""	NA	NA	NA	""\""Simple schizophrenia, complete remission\""""	""1975601000006106""	""NO""	""schizophrenia""	""NO""",
"""1975851000006110""",UNKNOWN,true,"""\""Other acute and transient psychotic disorders, with associated acute stress\""""	""EMISICD10|F2381""	""No""	NA	NA	NA	NA	NA	NA	""other psychosis""	""NO""",
"""1976891000006110""",UNKNOWN,true,"""\""Hebephrenic schizophrenia, other\""""	""EMISICD10|F2018""	""No""	NA	NA	NA	""\""Hebephrenic schizophrenia, other\""""	""1976891000006106""	""NO""	""schizophrenia""	""NO""",
"""1976961000006110""",UNKNOWN,true,"""\""Schizophrenia, unspecified, other\""""	""EMISICD10|F2098""	""No""	NA	NA	NA	""\""Schizophrenia, unspecified, other\""""	""1976961000006106""	""NO""	""schizophrenia""	""NO""",
"""2157096015""",UNKNOWN,true,"NA	NA	NA	""Manic mood""	""1S42""	""NO""	""Manic mood""	""405273008""	""NO""	""bipolar""	""NO""",
"""215841000000114""",UNKNOWN,true,"NA	NA	NA	""[X]Delusional disorder""	""Eu220""	""YES""	""[X]Delusional disorder""	""48500005""	""YES""	""other psychosis""	""YES""",
"""215851000000112""",UNKNOWN,true,"NA	NA	NA	""[X]Paranoid psychosis""	""Eu220-1""	""YES""	""[X]Paranoid psychosis""	""191667009""	""YES""	""other psychosis""	""YES""",
"""215871000000115""",UNKNOWN,true,"NA	NA	NA	""[X]Paranoia""	""Eu220-5""	""YES""	""[X]Paranoia""	""417233008""	""NO""	""other psychosis""	""YES""",
"""223601000000119""",UNKNOWN,true,"NA	NA	NA	""Manic psychoses""	""E11-3""	""NO""	""Manic psychoses""	""231494001""	""YES""	""bipolar""	""YES""",
"""223611000000117""",UNKNOWN,true,"NA	NA	NA	""Nonorganic psychosis NOS""	""E13z""	""YES""	""Nonorganic psychosis NOS""	""191525009""	""YES""	""other psychosis""	""YES""",
"""2322241000000116""",UNKNOWN,true,"NA	NA	NA	""Urine lithium concentration""	""46P30""	""NO""	NA	NA	NA	""bipolar""	""NO""",
"""243361000006117""",UNKNOWN,true,"NA	NA	NA	""Paranoid states""	""E12""	""YES""	""Paranoid states""	""191667009""	""YES""	""other psychosis""	""YES""",
"""2501011000006119""",UNKNOWN,true,"""\""Severe bipolar I disorder, most recent episode manic, without psychotic features\""""	""^ESCTSE250101""	""No""	NA	NA	NA	""\""Severe bipolar I disorder, most recent episode manic, without psychotic features\""""	""162004""	""YES""	""bipolar""	""YES""",
"""2501991000006111""",UNKNOWN,true,"NA	NA	NA	NA	NA	NA	""Delusion of persecution (finding)""	""216004""	""NO""	""other psychosis""	""NO""",
"""2502001000006113""",UNKNOWN,true,"NA	NA	NA	NA	NA	NA	""Delusion of persecution (finding)""	""216004""	""NO""	""other psychosis""	""NO""",
"""251628010""",UNKNOWN,true,"NA	NA	NA	""H/O: schizophrenia""	""1464""	""NO""	""H/O: schizophrenia""	""161468000""	""NO""	""schizophrenia""	""NO""",
"""253124017""",UNKNOWN,true,"NA	NA	NA	NA	NA	NA	""Morbid jealousy (disorder)""	""162313000""	""NO""	""other psychosis""	""NO""",
"""2531671000006114""",UNKNOWN,true,"NA	NA	NA	NA	NA	NA	""Delusions (finding)""	""2073000""	""NO""	""other psychosis""	""NO""",
"""2531681000006112""",UNKNOWN,true,"NA	NA	NA	NA	NA	NA	""Delusions (finding)""	""2073000""	""NO""	""other psychosis""	""NO""",
"""2532965018""",UNKNOWN,true,"NA	NA	NA	""[X]Erotomania""	""Eu528""	""NO""	""[X]Erotomania""	""280949006""	""YES""	""other psychosis""	""YES""",
"""25461000006115""",UNKNOWN,true,"NA	NA	NA	""Other nonorganic psychoses""	""E13""	""YES""	""Other nonorganic psychoses""	""191525009""	""YES""	""other psychosis""	""YES""",
"""2548181016""",UNKNOWN,true,"NA	NA	NA	""Paranoid ideation""	""1BH3""	""NO""	""Paranoid ideation""	""417233008""	""NO""	""other psychosis""	""NO""",
"""2549129012""",UNKNOWN,true,"NA	NA	NA	""O/E - paranoid delusions""	""225E""	""NO""	NA	NA	NA	""other psychosis""	""NO""",
"""2549426013""",UNKNOWN,true,"NA	NA	NA	""O/E - delusion of persecution""	""225F""	""NO""	NA	NA	NA	""other psychosis""	""NO""",
"""2577941000006118""",UNKNOWN,true,"""\""Schizophrenia, in remission\""""	""^ESCTSC257794""	""No""	NA	NA	NA	""\""Schizophrenia, in remission\""""	""4926007""	""YES""	""schizophrenia""	""YES""",
"""2586801000006115""",UNKNOWN,true,"""Brief psychotic disorder""	""^ESCTBR258680""	""No""	NA	NA	NA	""Brief psychotic disorder""	""5464005""	""YES""	""other psychosis""	""YES""",
"""259417018""",UNKNOWN,true,"NA	NA	NA	""Lithium level therapeutic""	""44vE""	""NO""	NA	NA	NA	""bipolar""	""NO""",
"""259418011""",UNKNOWN,true,"NA	NA	NA	""Lithium level high - toxic""	""44W81""	""NO""	NA	NA	NA	""bipolar""	""NO""",
"""259419015""",UNKNOWN,true,"NA	NA	NA	""Lithium level low""	""44W82""	""NO""	NA	NA	NA	""bipolar""	""NO""",
"""2632941000006110""",UNKNOWN,true,"NA	NA	NA	NA	NA	NA	""Delusion of infidelity (finding)""	""8330006""	""NO""	""other psychosis""	""NO""",
"""264612016""",UNKNOWN,true,"NA	NA	NA	""Lithium stopped""	""665B""	""NO""	NA	NA	NA	""bipolar""	""NO""",
"""2705561000006112""",UNKNOWN,true,"""Chronic disorganised schizophrenia""	""^ESCTCH270556""	""No""	NA	NA	NA	""Chronic disorganised schizophrenia""	""12939007""	""YES""	""schizophrenia""	""YES""",
"""2705571000006117""",UNKNOWN,true,"""Chronic disorganized schizophrenia""	""^ESCTCH270557""	""No""	NA	NA	NA	""Chronic disorganized schizophrenia""	""12939007""	""YES""	""schizophrenia""	""YES""",
"""2717981000006118""",UNKNOWN,true,"""MDI - Manic-depressive illness""	""^ESCTMD271798""	""No""	NA	NA	NA	""MDI - Manic-depressive illness""	""13746004""	""YES""	""bipolar""	""YES""",
"""2726261000006113""",UNKNOWN,true,"""Subchronic disorganised schizophrenia with acute exacerbations""	""^ESCTSU272626""	""No""	NA	NA	NA	""Subchronic disorganised schizophrenia with acute exacerbations""	""14291003""	""YES""	""schizophrenia""	""YES""",
"""2726271000006118""",UNKNOWN,true,"""Subchronic disorganized schizophrenia with acute exacerbations""	""^ESCTSU272627""	""No""	NA	NA	NA	""Subchronic disorganized schizophrenia with acute exacerbations""	""14291003""	""YES""	""schizophrenia""	""YES""",
"""2730051000000114""",UNKNOWN,true,"NA	NA	NA	NA	NA	NA	""Mania with mood-congruent psychotic features (disorder)""	""1089661000000104""	""YES""	""bipolar""	""YES""",
"""2730071000000117""",UNKNOWN,true,"NA	NA	NA	NA	NA	NA	""Mania with mood-incongruent psychotic features (disorder)""	""1089671000000106""	""YES""	""bipolar""	""YES""",
"""2730091000000118""",UNKNOWN,true,"NA	NA	NA	NA	NA	NA	""Mania with psychotic features (disorder)""	""1089681000000108""	""YES""	""bipolar""	""YES""",
"""2730111000000111""",UNKNOWN,true,"NA	NA	NA	NA	NA	NA	""Acute predominantly delusional psychotic disorder (disorder)""	""1089691000000105""	""YES""	""other psychosis""	""YES""",
"""2761681000006119""",UNKNOWN,true,"""\""Bipolar I disorder, most recent episode mixed\""""	""^ESCTBI276168""	""No""	NA	NA	NA	""\""Bipolar I disorder, most recent episode mixed\""""	""16506000""	""YES""	""bipolar""	""YES""",
"""28758018""",UNKNOWN,true,"NA	NA	NA	""Subchronic schizophrenia""	""E1001""	""YES""	""Subchronic schizophrenia""	""16990005""	""YES""	""schizophrenia""	""YES""",
"""2916361000006118""",UNKNOWN,true,"""Restzustand""	""^ESCTRE291636""	""No""	NA	NA	NA	""Restzustand""	""26025008""	""YES""	""schizophrenia""	""YES""",
"""2938951000006113""",UNKNOWN,true,"""Subchronic disorganised schizophrenia""	""^ESCTSU293895""	""No""	NA	NA	NA	""Subchronic disorganised schizophrenia""	""27387000""	""YES""	""schizophrenia""	""YES""",
"""2938961000006110""",UNKNOWN,true,"""Subchronic disorganized schizophrenia""	""^ESCTSU293896""	""No""	NA	NA	NA	""Subchronic disorganized schizophrenia""	""27387000""	""YES""	""schizophrenia""	""YES""",
"""294724012""",UNKNOWN,true,"NA	NA	NA	""Non-organic psychoses""	""E1""	""YES""	""Non-organic psychoses""	""191525009""	""YES""	""other psychosis""	""YES""",
"""294725013""",UNKNOWN,true,"NA	NA	NA	""Schizophrenic disorders""	""E10""	""YES""	""Schizophrenic disorders""	""191526005""	""YES""	""schizophrenia""	""YES""",
"""294726014""",UNKNOWN,true,"NA	NA	NA	""Schizophrenia simplex""	""E100-1""	""YES""	""Schizophrenia simplex""	""191527001""	""YES""	""schizophrenia""	""YES""",
"""294727017""",UNKNOWN,true,"NA	NA	NA	""Simple schizophrenia""	""E100""	""YES""	""Simple schizophrenia""	""191527001""	""YES""	""schizophrenia""	""YES""",
"""294728010""",UNKNOWN,true,"NA	NA	NA	""Unspecified schizophrenia""	""E1000""	""YES""	""Unspecified schizophrenia""	""58214004""	""YES""	""schizophrenia""	""YES""",
