code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""term""	""database""",
"""3506663014""",UNKNOWN,true,"""weight abnormal for age""	""Aurum""",
"""3514400010""",UNKNOWN,true,"""current body weight""	""Aurum""",
"""3516789013""",UNKNOWN,true,"""post-dialysis target weight""	""Aurum""",
"""16131000000113""",UNKNOWN,true,"""obesity monitoring admin.nos""	""Aurum""",
"""21621000000119""",UNKNOWN,true,"""obesity monitoring administration""	""Aurum""",
"""26111000000114""",UNKNOWN,true,"""obesity clinic administration""	""Aurum""",
"""59261000006118""",UNKNOWN,true,"""wr - weight reducing diet""	""Aurum""",
"""59271000006113""",UNKNOWN,true,"""weight reducing diet""	""Aurum""",
"""59281000006111""",UNKNOWN,true,"""weight screening""	""Aurum""",
"""59311000006113""",UNKNOWN,true,"""weight symptom""	""Aurum""",
"""200241000006114""",UNKNOWN,true,"""patient advised about weight-reducing diet""	""Aurum""",
"""217781000000116""",UNKNOWN,true,"""o/e - weight greater than 20% over ideal""	""Aurum""",
"""220811000000110""",UNKNOWN,true,"""maternal obesity syndrome""	""Aurum""",
"""240911000006113""",UNKNOWN,true,"""patient advised to lose weight""	""Aurum""",
"""270281000006113""",UNKNOWN,true,"""obesity monitoring telephone invite""	""Aurum""",
"""270301000006112""",UNKNOWN,true,"""obesity monitoring first letter""	""Aurum""",
"""270311000006110""",UNKNOWN,true,"""obesity monitoring second letter""	""Aurum""",
"""270321000006119""",UNKNOWN,true,"""obesity monitoring third letter""	""Aurum""",
"""270381000006115""",UNKNOWN,true,"""obesity monitoring verbal invite""	""Aurum""",
"""270391000006117""",UNKNOWN,true,"""obesity screening""	""Aurum""",
"""271181000006113""",UNKNOWN,true,"""o/e-height > 20% below average""	""Aurum""",
"""272151000006114""",UNKNOWN,true,"""o/e -height > 20% over average""	""Aurum""",
"""272551000006116""",UNKNOWN,true,"""o/e - weight > 20% below ideal""	""Aurum""",
"""280881000006115""",UNKNOWN,true,"""o/e - obese""	""Aurum""",
"""284561000006119""",UNKNOWN,true,"""o/e - height 10-20% < average""	""Aurum""",
"""297811000000117""",UNKNOWN,true,"""weight management programme offered""	""Aurum""",
"""297841000000116""",UNKNOWN,true,"""weight management plan started""	""Aurum""",
"""297861000000115""",UNKNOWN,true,"""weight management plan completed""	""Aurum""",
"""297891000000114""",UNKNOWN,true,"""target weight reached""	""Aurum""",
"""298511000000116""",UNKNOWN,true,"""obesity resolved""	""Aurum""",
"""299281000000119""",UNKNOWN,true,"""complaining of weight loss""	""Aurum""",
"""316781000000113""",UNKNOWN,true,"""waterlow build/weight for height score""	""Aurum""",
"""406131000000117""",UNKNOWN,true,"""did not attend weight monitoring clinic""	""Aurum""",
"""437661000006118""",UNKNOWN,true,"""abnormal weight loss - symptom""	""Aurum""",
"""558771000000115""",UNKNOWN,true,"""weight gain diet""	""Aurum""",
"""567001000000116""",UNKNOWN,true,"""counterweight programme""	""Aurum""",
"""628891000000118""",UNKNOWN,true,"""counterweight weight management programme""	""Aurum""",
