code,code_system,include,term,notes
"""medcodeid""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""EmisCodeCategoryId""",
"""295236012""",UNKNOWN,true,"66	""E2491""	""E249100""	""combined drug dependence, excluding opioid, continuous""	""191873008""	""295236012""	32",
"""295237015""",UNKNOWN,true,"27	""E2492""	""E249200""	""combined drug dependence, excluding opioid, episodic""	""191874002""	""295237015""	32",
"""295238013""",UNKNOWN,true,"104	""E2493""	""E249300""	""combined drug dependence, excluding opioid, in remission""	""191875001""	""295238013""	32",
"""295239017""",UNKNOWN,true,"27	""E249z""	""E249z00""	""combined drug dependence, excluding opioid, nos""	""191871005""	""295234010""	32",
"""295240015""",UNKNOWN,true,"2025	""E24A""	""E24A.00""	""ecstasy type drug dependence""	""191877009""	""295240015""	32",
"""295241016""",UNKNOWN,true,"73723	""E24z""	""E24z.00""	""drug dependence nos""	""191816009""	""295145018""	32",
"""295261010""",UNKNOWN,true,"54522	""E252""	""E252.00""	""nondependent cannabis abuse""	""191891003""	""295261010""	32",
"""295262015""",UNKNOWN,true,"2559	""E2520""	""E252000""	""nondependent cannabis abuse, unspecified""	""191891003""	""295261010""	32",
"""295263013""",UNKNOWN,true,"993	""E2521""	""E252100""	""nondependent cannabis abuse, continuous""	""191893000""	""295263013""	32",
"""295264019""",UNKNOWN,true,"1429	""E2522""	""E252200""	""nondependent cannabis abuse, episodic""	""191894006""	""295264019""	32",
"""295265018""",UNKNOWN,true,"223	""E2523""	""E252300""	""nondependent cannabis abuse in remission""	""191895007""	""295265018""	32",
"""295266017""",UNKNOWN,true,"4207	""E252z""	""E252z00""	""nondependent cannabis abuse nos""	""191891003""	""295261010""	32",
"""295271012""",UNKNOWN,true,"62	""E2530""	""E253000""	""nondependent hallucinogen abuse, unspecified""	""268646008""	""401798017""	32",
"""295272017""",UNKNOWN,true,"5	""E2531""	""E253100""	""nondependent hallucinogen abuse, continuous""	""191899001""	""295272017""	32",
"""295274016""",UNKNOWN,true,"35	""E2532""	""E253200""	""nondependent hallucinogen abuse, episodic""	""191900006""	""295274016""	32",
"""295275015""",UNKNOWN,true,"15	""E2533""	""E253300""	""nondependent hallucinogen abuse in remission""	""191901005""	""295275015""	32",
"""295276019""",UNKNOWN,true,"48	""E253z""	""E253z00""	""nondependent hallucinogen abuse nos""	""268646008""	""401798017""	32",
"""295290016""",UNKNOWN,true,"2298	""E255""	""E255.00""	""nondependent opioid abuse""	""191909007""	""295290016""	32",
"""295293019""",UNKNOWN,true,"90	""E2550""	""E255000""	""nondependent opioid abuse, unspecified""	""191909007""	""295290016""	32",
"""295295014""",UNKNOWN,true,"44	""E2551""	""E255100""	""nondependent opioid abuse, continuous""	""191912005""	""295295014""	32",
"""295296010""",UNKNOWN,true,"100	""E2552""	""E255200""	""nondependent opioid abuse, episodic""	""191913000""	""295296010""	32",
"""295297018""",UNKNOWN,true,"60	""E2553""	""E255300""	""nondependent opioid abuse in remission""	""191914006""	""295297018""	32",
"""295298011""",UNKNOWN,true,"66	""E255z""	""E255z00""	""nondependent opioid abuse nos""	""191909007""	""295290016""	32",
"""295299015""",UNKNOWN,true,"19999	""E256""	""E256.00""	""nondependent cocaine abuse""	""191916008""	""295299015""	32",
"""295300011""",UNKNOWN,true,"709	""E2560""	""E256000""	""nondependent cocaine abuse, unspecified""	""191916008""	""295299015""	32",
"""295301010""",UNKNOWN,true,"168	""E2561""	""E256100""	""nondependent cocaine abuse, continuous""	""191918009""	""295301010""	32",
"""295302015""",UNKNOWN,true,"887	""E2562""	""E256200""	""nondependent cocaine abuse, episodic""	""191919001""	""295302015""	32",
"""295303013""",UNKNOWN,true,"96	""E2563""	""E256300""	""nondependent cocaine abuse in remission""	""191920007""	""295303013""	32",
"""295305018""",UNKNOWN,true,"394	""E256z""	""E256z00""	""nondependent cocaine abuse nos""	""191916008""	""295299015""	32",
"""295316013""",UNKNOWN,true,"9	""E2580""	""E258000""	""nondependent antidepressant type drug abuse, unspecified""	""191928000""	""295315012""	32",
"""295317016""",UNKNOWN,true,"11	""E2581""	""E258100""	""nondependent antidepressant type drug abuse, continuous""	""191930003""	""295317016""	32",
"""295319018""",UNKNOWN,true,"15	""E2582""	""E258200""	""nondependent antidepressant type drug abuse, episodic""	""191931004""	""295319018""	32",
"""295320012""",UNKNOWN,true,"2	""E2583""	""E258300""	""nondependent antidepressant type drug abuse in remission""	""191932006""	""295320012""	32",
"""295321011""",UNKNOWN,true,"6	""E258z""	""E258z00""	""nondependent antidepressant type drug abuse nos""	""191928000""	""295315012""	32",
"""295322016""",UNKNOWN,true,"1748	""E259""	""E259.00""	""nondependent mixed drug abuse""	""191934007""	""295322016""	32",
"""295323014""",UNKNOWN,true,"723	""E2590""	""E259000""	""nondependent mixed drug abuse, unspecified""	""191934007""	""295322016""	32",
"""295324015""",UNKNOWN,true,"60	""E2591""	""E259100""	""nondependent mixed drug abuse, continuous""	""191936009""	""295324015""	32",
"""295325019""",UNKNOWN,true,"162	""E2592""	""E259200""	""nondependent mixed drug abuse, episodic""	""191937000""	""295325019""	32",
"""295326018""",UNKNOWN,true,"50	""E2593""	""E259300""	""nondependent mixed drug abuse in remission""	""191938005""	""295326018""	32",
"""295328017""",UNKNOWN,true,"263	""E259z""	""E259z00""	""nondependent mixed drug abuse nos""	""191934007""	""295322016""	32",
"""295335013""",UNKNOWN,true,"118	""E25y0""	""E25y000""	""nondependent other drug abuse, unspecified""	""66214007""	""109958011""	17",
"""295336014""",UNKNOWN,true,"66	""E25y1""	""E25y100""	""nondependent other drug abuse, continuous""	""426590003""	""2674598013""	32",
"""295337017""",UNKNOWN,true,"71	""E25y2""	""E25y200""	""nondependent other drug abuse, episodic""	""66214007""	""109958011""	17",
"""295338010""",UNKNOWN,true,"20	""E25y3""	""E25y300""	""nondependent other drug abuse in remission""	""66214007""	""109958011""	17",
"""295340017""",UNKNOWN,true,"102377	""E25z""	""E25z.00""	""misuse of drugs nos""	""361055000""	""477158014""	17",
"""306144010""",UNKNOWN,true,"56	""L1831""	""L183100""	""drug dependence during pregnancy - baby delivered""	""199252002""	""306144010""	32",
"""306145011""",UNKNOWN,true,"5	""L1832""	""L183200""	""drug dependence in the puerperium - baby delivered""	""199253007""	""306145011""	5",
"""306146012""",UNKNOWN,true,"49	""L1833""	""L183300""	""drug dependence during pregnancy - baby not yet delivered""	""199254001""	""306146012""	32",
"""324297018""",UNKNOWN,true,"2169	""SL972""	""SL97200""	""ecstasy poisoning""	""212670004""	""324297018""	32",
"""328646010""",UNKNOWN,true,"134	""T8410""	""T841000""	""accidental poisoning by cannabis derivatives""	""216551003""	""328646010""	32",
"""331175016""",UNKNOWN,true,"1305	""TJ960""	""TJ96000""	""adverse reaction to cannabis""	""218791008""	""331175016""	15",
"""339576014""",UNKNOWN,true,"28094	""13c0""	""13c0.00""	""injecting drug user""	""226034001""	""339576014""	17",
"""342430012""",UNKNOWN,true,"166357	""1V25""	""1V25.00""	""has never misused drugs""	""228368007""	""342430012""	27",
"""342434015""",UNKNOWN,true,"686	""1V01""	""1V01.00""	""long-term drug misuser""	""228371004""	""342434015""	27",
"""342435019""",UNKNOWN,true,"6088	""1V02""	""1V02.00""	""poly-drug misuser""	""228372006""	""342435019""	27",
"""342441014""",UNKNOWN,true,"4996	""13cB""	""13cB.00""	""misuses drugs orally""	""228375008""	""342441014""	17",
"""342450011""",UNKNOWN,true,"4	""1V05""	""1V05.00""	""misuses drugs vaginally""	""228382007""	""342450011""	27",
"""342451010""",UNKNOWN,true,"29	""1V04""	""1V04.00""	""misuses drugs rectally""	""228383002""	""342451010""	27",
"""342452015""",UNKNOWN,true,"54	""1V03""	""1V03.00""	""misuses drugs sublingually""	""228384008""	""342452015""	27",
"""342455018""",UNKNOWN,true,"238	""1V30""	""1V30.00""	""injects drugs subcutaneously""	""228386005""	""342455018""	17",
"""342457014""",UNKNOWN,true,"464	""1V31""	""1V31.00""	""injects drugs intramuscularly""	""228387001""	""342457014""	17",
"""342465012""",UNKNOWN,true,"43952	""13c1""	""13c1.00""	""intravenous drug user""	""228388006""	""342465012""	17",
"""342467016""",UNKNOWN,true,"4271	""1V2""	""1V2..00""	""frequency of drug misuse""	""228390007""	""342467016""	27",
"""342485011""",UNKNOWN,true,"1210	""1V3J""	""1V3J.00""	""uses needle exchange scheme""	""228406007""	""342485011""	27",
"""342488013""",UNKNOWN,true,"417	""1V3M""	""1V3M.00""	""does not use needle and syringe exchange scheme""	""228409000""	""342488013""	27",
"""342489017""",UNKNOWN,true,"2945	""1V3N""	""1V3N.00""	""uses needle and syringe exchange scheme""	""228410005""	""342489017""	27",
"""342490014""",UNKNOWN,true,"2183	""1V23""	""1V23.00""	""time since stopped drug misuse""	""228411009""	""342490014""	27",
"""342492018""",UNKNOWN,true,"4666	""1V22""	""1V22.00""	""age at starting drug misuse""	""228413007""	""342492018""	27",
"""346941017""",UNKNOWN,true,"1617	""E241-2""	""E241.12""	""barbiturate dependence""	""231472009""	""346941017""	32",
"""346942012""",UNKNOWN,true,"336772	""E241-3""	""E241.13""	""benzodiazepine dependence""	""231473004""	""346942012""	32",
"""346949015""",UNKNOWN,true,"134165	""E240-2""	""E240.12""	""methadone dependence""	""231478008""	""346949015""	32",
"""355550012""",UNKNOWN,true,"87	""L183-1""	""L183.11""	""pregnancy and drug dependence""	""237228001""	""355550012""	5",
"""401793014""",UNKNOWN,true,"54474	""E243""	""E243.00""	""cannabis type drug dependence""	""268641003""	""401793014""	32",
"""401796018""",UNKNOWN,true,"2441	""E247""	""E247.00""	""other specified drug dependence""	""191816009""	""295145018""	32",
"""401798017""",UNKNOWN,true,"589	""E253""	""E253.00""	""nondependent hallucinogen abuse""	""268646008""	""401798017""	32",
"""401801011""",UNKNOWN,true,"2367	""E25y""	""E25y.00""	""non dependent drug abuse""	""49540005""	""82514017""	32",
"""450216018""",UNKNOWN,true,"65456	""1V64""	""1V64.00""	""illicit drug use""	""307052004""	""450216018""	27",
"""477158014""",UNKNOWN,true,"64935	""1V0""	""1V0..00""	""misuses drugs""	""361055000""	""477158014""	17",
"""477244019""",UNKNOWN,true,"652	""SL960""	""SL96000""	""cannabis poisoning""	""15233006""	""477244019""	32",
