code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""Antipsychotic""",
"""667""",UNKNOWN,true,"1017399	""Risperidone 500microgram tablets""	""Risperidone""	""500microgram""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Risperidone""",
"""46447""",UNKNOWN,true,"6933	""Paliperidone 100mg/1ml prolonged-release suspension for injection pre-filled syringes""	""Paliperidone""	""100mg/1ml""	""Prolonged-release suspension for injection""	""Intramuscular""	""Antipsychotic Depot Injections""	""Paliperidone""",
"""3775""",UNKNOWN,true,"11138	""Zuclopenthixol decanoate 200mg/ml oily injection""	""Zuclopenthixol""	""200mg/ml""	""Oily Injection""	""Intramuscular""	""Antipsychotic Products/Antipsychotic Depot Injections""	""Zuclopenthixol""",
"""32551""",UNKNOWN,true,"12816	""Prochlorperazine 5mg tablets (IVAX Pharmaceuticals UK Ltd)""	""Prochlorperazine""	""5mg""	""Oral tablet""	""Oral""	""First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products""	""Prochlorperazine""",
"""65773""",UNKNOWN,true,"18	""Aripiprazole 30mg tablets (Zentiva Pharma UK Ltd)""	""Aripiprazole""	""30mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Aripiprazole""",
"""47149""",UNKNOWN,true,"303	""Haloperidol 1mg/5ml oral solution""	""Haloperidol""	""200microgram/1ml""	""Oral solution""	""Oral""	""First-Generation Antipsychotic Drugs""	""Haloperidol""",
"""17227""",UNKNOWN,true,"19	""Chloractil 25mg Tablet (DDSA Pharmaceuticals Ltd)""	""Chlorpromazine""	""25mg""	""Oral tablet""	""Oral""	""Antipsychotic Products/-""	""Chlorpromazine""",
"""57616""",UNKNOWN,true,"192	""Olanzapine 20mg tablets (Teva UK Ltd)""	""Olanzapine""	""20mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania""	""Olanzapine""",
"""84091""",UNKNOWN,true,"0	""Fluanxol 500microgram tablets (Sigma Pharmaceuticals Plc)""	""Flupentixol""	""500microgram""	""Oral tablet""	""Oral""	""Other Antidepressants""	""Flupentixol""",
"""13145""",UNKNOWN,true,"20897	""Trifluoperazine 1mg/5ml oral solution sugar free""	""Trifluoperazine""	""200microgram/1ml""	""Oral solution""	""Oral""	""First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products""	""Trifluoperazine""",
"""53649""",UNKNOWN,true,"1	""Haloperidol 2mg/5ml oral suspension""	""Haloperidol""	""400microgram/1ml""	""Oral suspension""	""Oral""	""First-Generation Antipsychotic Drugs""	""Haloperidol""",
"""228""",UNKNOWN,true,"17	""Fentazin 5mg/ml Injection (Goldshield Pharmaceuticals Ltd)""	""Perphenazine""	""5mg/ml""	""Injection""	""Intramuscular""	""Antipsychotic Products/-""	""Perphenazine""",
"""4992""",UNKNOWN,true,"2419	""Solian 200 tablets (Sanofi)""	""Amisulpride""	""200mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Amisulpride""",
"""40928""",UNKNOWN,true,"22	""Droperidol 2.5mg/1ml solution for injection ampoules""	""Droperidol""	""2.5mg/1ml""	""Solution for injection""	""Intravenous""	""Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products""	""Droperidol""",
"""70867""",UNKNOWN,true,"175	""Paliperidone 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes""	""Paliperidone""	""200mg/1ml""	""Prolonged-release suspension for injection""	""Intramuscular""	""Antipsychotic Depot Injections""	""Paliperidone""",
"""5653""",UNKNOWN,true,"237859	""Olanzapine 7.5mg tablets""	""Olanzapine""	""7.5mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania""	""Olanzapine""",
