code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""",
"""53539""",UNKNOWN,true,"""44c1.00""	""serum fasting lipoprotein level""",
"""57391""",UNKNOWN,true,"""44d..00""	""plasma lipoprotein level""",
"""45116""",UNKNOWN,true,"""44R2.00""	""lipoprotein electroph.abnormal""",
"""23244""",UNKNOWN,true,"""44c..00""	""serum lipoprotein level""",
"""73390""",UNKNOWN,true,"""44RZ.00""	""lipoprotein electroph. nos""",
"""55745""",UNKNOWN,true,"""44R1.00""	""lipoprotein electroph. normal""",
"""19840""",UNKNOWN,true,"""44R..00""	""lipoprotein electrophoresis""",
"""23124""",UNKNOWN,true,"""44O1.00""	""blood sent for serum lipids""",
"""2091""",UNKNOWN,true,"""9N0J.00""	""seen in cholesterol clinic""",
"""93761""",UNKNOWN,true,"""9Oc2.00""	""lipid disorder monitoring first letter""",
"""39849""",UNKNOWN,true,"""8I3J.00""	""lipid lowering therapy declined""",
"""66240""",UNKNOWN,true,"""Cyu8D00""	""[x]other hyperlipidaemia""",
"""26019""",UNKNOWN,true,"""C320200""	""hyperlipidaemia, group a""",
"""16085""",UNKNOWN,true,"""1442""	""h/o: raised blood lipids""",
"""104540""",UNKNOWN,true,"""8CP6.00""	""discussion about lipid lowering therapy""",
"""6243""",UNKNOWN,true,"""8CA4700""	""patient advised re low cholesterol diet""",
"""105783""",UNKNOWN,true,"""7L1j000""	""low density lipoprotein apheresis""",
"""12569""",UNKNOWN,true,"""ZV65317""	""[v]dietary surveillance in hypercholesterolaemia""",
"""16937""",UNKNOWN,true,"""8B28.00""	""lipid lowering therapy""",
"""12439""",UNKNOWN,true,"""C321000""	""hypertriglyceridaemia""",
"""101028""",UNKNOWN,true,"""1W1..00""	""possible familial hypercholesterolaemia""",
"""42765""",UNKNOWN,true,"""ZC2CI00""	""dietary advice for lipid disorder""",
"""104083""",UNKNOWN,true,"""66X3.00""	""lipid disorder initial assessment""",
"""110480""",UNKNOWN,true,"""66X1.00""	""lipid disorder treatment stopped""",
"""102471""",UNKNOWN,true,"""9Oc4.00""	""lipid disorder monitoring third letter""",
"""99032""",UNKNOWN,true,"""9Oc3.00""	""lipid disorder monitoring second letter""",
"""100512""",UNKNOWN,true,"""9Oc1.00""	""lipid disorder monitoring declined""",
"""112406""",UNKNOWN,true,"""9Oc6.00""	""lipid disorder monitoring telephone invitation""",
"""36806""",UNKNOWN,true,"""9Oc..00""	""lipid disorder monitoring administration""",
"""10783""",UNKNOWN,true,"""8BAG.00""	""cholesterol reduction programme""",
"""37273""",UNKNOWN,true,"""C320400""	""fredrickson's hyperlipoproteinaemia, type iia""",
"""34224""",UNKNOWN,true,"""C320300""	""low-density-lipoprotein-type (ldl) hyperlipoproteinaemia""",
"""9936""",UNKNOWN,true,"""66X..00""	""lipid disorder monitoring""",
"""53091""",UNKNOWN,true,"""C320y00""	""other specified pure hypercholesterolaemia""",
"""105093""",UNKNOWN,true,"""66X2.00""	""lipid disorder treatment changed""",
"""104226""",UNKNOWN,true,"""66X0.00""	""lipid disorder treatment started""",
"""52992""",UNKNOWN,true,"""C322.11""	""fredrickson type iib lipidaemia""",
"""59564""",UNKNOWN,true,"""C322.12""	""fredrickson type iii lipidaemia""",
"""71747""",UNKNOWN,true,"""8CR3.00""	""hyperlipidaemia clinical management plan""",
"""100453""",UNKNOWN,true,"""3878""	""assess using si broome diagn criteria familial hypercholest""",
"""10899""",UNKNOWN,true,"""8BAG200""	""cholesterol reduction program - declined""",
"""105931""",UNKNOWN,true,"""9Oc5.00""	""lipid disorder monitoring verbal invitation""",
"""637""",UNKNOWN,true,"""C324.00""	""hyperlipidaemia nos""",
"""8762""",UNKNOWN,true,"""13B3.00""	""low cholesterol diet""",
