code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""	""AP""",
"""105680""",UNKNOWN,true,"""K0C6.00""	""chronic lithium nephrotoxicity""	""EvidenceOfBP""",
"""107269""",UNKNOWN,true,"""U609415""	""[x] adverse reaction to flupentixol""	""EvidenceOfAP""",
"""108273""",UNKNOWN,true,"""44uu.00""	""serum clozapine level""	""EvidenceOfAP""",
"""108274""",UNKNOWN,true,"""44uw.00""	""serum norclozapine level""	""EvidenceOfAP""",
"""108446""",UNKNOWN,true,"""44W4300""	""serum valproate concentration""	""EvidenceOfBP""",
"""109047""",UNKNOWN,true,"""8BPa.00""	""antipsychotic drug therapy for dementia""	""EvidenceOfAP""",
"""109252""",UNKNOWN,true,"""69DD.00""	""antipsychotic medication physical health check""	""EvidenceOfAP""",
"""109632""",UNKNOWN,true,"""38Qh.00""	""glasgow antipsychotic side-effect scale""	""EvidenceOfAP""",
"""110447""",UNKNOWN,true,"""8BPf.00""	""oral antipsychotic therapy""	""EvidenceOfAP""",
"""111363""",UNKNOWN,true,"""4Q1C000""	""serum olanzapine concentration""	""EvidenceOfAP""",
"""112189""",UNKNOWN,true,"""44uj000""	""serum risperidone concentration""	""EvidenceOfAP""",
"""112918""",UNKNOWN,true,"""U609313""	""[x] adverse reaction to fluphenazine""	""EvidenceOfAP""",
"""113334""",UNKNOWN,true,"""44vM.00""	""serum haloperidol concentration""	""EvidenceOfAP""",
"""113397""",UNKNOWN,true,"""U609317""	""[x] adverse reaction to promazine""	""EvidenceOfAP""",
"""113940""",UNKNOWN,true,"""44uh000""	""serum quetiapine level""	""EvidenceOfAP""",
"""114860""",UNKNOWN,true,"""44vF.00""	""serum chlorpromazine concentration""	""EvidenceOfAP""",
"""116033""",UNKNOWN,true,"""T830100""	""accidental poisoning by fluphenazine""	""EvidenceOfAP""",
"""49689""",UNKNOWN,true,"""U606500""	""[x]valproic acid causing adverse effects in therapeutic use""	""Evidence of BP""",
