code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""Antihypertensives""",
"""91314""",UNKNOWN,true,"9	""Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops (Aspire Pharma Ltd)""	""Timolol""	""300microgram/1ml + 5mg/1ml""	""Eye drops""	""Ocular""	""Prostaglandin Analogues (In Glaucoma)""	""Timolol""",
"""709""",UNKNOWN,true,"11121766	""Ramipril 2.5mg capsules""	""Ramipril""	""2.5mg""	""Oral capsule""	""Oral""	""Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)""	""Ramipril""",
"""47018""",UNKNOWN,true,"2733	""Spironolactone 25mg/5ml oral suspension""	""Spironolactone""	""5mg/1ml""	""Oral suspension""	""Oral""	""Potassium-Sparing Diuretics And Aldosterone Antagonists""	""Spironolactone""",
"""83544""",UNKNOWN,true,"21	""Spironolactone oral solution""	""Spironolactone""	NA	""Oral solution""	""Oral""	""Potassium-Sparing Diuretics And Aldosterone Antagonists""	""Spironolactone""",
"""17462""",UNKNOWN,true,"773	""Bisoprolol 10mg / Hydrochlorothiazide 6.25mg tablets""	""Hydrochlorothiazide""	""10mg + 6.25mg""	""Oral tablet""	""Oral""	""Unknown""	""Hydrochlorothiazide""",
"""28586""",UNKNOWN,true,"9684	""Lopace 5mg capsules (Discovery Pharmaceuticals)""	""Ramipril""	""5mg""	""Oral capsule""	""Oral""	""Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)""	""Ramipril""",
"""85283""",UNKNOWN,true,"0	""Cosopt 20mg/ml / 5mg/ml eye drops 0.2ml unit dose preservative free (CST Pharma Ltd)""	""Timolol""	""5mg/1ml + 20mg/1ml""	""Eye drops""	""Ocular""	""Beta-Blockers (In Glaucoma)/Carbonic Anhydrase Inhibitors And Systemic Drugs (In Glaucoma)""	""Timolol""",
"""15121""",UNKNOWN,true,"1992	""Moexipril 7.5mg tablets""	""Moexipril""	""7.5mg""	""Oral tablet""	""Oral""	""Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)""	""Moexipril""",
"""42908""",UNKNOWN,true,"58	""Enalapril 5mg tablets (IVAX Pharmaceuticals UK Ltd)""	""Enalapril""	""5mg""	""Oral tablet""	""Oral""	""Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)""	""Enalapril""",
"""86378""",UNKNOWN,true,"2	""Bedranol 160mg tablets (Ennogen Pharma Ltd)""	""Propranolol""	""160mg""	""Oral tablet""	""Oral""	""Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products""	""Propranolol""",
"""53033""",UNKNOWN,true,"0	""Doxzogen XL 4mg tablets (Viatris UK Healthcare Ltd)""	""Doxazosin""	""4mg""	""Modified-release tablet""	""Oral""	""Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)""	""Doxazosin""",
"""28949""",UNKNOWN,true,"55	""Bi-carzem sr 120mg Modified-release capsule (Tillomed Laboratories Ltd)""	""Diltiazem""	""120mg""	""Modified-Release Capsule""	""Oral""	""Calcium-Channel Blockers""	""Diltiazem""",
"""26237""",UNKNOWN,true,"84	""Alphavase 500microgram Tablet (Ashbourne Pharmaceuticals Ltd)""	""Prazosin""	""500microgram""	""Oral tablet""	""Oral""	""Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)""	""Prazosin""",
"""74627""",UNKNOWN,true,"16	""Captopril 25mg Tablet (C P Pharmaceuticals Ltd)""	""Captopril""	""25mg""	""Oral tablet""	""Oral""	""Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)""	""Captopril""",
"""64907""",UNKNOWN,true,"1	""Bendroflumethiazide 5mg tablets (Almus Pharmaceuticals Ltd)""	""Bendroflumethiazide""	""5mg""	""Oral tablet""	""Oral""	""Thiazides And Related Diuretics""	""Bendroflumethiazide""",
"""81042""",UNKNOWN,true,"33	""Propranolol 40mg/5ml oral solution sugar free (Syri Ltd)""	""Propranolol""	""8mg/1ml""	""Oral solution""	""Oral""	""Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products""	""Propranolol""",
"""24228""",UNKNOWN,true,"2704	""Nimodrel 20mg modified-release tablet (Opus Pharmaceuticals Ltd)""	""Nifedipine""	""20mg""	""Modified-Release Tablet""	""Oral""	""Calcium-Channel Blockers""	""Nifedipine""",
