code,code_system,include,term,notes
735941000033112,UNKNOWN,true,Hypurin Bovine Lente 100units/ml suspension for injection 10ml vials,
736041000033119,UNKNOWN,true,Hypurin Bovine Neutral 100units/ml solution for injection 10ml vials,
736141000033115,UNKNOWN,true,Hypurin Bovine Protamine Zinc 100units/ml suspension for injection 10ml vials,
741441000033115,UNKNOWN,true,Hypodermic Insulin  Syringe,
757641000033112,UNKNOWN,true,Insulin lispro 100units/ml solution for injection 1.5ml cartridges,
758341000033117,UNKNOWN,true,Insulin Syringe  Click-count  1 ml,
758441000033111,UNKNOWN,true,Insulin Syringe  Disposable  0.5 ml,
758541000033112,UNKNOWN,true,Insulin Syringe  Disposable  1 ml,
759841000033115,UNKNOWN,true,"Insulin Zinc Suspension (Human)  Injection  100 units/ml, 10 ml vial",
762441000033118,UNKNOWN,true,Insulin lispro 100units/ml solution for injection 10ml vials,
763341000033116,UNKNOWN,true,Pork Insulatard 100units/ml suspension for injection 10ml vials,
763941000033117,UNKNOWN,true,Insulin Zinc Suspension  Injection  100 units/ml,
764941000033119,UNKNOWN,true,Insulin Zinc Suspension Lente (Evans)  Injection  100u/ml,
766241000033115,UNKNOWN,true,Insulin Syringe  Pre-set  1 ml,
766741000033114,UNKNOWN,true,Insulin Syringe  Re-usable  0.5 ml,
766841000033116,UNKNOWN,true,Insulin Syringe  Re-usable  1 ml,
776041000033117,UNKNOWN,true,"Isophane Insulin (Human, Prb)  Cartridges  100 units/ml",
779141000033111,UNKNOWN,true,Insulin isophane human 100units/ml suspension for injection 10ml vials,
779641000033118,UNKNOWN,true,Isophane Insulin Injection (Evans)  Injection  100 units/ml,
779841000033117,UNKNOWN,true,Isophane Insulin  Injection  100 units/ml,
823541000033119,UNKNOWN,true,"Lentard Mc  Injection  100 units/ml, 10 ml vial",
896941000033112,UNKNOWN,true,Metformin 500mg tablets,
897041000033113,UNKNOWN,true,Metformin 850mg tablets,
915641000033117,UNKNOWN,true,Pork Mixtard 30 100units/ml suspension for injection 10ml vials,
920141000033112,UNKNOWN,true,Minodiab 2.5mg tablets,
920241000033117,UNKNOWN,true,Minodiab 5mg tablets,
924541000033112,UNKNOWN,true,Monoject hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.36mm/28gauge,
926541000033117,UNKNOWN,true,Monotard Mc Insulin Zinc Susp Bp Nova  Injection  100 units/1 ml,
961041000033114,UNKNOWN,true,Neutral Insulin  Injection  100 units/ml,
961141000033113,UNKNOWN,true,Neutral Insulin (Human)  Injection  100 units/ml,
962241000033112,UNKNOWN,true,Neutral Insulin (Evans)  Injection  100 units/ml,
1052941000033117,UNKNOWN,true,Human Mixtard 10  Injection,
1053041000033110,UNKNOWN,true,Human Mixtard 20  Injection,
1053141000033114,UNKNOWN,true,Human Mixtard 40  Injection,
1053241000033119,UNKNOWN,true,Human Mixtard 50  Injection,
1053541000033117,UNKNOWN,true,Human Mixtard 30  Injection (cartridges)  100 u/ml,
1061641000033113,UNKNOWN,true,Human Mixtard 30  Preloaded pen,
1061741000033116,UNKNOWN,true,Human Mixtard 10  Preloaded pen,
1061841000033114,UNKNOWN,true,Human Mixtard 20  Preloaded pen,
1061941000033118,UNKNOWN,true,Human Mixtard 40  Preloaded pen,
1062041000033112,UNKNOWN,true,Human Mixtard 50  Preloaded pen,
1119741000033114,UNKNOWN,true,Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials,
1152741000033110,UNKNOWN,true,Rapitard Mc (Novo)  Injection  100 units/ml,
