code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""clinicalevents""	""immunisationevents""	""referralevents""	""testevents""	""term""	""databaserelease""",
"""5879""",UNKNOWN,true,"""E112.11""	51910	0	3858	0	""agitated depression""	""February 2009""",
"""595""",UNKNOWN,true,"""E112.14""	78111	0	2801	0	""endogenous depression""	""February 2009""",
"""10438""",UNKNOWN,true,"""1B1U.11""	36740	0	1733	0	""depressive symptoms""	""February 2009""",
"""5726""",UNKNOWN,true,"""Eu3..00""	19640	0	658	0	""[x]mood - affective disorders""	""February 2009""",
"""12399""",UNKNOWN,true,"""9H90.00""	32220	0	94	0	""depression annual review""	""February 2009""",
"""1055""",UNKNOWN,true,"""E135.00""	54050	0	3106	0	""agitated depression""	""February 2009""",
"""15099""",UNKNOWN,true,"""E113.00""	21989	0	763	0	""recurrent major depressive episode""	""February 2009""",
"""36616""",UNKNOWN,true,"""Eu33z11""	48	0	2	0	""[x]monopolar depression nos""	""February 2009""",
"""3291""",UNKNOWN,true,"""Eu32z12""	22047	0	486	0	""[x]depressive disorder nos""	""February 2009""",
"""15117""",UNKNOWN,true,"""ZV11100""	434	0	18	0	""[v]personal history of affective disorder""	""February 2009""",
"""36246""",UNKNOWN,true,"""E290z00""	200	0	1	0	""brief depressive reaction nos""	""February 2009""",
"""4639""",UNKNOWN,true,"""Eu32.00""	566936	0	6301	0	""[x]depressive episode""	""February 2009""",
"""42857""",UNKNOWN,true,"""Eu34.00""	353	0	3	0	""[x]persistent mood affective disorders""	""February 2009""",
"""8478""",UNKNOWN,true,"""E130.00""	2314	0	54	0	""reactive depressive psychosis""	""February 2009""",
"""50998""",UNKNOWN,true,"""Eu3y000""	95	0	0	0	""[x]other single mood affective disorders""	""February 2009""",
"""25697""",UNKNOWN,true,"""E113300""	3381	0	33	0	""recurrent major depressive episodes, severe, no psychosis""	""February 2009""",
"""19696""",UNKNOWN,true,"""Eu33.12""	912	0	30	0	""[x]recurrent episodes of psychogenic depression""	""February 2009""",
"""8902""",UNKNOWN,true,"""Eu33.13""	4580	0	78	0	""[x]recurrent episodes of reactive depression""	""February 2009""",
"""8851""",UNKNOWN,true,"""Eu33.11""	3303	0	38	0	""[x]recurrent episodes of depressive reaction""	""February 2009""",
"""32159""",UNKNOWN,true,"""E112400""	548	0	5	0	""single major depressive episode, severe, with psychosis""	""February 2009""",
