code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""anticoagulants""",
"""72394""",UNKNOWN,true,"61	""Enoxaparin Becat 40mg/0.4ml solution for injection pre-filled syringes (ROVI Biotech Ltd)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""35955""",UNKNOWN,true,"21	""Calciparine 5,000units/0.2ml solution for injection pre-filled syringes (Sanofi-Synthelabo Ltd)""	""Heparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Unknown""	""Heparin""",
"""82821""",UNKNOWN,true,"2	""Flolan 500microgram powder and solvent for solution for infusion vials (GlaxoSmithKline UK Ltd)""	""Epoprostenol""	""500microgram""	""Powder and solvent for solution for infusion""	""Intravenous""	""Parenteral Anticoagulants""	""Epoprostenol""",
"""38839""",UNKNOWN,true,"6	""Arixtra 5mg/0.4ml solution for injection pre-filled syringes (Viatris UK Healthcare Ltd)""	""Fondaparinux""	""12.5mg/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Fondaparinux""",
"""57032""",UNKNOWN,true,"1	""Warfarin 1mg/ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd)""	""Warfarin""	""1mg/1ml""	""Oral suspension""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""13501""",UNKNOWN,true,"2002	""Dindevan 50mg Tablet (Goldshield Pharmaceuticals Ltd)""	""Phenindione""	""50mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Phenindione""",
"""55577""",UNKNOWN,true,"0	""Sinthrome 1mg tablets (Lexon (UK) Ltd)""	""Acenocoumarol""	""1mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Acenocoumarol""",
"""86249""",UNKNOWN,true,"0	""Clexane 40mg/0.4ml solution for injection pre-filled syringes (DE Pharmaceuticals)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""37678""",UNKNOWN,true,"222	""Heparin sodium 5,000units/0.2ml solution for injection ampoules""	""Heparin""	""25000unit/1ml""	""Solution for injection""	""Intravenous/Subcutaneous""	""Parenteral Anticoagulants""	""Heparin""",
"""76787""",UNKNOWN,true,"498	""Inhixa 120mg/0.8ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)""	""Enoxaparin""	""150mg/1ml""	""Solution for injection""	""Intraarterial/Intravenous/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""79750""",UNKNOWN,true,"278	""Inhixa 150mg/1ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)""	""Enoxaparin""	""150mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""48966""",UNKNOWN,true,"411328	""Rivaroxaban 15mg tablets""	""Rivaroxaban""	""15mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Rivaroxaban""",
"""64133""",UNKNOWN,true,"0	""Heparin sodium 5,000units/0.2ml solution for injection ampoules (A A H Pharmaceuticals Ltd)""	""Heparin""	""25000unit/1ml""	""Solution for injection""	""Intravenous/Subcutaneous""	""Parenteral Anticoagulants""	""Heparin""",
"""61""",UNKNOWN,true,"7855394	""Warfarin 3mg tablets""	""Warfarin""	""3mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""13058""",UNKNOWN,true,"636	""Enoxaparin 150mg/ml injection""	""Enoxaparin""	""150mg/ml""	""Injection""	""Intramuscular""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""47566""",UNKNOWN,true,"1039014	""Apixaban 2.5mg tablets""	""Apixaban""	""2.5mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Apixaban""",
"""7154""",UNKNOWN,true,"20143	""Clexane Forte 120mg/0.8ml solution for injection pre-filled syringes (Sanofi)""	""Enoxaparin""	""150mg/1ml""	""Solution for injection""	""Intraarterial/Intravenous/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""19989""",UNKNOWN,true,"866	""Tinzaparin sodium 40,000units/2ml solution for injection vials""	""Tinzaparin""	""20000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""68591""",UNKNOWN,true,"0	""Warfarin 500microgram tablets (Alliance Healthcare (Distribution) Ltd)""	""Warfarin""	""500microgram""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""82738""",UNKNOWN,true,"0	""Dalteparin sodium 5,000units/0.2ml solution for injection pre-filled syringes (J M McGill Ltd)""	""Dalteparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Dalteparin""",
