code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""bnftext""	""Psychotropic""	""group""",
"""30346""",UNKNOWN,true,"""CHLORPROMAZINE HCl 100 MG TAB""	""Tablet""	""Oral""	""Chlorpromazine""	NA	""Unknown""	""Chlorpromazine""	""Antipsychotics""",
"""12100""",UNKNOWN,true,"""Maprotiline 50mg tablets""	""Oral tablet""	""Oral""	""Maprotiline""	""50mg""	""Tricyclic And Related Antidepressants""	""Maprotiline""	""Antidepressants""",
"""78585""",UNKNOWN,true,"""ViePax XL 225mg tablets (Dexcel-Pharma Ltd)""	""Modified-release tablet""	""Oral""	""Venlafaxine""	""225mg""	""Other Antidepressants""	""Venlafaxine""	""Antidepressants""",
"""75697""",UNKNOWN,true,"""Citalopram 10mg tablets (Phoenix Healthcare Distribution Ltd)""	""Oral tablet""	""Oral""	""Citalopram""	""10mg""	""Selective Serotonin Re-Uptake Inhibitors (SSRI)""	""Citalopram""	""Antidepressants""",
"""29838""",UNKNOWN,true,"""STELAZINE CONCENTRATE 10mg/ml""	""Solution for injection""	""Intramuscular""	""Trifluoperazine""	NA	""Unknown""	""Trifluoperazine""	""Antipsychotics""",
"""27582""",UNKNOWN,true,"""STELAZINE""	NA	NA	""Trifluoperazine""	NA	""Unknown""	""Trifluoperazine""	""Antipsychotics""",
"""34668""",UNKNOWN,true,"""Chlorpromazine 25mg tablets (Teva UK Ltd)""	""Oral tablet""	""Oral""	""Chlorpromazine""	""25mg""	""First-Generation Antipsychotic Drugs""	""Chlorpromazine""	""Antipsychotics""",
"""35258""",UNKNOWN,true,"""Sinepin 25mg capsules (Marlborough Pharmaceuticals Ltd)""	""Oral capsule""	""Oral""	""Doxepin""	""25mg""	""Tricyclic And Related Antidepressants""	""Doxepin""	""Antidepressants""",
"""75692""",UNKNOWN,true,"""Carbamazepine 100mg/5ml oral suspension (Special Order)""	""Oral suspension""	""Oral""	""Carbamazepine""	""20mg/1ml""	""Control Of Epilepsy""	""Carbamazepine""	""Mood Stabilisers""",
"""41663""",UNKNOWN,true,"""Trifluoperazine 5mg tablets (A A H Pharmaceuticals Ltd)""	""Oral tablet""	""Oral""	""Trifluoperazine""	""5mg""	""First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products""	""Trifluoperazine""	""Antipsychotics""",
"""41681""",UNKNOWN,true,"""Imipramine 10mg tablets (A A H Pharmaceuticals Ltd)""	""Oral tablet""	""Oral""	""Imipramine""	""10mg""	""Tricyclic And Related Antidepressants/Nocturnal Enuresis""	""Imipramine""	""Antidepressants""",
"""74782""",UNKNOWN,true,"""Risperdal 1mg tablets (Lexon (UK) Ltd)""	""Oral tablet""	""Oral""	""Risperidone""	""1mg""	""Second-Generation Antipsychotic Drugs""	""Risperidone""	""Antipsychotics""",
"""29339""",UNKNOWN,true,"""Trazodone 50mg capsules (Viatris UK Healthcare Ltd)""	""Oral capsule""	""Oral""	""Trazodone""	""50mg""	""Tricyclic And Related Antidepressants""	""Trazodone""	""Antidepressants""",
"""43968""",UNKNOWN,true,"""Foraven XL 75mg capsules (Forum Products Ltd)""	""Modified-release capsule""	""Oral""	""Venlafaxine""	""75mg""	""Other Antidepressants""	""Venlafaxine""	""Antidepressants""",
"""22162""",UNKNOWN,true,"""DOTHIEPIN HCl 50 MG ELI""	NA	NA	""Dosulepin""	NA	""Unknown""	""Dosulepin""	""Antidepressants""",
"""2714""",UNKNOWN,true,"""Trifluoperazine 10mg modified-release capsules""	""Modified-release capsule""	""Oral""	""Trifluoperazine""	""10mg""	""Unknown""	""Trifluoperazine""	""Antipsychotics""",
"""84366""",UNKNOWN,true,"""Risperidone 500microgram tablets (DE Pharmaceuticals)""	""Oral tablet""	""Oral""	""Risperidone""	""500microgram""	""Second-Generation Antipsychotic Drugs""	""Risperidone""	""Antipsychotics""",
"""34288""",UNKNOWN,true,"""Fluoxetine 20mg capsules (Viatris UK Healthcare Ltd)""	""Oral capsule""	""Oral""	""Fluoxetine""	""20mg""	""Selective Serotonin Re-Uptake Inhibitors (SSRI)""	""Fluoxetine""	""Antidepressants""",
