code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""Metformin""",
"""84717""",UNKNOWN,true,"3	""Metformin 500mg Tablet (Ratiopharm UK Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""84627""",UNKNOWN,true,"0	""Metformin 1g modified-release tablets (Accord-UK Ltd)""	""Metformin""	""1gram""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""71890""",UNKNOWN,true,"82	""Metformin 500mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd)""	""Metformin""	""100mg/1ml""	""Oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""83608""",UNKNOWN,true,"1	""Metformin 500mg modified-release tablets (Consilient Health Ltd)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""74021""",UNKNOWN,true,"15	""Metformin 250mg/5ml oral solution""	""Metformin""	""50mg/1ml""	""Oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""87325""",UNKNOWN,true,"0	""Glucophage SR 1000mg tablets (Pilsco Ltd)""	""Metformin""	""1gram""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""38400""",UNKNOWN,true,"40043	""Glucophage SR 750mg tablets (Merck Serono Ltd)""	""Metformin""	""750mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""74734""",UNKNOWN,true,"2	""Metformin 850mg capsules""	""Metformin""	""850mg""	""Oral capsule""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""73303""",UNKNOWN,true,"0	""Metformin 500mg/5ml oral solution sugar free (Colonis Pharma Ltd)""	""Metformin""	""100mg/1ml""	""Oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""65083""",UNKNOWN,true,"3433	""Synjardy 5mg/1000mg tablets (Boehringer Ingelheim Ltd)""	""Metformin""	""1gram + 5mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Metformin""",
"""69221""",UNKNOWN,true,"0	""Metformin 1g oral powder sachets sugar free (J M McGill Ltd)""	""Metformin""	""1gram""	""Powder for oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""90065""",UNKNOWN,true,"0	""Metformin 850mg/5ml oral solution sugar free (Medihealth (Northern) Ltd)""	""Metformin""	""170mg/1ml""	""Oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""7610""",UNKNOWN,true,"55555	""Glucophage 850mg tablets (Merck Serono Ltd)""	""Metformin""	""850mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
