code,code_system,include,term,notes
102201,UNKNOWN,true,type ii diabetes mellitus with nephropathy,
113609,UNKNOWN,true,type ii diabetes mellitus with gastroparesis,
29979,UNKNOWN,true,non-insulin-dependent diabetes mellitus without complication,
13071,UNKNOWN,true,diabetic - good control,
68843,UNKNOWN,true,"diabetes mellitus, adult onset, with ketoacidotic coma",
18219,UNKNOWN,true,type ii diabetes mellitus,
8842,UNKNOWN,true,diabetic on insulin,
63371,UNKNOWN,true,"diabetes mellitus, adult, + other specified manifestation",
2378,UNKNOWN,true,diabetic - poor control,
17869,UNKNOWN,true,diabetic-uncooperative patient,
46150,UNKNOWN,true,type 2 diabetes mellitus with gangrene,
14803,UNKNOWN,true,"diabetes mellitus, adult onset, no mention of complication",
21482,UNKNOWN,true,diabetes mellitus with hyperosmolar coma,
32627,UNKNOWN,true,type 2 diabetes mellitus with ketoacidosis,
38986,UNKNOWN,true,diabetes mellitus with no mention of complication,
35107,UNKNOWN,true,diabetes mellitus with nephropathy nos,
72345,UNKNOWN,true,diabetes mellitus nos with hyperosmolar coma,
5884,UNKNOWN,true,niddm - non-insulin dependent diabetes mellitus,
17859,UNKNOWN,true,type 2 diabetes mellitus,
100964,UNKNOWN,true,type ii diabetes mellitus with ophthalmic complications,
110379,UNKNOWN,true,diabetic on oral treatment and glucagon-like peptide 1,
33343,UNKNOWN,true,diabetes mellitus with other specified manifestation,
43785,UNKNOWN,true,non-insulin dependent diabetes mellitus with hypoglyca coma,
60796,UNKNOWN,true,type ii diabetes mellitus with persistent proteinuria,
8403,UNKNOWN,true,non-insulin dependent diabetes mellitus - poor control,
72320,UNKNOWN,true,non-insulin dependent diabetes mellitus with mononeuropathy,
109197,UNKNOWN,true,type ii diabetes mellitus with neuropathic arthropathy,
54856,UNKNOWN,true,"diabetes mellitus, adult onset, with ketoacidosis",
63690,UNKNOWN,true,type 2 diabetes mellitus with gastroparesis,
70821,UNKNOWN,true,diabetes mellitus nos with other specified manifestation,
62107,UNKNOWN,true,type ii diabetes mellitus with gangrene,
91646,UNKNOWN,true,type ii diabetes mellitus with ulcer,
64449,UNKNOWN,true,unspecified diabetes mellitus with multiple complications,
43453,UNKNOWN,true,diabetes mellitus autosomal dominant,
25627,UNKNOWN,true,type 2 diabetes mellitus - poor control,
18143,UNKNOWN,true,type ii diabetes mellitus with arthropathy,
506,UNKNOWN,true,non-insulin dependent diabetes mellitus,
35385,UNKNOWN,true,type 2 diabetes mellitus with neuropathic arthropathy,
104639,UNKNOWN,true,type ii diabetes mellitus with peripheral angiopathy,
22884,UNKNOWN,true,type ii diabetes mellitus,
49869,UNKNOWN,true,type 2 diabetes mellitus with arthropathy,
113495,UNKNOWN,true,type ii diabetes mellitus with multiple complications,
