code,code_system,include,term,notes
14619,UNKNOWN,true,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 1.5ml cartridges,
53251,UNKNOWN,true,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (DE Pharmaceuticals),
70900,UNKNOWN,true,Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge,
80784,UNKNOWN,true,Invokana 100mg tablets (Pharmaram Ltd),
91847,UNKNOWN,true,t:slim t:lock 300units insulin cartridge D2011000 (Air Liquide Healthcare Ltd),
65421,UNKNOWN,true,TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Owen Mumford Ltd),
56983,UNKNOWN,true,Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Spirit Healthcare Ltd),
69548,UNKNOWN,true,Saxenda 6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),
18592,UNKNOWN,true,Insulin soluble bovine 100units/ml solution for injection 10ml vials,
26218,UNKNOWN,true,Calabren 5mg Tablet (Berk Pharmaceuticals Ltd),
50570,UNKNOWN,true,Glucophage SR 500mg tablets (Lexon (UK) Ltd),
7318,UNKNOWN,true,Humalog 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),
6958,UNKNOWN,true,Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),
24795,UNKNOWN,true,Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml cartridges,
16700,UNKNOWN,true,Insulin zinc mixed bovine vial 100unit/ml Sterile suspension injection,
63785,UNKNOWN,true,Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices,
84314,UNKNOWN,true,Lyumjev KwikPen 200units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),
5345,UNKNOWN,true,Monoject hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.36mm/28gauge (Covidien (UK) Commercial Ltd),
35468,UNKNOWN,true,Insuman Basal 100units/ml suspension for injection 5ml vials (Sanofi),
13516,UNKNOWN,true,Hypurin bovine isophane 100unit/ml Injection (C P Pharmaceuticals Ltd),
63707,UNKNOWN,true,GlucoRx FinePoint Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (GlucoRx Ltd),
41558,UNKNOWN,true,Glibenclamide 5mg tablets (Teva UK Ltd),
69440,UNKNOWN,true,Neon Verifine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Neon Diagnostics Ltd),
10067,UNKNOWN,true,Insulin biphasic aspart human pyr 30:70; 100 units/ml Injection,
54886,UNKNOWN,true,Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge,
65638,UNKNOWN,true,Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge (A. Menarini Diagnostics Ltd),
63031,UNKNOWN,true,Dapagliflozin 5mg / Metformin 850mg tablets,
69583,UNKNOWN,true,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc),
21424,UNKNOWN,true,Glibenclamide 5mg/5ml oral suspension,
45215,UNKNOWN,true,Gliclazide 80mg Tablet (Neo Laboratories Ltd),
24554,UNKNOWN,true,Unifine single use Insulin syringe with 30gauge needle 8mm 0.3ml (Owen Mumford Ltd),
