code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""term""	""database""",
"""84861000006112""",UNKNOWN,true,"""type ii diabetes mellitus with arthropathy""	""Aurum""",
"""84881000006119""",UNKNOWN,true,"""type ii diabetes mellitus with gangrene""	""Aurum""",
"""84891000006116""",UNKNOWN,true,"""type ii diabetes mellitus with hypoglycaemic coma""	""Aurum""",
"""84911000006119""",UNKNOWN,true,"""type ii diabetes mellitus with multiple complications""	""Aurum""",
"""84931000006113""",UNKNOWN,true,"""neurological disorder with diabetes type 2""	""Aurum""",
"""84941000006115""",UNKNOWN,true,"""type ii diabetes mellitus with neuropathic arthropathy""	""Aurum""",
"""84961000006116""",UNKNOWN,true,"""type ii diabetes mellitus with peripheral angiopathy""	""Aurum""",
"""85001000006117""",UNKNOWN,true,"""type ii diabetes mellitus with ulcer""	""Aurum""",
"""85011000006119""",UNKNOWN,true,"""type ii diabetes mellitus without complication""	""Aurum""",
"""280511000006113""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus with hypoglyca coma""	""Aurum""",
"""280521000006117""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus with mononeuropathy""	""Aurum""",
"""280531000006119""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus with nephropathy""	""Aurum""",
"""280551000006114""",UNKNOWN,true,"""non-insulin-dependent diabetes mellitus with ulcer""	""Aurum""",
"""280561000006111""",UNKNOWN,true,"""non-insulin-dependent diabetes mellitus with peripheral angiopathy""	""Aurum""",
"""280571000006116""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus""	""Aurum""",
"""280581000006118""",UNKNOWN,true,"""non-insulin-dependent diabetes mellitus with multiple complications""	""Aurum""",
"""280591000006115""",UNKNOWN,true,"""non-insulin-dependent diabetes mellitus with neuro comps""	""Aurum""",
"""281171000006119""",UNKNOWN,true,"""type ii diabetes mellitus uncontrolled""	""Aurum""",
"""281181000006116""",UNKNOWN,true,"""non-insulin dependent diabetes mellitus with neuropathic arthropathy""	""Aurum""",
"""377001000006117""",UNKNOWN,true,"""[x]diabetes mellitus""	""Aurum""",
"""587111000006111""",UNKNOWN,true,"""non-insulin-dependent diabetes mellitus with ophthalm comps""	""Aurum""",
"""616351000006115""",UNKNOWN,true,"""diabetes mellitus with gangrene""	""Aurum""",
"""616381000006111""",UNKNOWN,true,"""diabetes mellitus with ketoacidotic coma""	""Aurum""",
"""616481000006119""",UNKNOWN,true,"""diabetes mellitus, adult onset, + neurological manifestation""	""Aurum""",
"""616491000006116""",UNKNOWN,true,"""diabetes mellitus, adult onset, + ophthalmic manifestation""	""Aurum""",
"""616511000006110""",UNKNOWN,true,"""diabetes mellitus, adult onset, no mention of complication""	""Aurum""",
"""616531000006116""",UNKNOWN,true,"""diabetes mellitus, adult onset, with ketoacidosis""	""Aurum""",
"""616541000006114""",UNKNOWN,true,"""diabetes mellitus, adult onset, with ketoacidotic coma""	""Aurum""",
"""616561000006113""",UNKNOWN,true,"""diabetes mellitus, adult with gangrene""	""Aurum""",
"""616571000006118""",UNKNOWN,true,"""diabetes mellitus, adult, + other specified manifestation""	""Aurum""",
"""616581000006115""",UNKNOWN,true,"""diabetes mellitus, adult, + peripheral circulatory disorder""	""Aurum""",
"""616831000006118""",UNKNOWN,true,"""diabetes with gangrene""	""Aurum""",
"""616891000006119""",UNKNOWN,true,"""diabetic - moderate control""	""Aurum""",
"""840951000006119""",UNKNOWN,true,"""insulin treated type 2 diabetes mellitus""	""Aurum""",
"""840971000006112""",UNKNOWN,true,"""diabetes mellitus autosomal dominant type ii""	""Aurum""",
"""841351000006110""",UNKNOWN,true,"""insulin treated type ii diabetes mellitus""	""Aurum""",
"""851051000006110""",UNKNOWN,true,"""ins-treat non-ins-dep diab mel""	""Aurum""",
"""856771000006110""",UNKNOWN,true,"""patient has been told has diabetes""	""Aurum""",
"""881451000006113""",UNKNOWN,true,"""diabetes mellitus -adult onset""	""Aurum""",
"""881461000006110""",UNKNOWN,true,"""diabetes+ketoacidosis -no coma""	""Aurum""",
"""881471000006115""",UNKNOWN,true,"""diabetes with coma""	""Aurum""",
"""881481000006117""",UNKNOWN,true,"""diabetes + nephropathy""	""Aurum""",
"""881491000006119""",UNKNOWN,true,"""diabetes + eye manifestation""	""Aurum""",
"""881501000006110""",UNKNOWN,true,"""diabetes + neuropathy""	""Aurum""",
"""881511000006113""",UNKNOWN,true,"""diabetes + periph.circulat.dis""	""Aurum""",
"""881521000006117""",UNKNOWN,true,"""diabetes + other complications""	""Aurum""",
"""905621000006113""",UNKNOWN,true,"""[rfc] reason for care : diabetes""	""Aurum""",
"""908831000006118""",UNKNOWN,true,"""[rfc] reason for care : diabetes mellitus""	""Aurum""",
"""914061000006110""",UNKNOWN,true,"""type ii diabetes mellitus with ophthalmic complications""	""Aurum""",
"""914081000006117""",UNKNOWN,true,"""type ii diabetes mellitus with neurological complications""	""Aurum""",
"""914221000006113""",UNKNOWN,true,"""type 2 diabetes mellitus with mononeuropathy""	""Aurum""",
"""914231000006111""",UNKNOWN,true,"""type ii diabetes mellitus with mononeuropathy""	""Aurum""",
"""914261000006119""",UNKNOWN,true,"""diabetes type 2 with nephropathy""	""Aurum""",
"""914271000006114""",UNKNOWN,true,"""type ii diabetes mellitus with nephropathy""	""Aurum""",
"""914391000006116""",UNKNOWN,true,"""insulin treated type 2 diabetes mellitus""	""Aurum""",
"""928551000006115""",UNKNOWN,true,"""type ii diabetes mellitus with persistent proteinuria""	""Aurum""",
"""928571000006113""",UNKNOWN,true,"""type ii diabetes mellitus with persistent microalbuminuria""	""Aurum""",
"""928591000006114""",UNKNOWN,true,"""type ii diabetes mellitus with ketoacidosis""	""Aurum""",
