code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""clinicalevents""	""immunisationevents""	""referralevents""	""testevents""	""term""	""databaserelease""	""smoking_status""",
"""100495""",UNKNOWN,true,"""137l.00""	922	0	0	0	""ex roll-up cigarette smoker""	""August 2010""	""current or former""",
"""12954""",UNKNOWN,true,"""ZV4K000""	206	0	1	0	""[v]tobacco use""	""February 2009""	""current or former""",
"""72700""",UNKNOWN,true,"""ZV11600""	18	0	0	0	""[v]personal history of tobacco abuse""	""February 2009""	""current or former""",
"""98137""",UNKNOWN,true,"""67H6.00""	29462	0	7	0	""brief intervention for smoking cessation""	""December 2009""	""current or former""",
"""101210""",UNKNOWN,true,"""9NdW.00""	645	0	0	0	""consent given for smoking cessation data sharing""	""December 2010""	""current or former""",
"""46654""",UNKNOWN,true,"""137D.00""	566	0	0	0	""admitted tobacco cons untrue ?""	""February 2009""	""current or former""",
"""93""",UNKNOWN,true,"""137P.00""	10136865	0	1186	191	""cigarette smoker""	""February 2009""	""current or former""",
"""97643""",UNKNOWN,true,"""38DH.00""	364	0	0	0	""fagerstrom test for nicotine dependence""	""September 2009""	""current or former""",
"""111853""",UNKNOWN,true,"""Eu17000""	1	0	0	0	""[x]mental & behav dis due to use tobacco: acute intoxication""	""May 2017""	""current or former""",
"""12951""",UNKNOWN,true,"""137Q.11""	10679	0	2	0	""smoking restarted""	""February 2009""	""current or former""",
"""81440""",UNKNOWN,true,"""745H000""	17443	0	0	0	""nicotine replacement therapy using nicotine patches""	""February 2009""	""current or former""",
"""85247""",UNKNOWN,true,"""745H200""	4511	0	0	0	""nicotine replacement therapy using nicotine inhalator""	""February 2009""	""current or former""",
"""19488""",UNKNOWN,true,"""137O.00""	9325	0	1	0	""ex cigar smoker""	""February 2009""	""current or former""",
"""10742""",UNKNOWN,true,"""8HTK.00""	101678	0	29184	0	""referral to stop-smoking clinic""	""February 2009""	""current or former""",
"""53031""",UNKNOWN,true,"""TJHy200""	187	0	0	0	""adverse reaction to nicotine""	""February 2009""	""current or former""",
"""7130""",UNKNOWN,true,"""9OO..12""	48229	0	73	10	""stop smoking monitoring admin.""	""February 2009""	""current or former""",
"""32083""",UNKNOWN,true,"""9OO..11""	10710	0	21	0	""stop smoking clinic admin.""	""February 2009""	""current or former""",
"""108966""",UNKNOWN,true,"""9kc0.11""	2	0	0	0	""smoking cessation esa monitoring template completed""	""December 2014""	""current or former""",
"""54""",UNKNOWN,true,"""137..00""	3241802	0	82	692	""tobacco consumption""	""February 2009""	""current or former""",
"""70746""",UNKNOWN,true,"""E251100""	48	0	0	0	""tobacco dependence, continuous""	""February 2009""	""current or former""",
"""103507""",UNKNOWN,true,"""8CdB.00""	19968	0	56	0	""stop smoking service opportunity signposted""	""January 2012""	""current or former""",
"""53101""",UNKNOWN,true,"""9OO7.00""	3111	0	164	0	""stop smoking monitor verb.inv.""	""February 2009""	""current or former""",
"""60720""",UNKNOWN,true,"""9OO5.00""	18152	0	2	0	""stop smoking monitor 2nd lettr""	""February 2009""	""current or former""",
"""99838""",UNKNOWN,true,"""137K000""	4852	0	0	0	""recently stopped smoking""	""June 2010""	""current or former""",
"""63717""",UNKNOWN,true,"""8I2J.00""	165	0	0	0	""bupropion contraindicated""	""February 2009""	""current or former""",
"""10211""",UNKNOWN,true,"""13p..00""	157731	0	704	0	""smoking cessation milestones""	""February 2009""	""current or former""",
"""67178""",UNKNOWN,true,"""8BP3.00""	794	0	0	0	""nicotine replacement therapy provided by community pharmacis""	""February 2009""	""current or former""",
"""57639""",UNKNOWN,true,"""8I3M.00""	18	0	0	0	""bupropion refused""	""February 2009""	""current or former""",
"""112529""",UNKNOWN,true,"""Eu17500""	1	0	0	0	""[x]mental & behav dis due to use tobacco: psychotic disorder""	""February 2018""	""current or former""",
"""38112""",UNKNOWN,true,"""13p5.00""	35442	0	3	0	""smoking cessation programme start date""	""February 2009""	""current or former""",
"""18926""",UNKNOWN,true,"""67H1.00""	69389	0	11	0	""lifestyle advice regarding smoking""	""February 2009""	""current or former""",
"""90""",UNKNOWN,true,"""137S.00""	13846272	0	211	18	""ex smoker""	""February 2009""	""current or former""",
"""105501""",UNKNOWN,true,"""137o.00""	1566	0	0	0	""waterpipe tobacco consumption""	""December 2012""	""current or former""",
"""12967""",UNKNOWN,true,"""137a.00""	12004	0	0	2	""pipe tobacco consumption""	""February 2009""	""current or former""",
"""104185""",UNKNOWN,true,"""8IEM.00""	88732	0	1	0	""smoking cessation drug therapy declined""	""June 2012""	""current or former""",
"""16717""",UNKNOWN,true,"""H310100""	3489	0	65	0	""smokers' cough""	""February 2009""	""current or former""",
"""107593""",UNKNOWN,true,"""1V09.00""	1	0	0	0	""smokes drugs through a pipe""	""January 2014""	""current or former""",
"""101851""",UNKNOWN,true,"""9Ndg.00""	8667	0	0	3	""declined consent for follow-up by smoking cessation team""	""March 2011""	""current or former""",
"""7622""",UNKNOWN,true,"""8CAL.00""	12400188	0	13442	14	""smoking cessation advice""	""February 2009""	""current or former""",
"""106384""",UNKNOWN,true,"""9OOB100""	298	0	0	0	""stop smoking invitation second sms text message""	""June 2013""	""current or former""",
"""56144""",UNKNOWN,true,"""Eu17100""	4	0	0	0	""[x]mental and behav dis due to use of tobacco: harmful use""	""February 2009""	""current or former""",
"""1823""",UNKNOWN,true,"""137P.11""	436216	0	666	4	""smoker""	""February 2009""	""current or former""",
"""89464""",UNKNOWN,true,"""745H300""	1632	0	0	0	""nicotine replacement therapy using nicotine lozenges""	""February 2009""	""current or former""",
"""12962""",UNKNOWN,true,"""137E.00""	35163	0	6	0	""tobacco consumption unknown""	""February 2009""	""current or former""",
"""12952""",UNKNOWN,true,"""137Q.00""	12943	0	10	0	""smoking started""	""February 2009""	""current or former""",
"""52503""",UNKNOWN,true,"""13WK.00""	6620	0	0	0	""no smokers in the household""	""February 2009""	""current or former""",
"""95610""",UNKNOWN,true,"""E251000""	44	0	0	0	""tobacco dependence, unspecified""	""February 2009""	""current or former""",
"""40417""",UNKNOWN,true,"""9OO3.00""	2407	0	0	0	""stop smoking monitor default""	""February 2009""	""current or former""",
"""12953""",UNKNOWN,true,"""9OO1.00""	80639	0	81	2	""attends stop smoking monitor.""	""February 2009""	""current or former""",
"""61905""",UNKNOWN,true,"""Eu17.00""	23	0	0	0	""[x]mental and behavioural disorder due to use of tobacco""	""February 2009""	""current or former""",
"""12942""",UNKNOWN,true,"""137..11""	72741	0	37	0	""smoker - amount smoked""	""February 2009""	""current or former""",
"""66409""",UNKNOWN,true,"""8I2I.00""	59	0	0	0	""nicotine replacement therapy contraindicated""	""February 2009""	""current or former""",
"""12966""",UNKNOWN,true,"""137V.00""	8383	0	1	0	""smoking reduced""	""February 2009""	""current or former""",
"""12878""",UNKNOWN,true,"""137T.00""	81044	0	22	0	""date ceased smoking""	""February 2009""	""current or former""",
"""105572""",UNKNOWN,true,"""9OOB.00""	4442	0	0	0	""stop smoking invitation short message service text message""	""January 2013""	""current or former""",
"""100099""",UNKNOWN,true,"""8IAj.00""	123929	0	4393	0	""smoking cessation advice declined""	""July 2010""	""current or former""",
"""108835""",UNKNOWN,true,"""E251200""	5	0	0	0	""tobacco dependence, episodic""	""November 2014""	""current or former""",
"""24529""",UNKNOWN,true,"""8I39.00""	1861	0	2	0	""nicotine replacement therapy refused""	""February 2009""	""current or former""",
"""104086""",UNKNOWN,true,"""9OOB000""	3957	0	0	0	""stop smoking invitation first sms text message""	""May 2012""	""current or former""",
"""110692""",UNKNOWN,true,"""8B31G00""	157	0	0	0	""varenicline smoking cessation therapy offered""	""March 2016""	""current or former""",
"""10898""",UNKNOWN,true,"""13p4.00""	12765	0	0	23	""smoking free weeks""	""February 2009""	""current or former""",
"""32687""",UNKNOWN,true,"""E251.00""	8906	0	0	0	""tobacco dependence""	""February 2009""	""current or former""",
"""72706""",UNKNOWN,true,"""E251300""	381	0	0	0	""tobacco dependence in remission""	""February 2009""	""current or former""",
"""9833""",UNKNOWN,true,"""8B2B.00""	91458	0	22	0	""nicotine replacement therapy""	""February 2009""	""current or former""",
"""46321""",UNKNOWN,true,"""137f.00""	278	0	0	0	""reason for restarting smoking""	""February 2009""	""current or former""",
"""30762""",UNKNOWN,true,"""137d.00""	41644	0	0	5	""not interested in stopping smoking""	""February 2009""	""current or former""",
"""101338""",UNKNOWN,true,"""137m.00""	5184	0	0	0	""failed attempt to stop smoking""	""January 2011""	""current or former""",
"""30423""",UNKNOWN,true,"""137c.00""	30606	0	5	0	""thinking about stopping smoking""	""February 2009""	""current or former""",
"""2111""",UNKNOWN,true,"""6791.00""	3821648	0	2088	53	""health ed. - smoking""	""February 2009""	""current or former""",
"""98347""",UNKNOWN,true,"""9ko..00""	240	0	0	0	""current smoker annual review - enhanced services admin""	""January 2010""	""current or former""",
"""101854""",UNKNOWN,true,"""9NdZ.00""	395	0	0	0	""declined consent for smoking cessation data sharing""	""March 2011""	""current or former""",
"""107939""",UNKNOWN,true,"""38Gb.00""	9	0	0	0	""dyspnoea,obstruction, smoking, exacerbation frequency index""	""April 2014""	""current or former""",
"""12965""",UNKNOWN,true,"""137X.00""	32522	0	1	0	""cigarette consumption""	""February 2009""	""current or former""",
"""11356""",UNKNOWN,true,"""9N2k.00""	314396	0	36	6	""seen by smoking cessation advisor""	""February 2009""	""current or former""",
"""63666""",UNKNOWN,true,"""ZRBm200""	2902	0	0	0	""fagerstrom test for nicotine dependence""	""February 2009""	""current or former""",
"""12959""",UNKNOWN,true,"""137B.00""	47868	0	10	0	""ex-very heavy smoker (40+/day)""	""February 2009""	""current or former""",
"""12943""",UNKNOWN,true,"""137J.00""	86912	0	13	0	""cigar smoker""	""February 2009""	""current or former""",
"""12947""",UNKNOWN,true,"""137H.00""	83735	0	4	0	""pipe smoker""	""February 2009""	""current or former""",
"""26470""",UNKNOWN,true,"""137N.00""	13011	0	0	0	""ex pipe smoker""	""February 2009""	""current or former""",
"""32973""",UNKNOWN,true,"""137W.00""	653	0	0	0	""chews tobacco""	""February 2009""	""current or former""",
"""12957""",UNKNOWN,true,"""1378.00""	273956	0	22	0	""ex-light smoker (1-9/day)""	""February 2009""	""current or former""",
"""85975""",UNKNOWN,true,"""745H100""	1948	0	2	0	""nicotine replacement therapy using nicotine gum""	""February 2009""	""current or former""",
"""25106""",UNKNOWN,true,"""8B3f.00""	14183	0	1	0	""nicotine replacement therapy provided free""	""February 2009""	""current or former""",
"""105999""",UNKNOWN,true,"""1V08.00""	45	0	0	0	""smokes drugs in cigarette form""	""April 2013""	""current or former""",
"""102951""",UNKNOWN,true,"""13p8.00""	306	0	0	0	""lost to smoking cessation follow-up""	""September 2011""	""current or former""",
"""12960""",UNKNOWN,true,"""137Z.00""	31242	0	0	0	""tobacco consumption nos""	""February 2009""	""current or former""",
"""1822""",UNKNOWN,true,"""1376.00""	52373	0	35	1	""very heavy smoker - 40+cigs/d""	""February 2009""	""current or former""",
"""1878""",UNKNOWN,true,"""1374.00""	1148813	0	146	12	""moderate smoker - 10-19 cigs/d""	""February 2009""	""current or former""",
"""34126""",UNKNOWN,true,"""13p0.00""	87714	0	703	0	""negotiated date for cessation of smoking""	""February 2009""	""current or former""",
"""21637""",UNKNOWN,true,"""9OOZ.00""	16363	0	6	0	""stop smoking monitor admin.nos""	""February 2009""	""current or former""",
"""12955""",UNKNOWN,true,"""1379.00""	428169	0	22	0	""ex-moderate smoker (10-19/day)""	""February 2009""	""current or former""",
"""105710""",UNKNOWN,true,"""8HBP.00""	207	0	0	0	""smoking cessation 12 week follow-up""	""January 2013""	""current or former""",
"""97210""",UNKNOWN,true,"""137j.00""	17821	0	0	1	""ex-cigarette smoker""	""August 2009""	""current or former""",
"""62686""",UNKNOWN,true,"""137h.00""	8631	0	0	0	""minutes from waking to first tobacco consumption""	""February 2009""	""current or former""",
"""19485""",UNKNOWN,true,"""9OOA.00""	16354	0	2	0	""stop smoking monitor.chck done""	""February 2009""	""current or former""",
"""104310""",UNKNOWN,true,"""9ko..11""	5262	0	0	0	""current smoker annual review""	""June 2012""	""current or former""",
"""98245""",UNKNOWN,true,"""8HBM.00""	1927	0	12	0	""stop smoking face to face follow-up""	""December 2009""	""current or former""",
"""46300""",UNKNOWN,true,"""137g.00""	14969	0	0	0	""cigarette pack-years""	""February 2009""	""current or former""",
"""41979""",UNKNOWN,true,"""137e.00""	1673	0	0	0	""smoking restarted""	""February 2009""	""current or former""",
"""41042""",UNKNOWN,true,"""8CAg.00""	1574	0	19	0	""smoking cessation advice provided by community pharmacist""	""February 2009""	""current or former""",
"""106385""",UNKNOWN,true,"""9OOB200""	140	0	0	0	""stop smoking invitation third sms text message""	""June 2013""	""current or former""",
"""104230""",UNKNOWN,true,"""8IEK.00""	39651	0	0	0	""smoking cessation programme declined""	""June 2012""	""current or former""",
"""98177""",UNKNOWN,true,"""9kn..00""	16095	0	2	0	""non-smoker annual review - enhanced services administration""	""December 2009""	""non-smoker""",
"""33""",UNKNOWN,true,"""1371.00""	29186989	0	662	2	""never smoked tobacco""	""February 2009""	""non-smoker""",
"""11788""",UNKNOWN,true,"""1371.11""	1264018	0	15	13	""non-smoker""	""February 2009""	""non-smoker""",
"""60""",UNKNOWN,true,"""137L.00""	3416038	0	522	24	""current non-smoker""	""February 2009""	""non-smoker""",
"""101878""",UNKNOWN,true,"""9kn..11""	214	0	0	0	""non-smoker annual review""	""March 2011""	""non-smoker""",
