code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Antidiabetic""	""group""",
"""646041000033114""",UNKNOWN,true,"""Glimepiride 3mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glimepiride""	""3.000mg""	""06010201""	""Glimepiride""	""Sulfonylureas""",
"""646141000033113""",UNKNOWN,true,"""Glimepiride 4mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glimepiride""	""4.000mg""	""06010201""	""Glimepiride""	""Sulfonylureas""",
"""646441000033117""",UNKNOWN,true,"""Gliclazide 80mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Gliclazide""	""80.000mg""	""06010201""	""Gliclazide""	""Sulfonylureas""",
"""646541000033116""",UNKNOWN,true,"""Glipizide 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glipizide""	""2.500mg""	""06010201""	""Glipizide""	""Sulfonylureas""",
"""646841000033119""",UNKNOWN,true,"""Glurenorm 30mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Gliquidone""	""30.000mg""	NA	""Gliquidone""	""Sulfonylureas""",
"""646941000033110""",UNKNOWN,true,"""Gliquidone 30mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Gliquidone""	""30.000mg""	""06010201""	""Gliquidone""	""Sulfonylureas""",
"""719841000033112""",UNKNOWN,true,"""Humulin I  Cartridges (1.5 Ml)  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""719941000033116""",UNKNOWN,true,"""Humulin M1  Cartridges (1.5 Ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""720041000033118""",UNKNOWN,true,"""Humulin M2  Cartridges (1.5 Ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""720141000033119""",UNKNOWN,true,"""Humulin M3 (Lilly)  Cartridges (1.5 Ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""720241000033114""",UNKNOWN,true,"""Humulin M4  Cartridges (1.5 Ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""720341000033116""",UNKNOWN,true,"""Humulin S  Cartridges (1.5 Ml)  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""720441000033110""",UNKNOWN,true,"""Humulin M5  Cartridges (1.5 Ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""720541000033111""",UNKNOWN,true,"""Humalog 100units/ml solution for injection 1.5ml cartridges""	""Solution for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""720941000033117""",UNKNOWN,true,"""Human Actrapid Penfill  Cartridges (3 Ml)  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""721041000033110""",UNKNOWN,true,"""Human Actrapid Penfill 100units/ml solution for injection 1.5ml cartridges""	""Solution for injection""	""Subcutaneous/ Intravenous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""721141000033114""",UNKNOWN,true,"""Humulin M5 50/50  Cartridges""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""721641000033116""",UNKNOWN,true,"""Human Insulatard Ge  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""722841000033112""",UNKNOWN,true,"""Humulin M5 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""722941000033116""",UNKNOWN,true,"""Human Mixtard 30 Ge  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""723241000033118""",UNKNOWN,true,"""Humalog 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""724041000033112""",UNKNOWN,true,"""Humulin I 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""724141000033111""",UNKNOWN,true,"""Humulin M1  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""724241000033116""",UNKNOWN,true,"""Humulin M2  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""724341000033114""",UNKNOWN,true,"""Humulin S 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""724541000033119""",UNKNOWN,true,"""Humulin Zn 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""725041000033113""",UNKNOWN,true,"""Human Actraphane(Nova)  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""725141000033112""",UNKNOWN,true,"""Human Initard 50/50 Insulin  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""725241000033117""",UNKNOWN,true,"""Humulin M4  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""725341000033110""",UNKNOWN,true,"""Humulin M3 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""725541000033115""",UNKNOWN,true,"""Human Velosulin  Injection  100 u/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""725841000033118""",UNKNOWN,true,"""Humulin Lente 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""725941000033114""",UNKNOWN,true,"""Human Actrapid  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""726041000033116""",UNKNOWN,true,"""Human Mixtard 30  Injection  10 ml vial""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""726141000033117""",UNKNOWN,true,"""Human Mixtard 10  Penfill cartridges (3 ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""726241000033112""",UNKNOWN,true,"""Human Mixtard 20  Penfill cartridges (3 ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""726341000033119""",UNKNOWN,true,"""Human Mixtard 30  Penfill cartridges (3 ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""726441000033113""",UNKNOWN,true,"""Human Mixtard 40  Penfill cartridges (3 ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""726541000033114""",UNKNOWN,true,"""Human Mixtard 50  Penfill cartridges (3 ml)""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""726641000033110""",UNKNOWN,true,"""Human Insulatard Ge  Penfill cartridges (3 ml)  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""726941000033115""",UNKNOWN,true,"""Human Insulatard Ge  Preloaded pen  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""727041000033119""",UNKNOWN,true,"""HumaJect S Pen 100units/ml solution for injection""	""Solution for injection""	""Subcutaneous/ Intravenous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""727141000033115""",UNKNOWN,true,"""Humaject (Humulin M1)  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""727241000033110""",UNKNOWN,true,"""Humaject (Humulin M2)  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""727341000033117""",UNKNOWN,true,"""HumaJect M3 Pen 100units/ml suspension for injection""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""727441000033111""",UNKNOWN,true,"""Humaject (Humulin M4)  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""727541000033112""",UNKNOWN,true,"""Humaject (Humulin M5)  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""727641000033113""",UNKNOWN,true,"""Humaject (Humulin I)  Preloaded pen  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""734841000033115""",UNKNOWN,true,"""Hypurin Porcine Biphasic Isophane  Injection (cartridges)""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""734941000033111""",UNKNOWN,true,"""Hypurin Porcine Isophane 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""735241000033115""",UNKNOWN,true,"""Hypurin Bovine Lente  Injection (cartridges)  100 i.u./ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""735441000033119""",UNKNOWN,true,"""Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""735841000033116""",UNKNOWN,true,"""Hypurin Bovine Isophane 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""735941000033112""",UNKNOWN,true,"""Hypurin Bovine Lente 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""736041000033119""",UNKNOWN,true,"""Hypurin Bovine Neutral 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""736141000033115""",UNKNOWN,true,"""Hypurin Bovine Protamine Zinc 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""741441000033115""",UNKNOWN,true,"""Hypodermic Insulin  Syringe""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""757641000033112""",UNKNOWN,true,"""Insulin lispro 100units/ml solution for injection 1.5ml cartridges""	""Solution for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""06010101""	""Insulin""	""Insulin""",
"""758341000033117""",UNKNOWN,true,"""Insulin Syringe  Click-count  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
