code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Mood Stabiliser""",
"""214941000033110""",UNKNOWN,true,"""Carbamazepine  Tablets  400 mg""	""Tablet""	""Oral""	""Carbamazepine""	NA	NA	""Carbamazepine""",
"""215541000033117""",UNKNOWN,true,"""Camcolit 400 modified-release tablets""	""Modified-release tablet""	""Oral""	""Lithium""	""400.000mg""	NA	""Lithium""",
"""218241000033113""",UNKNOWN,true,"""Carbamazepine  C/r tablets  200 mg""	""Tablet""	""Oral""	""Carbamazepine""	NA	NA	""Carbamazepine""",
"""218341000033115""",UNKNOWN,true,"""Carbamazepine  C/r tablets  400 mg""	""Tablet""	""Oral""	""Carbamazepine""	NA	NA	""Carbamazepine""",
"""325841000033119""",UNKNOWN,true,"""Convulex 150mg gastro-resistant capsules""	""Gastro-resistant capsule""	""Oral""	""Valproic""	""150.000mg""	NA	""Valproic""",
"""325941000033110""",UNKNOWN,true,"""Convulex 300mg gastro-resistant capsules""	""Gastro-resistant capsule""	""Oral""	""Valproic""	""300.000mg""	NA	""Valproic""",
"""326041000033117""",UNKNOWN,true,"""Convulex 500mg gastro-resistant capsules""	""Gastro-resistant capsule""	""Oral""	""Valproic""	""500.000mg""	NA	""Valproic""",
"""498941000033119""",UNKNOWN,true,"""Efalith ointment""	""Ointment/ Cutaneous ointment""	""Cutaneous""	""Lithium""	""80.000mg/1.000gram + 500.000microgram/1.000gram""	NA	""Lithium""",
"""529541000033117""",UNKNOWN,true,"""Epilim Intravenous 400mg powder and solvent for solution for injection vials""	""Powder and solvent for solution for injection""	""Intravenous""	""Valproate""	""400.000mg""	NA	""Valproate""",
"""529641000033116""",UNKNOWN,true,"""Epilim 200mg/5ml liquid""	""Oral solution""	""Oral""	""Valproate""	""40.000mg/1.000ml""	NA	""Valproate""",
"""529841000033115""",UNKNOWN,true,"""Epilim Chrono 200 tablets""	""Modified-release tablet""	""Oral""	""Valproate""	""200.000mg""	NA	""Valproate""",
"""529941000033111""",UNKNOWN,true,"""Epilim Chrono 300 tablets""	""Modified-release tablet""	""Oral""	""Valproate""	""300.000mg""	NA	""Valproate""",
"""530041000033115""",UNKNOWN,true,"""Epilim Chrono 500 tablets""	""Modified-release tablet""	""Oral""	""Valproate""	""500.000mg""	NA	""Valproate""",
"""532141000033115""",UNKNOWN,true,"""Epilim 200mg/5ml syrup""	""Oral solution""	""Oral""	""Valproate""	""40.000mg/1.000ml""	NA	""Valproate""",
"""532541000033112""",UNKNOWN,true,"""Epilim 100mg crushable tablets""	""Tablet/ Oral Tablet""	""Oral""	""Valproate""	""100.000mg""	NA	""Valproate""",
"""532641000033113""",UNKNOWN,true,"""Epilim 200 gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Valproate""	""200.000mg""	NA	""Valproate""",
"""532741000033116""",UNKNOWN,true,"""Epilim 500 gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Valproate""	""500.000mg""	NA	""Valproate""",
"""809341000033116""",UNKNOWN,true,"""Lamictal 100mg dispersible tablets""	""Dispersible tablet""	""Oral""	""Lamotrigine""	""100.000mg""	NA	""Lamotrigine""",
"""809441000033110""",UNKNOWN,true,"""Lamictal 25mg dispersible tablets""	""Dispersible tablet""	""Oral""	""Lamotrigine""	""25.000mg""	NA	""Lamotrigine""",
"""809541000033111""",UNKNOWN,true,"""Lamictal 5mg dispersible tablets""	""Dispersible tablet/""	""Oral""	""Lamotrigine""	""5.000mg""	NA	""Lamotrigine""",
"""809641000033112""",UNKNOWN,true,"""Lamotrigine 100mg dispersible tablets sugar free""	""Dispersible tablet""	""Oral""	""Lamotrigine""	""100.000mg""	""04080100""	""Lamotrigine""",
"""809741000033115""",UNKNOWN,true,"""Lamotrigine 25mg dispersible tablets sugar free""	""Dispersible tablet""	""Oral""	""Lamotrigine""	""25.000mg""	""04080100""	""Lamotrigine""",
"""809841000033113""",UNKNOWN,true,"""Lamotrigine 5mg dispersible tablets sugar free""	""Dispersible tablet/""	""Oral""	""Lamotrigine""	""5.000mg""	""04080100""	""Lamotrigine""",
"""816841000033115""",UNKNOWN,true,"""Lamictal 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Lamotrigine""	""100.000mg""	NA	""Lamotrigine""",
"""816941000033111""",UNKNOWN,true,"""Lamictal 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Lamotrigine""	""50.000mg""	NA	""Lamotrigine""",
"""817041000033112""",UNKNOWN,true,"""Lamotrigine 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Lamotrigine""	""100.000mg""	""04080100""	""Lamotrigine""",
"""817141000033111""",UNKNOWN,true,"""Lamotrigine 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Lamotrigine""	""50.000mg""	""04080100""	""Lamotrigine""",
"""817341000033114""",UNKNOWN,true,"""Lamictal 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Lamotrigine""	""25.000mg""	NA	""Lamotrigine""",
"""817441000033115""",UNKNOWN,true,"""Lamotrigine 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Lamotrigine""	""25.000mg""	""04080100""	""Lamotrigine""",
"""817741000033110""",UNKNOWN,true,"""Lamictal 200mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Lamotrigine""	""200.000mg""	NA	""Lamotrigine""",
