code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""bnftext""	""Other Antidiabetic""",
"""9662""",UNKNOWN,true,"""Avandia 4mg tablets (GlaxoSmithKline UK Ltd)""	""Oral tablet""	""Oral""	""Rosiglitazone""	""4mg""	""Unknown""	""Rosiglitazone""",
"""35561""",UNKNOWN,true,"""Prandin 2mg tablets (Novo Nordisk Ltd)""	""Oral tablet""	""Oral""	""Repaglinide""	""2mg""	""Meglitinides (Glinides)""	""Repaglinide""",
"""69885""",UNKNOWN,true,"""Pioglitazone 30mg tablets (Krka UK Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""30mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""37617""",UNKNOWN,true,"""Rosiglitazone 2mg tablet""	""Tablets""	""Oral""	""Rosiglitazone""	""2mg""	""Other Antidiabetic Products""	""Rosiglitazone""",
"""11737""",UNKNOWN,true,"""Metformin with rosiglitazone 1000mg + 4mg Tablet""	""Tablet""	""Oral""	""Rosiglitazone""	""1000mg + 4mg""	""Biguanides (Metformin)/Other Antidiabetic Products""	""Rosiglitazone""",
"""11604""",UNKNOWN,true,"""Rosiglitazone 1mg / Metformin 500mg tablets""	""Oral tablet""	""Oral""	""Rosiglitazone""	""1mg + 500mg""	""Glitazones Plus Metformin""	""Rosiglitazone""",
"""83476""",UNKNOWN,true,"""Acarbose 100mg tablets (A A H Pharmaceuticals Ltd)""	""Oral tablet""	""Oral""	""Acarbose""	""100mg""	""Other Antidiabetic Products""	""Acarbose""",
"""63046""",UNKNOWN,true,"""Pioglitazone 45mg tablets (A A H Pharmaceuticals Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""45mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""479""",UNKNOWN,true,"""Acarbose 50mg tablets""	""Oral tablet""	""Oral""	""Acarbose""	""50mg""	""Other Antidiabetic Products""	""Acarbose""",
"""27125""",UNKNOWN,true,"""Starlix 180mg tablets (Novartis Pharmaceuticals UK Ltd)""	""Oral tablet""	""Oral""	""Nateglinide""	""180mg""	""Meglitinides (Glinides)""	""Nateglinide""",
"""7325""",UNKNOWN,true,"""Avandamet 4mg/1000mg tablets (GlaxoSmithKline UK Ltd)""	""Oral tablet""	""Oral""	""Rosiglitazone""	""1gram + 4mg""	""Unknown""	""Rosiglitazone""",
"""469""",UNKNOWN,true,"""Rosiglitazone 4mg tablets""	""Oral tablet""	""Oral""	""Rosiglitazone""	""4mg""	""Thiazolidinedione (Glitazones)""	""Rosiglitazone""",
"""65563""",UNKNOWN,true,"""Pioglitazone 15mg tablets (Alliance Healthcare (Distribution) Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""15mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""11760""",UNKNOWN,true,"""Metformin with rosiglitazone 1000mg + 2mg Tablet""	""Tablet""	""Oral""	""Rosiglitazone""	""1000mg + 2mg""	""Biguanides (Metformin)/Other Antidiabetic Products""	""Rosiglitazone""",
