code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""	""cat""",
"""106528""",UNKNOWN,true,"""C10FN11""	""type ii diabetes mellitus with ketoacidosis""	""Type 2""",
"""10659""",UNKNOWN,true,"""F464000""	""diabetic cataract""	""Unknown""",
"""106679""",UNKNOWN,true,"""8OA3.00""	""provision of written information about diabetes and driving""	""Unknown""",
"""106722""",UNKNOWN,true,"""9Oy0300""	""diabetic foot screening invitation second letter""	""Unknown""",
"""106723""",UNKNOWN,true,"""9Oy0200""	""diabetic foot screening invitation first letter""	""Unknown""",
"""106738""",UNKNOWN,true,"""9Oy0000""	""diabetic foot screening invitation""	""Unknown""",
"""106778""",UNKNOWN,true,"""9m0C.00""	""excluded frm diabetic retinopathy screen as terminal illness""	""Unknown""",
"""10692""",UNKNOWN,true,"""C10EM00""	""type 1 diabetes mellitus with ketoacidosis""	""Type 1""",
"""106953""",UNKNOWN,true,"""8IEa.00""	""referral to dafne diabetes structured educn prog declined""	""Type 1""",
"""107361""",UNKNOWN,true,"""679L200""	""education about diabetes and driving""	""Unknown""",
"""107414""",UNKNOWN,true,"""8I94.00""	""diabetes structured education programme not available""	""Unknown""",
"""107423""",UNKNOWN,true,"""661N400""	""diabetes self-management plan review""	""Unknown""",
"""107452""",UNKNOWN,true,"""66o..00""	""further diabetic monitoring""	""Unknown""",
"""107464""",UNKNOWN,true,"""66AS000""	""diabetes year of care annual review""	""Unknown""",
"""107508""",UNKNOWN,true,"""66AH200""	""conversion to insulin by diabetes specialist nurse""	""Unknown""",
"""10755""",UNKNOWN,true,"""F420600""	""non proliferative diabetic retinopathy""	""Unknown""",
"""107597""",UNKNOWN,true,"""9m0D.00""	""excluded from diabetic retinopthy screen as learn disability""	""Unknown""",
"""107603""",UNKNOWN,true,"""C10P.00""	""diabetes mellitus in remission""	""Type 2""",
"""107701""",UNKNOWN,true,"""C10FK11""	""hyperosmolar non-ketotic state in type ii diabetes mellitus""	""Type 2""",
"""107739""",UNKNOWN,true,"""679L211""	""advice about diabetes and driving""	""Unknown""",
"""107793""",UNKNOWN,true,"""9Oy0400""	""diabetic foot screening invitation third letter""	""Unknown""",
"""107824""",UNKNOWN,true,"""C10P100""	""type ii diabetes mellitus in remission""	""Type 2""",
"""107881""",UNKNOWN,true,"""K08yA11""	""clinical diabetic nephropathy""	""Unknown""",
"""108005""",UNKNOWN,true,"""C109312""	""type 2 diabetes mellitus with multiple complications""	""Type 2""",
"""108007""",UNKNOWN,true,"""C108311""	""type i diabetes mellitus with multiple complications""	""Type 1""",
"""10824""",UNKNOWN,true,"""9N1i.00""	""seen in diabetic foot clinic""	""Unknown""",
"""108360""",UNKNOWN,true,"""C10P000""	""type i diabetes mellitus in remission""	""Type 2""",
"""108634""",UNKNOWN,true,"""9NJy.00""	""in-house diabetic foot screening""	""Unknown""",
"""108724""",UNKNOWN,true,"""C10EQ11""	""type i diabetes mellitus with gastroparesis""	""Type 1""",
"""108993""",UNKNOWN,true,"""661M400""	""diabetes self-management plan agreed""	""Unknown""",
"""109051""",UNKNOWN,true,"""C10E612""	""insulin dependent diabetes mellitus with gangrene""	""Type 1""",
"""109103""",UNKNOWN,true,"""C109911""	""type ii diabetes mellitus without complication""	""Type 2""",
"""109133""",UNKNOWN,true,"""L180700""	""pre-existing malnutrition-related diabetes mellitus""	""Other""",
"""109197""",UNKNOWN,true,"""C10FH11""	""type ii diabetes mellitus with neuropathic arthropathy""	""Type 2""",
"""109520""",UNKNOWN,true,"""9m03.00""	""eligibility permanently inactive for diabetic retinop screen""	""Unknown""",
"""109521""",UNKNOWN,true,"""9m02.00""	""eligibility temporarily inactive for diabetic retinop screen""	""Unknown""",
"""109628""",UNKNOWN,true,"""C10P011""	""type 1 diabetes mellitus in remission""	""Type 2""",
"""10977""",UNKNOWN,true,"""66Ac.00""	""diabetic peripheral neuropathy screening""	""Unknown""",
"""11018""",UNKNOWN,true,"""8HBG.00""	""diabetic retinopathy 12 month review""	""Unknown""",
"""11041""",UNKNOWN,true,"""9h41.00""	""excepted from diabetes qual indicators: patient unsuitable""	""Unknown""",
"""11094""",UNKNOWN,true,"""9NND.00""	""under care of diabetic foot screener""	""Unknown""",
"""11129""",UNKNOWN,true,"""2BBQ.00""	""o/e - left eye background diabetic retinopathy""	""Unknown""",
"""11348""",UNKNOWN,true,"""9h42.00""	""excepted from diabetes quality indicators: informed dissent""	""Unknown""",
"""11433""",UNKNOWN,true,"""2BBP.00""	""o/e - right eye background diabetic retinopathy""	""Unknown""",
"""11471""",UNKNOWN,true,"""8B3l.00""	""diabetes medication review""	""Unknown""",
"""11551""",UNKNOWN,true,"""C10B.00""	""diabetes mellitus induced by steroids""	""Other""",
"""11599""",UNKNOWN,true,"""7276.00""	""pan retinal photocoagulation for diabetes""	""Unknown""",
"""11626""",UNKNOWN,true,"""F420z00""	""diabetic retinopathy nos""	""Unknown""",
"""11677""",UNKNOWN,true,"""8H7r.00""	""refer to diabetic foot screener""	""Unknown""",
"""11848""",UNKNOWN,true,"""C314.11""	""renal diabetes""	""Other""",
"""11930""",UNKNOWN,true,"""9NN9.00""	""under care of diabetes specialist nurse""	""Unknown""",
"""11977""",UNKNOWN,true,"""ZL62500""	""referral to diabetes nurse""	""Unknown""",
"""12030""",UNKNOWN,true,"""9OL6.00""	""diabetes monitoring 3rd letter""	""Unknown""",
"""12213""",UNKNOWN,true,"""8BL2.00""	""patient on maximal tolerated therapy for diabetes""	""Unknown""",
"""12225""",UNKNOWN,true,"""8H7C.00""	""refer, diabetic liaison nurse""	""Unknown""",
"""12247""",UNKNOWN,true,"""8I6G.00""	""diabetic foot examination not indicated""	""Unknown""",
"""12262""",UNKNOWN,true,"""8I3X.00""	""diabetic retinopathy screening refused""	""Unknown""",
"""12307""",UNKNOWN,true,"""66AU.00""	""diabetes care by hospital only""	""Unknown""",
"""12455""",UNKNOWN,true,"""C10E.11""	""type i diabetes mellitus""	""Type 1""",
"""12506""",UNKNOWN,true,"""66AP.00""	""diabetes: practice programme""	""Unknown""",
"""12507""",UNKNOWN,true,"""9N2i.00""	""seen by diabetic liaison nurse""	""Unknown""",
"""12640""",UNKNOWN,true,"""C10FC00""	""type 2 diabetes mellitus with nephropathy""	""Type 2""",
"""12675""",UNKNOWN,true,"""66AQ.00""	""diabetes: shared care programme""	""Unknown""",
"""12682""",UNKNOWN,true,"""679R.00""	""patient offered diabetes structured education programme""	""Unknown""",
"""12703""",UNKNOWN,true,"""3881.00""	""education score - diabetes""	""Unknown""",
"""12736""",UNKNOWN,true,"""C10F500""	""type 2 diabetes mellitus with gangrene""	""Type 2""",
"""13057""",UNKNOWN,true,"""679L.00""	""health education - diabetes""	""Unknown""",
"""13067""",UNKNOWN,true,"""66AZ.00""	""diabetic monitoring nos""	""Unknown""",
"""13069""",UNKNOWN,true,"""66A8.00""	""has seen dietician - diabetes""	""Unknown""",
"""13070""",UNKNOWN,true,"""66A1.00""	""initial diabetic assessment""	""Unknown""",
"""13071""",UNKNOWN,true,"""66AI.00""	""diabetic - good control""	""Unknown""",
"""13074""",UNKNOWN,true,"""13B1.00""	""diabetic diet""	""Unknown""",
"""13078""",UNKNOWN,true,"""13AC.00""	""diabetic weight reducing diet""	""Unknown""",
"""13097""",UNKNOWN,true,"""2BBT.00""	""o/e - right eye proliferative diabetic retinopathy""	""Unknown""",
"""13099""",UNKNOWN,true,"""2BBR.00""	""o/e - right eye preproliferative diabetic retinopathy""	""Unknown""",
"""13100""",UNKNOWN,true,"""2BBJ.00""	""o/e - no right diabetic retinopathy""	""Unknown""",
"""13101""",UNKNOWN,true,"""2BBV.00""	""o/e - left eye proliferative diabetic retinopathy""	""Unknown""",
"""13102""",UNKNOWN,true,"""2BBW.00""	""o/e - right eye diabetic maculopathy""	""Unknown""",
"""13103""",UNKNOWN,true,"""2BBS.00""	""o/e - left eye preproliferative diabetic retinopathy""	""Unknown""",
"""13104""",UNKNOWN,true,"""2BBK.00""	""o/e - no left diabetic retinopathy""	""Unknown""",
