code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""",
"""72668""",UNKNOWN,true,"""G210100""	""malignant hypertensive heart disease with ccf""",
"""7329""",UNKNOWN,true,"""G24..00""	""secondary hypertension""",
"""73293""",UNKNOWN,true,"""G240z00""	""secondary malignant hypertension nos""",
"""799""",UNKNOWN,true,"""G20..00""	""essential hypertension""",
"""83473""",UNKNOWN,true,"""G203.00""	""diastolic hypertension""",
"""8732""",UNKNOWN,true,"""G2...11""	""bp - hypertensive disease""",
"""8857""",UNKNOWN,true,"""G21z011""	""cardiomegaly - hypertensive""",
"""95334""",UNKNOWN,true,"""G210000""	""malignant hypertensive heart disease without ccf""",
"""97533""",UNKNOWN,true,"""Gyu2100""	""[x]hypertension secondary to other renal disorders""",
"""98230""",UNKNOWN,true,"""67H8.00""	""lifestyle advice regarding hypertension""",
"""99259""",UNKNOWN,true,"""662q.00""	""trial reduction of antihypertensive therapy""",
"""4344""",UNKNOWN,true,"""9N03.00""	""seen in hypertension clinic""",
"""4668""",UNKNOWN,true,"""G22..00""	""hypertensive renal disease""",
"""10961""",UNKNOWN,true,"""9h31.00""	""excepted from hypertension qual indicators: patient unsuit""",
"""10976""",UNKNOWN,true,"""9h32.00""	""excepted from hypertension qual indicators: informed dissent""",
"""12948""",UNKNOWN,true,"""662H.00""	""hypertension treatm.stopped""",
"""20497""",UNKNOWN,true,"""TJC7z00""	""adverse reaction to antihypertensives nos""",
"""21660""",UNKNOWN,true,"""TJC7.00""	""adverse reaction to other antihypertensives""",
"""22356""",UNKNOWN,true,"""1JD..00""	""suspected hypertension""",
"""28684""",UNKNOWN,true,"""G233.00""	""hypertensive heart and renal disease with renal failure""",
"""28874""",UNKNOWN,true,"""9OI8.00""	""hypertens.monitor phone invite""",
"""29310""",UNKNOWN,true,"""G22z.11""	""renal hypertension""",
"""31117""",UNKNOWN,true,"""9OI4.00""	""hypertens.monitor.1st letter""",
"""31127""",UNKNOWN,true,"""9OI5.00""	""hypertens.monitor 2nd letter""",
"""31175""",UNKNOWN,true,"""9OI6.00""	""hypertens.monitor 3rd letter""",
"""34108""",UNKNOWN,true,"""9h3..00""	""exception reporting: hypertension quality indicators""",
"""34192""",UNKNOWN,true,"""9OIZ.00""	""hypertens.monitoring admin.nos""",
"""34281""",UNKNOWN,true,"""9N4L.00""	""dna - did not attend hypertension clinic""",
"""36305""",UNKNOWN,true,"""9OIA.00""	""hypertension monitor.chck done""",
"""41634""",UNKNOWN,true,"""9OI7.00""	""hypertens.monitor verbal inv.""",
"""43220""",UNKNOWN,true,"""9OI2.00""	""refuses hypertension monitor.""",
"""45149""",UNKNOWN,true,"""9OI1.00""	""attends hypertension monitor.""",
"""61660""",UNKNOWN,true,"""G211000""	""benign hypertensive heart disease without ccf""",
"""63260""",UNKNOWN,true,"""SLC6z00""	""hypertensive agent poisoning nos""",
"""72226""",UNKNOWN,true,"""SLC6.00""	""other hypertensive agent poisoning""",
"""85944""",UNKNOWN,true,"""7Q01.00""	""high cost hypertension drugs""",
"""95359""",UNKNOWN,true,"""662r.00""	""trial withdrawal of antihypertensive therapy""",
"""109771""",UNKNOWN,true,"""662P100""	""telehealth hypertension monitoring""",
"""109942""",UNKNOWN,true,"""9OIB.00""	""borderline hypertension monitoring first letter""",
"""110631""",UNKNOWN,true,"""661N600""	""hypertension self-management plan review""",
"""112611""",UNKNOWN,true,"""SyuFT00""	""[x]poisoning by other antihypertensive drugs, nec""",
"""113762""",UNKNOWN,true,"""8OAH.11""	""provision of written information about diabetes & hypertensn""",
"""114710""",UNKNOWN,true,"""9OID.00""	""borderline hypertension monitoring third letter""",
"""114781""",UNKNOWN,true,"""9OIC.00""	""borderline hypertension monitoring second letter""",
"""8296""",UNKNOWN,true,"""6624.00""	""borderline hyperten:yearly obs""",
"""28828""",UNKNOWN,true,"""9OI3.00""	""hyperten.monitor offer default""",
"""108136""",UNKNOWN,true,"""G250.00""	""stage 1 hyperten (nice 2011) without evidnce end organ damge""",
"""109797""",UNKNOWN,true,"""G251.00""	""stage 1 hyperten (nice 2011) with evidnce end organ damge""",
"""110087""",UNKNOWN,true,"""8OAH.00""	""provision of written information about diabetes and high bp""",
