code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""SGLT2i""",
"""61756""",UNKNOWN,true,"575854	""Empagliflozin 10mg tablets""	""Empagliflozin""	""10mg""	""Oral tablet""	""Oral""	""SGLT2 Inhibitors (Gliflozins)""	""Empagliflozin""",
"""69370""",UNKNOWN,true,"281	""Synjardy 5mg/850mg tablets (Boehringer Ingelheim Ltd)""	""Empagliflozin""	""5mg + 850mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Empagliflozin""",
"""60012""",UNKNOWN,true,"12818	""Dapagliflozin 5mg / Metformin 1g tablets""	""Dapagliflozin""	""1gram + 5mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Dapagliflozin""",
"""69654""",UNKNOWN,true,"1505	""Qtern 5mg/10mg tablets (AstraZeneca UK Ltd)""	""Dapagliflozin""	""5mg + 10mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Gliptins""	""Dapagliflozin""",
"""77762""",UNKNOWN,true,"344	""Ertugliflozin 5mg tablets""	""Ertugliflozin""	""5mg""	""Oral tablet""	""Oral""	""SGLT2 Inhibitors (Gliflozins)""	""Ertugliflozin""",
"""70463""",UNKNOWN,true,"29	""Synjardy 12.5mg/850mg tablets (Boehringer Ingelheim Ltd)""	""Empagliflozin""	""850mg + 12.5mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Empagliflozin""",
"""65066""",UNKNOWN,true,"6345	""Empagliflozin 12.5mg / Metformin 1g tablets""	""Empagliflozin""	""12.5mg + 1gram""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Empagliflozin""",
"""65344""",UNKNOWN,true,"1091	""Empagliflozin 5mg / Metformin 850mg tablets""	""Empagliflozin""	""5mg + 850mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Empagliflozin""",
"""66008""",UNKNOWN,true,"2352	""Synjardy 12.5mg/1000mg tablets (Boehringer Ingelheim Ltd)""	""Empagliflozin""	""12.5mg + 1gram""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Empagliflozin""",
"""54182""",UNKNOWN,true,"1338099	""Dapagliflozin 10mg tablets""	""Dapagliflozin""	""10mg""	""Oral tablet""	""Oral""	""SGLT2 Inhibitors (Gliflozins)""	""Dapagliflozin""",
"""60211""",UNKNOWN,true,"188479	""Canagliflozin 100mg tablets""	""Canagliflozin""	""100mg""	""Oral tablet""	""Oral""	""SGLT2 Inhibitors (Gliflozins)""	""Canagliflozin""",
"""87570""",UNKNOWN,true,"0	""Forxiga 10mg tablets (CST Pharma Ltd)""	""Dapagliflozin""	""10mg""	""Oral tablet""	""Oral""	""SGLT2 Inhibitors (Gliflozins)""	""Dapagliflozin""",
"""62172""",UNKNOWN,true,"405972	""Empagliflozin 25mg tablets""	""Empagliflozin""	""25mg""	""Oral tablet""	""Oral""	""SGLT2 Inhibitors (Gliflozins)""	""Empagliflozin""",
"""63929""",UNKNOWN,true,"1697	""Canagliflozin 50mg / Metformin 1g tablets""	""Canagliflozin""	""1gram + 50mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Canagliflozin""",
