code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""dmdcode""	""gemscriptcode""	""productname""	""drugsubstance""	""strength""	""formulation""	""route""	""bnfcode""	""bnfchapter""	""Statin""",
"""6213""",UNKNOWN,true,"408037007	""80350020""	""Rosuvastatin 20mg tablets""	""Rosuvastatin calcium""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Rosuvastatin""",
"""7196""",UNKNOWN,true,"776811000001104	""72483020""	""Zocor 20mg tablets (Merck Sharp & Dohme Ltd)""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""7347""",UNKNOWN,true,"4171011000001104	""76621020""	""Crestor 10mg tablets (AstraZeneca UK Ltd)""	""Rosuvastatin calcium""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Rosuvastatin""",
"""7374""",UNKNOWN,true,"232011000001102	""83954020""	""Lipitor 20mg tablets (Pfizer Ltd)""	""Atorvastatin calcium trihydrate""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Atorvastatin""",
"""7552""",UNKNOWN,true,"414177002	""89242020""	""Simvastatin 20mg / Ezetimibe 10mg tablets""	""Simvastatin/Ezetimibe""	""20mg + 10mg""	""Tablet""	""Oral""	""02120200/02120400""	""Ezetimibe/Statins""	""Other""",
"""7554""",UNKNOWN,true,"409108001	""89881020""	""Rosuvastatin 5mg tablets""	""Rosuvastatin calcium""	""5mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Rosuvastatin""",
"""8380""",UNKNOWN,true,"84811000001104	""75340020""	""Lescol 20mg capsules (Novartis Pharmaceuticals UK Ltd)""	""Fluvastatin sodium""	""20mg""	""Capsule""	""Oral""	""02120400""	""Statins""	""fluvastatin""",
"""9153""",UNKNOWN,true,"409611000001108	""75341020""	""Lescol 40mg capsules (Novartis Pharmaceuticals UK Ltd)""	""Fluvastatin sodium""	""40mg""	""Capsule""	""Oral""	""02120400""	""Statins""	""fluvastatin""",
"""9315""",UNKNOWN,true,"226225001000027104	""84282020""	""Lipobay 100microgram Tablet (Bayer Plc)""	""Cerivastatin sodium""	""100microgram""	""Tablet""	""Oral""	""02120400""	""Statins""	""Other""",
"""9316""",UNKNOWN,true,"226235001000027104	""84283020""	""Lipobay 200microgram Tablet (Bayer Plc)""	""Cerivastatin sodium""	""200microgram""	""Tablet""	""Oral""	""02120400""	""Statins""	""Other""",
