code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""	""SH""	""Group""",
"""28680""",UNKNOWN,true,"""ZX1LD00""	""[x]self mutilation""	1	""self harm""",
"""28683""",UNKNOWN,true,"""ZX1..14""	""self-abusive behaviour""	1	""self harm""",
"""28694""",UNKNOWN,true,"""ZX18.00""	""hanging self""	1	""self harm""",
"""28710""",UNKNOWN,true,"""U205.11""	""[x]overdose - heroin""	1	""unknown intent""",
"""29134""",UNKNOWN,true,"""TN5..00""	""injury ?accidental, by firearms and explosives""	1	""unknown intent""",
"""29861""",UNKNOWN,true,"""U200.13""	""[x]overdose - aspirin""	1	""unknown intent""",
"""30036""",UNKNOWN,true,"""U409.00""	""[x]poisoning/exposure, ? intent, to alcohol""	1	""unknown intent""",
"""30074""",UNKNOWN,true,"""U290.00""	""[x]intentional self harm by sharp object occurrence at home""	1	""self harm""",
"""30286""",UNKNOWN,true,"""TN3..00""	""injury ?accidental, hanging, strangulation and suffocation""	1	""unknown intent""",
"""30292""",UNKNOWN,true,"""TK0..00""	""suicide + selfinflicted poisoning by solid/liquid substances""	1	""self harm""",
"""30360""",UNKNOWN,true,"""U21..00""	""[x]intent self harm by hanging strangulation / suffocation""	1	""self harm""",
"""30370""",UNKNOWN,true,"""ZX1H100""	""self-strangulation""	1	""self harm""",
"""31836""",UNKNOWN,true,"""TN1..00""	""injury ?accidental, poisoning by gases in domestic use""	1	""unknown intent""",
"""31854""",UNKNOWN,true,"""TK4..00""	""suicide and selfinflicted injury by drowning""	1	""self harm""",
"""32267""",UNKNOWN,true,"""ZX1L.00""	""self-mutilation""	1	""self harm""",
"""33596""",UNKNOWN,true,"""TK02.00""	""suicide + selfinflicted poisoning by oth sedatives/hypnotics""	1	""self harm""",
"""34156""",UNKNOWN,true,"""U2z..00""	""[x]intentional self harm by unspecified means""	1	""self harm""",
"""34703""",UNKNOWN,true,"""U204.12""	""[x]overdose - amitriptyline""	1	""unknown intent""",
"""34827""",UNKNOWN,true,"""TN83.00""	""injury ?accidental, by extremes of cold""	1	""unknown intent""",
"""35123""",UNKNOWN,true,"""ZX1L100""	""self-mutilation of hands""	1	""self harm""",
"""35247""",UNKNOWN,true,"""ZX1..00""	""self-injurious behaviour""	1	""self harm""",
"""35798""",UNKNOWN,true,"""U4D0.00""	""[x]crashng of motor vehicle undetermined intent occ at home""	1	""unknown intent""",
"""35868""",UNKNOWN,true,"""U2D4.00""	""[x]intent self harm by crash motor vehicl occ street/highway""	1	""self harm""",
"""35879""",UNKNOWN,true,"""U208.00""	""[x]int self poison/exposure to other/unspec drug/medicament""	1	""self harm""",
"""36084""",UNKNOWN,true,"""TKx2.00""	""suicide and selfinflicted injury by scald""	1	""self harm""",
"""36197""",UNKNOWN,true,"""U4B..00""	""[x]falling jumping/pushed from high place undeterm intent""	1	""unknown intent""",
"""36255""",UNKNOWN,true,"""TK6..00""	""suicide and selfinflicted injury by cutting and stabbing""	1	""self harm""",
"""36398""",UNKNOWN,true,"""U204.00""	""[x]intent self poison/exposure to psychotropic drug""	1	""self harm""",
"""36863""",UNKNOWN,true,"""ZX13.11""	""cuts self""	1	""self harm""",
"""37874""",UNKNOWN,true,"""ZX12.00""	""burning self""	1	""self harm""",
"""38008""",UNKNOWN,true,"""U27z.00""	""[x]intent self harm by smoke fire/flames occ unspecif place""	1	""self harm""",
"""38079""",UNKNOWN,true,"""TN54.00""	""injury ?accidental, by other firearm""	1	""unknown intent""",
"""38749""",UNKNOWN,true,"""U20B200""	""[x]int self poison other gas/vapour school/pub admin area""	1	""self harm""",
"""38760""",UNKNOWN,true,"""U2y..00""	""[x]intentional self harm by other specified means""	1	""self harm""",
"""40284""",UNKNOWN,true,"""U41..00""	""[x]hanging strangulation + suffocation undetermined intent""	1	""unknown intent""",
"""40888""",UNKNOWN,true,"""TN50.00""	""injury ?accidental, by handgun""	1	""unknown intent""",
"""41241""",UNKNOWN,true,"""TKz..00""	""suicide and selfinflicted injury nos""	1	""self harm""",
"""41306""",UNKNOWN,true,"""TN86.00""	""injury ?accidental, by crashing of aircraft""	1	""unknown intent""",
"""41400""",UNKNOWN,true,"""U22..00""	""[x]intentional self harm by drowning and submersion""	1	""self harm""",
"""41638""",UNKNOWN,true,"""U209000""	""[x]int self poison/exposure to alcohol at home""	1	""self harm""",
"""42086""",UNKNOWN,true,"""U20yz00""	""[x]intent self poison unspecif chemical unspecif place""	1	""self harm""",
"""42097""",UNKNOWN,true,"""U2C..00""	""[x]intent self harm by jumping / lying before moving object""	1	""self harm""",
"""42103""",UNKNOWN,true,"""U2z0.00""	""[x]intentional self harm by unspecif means occurrn at home""	1	""self harm""",
"""42418""",UNKNOWN,true,"""U20A.00""	""[x]intentional self poison organ solvent,halogen hydrocarb""	1	""self harm""",
"""42464""",UNKNOWN,true,"""TKy..00""	""late effects of selfinflicted injury""	1	""self harm""",
"""42471""",UNKNOWN,true,"""U21z.00""	""[x]intent self harm by hangng strangul/suffoct unspecif plce""	1	""self harm""",
"""42937""",UNKNOWN,true,"""TK71.00""	""suicide+selfinflicted injury-jump from oth manmade structure""	1	""self harm""",
