code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""clinicalevents""	""immunisationevents""	""referralevents""	""testevents""	""term""	""databaserelease""	""period""",
"""50488""",UNKNOWN,true,"""L354.12""	92	0	6	0	""high vaginal tear - obstetric""	""February 2009""	""unspecified""",
"""33258""",UNKNOWN,true,"""L512.00""	98	0	6	0	""maternal care for diminished fetal movements""	""February 2009""	""unspecified""",
"""87844""",UNKNOWN,true,"""7F2A000""	6	0	0	0	""obstetric umbilical artery doppler""	""February 2009""	""unspecified""",
"""67883""",UNKNOWN,true,"""L514.00""	3	0	0	0	""maternal care for poor fetal growth""	""February 2009""	""unspecified""",
"""5045""",UNKNOWN,true,"""L452400""	636	0	5	0	""obstetric nonpurulent mastitis with postnatal complication""	""February 2009""	""postnatal""",
"""63656""",UNKNOWN,true,"""L113.13""	17	0	0	0	""antepartum haemorrhage with hypofibrinogenaemia""	""February 2009""	""late pregnancy""",
"""32975""",UNKNOWN,true,"""6166.00""	160	0	12	0	""pregnant, diaphragm failure""	""February 2009""	""early pregnancy""",
"""63781""",UNKNOWN,true,"""L410z00""	18	0	0	0	""varicose veins of legs in pregnancy and puerperium nos""	""February 2009""	""postnatal""",
"""96843""",UNKNOWN,true,"""L267600""	13	0	0	0	""placental infarction""	""May 2009""	""late pregnancy""",
"""45870""",UNKNOWN,true,"""Ly...00""	375	0	25	0	""complications of pregnancy,childbirth or the puerperium os""	""February 2009""	""postnatal""",
"""52106""",UNKNOWN,true,"""L412z00""	17	0	0	0	""superficial thrombophlebitis in pregnancy and puerperium nos""	""February 2009""	""postnatal""",
"""23495""",UNKNOWN,true,"""L265.00""	1451	0	286	0	""small-for-dates fetus in pregnancy""	""February 2009""	""unspecified""",
"""3766""",UNKNOWN,true,"""L10..00""	8003	0	2013	7	""haemorrhage in early pregnancy""	""February 2009""	""unspecified""",
"""111263""",UNKNOWN,true,"""L230200""	1	0	0	0	""disproportion - major pelvic abnormality with antenatal prob""	""August 2016""	""early pregnancy""",
"""57957""",UNKNOWN,true,"""7F1Ay00""	14	0	0	0	""other specified other method of delivery""	""February 2009""	""postnatal""",
"""56953""",UNKNOWN,true,"""Z235400""	8	0	1	0	""pendulous pregnant abdomen""	""February 2009""	""early pregnancy""",
"""55111""",UNKNOWN,true,"""6B22.00""	1551	0	2	0	""sure start antenatal visit""	""February 2009""	""early pregnancy""",
"""40279""",UNKNOWN,true,"""7E19012""	8	0	1	0	""fimbrial extraction of tubal pregnancy""	""February 2009""	""unspecified""",
"""29122""",UNKNOWN,true,"""7E19011""	1098	0	14	0	""removal of ectopic pregnancy from fallopian tube""	""February 2009""	""unspecified""",
"""1748""",UNKNOWN,true,"""7E08400""	99361	0	1637	0	""suction termination of pregnancy""	""February 2009""	""unspecified""",
"""113354""",UNKNOWN,true,"""L212000""	2	0	0	0	""quadruplet pregnancy unspecified""	""February 2019""	""unspecified""",
"""86991""",UNKNOWN,true,"""L172000""	15	0	0	0	""other maternal venereal disease, unspec pregnancy/puerperium""	""February 2009""	""postnatal""",
"""103140""",UNKNOWN,true,"""L370100""	3	0	0	0	""retained placenta with no haemorrhage - deliv with p/n prob""	""October 2011""	""late pregnancy""",
"""62776""",UNKNOWN,true,"""Q037.11""	5	0	1	0	""fetus or neonate affected by hypertonic labour""	""February 2009""	""postnatal""",
"""15670""",UNKNOWN,true,"""L130.00""	4199	0	76	0	""mild hyperemesis gravidarum""	""February 2009""	""early pregnancy""",
"""7670""",UNKNOWN,true,"""L398z00""	6435	0	12	0	""caesarean delivery nos""	""February 2009""	""postnatal""",
"""91659""",UNKNOWN,true,"""Q022.00""	7	0	0	0	""fetus/neonate affected by placental abnormality nec""	""February 2009""	""late pregnancy""",
"""54269""",UNKNOWN,true,"""L45z100""	40	0	0	0	""obstetric breast infection nos - delivered""	""February 2009""	""unspecified""",
"""41253""",UNKNOWN,true,"""7F...11""	156	0	3	0	""childbirth operations""	""February 2009""	""postnatal""",
"""65491""",UNKNOWN,true,"""7F05.00""	5	0	0	0	""other operations on amniotic cavity""	""February 2009""	""late pregnancy""",
