code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""Antidiabetic""	""group""	""database""",
"""646441000033117""",UNKNOWN,true,"""Gliclazide 80mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Gliclazide""	""80.000mg""	""Gliclazide""	""Sulfonylureas""	""Aurum""",
"""646541000033116""",UNKNOWN,true,"""Glipizide 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Glipizide""	""2.500mg""	""Glipizide""	""Sulfonylureas""	""Aurum""",
"""646841000033119""",UNKNOWN,true,"""Glurenorm 30mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Gliquidone""	""30.000mg""	""Gliquidone""	""Sulfonylureas""	""Aurum""",
"""646941000033110""",UNKNOWN,true,"""Gliquidone 30mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Gliquidone""	""30.000mg""	""Gliquidone""	""Sulfonylureas""	""Aurum""",
"""719841000033112""",UNKNOWN,true,"""Humulin I  Cartridges (1.5 Ml)  100 units/ml""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""719941000033116""",UNKNOWN,true,"""Humulin M1  Cartridges (1.5 Ml)""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""720041000033118""",UNKNOWN,true,"""Humulin M2  Cartridges (1.5 Ml)""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""720141000033119""",UNKNOWN,true,"""Humulin M3 (Lilly)  Cartridges (1.5 Ml)""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""720241000033114""",UNKNOWN,true,"""Humulin M4  Cartridges (1.5 Ml)""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""720341000033116""",UNKNOWN,true,"""Humulin S  Cartridges (1.5 Ml)  100 units/ml""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
