code,code_system,include,term,notes
"""medcodeid""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""EmisCodeCategoryId""",
"""7297311000006119""",UNKNOWN,true,"3	""^ESCTHI729731""	NA	""high haemoglobin a1c level""	""444751005""	""2870875017""	31",
"""7318681000006111""",UNKNOWN,true,"22336	""^ESCTHA731868""	NA	""haemoglobin a1c target value using international federation of clinical chemistry and laboratory medicine standardised method""	""446074002""	""2883677017""	1",
"""7318691000006114""",UNKNOWN,true,"3	""^ESCTHE731869""	NA	""hemoglobin a1c target value using international federation of clinical chemistry and laboratory medicine standardized method""	""446074002""	""2883676014""	1",
"""7318701000006114""",UNKNOWN,true,"10	""^ESCTHB731870""	NA	""hba1c (haemoglobin a1c) target - ifcc (international federation of clinical chemistry and laboratory medicine) standardised""	""446074002""	""1725281000000115""	1",
"""7960861000006110""",UNKNOWN,true,"130	""^ESCTGL796086""	NA	""glycated haemoglobin""	""733829007""	""3474723019""	31",
"""7960871000006115""",UNKNOWN,true,"7	""^ESCTGL796087""	NA	""glycated hemoglobin""	""733829007""	""3474722012""	31",
"""7960881000006117""",UNKNOWN,true,"5	""^ESCTGL796088""	NA	""glycated hb""	""733829007""	""3474724013""	31",
"""7960891000006119""",UNKNOWN,true,"43	""^ESCTGL796089""	NA	""glycated haemoglobin-a1c""	""733830002""	""3474735015""	31",
"""7960911000006117""",UNKNOWN,true,"32	""^ESCTHB796091""	NA	""hba1c - glycated hemoglobin-a1c""	""733830002""	""3474736019""	31",
"""7960921000006113""",UNKNOWN,true,"11	""^ESCTHB796092""	NA	""hba1c - glycated haemoglobin-a1c""	""733830002""	""3474737011""	31",
"""8121171000006116""",UNKNOWN,true,"107	""^ESCTHB812117""	NA	""hb a1c (haemoglobin a1c) measurement - ifcc (international federation of clinical chemistry and laboratory medicine) standardised""	""371981000000106""	""730981000000118""	31",
"""8121181000006118""",UNKNOWN,true,"804	""^ESCTHB812118""	NA	""hb a1c (haemoglobin a1c) level - ifcc (international federation of clinical chemistry and laboratory medicine) standardised""	""371981000000106""	""732081000000118""	31",
"""12622041000006111""",UNKNOWN,true,"7	""^ESCT1262204""	NA	""hba1c (haemoglobin a1c) molar concentration in blood""	""1107481000000106""	""2773291000000116""	31",
"""14368911000006117""",UNKNOWN,true,"3	""^ESCT1436891""	NA	""haemoglobin a1c measurement - international federation of clinical chemistry and laboratory medicine standardised""	""371981000000106""	""1826141000000114""	31",
"""14500411000006110""",UNKNOWN,true,"969	""^ESCT1450041""	NA	""haemoglobin a1c less than 7 percent indicating good diabetic control""	""165679005""	""4578225017""	11",
"""14500421000006119""",UNKNOWN,true,"1238	""^ESCT1450042""	NA	""haemoglobin a1c between 7 percent to 10 percent indicating borderline diabetic control""	""165680008""	""4578415013""	11",
"""14500431000006116""",UNKNOWN,true,"309	""^ESCT1450043""	NA	""haemoglobin a1c greater than 10 percent indicating poor diabetic control""	""165681007""	""4578059010""	11",
"""15098111000006110""",UNKNOWN,true,"1	""^ESCT1509811""	NA	""haemoglobin a1c diagnostic reference range molar concentration in blood""	""1971000237103""	""12821000237115""	34",
"""15098421000006111""",UNKNOWN,true,"1	""^ESCT1509842""	NA	""haemoglobin a1 mass concentration in whole blood""	""2281000237104""	""11971000237117""	11",
"""15099641000006113""",UNKNOWN,true,"1743	""^ESCT1509964""	NA	""hba1c (glycated haemoglobin a1c)/hba1 (haemoglobin a1) percent in blood""	""3531000237106""	""9191000237116""	11",
"""15102281000006115""",UNKNOWN,true,"3	""^ESCT1510228""	NA	""haemoglobin a1c monitoring range molar concentration in blood""	""6181000237109""	""13821000237113""	34",
