code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""DPP4i""",
"""5576041000033115""",UNKNOWN,true,"""Metformin 1g / Sitagliptin 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Sitagliptin""	""1.000gram + 50.000mg""	""06010203""	""Sitagliptin""",
"""6123241000033112""",UNKNOWN,true,"""Saxagliptin 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Saxagliptin""	""2.500mg""	""06010203""	""Saxagliptin""",
"""6123341000033119""",UNKNOWN,true,"""Onglyza 2.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Saxagliptin""	""2.500mg""	NA	""Saxagliptin""",
"""6444041000033117""",UNKNOWN,true,"""Linagliptin 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Linagliptin""	""5.000mg""	""06010203""	""Linagliptin""",
"""6444141000033118""",UNKNOWN,true,"""Trajenta 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Linagliptin""	""5.000mg""	NA	""Linagliptin""",
"""7687241000033110""",UNKNOWN,true,"""Sitagliptin 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Sitagliptin""	""50.000mg""	""06010203""	""Sitagliptin""",
"""7687341000033117""",UNKNOWN,true,"""Januvia 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Sitagliptin""	""50.000mg""	NA	""Sitagliptin""",
"""7687441000033111""",UNKNOWN,true,"""Sitagliptin 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Sitagliptin""	""25.000mg""	""06010203""	""Sitagliptin""",
"""7687541000033112""",UNKNOWN,true,"""Januvia 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Sitagliptin""	""25.000mg""	NA	""Sitagliptin""",
"""8115741000033119""",UNKNOWN,true,"""Linagliptin 2.5mg / Metformin 1g tablets""	""Tablet/ Oral Tablet""	""Oral""	""Linagliptin""	""2.500mg + 1000.000mg""	""06010203""	""Linagliptin""",
"""8115841000033112""",UNKNOWN,true,"""Linagliptin 2.5mg / Metformin 850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Linagliptin""	""2.500mg + 850.000mg""	""06010203""	""Linagliptin""",
"""8115941000033116""",UNKNOWN,true,"""Jentadueto 2.5mg/1000mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Linagliptin""	""2.500mg + 1000.000mg""	NA	""Linagliptin""",
"""8116041000033114""",UNKNOWN,true,"""Jentadueto 2.5mg/850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Linagliptin""	""2.500mg + 850.000mg""	NA	""Linagliptin""",
"""8242541000033112""",UNKNOWN,true,"""Saxagliptin 2.5mg / Metformin 850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Saxagliptin""	""850.000mg + 2.500mg""	""06010203""	""Saxagliptin""",
"""8242641000033113""",UNKNOWN,true,"""Saxagliptin 2.5mg / Metformin 1g tablets""	""Tablet/ Oral Tablet""	""Oral""	""Saxagliptin""	""1.000gram + 2.500mg""	""06010203""	""Saxagliptin""",
"""8242741000033116""",UNKNOWN,true,"""Komboglyze 2.5mg/850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Saxagliptin""	""850.000mg + 2.500mg""	NA	""Saxagliptin""",
"""8242841000033114""",UNKNOWN,true,"""Komboglyze 2.5mg/1000mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Saxagliptin""	""1.000gram + 2.500mg""	NA	""Saxagliptin""",
