code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""Read.code""	""Term""	""Group""",
"""24640""",UNKNOWN,true,"""E1102""	""\\""Single manic episode, moderate\\""""	""bipolar""",
"""43093""",UNKNOWN,true,"""E1103""	""\\""Single manic episode, severe without mention of psychosis\\""""	""bipolar""",
"""50218""",UNKNOWN,true,"""E1104""	""\\""Single manic episode, severe, with psychosis\\""""	""bipolar""",
"""109485""",UNKNOWN,true,"""E1105""	""Single manic episode in partial or unspecified remission""	""bipolar""",
"""70000""",UNKNOWN,true,"""E1106""	""Single manic episode in full remission""	""bipolar""",
"""36611""",UNKNOWN,true,"""E110z""	""\\""Manic disorder, single episode NOS\\""""	""bipolar""",
"""26227""",UNKNOWN,true,"""E111""	""Recurrent manic episodes""	""bipolar""",
"""8567""",UNKNOWN,true,"""E11-1""	""Bipolar psychoses""	""bipolar""",
"""19967""",UNKNOWN,true,"""E1110""	""\\""Recurrent manic episodes, unspecified\\""""	""bipolar""",
"""46425""",UNKNOWN,true,"""E1111""	""\\""Recurrent manic episodes, mild\\""""	""bipolar""",
"""27739""",UNKNOWN,true,"""E1112""	""\\""Recurrent manic episodes, moderate\\""""	""bipolar""",
"""65811""",UNKNOWN,true,"""E1113""	""\\""Recurrent manic episodes, severe without mention psychosis\\""""	""bipolar""",
"""32295""",UNKNOWN,true,"""E1114""	""\\""Recurrent manic episodes, severe, with psychosis\\""""	""bipolar""",
"""58863""",UNKNOWN,true,"""E1115""	""\\""Recurrent manic episodes, partial or unspecified remission\\""""	""bipolar""",
"""37178""",UNKNOWN,true,"""E1116""	""\\""Recurrent manic episodes, in full remission\\""""	""bipolar""",
"""46415""",UNKNOWN,true,"""E111z""	""Recurrent manic episode NOS""	""bipolar""",
"""26161""",UNKNOWN,true,"""E11-3""	""Manic psychoses""	""bipolar""",
"""3702""",UNKNOWN,true,"""E114""	""\\""Bipolar affective disorder, currently manic\\""""	""bipolar""",
"""35738""",UNKNOWN,true,"""E1140""	""\\""Bipolar affective disorder, currently manic, unspecified\\""""	""bipolar""",
"""36126""",UNKNOWN,true,"""E1141""	""\\""Bipolar affective disorder, currently manic, mild\\""""	""bipolar""",
"""17385""",UNKNOWN,true,"""E114-1""	""Manic-depressive - now manic""	""bipolar""",
"""46434""",UNKNOWN,true,"""E1142""	""\\""Bipolar affective disorder, currently manic, moderate\\""""	""bipolar""",
"""16347""",UNKNOWN,true,"""E1143""	""\\""Bipolar affect disord, currently manic, severe, no psychosis\\""""	""bipolar""",
"""55829""",UNKNOWN,true,"""E1144""	""\\""Bipolar affect disord, currently manic,severe with psychosis\\""""	""bipolar""",
"""59011""",UNKNOWN,true,"""E1145""	""\\""Bipolar affect disord,currently manic, part/unspec remission\\""""	""bipolar""",
"""63784""",UNKNOWN,true,"""E1146""	""\\""Bipolar affective disorder, currently manic, full remission\\""""	""bipolar""",
"""57605""",UNKNOWN,true,"""E114z""	""\\""Bipolar affective disorder, currently manic, NOS\\""""	""bipolar""",
"""4677""",UNKNOWN,true,"""E115""	""\\""Bipolar affective disorder, currently depressed\\""""	""bipolar""",
"""15923""",UNKNOWN,true,"""E1150""	""\\""Bipolar affective disorder, currently depressed, unspecified\\""""	""bipolar""",
"""35734""",UNKNOWN,true,"""E1151""	""\\""Bipolar affective disorder, currently depressed, mild\\""""	""bipolar""",
"""12831""",UNKNOWN,true,"""E115-1""	""Manic-depressive - now depressed""	""bipolar""",
"""27890""",UNKNOWN,true,"""E1152""	""\\""Bipolar affective disorder, currently depressed, moderate\\""""	""bipolar""",
"""35607""",UNKNOWN,true,"""E1153""	""\\""Bipolar affect disord, now depressed, severe, no psychosis\\""""	""bipolar""",
"""63701""",UNKNOWN,true,"""E1154""	""\\""Bipolar affect disord, now depressed, severe with psychosis\\""""	""bipolar""",
"""72026""",UNKNOWN,true,"""E1155""	""\\""Bipolar affect disord, now depressed, part/unspec remission\\""""	""bipolar""",
"""57465""",UNKNOWN,true,"""E1156""	""\\""Bipolar affective disorder, now depressed, in full remission\\""""	""bipolar""",
"""37296""",UNKNOWN,true,"""E115z""	""\\""Bipolar affective disorder, currently depressed, NOS\\""""	""bipolar""",
"""31316""",UNKNOWN,true,"""E116""	""Mixed bipolar affective disorder""	""bipolar""",
"""31535""",UNKNOWN,true,"""E1160""	""\\""Mixed bipolar affective disorder, unspecified\\""""	""bipolar""",
"""24689""",UNKNOWN,true,"""E1161""	""\\""Mixed bipolar affective disorder, mild\\""""	""bipolar""",
"""63150""",UNKNOWN,true,"""E1162""	""\\""Mixed bipolar affective disorder, moderate\\""""	""bipolar""",
"""63284""",UNKNOWN,true,"""E1163""	""\\""Mixed bipolar affective disorder, severe, without psychosis\\""""	""bipolar""",
"""54195""",UNKNOWN,true,"""E1164""	""\\""Mixed bipolar affective disorder, severe, with psychosis\\""""	""bipolar""",
"""63651""",UNKNOWN,true,"""E1165""	""\\""Mixed bipolar affective disorder, partial/unspec remission\\""""	""bipolar""",
"""55064""",UNKNOWN,true,"""E1166""	""\\""Mixed bipolar affective disorder, in full remission\\""""	""bipolar""",
"""63583""",UNKNOWN,true,"""E116z""	""\\""Mixed bipolar affective disorder, NOS\\""""	""bipolar""",
