code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Metformin""",
"""5132241000033116""",UNKNOWN,true,"""Janumet 50mg/1000mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""1.000gram + 50.000mg""	NA	""Metformin""",
"""5576041000033115""",UNKNOWN,true,"""Metformin 1g / Sitagliptin 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""1.000gram + 50.000mg""	""06010203""	""Metformin""",
"""5997041000033115""",UNKNOWN,true,"""Metformin 500mg/5ml oral solution""	""Oral solution""	""Oral""	""Metformin""	""100.000mg/1.000ml""	""06010202""	""Metformin""",
"""6029841000033115""",UNKNOWN,true,"""Metabet SR 500mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""500.000mg""	NA	""Metformin""",
"""6279741000033117""",UNKNOWN,true,"""Metabet SR 1000mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""1.000gram""	NA	""Metformin""",
"""6391041000033117""",UNKNOWN,true,"""Glucient SR 500mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""500.000mg""	NA	""Metformin""",
"""7874941000033110""",UNKNOWN,true,"""Diagemet XL 500mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""500.000mg""	NA	""Metformin""",
"""8115741000033119""",UNKNOWN,true,"""Linagliptin 2.5mg / Metformin 1g tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""2.500mg + 1000.000mg""	""06010203""	""Metformin""",
"""8115841000033112""",UNKNOWN,true,"""Linagliptin 2.5mg / Metformin 850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""2.500mg + 850.000mg""	""06010203""	""Metformin""",
"""8115941000033116""",UNKNOWN,true,"""Jentadueto 2.5mg/1000mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""2.500mg + 1000.000mg""	NA	""Metformin""",
"""8116041000033114""",UNKNOWN,true,"""Jentadueto 2.5mg/850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""2.500mg + 850.000mg""	NA	""Metformin""",
"""8242541000033112""",UNKNOWN,true,"""Saxagliptin 2.5mg / Metformin 850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""850.000mg + 2.500mg""	""06010203""	""Metformin""",
"""8242641000033113""",UNKNOWN,true,"""Saxagliptin 2.5mg / Metformin 1g tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""1.000gram + 2.500mg""	""06010203""	""Metformin""",
"""8242741000033116""",UNKNOWN,true,"""Komboglyze 2.5mg/850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""850.000mg + 2.500mg""	NA	""Metformin""",
"""8242841000033114""",UNKNOWN,true,"""Komboglyze 2.5mg/1000mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""1.000gram + 2.500mg""	NA	""Metformin""",
"""8348941000033113""",UNKNOWN,true,"""Bolamyn SR 1000mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""1.000gram""	NA	""Metformin""",
"""8959841000033119""",UNKNOWN,true,"""Alogliptin 12.5mg / Metformin 1g tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""12.500mg + 1.000gram""	""06010203""	""Metformin""",
"""8959941000033110""",UNKNOWN,true,"""Vipdomet 12.5mg/1000mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""12.500mg + 1.000gram""	NA	""Metformin""",
"""9106041000033110""",UNKNOWN,true,"""Dapagliflozin 5mg / Metformin 1g tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""5.000mg + 1.000gram""	""06010203""	""Metformin""",
"""9106141000033114""",UNKNOWN,true,"""Dapagliflozin 5mg / Metformin 850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""5.000mg + 850.000mg""	""06010203""	""Metformin""",
"""9106241000033119""",UNKNOWN,true,"""Xigduo 5mg/1000mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""5.000mg + 1.000gram""	NA	""Metformin""",
"""9106341000033112""",UNKNOWN,true,"""Xigduo 5mg/850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""5.000mg + 850.000mg""	NA	""Metformin""",
"""9230641000033113""",UNKNOWN,true,"""Sukkarto SR 500mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""500.000mg""	NA	""Metformin""",
"""9230841000033114""",UNKNOWN,true,"""Sukkarto SR 1000mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""1.000gram""	NA	""Metformin""",
"""9851541000033114""",UNKNOWN,true,"""Canagliflozin 50mg / Metformin 1g tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""50.000mg + 1.000gram""	""06010203""	""Metformin""",
"""9851641000033110""",UNKNOWN,true,"""Canagliflozin 50mg / Metformin 850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""50.000mg + 850.000mg""	""06010203""	""Metformin""",
"""9851741000033118""",UNKNOWN,true,"""Vokanamet 50mg/850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""50.000mg + 850.000mg""	NA	""Metformin""",
"""9851841000033111""",UNKNOWN,true,"""Vokanamet 50mg/1000mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""50.000mg + 1.000gram""	NA	""Metformin""",
"""10598841000033113""",UNKNOWN,true,"""Glucient SR 750mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""750.000mg""	NA	""Metformin""",
"""10598941000033117""",UNKNOWN,true,"""Glucient SR 1000mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""1.000gram""	NA	""Metformin""",
"""10614141000033116""",UNKNOWN,true,"""Empagliflozin 5mg / Metformin 850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""5.000mg + 850.000mg""	""06010203""	""Metformin""",
"""10614241000033111""",UNKNOWN,true,"""Empagliflozin 5mg / Metformin 1g tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""5.000mg + 1.000gram""	""06010203""	""Metformin""",
"""10614341000033118""",UNKNOWN,true,"""Empagliflozin 12.5mg / Metformin 850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""12.500mg + 850.000mg""	""06010203""	""Metformin""",
"""10614441000033112""",UNKNOWN,true,"""Empagliflozin 12.5mg / Metformin 1g tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""12.500mg + 1.000gram""	""06010203""	""Metformin""",
"""10614541000033113""",UNKNOWN,true,"""Synjardy 5mg/850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""5.000mg + 850.000mg""	NA	""Metformin""",
"""10614641000033114""",UNKNOWN,true,"""Synjardy 5mg/1000mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""5.000mg + 1.000gram""	NA	""Metformin""",
"""10614741000033117""",UNKNOWN,true,"""Synjardy 12.5mg/850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""12.500mg + 850.000mg""	NA	""Metformin""",
"""10614841000033110""",UNKNOWN,true,"""Synjardy 12.5mg/1000mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""12.500mg + 1.000gram""	NA	""Metformin""",
"""11781341000033117""",UNKNOWN,true,"""Metformin 1g/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Metformin""	""200.000mg/1.000ml""	""06010202""	""Metformin""",
"""11781441000033111""",UNKNOWN,true,"""Metformin 850mg/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Metformin""	""170.000mg/1.000ml""	""06010202""	""Metformin""",
"""12326541000033110""",UNKNOWN,true,"""Meijumet 500mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""500.000mg""	NA	""Metformin""",
"""12326641000033111""",UNKNOWN,true,"""Meijumet 750mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""750.000mg""	NA	""Metformin""",
"""12326741000033119""",UNKNOWN,true,"""Meijumet 1000mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""1.000gram""	NA	""Metformin""",
"""12593141000033115""",UNKNOWN,true,"""Yaltormin SR 500mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""500.000mg""	NA	""Metformin""",
"""12593241000033110""",UNKNOWN,true,"""Yaltormin SR 750mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""750.000mg""	NA	""Metformin""",
"""12593341000033117""",UNKNOWN,true,"""Yaltormin SR 1000mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""1.000gram""	NA	""Metformin""",
"""12664441000033115""",UNKNOWN,true,"""Metuxtan SR 500mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""500.000mg""	NA	""Metformin""",
"""13429041000033112""",UNKNOWN,true,"""Sukkarto SR 750mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""750.000mg""	NA	""Metformin""",
"""13606641000033119""",UNKNOWN,true,"""Glucorex SR 500mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""500.000mg""	NA	""Metformin""",
"""13803041000033110""",UNKNOWN,true,"""Metformin 1g tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""1.000gram""	""06010202""	""Metformin""",
"""13828541000033119""",UNKNOWN,true,"""Axpinet 500mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""500.000mg""	NA	""Metformin""",
"""13828641000033118""",UNKNOWN,true,"""Axpinet 850mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Metformin""	""850.000mg""	NA	""Metformin""",
"""14018041000033118""",UNKNOWN,true,"""Jesacrin 1000mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""1.000gram""	NA	""Metformin""",
"""14256541000033111""",UNKNOWN,true,"""Jesacrin 500mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""500.000mg""	NA	""Metformin""",
"""14454541000033117""",UNKNOWN,true,"""Metformin 850mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""850.000mg""	""06010202""	""Metformin""",
"""14454641000033116""",UNKNOWN,true,"""Glucophage SR 850mg tablets""	""Modified-release tablet""	""Oral""	""Metformin""	""850.000mg""	NA	""Metformin""",
