code,code_system,include,term,notes
"""chapter""",UNKNOWN,true,"""code""	""title""	""primary_only""	""type""",
"""05""",UNKNOWN,true,"""F10.9""	""Mental and behavioural disorders due to use of alcohol: Unspecified mental and behavioural disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F11.-""	""Mental and behavioural disorders due to use of opioids""	TRUE	""group_heading""",
"""05""",UNKNOWN,true,"""F11.0""	""Mental and behavioural disorders due to use of opioids: Acute intoxication""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F11.1""	""Mental and behavioural disorders due to use of opioids: Harmful use""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F11.2""	""Mental and behavioural disorders due to use of opioids: Dependence syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F11.3""	""Mental and behavioural disorders due to use of opioids: Withdrawal state""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F11.4""	""Mental and behavioural disorders due to use of opioids: Withdrawal state with delirium""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F11.5""	""Mental and behavioural disorders due to use of opioids: Psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F11.6""	""Mental and behavioural disorders due to use of opioids: Amnesic syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F11.7""	""Mental and behavioural disorders due to use of opioids: Residual and late-onset psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F11.8""	""Mental and behavioural disorders due to use of opioids: Other mental and behavioural disorders""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F11.9""	""Mental and behavioural disorders due to use of opioids: Unspecified mental and behavioural disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F12.-""	""Mental and behavioural disorders due to use of cannabinoids""	TRUE	""group_heading""",
"""05""",UNKNOWN,true,"""F12.0""	""Mental and behavioural disorders due to use of cannabinoids: Acute intoxication""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F12.1""	""Mental and behavioural disorders due to use of cannabinoids: Harmful use""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F12.2""	""Mental and behavioural disorders due to use of cannabinoids: Dependence syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F12.3""	""Mental and behavioural disorders due to use of cannabinoids: Withdrawal state""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F12.4""	""Mental and behavioural disorders due to use of cannabinoids: Withdrawal state with delirium""	TRUE	""psych_primary""",
