code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""term""	""database""",
"""70051000006115""",UNKNOWN,true,"""urine screening for glucose""	""Aurum""",
"""70361000006116""",UNKNOWN,true,"""urine test for glucose""	""Aurum""",
"""116631000006118""",UNKNOWN,true,"""supper time blood glucose level""	""Aurum""",
"""119441000006118""",UNKNOWN,true,"""sugar - urine test""	""Aurum""",
"""119451000006116""",UNKNOWN,true,"""sugars in urine""	""Aurum""",
"""128091000000112""",UNKNOWN,true,"""blood glucose level""	""Aurum""",
"""129841000000118""",UNKNOWN,true,"""serum glucose level""	""Aurum""",
"""134471000000110""",UNKNOWN,true,"""plasma glucose level""	""Aurum""",
"""147481000006113""",UNKNOWN,true,"""self-monitoring of blood and urine glucose""	""Aurum""",
"""147491000006111""",UNKNOWN,true,"""self-monitoring of blood glucose""	""Aurum""",
"""147501000006115""",UNKNOWN,true,"""self-monitoring of urine glucose""	""Aurum""",
"""191761000006112""",UNKNOWN,true,"""random blood sugar""	""Aurum""",
"""212381000006110""",UNKNOWN,true,"""postsurgical hyperglycaemia nos""	""Aurum""",
"""216681000006119""",UNKNOWN,true,"""post-prandial blood glucose concentration""	""Aurum""",
"""224191000006110""",UNKNOWN,true,"""plasma glucose level""	""Aurum""",
"""294711000006113""",UNKNOWN,true,"""[d]drug induced hyperglycaemia""	""Aurum""",
"""433741000006118""",UNKNOWN,true,"""2 hour post-prandial blood glucose level""	""Aurum""",
"""433751000006116""",UNKNOWN,true,"""2 hours post-food blood sugar""	""Aurum""",
"""500531000006111""",UNKNOWN,true,"""average home blood glucose""	""Aurum""",
"""500541000006118""",UNKNOWN,true,"""average post-breakfast blood glucose""	""Aurum""",
"""500551000006116""",UNKNOWN,true,"""average post-dinner blood glucose""	""Aurum""",
"""500561000006119""",UNKNOWN,true,"""average post-lunch blood glucose""	""Aurum""",
"""500571000006114""",UNKNOWN,true,"""average pre-bed blood glucose""	""Aurum""",
"""500581000006112""",UNKNOWN,true,"""average pre-bed sugar""	""Aurum""",
"""500591000006110""",UNKNOWN,true,"""average pre-breakfast blood glucose""	""Aurum""",
"""500601000006119""",UNKNOWN,true,"""average pre-breakfast sugar""	""Aurum""",
"""500621000006112""",UNKNOWN,true,"""average pre-evening meal sugar""	""Aurum""",
"""500631000006110""",UNKNOWN,true,"""average pre-lunch blood glucose""	""Aurum""",
"""500641000006117""",UNKNOWN,true,"""average pre-lunch sugar""	""Aurum""",
"""500651000006115""",UNKNOWN,true,"""average pre-tea blood glucose""	""Aurum""",
"""504451000006113""",UNKNOWN,true,"""bedtime blood sugar""	""Aurum""",
"""517791000006115""",UNKNOWN,true,"""blood glucose result""	""Aurum""",
"""517921000006115""",UNKNOWN,true,"""blood hyperglycaemia nos""	""Aurum""",
"""518531000006111""",UNKNOWN,true,"""blood sugar method""	""Aurum""",
"""518541000006118""",UNKNOWN,true,"""blood sugar result""	""Aurum""",
"""616341000006117""",UNKNOWN,true,"""diabetes mellitus screening""	""Aurum""",
"""621801000006111""",UNKNOWN,true,"""dipstick blood sugar""	""Aurum""",
"""635701000000114""",UNKNOWN,true,"""240 minute plasma glucose level""	""Aurum""",
"""635711000000111""",UNKNOWN,true,"""300 minute plasma glucose level""	""Aurum""",
"""661741000006114""",UNKNOWN,true,"""faecal sugars - general""	""Aurum""",
"""667181000006113""",UNKNOWN,true,"""fasting blood sugar""	""Aurum""",
"""733311000006111""",UNKNOWN,true,"""blood glucose level before lunch""	""Aurum""",
"""762431000006110""",UNKNOWN,true,"""fluid sample glucose""	""Aurum""",
"""777231000006119""",UNKNOWN,true,"""diabetic monitoring - injection sites""	""Aurum""",
"""803551000006111""",UNKNOWN,true,"""glucose - urine titre""	""Aurum""",
"""853071000006116""",UNKNOWN,true,"""2 hour post prandial glucose""	""Aurum""",
