code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""GLP-1RA""",
"""12876241000033111""",UNKNOWN,true,"""Semaglutide 0.25mg/0.19ml solution for injection 1.5ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""1.340mg/1.000ml""	""06010203""	""Semaglutide""",
"""12876341000033118""",UNKNOWN,true,"""Semaglutide 0.5mg/0.37ml solution for injection 1.5ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""1.340mg/1.000ml""	""06010203""	""Semaglutide""",
"""12876441000033112""",UNKNOWN,true,"""Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""1.340mg/1.000ml""	NA	""Semaglutide""",
"""12876541000033113""",UNKNOWN,true,"""Ozempic 0.25mg/0.19ml solution for injection 1.5ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""1.340mg/1.000ml""	NA	""Semaglutide""",
"""12876641000033114""",UNKNOWN,true,"""Ozempic 0.5mg/0.37ml solution for injection 1.5ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""1.340mg/1.000ml""	NA	""Semaglutide""",
"""12902541000033110""",UNKNOWN,true,"""Suliqua 100units/ml / 33micrograms/ml solution for injection 3ml pre-filled SoloStar pens""	""Solution for injection""	""Subcutaneous""	""Lixisenatide""	""100.000unit/1.000ml + 100.000unit/1.000ml + 33.000microgram/1.000ml""	NA	""Lixisenatide""",
"""12902641000033111""",UNKNOWN,true,"""Suliqua 100units/ml / 50micrograms/ml solution for injection 3ml pre-filled SoloStar pens""	""Solution for injection""	""Subcutaneous""	""Lixisenatide""	""100.000unit/1.000ml + 100.000unit/1.000ml + 50.000microgram/1.000ml""	NA	""Lixisenatide""",
"""12902741000033119""",UNKNOWN,true,"""Insulin glargine 100units/ml / Lixisenatide 33micrograms/ml solution for injection 3ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Lixisenatide""	""100.000unit/1.000ml + 100.000unit/1.000ml + 33.000microgram/1.000ml""	""06010102""	""Lixisenatide""",
"""12902841000033112""",UNKNOWN,true,"""Insulin glargine 100units/ml / Lixisenatide 50micrograms/ml solution for injection 3ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Lixisenatide""	""100.000unit/1.000ml + 100.000unit/1.000ml + 50.000microgram/1.000ml""	""06010102""	""Lixisenatide""",
"""13427341000033118""",UNKNOWN,true,"""Exenatide 2mg powder and solvent for prolonged-release suspension for injection pre-filled disposable devices""	""Powder and solvent for prolonged-release suspension for inj""	""Subcutaneous""	""Exenatide""	""2.000mg""	""06010203""	""Exenatide""",
"""13427441000033112""",UNKNOWN,true,"""Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens""	""Powder and solvent for prolonged-release suspension for inj""	""Subcutaneous""	""Exenatide""	""2.000mg""	NA	""Exenatide""",
"""13427541000033113""",UNKNOWN,true,"""Exenatide 2mg/0.85ml prolonged-release suspension for injection pre-filled disposable devices""	""Prolonged-release suspension for injection/""	""Subcutaneous""	""Exenatide""	""2.353mg/1.000ml""	""06010203""	""Exenatide""",
"""13427641000033114""",UNKNOWN,true,"""Bydureon BCise 2mg/0.85ml prolonged-release suspension for injection pre-filled pens""	""Prolonged-release suspension for injection/""	""Subcutaneous""	""Exenatide""	""2.353mg/1.000ml""	NA	""Exenatide""",
"""13712241000033110""",UNKNOWN,true,"""Semaglutide 3mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Semaglutide""	""3.000mg""	""06010203""	""Semaglutide""",
"""13712341000033117""",UNKNOWN,true,"""Semaglutide 7mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Semaglutide""	""7.000mg""	""06010203""	""Semaglutide""",
"""13712441000033111""",UNKNOWN,true,"""Semaglutide 14mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Semaglutide""	""14.000mg""	""06010203""	""Semaglutide""",
"""13712541000033112""",UNKNOWN,true,"""Rybelsus 3mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Semaglutide""	""3.000mg""	NA	""Semaglutide""",
"""13712641000033113""",UNKNOWN,true,"""Rybelsus 7mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Semaglutide""	""7.000mg""	NA	""Semaglutide""",
"""13712741000033116""",UNKNOWN,true,"""Rybelsus 14mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Semaglutide""	""14.000mg""	NA	""Semaglutide""",
"""13753141000033118""",UNKNOWN,true,"""Dulaglutide 3mg/0.5ml solution for injection pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Dulaglutide""	""6.000mg/1.000ml""	""06010203""	""Dulaglutide""",
"""13753241000033113""",UNKNOWN,true,"""Dulaglutide 4.5mg/0.5ml solution for injection pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Dulaglutide""	""9.000mg/1.000ml""	""06010203""	""Dulaglutide""",
"""13753341000033115""",UNKNOWN,true,"""Trulicity 3mg/0.5ml solution for injection pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Dulaglutide""	""6.000mg/1.000ml""	NA	""Dulaglutide""",
"""13753441000033114""",UNKNOWN,true,"""Trulicity 4.5mg/0.5ml solution for injection pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Dulaglutide""	""9.000mg/1.000ml""	NA	""Dulaglutide""",
"""14116341000033114""",UNKNOWN,true,"""Tirzepatide 2.5mg/0.5ml solution for injection pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""5.000mg/1.000ml""	""06010203""	""Tirzepatide""",
