code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Antiplatelets""",
"""1098041000033111""",UNKNOWN,true,"""PostMI 75 dispersible tablets""	""Dispersible tablet""	""Oral""	""Aspirin""	""75.000mg""	NA	""Aspirin""",
"""1101541000033119""",UNKNOWN,true,"""PostMI 75 EC tablets""	""Gastro-resistant tablet""	""Oral""	""Aspirin""	""75.000mg""	NA	""Aspirin""",
"""1365341000033118""",UNKNOWN,true,"""Soluble Aspirin  Tablets  300 mg""	""Tablet""	""Oral""	""Aspirin""	NA	NA	""Aspirin""",
"""1365441000033112""",UNKNOWN,true,"""Soluble Aspirin Paediatric  Tablets  75 mg""	""Tablet""	""Oral""	""Aspirin""	NA	NA	""Aspirin""",
"""1571541000033117""",UNKNOWN,true,"""Asasantin Retard capsules""	""Modified-release capsule""	""Oral""	""Aspirin/Dipyridamole""	""25.000mg + 200.000mg""	NA	""Aspirin/Dipyridamole""",
"""1583541000033113""",UNKNOWN,true,"""Clopidogrel 75mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Clopidogrel""	""75.000mg""	""02090000""	""Clopidogrel""",
"""1602841000033113""",UNKNOWN,true,"""Dipyridamole  Sugar-free suspension  100 mg/5 ml""	NA	NA	""Dipyridamole""	NA	NA	""Dipyridamole""",
"""1667041000033119""",UNKNOWN,true,"""Plavix 75mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Clopidogrel""	""75.000mg""	NA	""Clopidogrel""",
"""1728341000033118""",UNKNOWN,true,"""Dipyridamole 50mg/5ml oral suspension sugar free""	""Oral suspension""	""Oral""	""Dipyridamole""	""10.000mg/1.000ml""	""02090000""	""Dipyridamole""",
"""1729141000033110""",UNKNOWN,true,"""Enprin 75mg gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Aspirin""	""75.000mg""	NA	""Aspirin""",
"""1739541000033116""",UNKNOWN,true,"""Imazin XL tablets""	""Modified-release tablet""	""Oral""	""Aspirin""	""75.000mg + 60.000mg""	NA	""Aspirin""",
"""1739641000033115""",UNKNOWN,true,"""Imazin XL forte tablets""	""Modified-release tablet""	""Oral""	""Aspirin""	""150.000mg + 60.000mg""	NA	""Aspirin""",
"""1770041000033119""",UNKNOWN,true,"""Ticlopidine 250mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Ticlopidine""	""250.000mg""	""02090000""	""Ticlopidine""",
"""1770141000033115""",UNKNOWN,true,"""Ticlid 250mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Ticlopidine""	""250.000mg""	NA	""Ticlopidine""",
"""1843841000033119""",UNKNOWN,true,"""Integrilin 20mg/10ml solution for injection vials""	""Solution for injection""	""Intravenous""	""Eptifibatide""	""2.000mg/1.000ml""	NA	""Eptifibatide""",
"""2013341000033115""",UNKNOWN,true,"""Aspirin 300mg suppositories""	""Suppository""	""Rectal""	""Aspirin""	""300.000mg""	""04070100""	""Aspirin""",
"""2013441000033114""",UNKNOWN,true,"""Aspirin 150mg suppositories""	""Suppository""	""Rectal""	""Aspirin""	""150.000mg""	""04070100""	""Aspirin""",
"""2085241000033111""",UNKNOWN,true,"""Aspirin powder""	""Not applicable""	""Route of administration not applicable""	""Aspirin""	""1.000mg/1.000mg""	""04070100""	""Aspirin""",
"""2086841000033117""",UNKNOWN,true,"""MigraMax oral powder sachets""	""Powder for oral solution/ Powder""	""Oral""	""Aspirin""	""900.000mg + 10.000mg""	NA	""Aspirin""",
"""2273741000033118""",UNKNOWN,true,"""Micropirin 75mg gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Aspirin""	""75.000mg""	NA	""Aspirin""",
"""3160741000033110""",UNKNOWN,true,"""Dipyridamole 200mg modified-release / Aspirin 25mg capsules""	""Modified-release capsule""	""Oral""	""Aspirin/Dipyridamole""	""25.000mg + 200.000mg""	""02090000""	""Aspirin/Dipyridamole""",
"""3162041000033113""",UNKNOWN,true,"""Aspirin 75mg / Isosorbide mononitrate 60mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Aspirin""	""75.000mg + 60.000mg""	""02060100""	""Aspirin""",
"""3162141000033112""",UNKNOWN,true,"""Aspirin 150mg / Isosorbide mononitrate 60mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Aspirin""	""150.000mg + 60.000mg""	""02060100""	""Aspirin""",
"""3836841000033119""",UNKNOWN,true,"""Aspirin 900mg / Metoclopramide 10mg oral powder sachets sugar free""	""Powder for oral solution/ Powder""	""Oral""	""Aspirin""	""900.000mg + 10.000mg""	""04070401""	""Aspirin""",
"""3849841000033110""",UNKNOWN,true,"""Aspirin 500mg / Papaveretum 7.71mg dispersible tablets sugar free""	""Dispersible tablet/""	""Oral""	""Aspirin""	""500.000mg + 7.710mg""	""04070100""	""Aspirin""",
"""3934341000033112""",UNKNOWN,true,"""Aspirin 500mg / Codeine 8mg dispersible tablets sugar free""	""Dispersible tablet/""	""Oral""	""Aspirin""	""500.000mg + 8.000mg""	""04070100""	""Aspirin""",
"""3934441000033118""",UNKNOWN,true,"""Codis 500 dispersible tablets""	""Dispersible tablet/""	""Oral""	""Aspirin""	""500.000mg + 8.000mg""	NA	""Aspirin""",
"""4043341000033119""",UNKNOWN,true,"""Aspirin  Powder Sachets Lactose Free  75 mg""	""Granules""	""Oral""	""Aspirin""	NA	NA	""Aspirin""",
"""4431841000033118""",UNKNOWN,true,"""Aspro Clear 300mg effervescent tablets""	""Effervescent tablet""	""Oral""	""Aspirin""	""300.000mg""	NA	""Aspirin""",
"""4431941000033114""",UNKNOWN,true,"""Maximum Strength Aspro Clear 500mg effervescent tablets""	""Effervescent tablet""	""Oral""	""Aspirin""	""500.000mg""	NA	""Aspirin""",
"""4519641000033119""",UNKNOWN,true,"""Clopidogrel 300mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Clopidogrel""	""300.000mg""	""02090000""	""Clopidogrel""",
"""4519741000033111""",UNKNOWN,true,"""Plavix 300mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Clopidogrel""	""300.000mg""	NA	""Clopidogrel""",
"""4956441000033110""",UNKNOWN,true,"""Prasugrel 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Prasugrel""	""5.000mg""	""02090000""	""Prasugrel""",
"""4956541000033111""",UNKNOWN,true,"""Prasugrel 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Prasugrel""	""10.000mg""	""02090000""	""Prasugrel""",
"""4956641000033112""",UNKNOWN,true,"""Efient 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Prasugrel""	""5.000mg""	NA	""Prasugrel""",
"""4956741000033115""",UNKNOWN,true,"""Efient 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Prasugrel""	""10.000mg""	NA	""Prasugrel""",
"""5020341000033117""",UNKNOWN,true,"""Dipyridamole 200mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Dipyridamole""	""40.000mg/1.000ml""	""02090000""	""Dipyridamole""",
"""5052341000033115""",UNKNOWN,true,"""Dipyridamole 100mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Dipyridamole""	""20.000mg/1.000ml""	""02090000""	""Dipyridamole""",
"""5242341000033112""",UNKNOWN,true,"""Grepid 75mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Clopidogrel""	""75.000mg""	NA	""Clopidogrel""",
"""5401541000033119""",UNKNOWN,true,"""Dipyridamole 250mg/5ml oral solution""	""Oral solution""	""Oral""	""Dipyridamole""	""50.000mg/1.000ml""	""02090000""	""Dipyridamole""",
"""5889941000033115""",UNKNOWN,true,"""Dipyridamole 100mg/5ml oral solution""	""Oral solution""	""Oral""	""Dipyridamole""	""20.000mg/1.000ml""	""02090000""	""Dipyridamole""",
"""5992041000033118""",UNKNOWN,true,"""Dipyridamole 200mg/5ml oral solution""	""Oral solution""	""Oral""	""Dipyridamole""	""40.000mg/1.000ml""	""02090000""	""Dipyridamole""",
"""6059341000033111""",UNKNOWN,true,"""Ticagrelor 90mg tablets""	""Tablet/ Oral Tablet""	""Oral/ Gastroenteral""	""Ticagrelor""	""90.000mg""	""02090000""	""Ticagrelor""",
"""6059441000033117""",UNKNOWN,true,"""Brilique 90mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Ticagrelor""	""90.000mg""	NA	""Ticagrelor""",
"""6122841000033118""",UNKNOWN,true,"""Clopidogrel 75mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Clopidogrel""	""15.000mg/1.000ml""	""02090000""	""Clopidogrel""",
