code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Psychotropic""	""group""",
"""70241000033114""",UNKNOWN,true,"""Anafranil SR 75mg tablets""	""Modified-release tablet""	""Oral""	""Clomipramine""	""75.000mg""	NA	""Clomipramine""	""Antidepressants""",
"""87641000033116""",UNKNOWN,true,"""Asendis 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amoxapine""	""100.000mg""	NA	""Amoxapine""	""Antidepressants""",
"""87941000033111""",UNKNOWN,true,"""Asendis 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amoxapine""	""50.000mg""	NA	""Amoxapine""	""Antidepressants""",
"""145141000033119""",UNKNOWN,true,"""Benperidol 250microgram tablets""	""Tablet/ Oral Tablet""	""Oral""	""Benperidol""	""250.000microgram""	""04020100""	""Benperidol""	""Antipsychotics""",
"""173841000033113""",UNKNOWN,true,"""Buccastem 3mg tablets""	""Buccal tablet""	""Buccal""	""Prochlorperazine""	""3.000mg""	NA	""Prochlorperazine""	""Antipsychotics""",
"""178741000033110""",UNKNOWN,true,"""Carbamazepine 100mg chewable tablets sugar free""	""Chewable tablet""	""Oral""	""Carbamazepine""	""100.000mg""	""04080100""	""Carbamazepine""	""Mood Stabilisers""",
"""178841000033117""",UNKNOWN,true,"""Carbamazepine 200mg chewable tablets sugar free""	""Chewable tablet""	""Oral""	""Carbamazepine""	""200.000mg""	""04080100""	""Carbamazepine""	""Mood Stabilisers""",
"""198141000033115""",UNKNOWN,true,"""Carbamazepine 100mg/5ml oral suspension sugar free""	""Oral suspension""	""Oral""	""Carbamazepine""	""20.000mg/1.000ml""	""04080100""	""Carbamazepine""	""Mood Stabilisers""",
"""207541000033111""",UNKNOWN,true,"""Carbamazepine 125mg suppositories""	""Suppository""	""Rectal""	""Carbamazepine""	""125.000mg""	""04080100""	""Carbamazepine""	""Mood Stabilisers""",
"""207641000033112""",UNKNOWN,true,"""Carbamazepine 250mg suppositories""	""Suppository""	""Rectal""	""Carbamazepine""	""250.000mg""	""04080100""	""Carbamazepine""	""Mood Stabilisers""",
"""208141000033115""",UNKNOWN,true,"""Carbamazepine  Sugar-free liquid  100mg/5ml""	NA	NA	""Carbamazepine""	NA	NA	""Carbamazepine""	""Mood Stabilisers""",
"""208541000033112""",UNKNOWN,true,"""Carbamazepine  Syrup  100 mg/5 ml""	""Oral solution""	""Oral""	""Carbamazepine""	NA	NA	""Carbamazepine""	""Mood Stabilisers""",
"""212541000033112""",UNKNOWN,true,"""Carbamazepine 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Carbamazepine""	""100.000mg""	""04080100""	""Carbamazepine""	""Mood Stabilisers""",
"""212641000033113""",UNKNOWN,true,"""Carbamazepine 200mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Carbamazepine""	""200.000mg""	""04080100""	""Carbamazepine""	""Mood Stabilisers""",
"""212741000033116""",UNKNOWN,true,"""Carbamazepine 400mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Carbamazepine""	""400.000mg""	""04080100""	""Carbamazepine""	""Mood Stabilisers""",
"""213841000033116""",UNKNOWN,true,"""Camcolit 250 tablets""	""Tablet/ Oral Tablet""	""Oral""	""Lithium""	""250.000mg""	NA	""Lithium""	""Mood Stabilisers""",
"""214741000033112""",UNKNOWN,true,"""Carbamazepine  Tablets  100 mg""	""Tablet""	""Oral""	""Carbamazepine""	NA	NA	""Carbamazepine""	""Mood Stabilisers""",
"""214841000033119""",UNKNOWN,true,"""Carbamazepine  Tablets  200 mg""	""Tablet""	""Oral""	""Carbamazepine""	NA	NA	""Carbamazepine""	""Mood Stabilisers""",
"""214941000033110""",UNKNOWN,true,"""Carbamazepine  Tablets  400 mg""	""Tablet""	""Oral""	""Carbamazepine""	NA	NA	""Carbamazepine""	""Mood Stabilisers""",
"""215541000033117""",UNKNOWN,true,"""Camcolit 400 modified-release tablets""	""Modified-release tablet""	""Oral""	""Lithium""	""400.000mg""	NA	""Lithium""	""Mood Stabilisers""",
"""218241000033113""",UNKNOWN,true,"""Carbamazepine  C/r tablets  200 mg""	""Tablet""	""Oral""	""Carbamazepine""	NA	NA	""Carbamazepine""	""Mood Stabilisers""",
"""218341000033115""",UNKNOWN,true,"""Carbamazepine  C/r tablets  400 mg""	""Tablet""	""Oral""	""Carbamazepine""	NA	NA	""Carbamazepine""	""Mood Stabilisers""",
"""240041000033110""",UNKNOWN,true,"""Chlorpromazine 25mg/5ml oral solution""	""Oral solution""	""Oral""	""Chlorpromazine""	""5.000mg/1.000ml""	""04020100""	""Chlorpromazine""	""Antipsychotics""",
"""241341000033116""",UNKNOWN,true,"""Chlorpromazine 50mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Chlorpromazine""	""25.000mg/1.000ml""	""04020100""	""Chlorpromazine""	""Antipsychotics""",
"""242241000033115""",UNKNOWN,true,"""Chlorpromazine Hydrochloride  Injection  100 mg/5 ml""	""Solution for injection""	""Intramuscular""	""Chlorpromazine""	NA	NA	""Chlorpromazine""	""Antipsychotics""",
"""242341000033113""",UNKNOWN,true,"""Chlorpromazine Hydrochloride  Injection  25 mg/ml""	""Solution for injection""	""Intramuscular""	""Chlorpromazine""	NA	NA	""Chlorpromazine""	""Antipsychotics""",
"""246541000033119""",UNKNOWN,true,"""Chlorpromazine Hydrochloride  Suppositories  100 mg""	""Suppository""	""Rectal""	""Chlorpromazine""	NA	NA	""Chlorpromazine""	""Antipsychotics""",
"""246641000033118""",UNKNOWN,true,"""Chlorpromazine 100mg/5ml oral suspension sugar free""	""Oral suspension""	""Oral""	""Chlorpromazine""	""20.000mg/1.000ml""	""04020100""	""Chlorpromazine""	""Antipsychotics""",
"""249041000033117""",UNKNOWN,true,"""Chlorpromazine 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpromazine""	""10.000mg""	""04020100""	""Chlorpromazine""	""Antipsychotics""",
"""249141000033118""",UNKNOWN,true,"""Chlorpromazine 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpromazine""	""100.000mg""	""04020100""	""Chlorpromazine""	""Antipsychotics""",
"""249241000033113""",UNKNOWN,true,"""Chlorpromazine 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpromazine""	""25.000mg""	""04020100""	""Chlorpromazine""	""Antipsychotics""",
