"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Antiplatelets"
"1667041000033119"	"Plavix 75mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clopidogrel"	"75.000mg"	NA	"Clopidogrel"
"1728341000033118"	"Dipyridamole 50mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Dipyridamole"	"10.000mg/1.000ml"	"02090000"	"Dipyridamole"
"1729141000033110"	"Enprin 75mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Aspirin"	"75.000mg"	NA	"Aspirin"
"1739541000033116"	"Imazin XL tablets"	"Modified-release tablet"	"Oral"	"Aspirin"	"75.000mg + 60.000mg"	NA	"Aspirin"
"1739641000033115"	"Imazin XL forte tablets"	"Modified-release tablet"	"Oral"	"Aspirin"	"150.000mg + 60.000mg"	NA	"Aspirin"
"1770041000033119"	"Ticlopidine 250mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Ticlopidine"	"250.000mg"	"02090000"	"Ticlopidine"
"1770141000033115"	"Ticlid 250mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Ticlopidine"	"250.000mg"	NA	"Ticlopidine"
"1843841000033119"	"Integrilin 20mg/10ml solution for injection vials"	"Solution for injection"	"Intravenous"	"Eptifibatide"	"2.000mg/1.000ml"	NA	"Eptifibatide"
"2013341000033115"	"Aspirin 300mg suppositories"	"Suppository"	"Rectal"	"Aspirin"	"300.000mg"	"04070100"	"Aspirin"
"2013441000033114"	"Aspirin 150mg suppositories"	"Suppository"	"Rectal"	"Aspirin"	"150.000mg"	"04070100"	"Aspirin"
"2085241000033111"	"Aspirin powder"	"Not applicable"	"Route of administration not applicable"	"Aspirin"	"1.000mg/1.000mg"	"04070100"	"Aspirin"
"2086841000033117"	"MigraMax oral powder sachets"	"Powder for oral solution/ Powder"	"Oral"	"Aspirin"	"900.000mg + 10.000mg"	NA	"Aspirin"
"2273741000033118"	"Micropirin 75mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Aspirin"	"75.000mg"	NA	"Aspirin"
"3160741000033110"	"Dipyridamole 200mg modified-release / Aspirin 25mg capsules"	"Modified-release capsule"	"Oral"	"Aspirin/Dipyridamole"	"25.000mg + 200.000mg"	"02090000"	"Aspirin/Dipyridamole"
"3162041000033113"	"Aspirin 75mg / Isosorbide mononitrate 60mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Aspirin"	"75.000mg + 60.000mg"	"02060100"	"Aspirin"
"3162141000033112"	"Aspirin 150mg / Isosorbide mononitrate 60mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Aspirin"	"150.000mg + 60.000mg"	"02060100"	"Aspirin"
"3836841000033119"	"Aspirin 900mg / Metoclopramide 10mg oral powder sachets sugar free"	"Powder for oral solution/ Powder"	"Oral"	"Aspirin"	"900.000mg + 10.000mg"	"04070401"	"Aspirin"
"3849841000033110"	"Aspirin 500mg / Papaveretum 7.71mg dispersible tablets sugar free"	"Dispersible tablet/"	"Oral"	"Aspirin"	"500.000mg + 7.710mg"	"04070100"	"Aspirin"
"3934341000033112"	"Aspirin 500mg / Codeine 8mg dispersible tablets sugar free"	"Dispersible tablet/"	"Oral"	"Aspirin"	"500.000mg + 8.000mg"	"04070100"	"Aspirin"
"3934441000033118"	"Codis 500 dispersible tablets"	"Dispersible tablet/"	"Oral"	"Aspirin"	"500.000mg + 8.000mg"	NA	"Aspirin"
"4043341000033119"	"Aspirin  Powder Sachets Lactose Free  75 mg"	"Granules"	"Oral"	"Aspirin"	NA	NA	"Aspirin"
"4431841000033118"	"Aspro Clear 300mg effervescent tablets"	"Effervescent tablet"	"Oral"	"Aspirin"	"300.000mg"	NA	"Aspirin"
"4431941000033114"	"Maximum Strength Aspro Clear 500mg effervescent tablets"	"Effervescent tablet"	"Oral"	"Aspirin"	"500.000mg"	NA	"Aspirin"
"4519641000033119"	"Clopidogrel 300mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clopidogrel"	"300.000mg"	"02090000"	"Clopidogrel"
"4519741000033111"	"Plavix 300mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clopidogrel"	"300.000mg"	NA	"Clopidogrel"
"4956441000033110"	"Prasugrel 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prasugrel"	"5.000mg"	"02090000"	"Prasugrel"
"4956541000033111"	"Prasugrel 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prasugrel"	"10.000mg"	"02090000"	"Prasugrel"
"4956641000033112"	"Efient 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prasugrel"	"5.000mg"	NA	"Prasugrel"
"4956741000033115"	"Efient 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prasugrel"	"10.000mg"	NA	"Prasugrel"
"5020341000033117"	"Dipyridamole 200mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Dipyridamole"	"40.000mg/1.000ml"	"02090000"	"Dipyridamole"
"5052341000033115"	"Dipyridamole 100mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Dipyridamole"	"20.000mg/1.000ml"	"02090000"	"Dipyridamole"
"5242341000033112"	"Grepid 75mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clopidogrel"	"75.000mg"	NA	"Clopidogrel"
"5401541000033119"	"Dipyridamole 250mg/5ml oral solution"	"Oral solution"	"Oral"	"Dipyridamole"	"50.000mg/1.000ml"	"02090000"	"Dipyridamole"
"5889941000033115"	"Dipyridamole 100mg/5ml oral solution"	"Oral solution"	"Oral"	"Dipyridamole"	"20.000mg/1.000ml"	"02090000"	"Dipyridamole"
"5992041000033118"	"Dipyridamole 200mg/5ml oral solution"	"Oral solution"	"Oral"	"Dipyridamole"	"40.000mg/1.000ml"	"02090000"	"Dipyridamole"
"6059341000033111"	"Ticagrelor 90mg tablets"	"Tablet/ Oral Tablet"	"Oral/ Gastroenteral"	"Ticagrelor"	"90.000mg"	"02090000"	"Ticagrelor"
"6059441000033117"	"Brilique 90mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Ticagrelor"	"90.000mg"	NA	"Ticagrelor"
"6122841000033118"	"Clopidogrel 75mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Clopidogrel"	"15.000mg/1.000ml"	"02090000"	"Clopidogrel"
"8031441000033112"	"Clopidogrel 1mg/ml oral suspension"	"Oral suspension"	"Oral"	"Clopidogrel"	"1.000mg/1.000ml"	"02090000"	"Clopidogrel"
"8300741000033118"	"Clopidogrel 4mg oral powder sachets"	"Oral powder/ Powder"	"Oral"	"Clopidogrel"	"4.000mg"	"02090000"	"Clopidogrel"
"8301241000033117"	"Clopidogrel 75mg/5ml oral solution"	"Oral solution"	"Oral"	"Clopidogrel"	"15.000mg/1.000ml"	"02090000"	"Clopidogrel"
"8619141000033116"	"Molita 200mg/25mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Aspirin/Dipyridamole"	"25.000mg + 200.000mg"	NA	"Aspirin/Dipyridamole"
"9165341000033117"	"Attia 200mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Dipyridamole"	"200.000mg"	NA	"Dipyridamole"
"10024941000033116"	"Bisoprolol 5mg / Aspirin 75mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Aspirin"	"75.000mg + 5.000mg"	"02040000"	"Aspirin"
"10025041000033116"	"Bisoprolol 5mg / Aspirin 100mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Aspirin"	"100.000mg + 5.000mg"	"02040000"	"Aspirin"
"10025241000033112"	"Bisoprolol 10mg / Aspirin 100mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Aspirin"	"100.000mg + 10.000mg"	"02040000"	"Aspirin"
"10333041000033118"	"Ofcram PR 200mg capsules"	"Modified-release capsule"	"Oral"	"Dipyridamole"	"200.000mg"	NA	"Dipyridamole"
"11072641000033113"	"Dipyridamole 200mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Dipyridamole"	"40.000mg/1.000ml"	"02090000"	"Dipyridamole"
"11422441000033119"	"Ticagrelor 60mg tablets"	"Tablet/ Oral Tablet"	"Oral/ Gastroenteral"	"Ticagrelor"	"60.000mg"	"02090000"	"Ticagrelor"
"11422741000033114"	"Brilique 60mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Ticagrelor"	"60.000mg"	NA	"Ticagrelor"
"11716941000033112"	"Danamep 75mg dispersible tablets"	"Dispersible tablet"	"Oral"	"Aspirin"	"75.000mg"	NA	"Aspirin"
"12195441000033115"	"Trolactin 200mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Dipyridamole"	"200.000mg"	NA	"Dipyridamole"
"12371041000033112"	"Ticagrelor 90mg orodispersible tablets sugar free"	"Orodispersible tablet"	"Oral"	"Ticagrelor"	"90.000mg"	"02090000"	"Ticagrelor"
"12371141000033111"	"Brilique 90mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Ticagrelor"	"90.000mg"	NA	"Ticagrelor"
"13283841000033111"	"Clopidogrel 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Clopidogrel"	"5.000mg/1.000ml"	"02090000"	"Clopidogrel"
"13862341000033115"	"Aspirin 325mg / Caffeine 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Aspirin"	"325.000mg + 15.000mg"	"04070100"	"Aspirin"
