"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"anticoagulants"
"84695"	13	"Heparin sodium 20,000units/20ml solution for injection ampoules (LEO Pharma)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"64559"	0	"Heparin sodium 1,000units/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"82342"	0	"Warfarin 3mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)"	"Warfarin"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"86921"	0	"Heparin sodium 25,000units/5ml solution for injection vials (LEO Pharma)"	"Heparin"	"5000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"64969"	0	"Clexane 20mg/0.2ml solution for injection pre-filled syringes (Sigma Pharmaceuticals Plc)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"6478"	9510	"Enoxaparin sodium 20mg/0.2ml solution for injection pre-filled syringes"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"9610"	2197	"Tinzaparin 20000 iu/ml Injection"	"Tinzaparin"	"20000 iu/ml"	"Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Tinzaparin"
"14110"	13283	"Tinzaparin sodium 10,000units/0.5ml solution for injection pre-filled syringes"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Tinzaparin"
"17664"	12594	"Clexane 60mg/0.6ml solution for injection pre-filled syringes (Sanofi)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"73853"	173	"Arovi 60mg/0.6ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"14138"	11260	"Enoxaparin sodium 60mg/0.6ml solution for injection pre-filled syringes"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"77268"	28	"Warfarin 5mg Tablet (C P Pharmaceuticals Ltd)"	"Warfarin"	"5mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"44491"	0	"Heparin sodium 125,000units/5ml solution for injection vials"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"Unknown"	"Heparin"
"81754"	0	"Warfarin 1mg Tablet (Forley Generics Ltd)"	"Warfarin"	"1mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"13716"	56	"Heparin sodium 25,000iu/ml Injection"	"Heparin"	"25,000iu/ml"	"Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Heparin"
"39503"	3362	"Dabigatran etexilate 75mg capsules"	"Dabigatran etexilate"	"75mg"	"Oral capsule"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Dabigatran etexilate"
"62902"	3170	"Tinzaparin sodium 16,000units/0.8ml solution for injection pre-filled syringes"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Tinzaparin"
"53745"	88	"Warfarin 3mg tablets (Bristol Laboratories Ltd)"	"Warfarin"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"18732"	77	"Innohep 3500 iu/0.3ml Sterile solution (LEO Pharma)"	"Tinzaparin"	"3500 iu/0.3ml"	"Sterile Solution"	NA	"Parenteral Anticoagulants"	"Tinzaparin"
