"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"anticoagulants"
"76787"	498	"Inhixa 120mg/0.8ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Enoxaparin"	"150mg/1ml"	"Solution for injection"	"Intraarterial/Intravenous/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"79750"	278	"Inhixa 150mg/1ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Enoxaparin"	"150mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"48966"	411328	"Rivaroxaban 15mg tablets"	"Rivaroxaban"	"15mg"	"Oral tablet"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Rivaroxaban"
"64133"	0	"Heparin sodium 5,000units/0.2ml solution for injection ampoules (A A H Pharmaceuticals Ltd)"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Parenteral Anticoagulants"	"Heparin"
"61"	7855394	"Warfarin 3mg tablets"	"Warfarin"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"13058"	636	"Enoxaparin 150mg/ml injection"	"Enoxaparin"	"150mg/ml"	"Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Enoxaparin"
"47566"	1039014	"Apixaban 2.5mg tablets"	"Apixaban"	"2.5mg"	"Oral tablet"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Apixaban"
"7154"	20143	"Clexane Forte 120mg/0.8ml solution for injection pre-filled syringes (Sanofi)"	"Enoxaparin"	"150mg/1ml"	"Solution for injection"	"Intraarterial/Intravenous/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"19989"	866	"Tinzaparin sodium 40,000units/2ml solution for injection vials"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Tinzaparin"
"68591"	0	"Warfarin 500microgram tablets (Alliance Healthcare (Distribution) Ltd)"	"Warfarin"	"500microgram"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"82738"	0	"Dalteparin sodium 5,000units/0.2ml solution for injection pre-filled syringes (J M McGill Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"31148"	266	"Flolan 500microgram powder and solvent (pH10.5) for solution for infusion vials (GlaxoSmithKline UK Ltd)"	"Epoprostenol"	"500microgram"	"Powder and solvent for solution for infusion"	"Intravenous"	"Parenteral Anticoagulants"	"Epoprostenol"
"14788"	1134	"Innohep 10,000units/0.5ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Tinzaparin"
"63571"	1032	"Innohep 16,000units/0.8ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Tinzaparin"
"6262"	1049383	"Warfarin 500microgram tablets"	"Warfarin"	"500microgram"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"77559"	85	"Warfarin 5mg Tablet (Lagap)"	"Warfarin"	"5mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"36989"	2035	"Fragmin Graduated Syringe 10,000units/1ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"64500"	49	"Xarelto 2.5mg tablets (Bayer Plc)"	"Rivaroxaban"	"2.5mg"	"Oral tablet"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Rivaroxaban"
"81838"	0	"Fondaparinux sodium 2.5mg/0.5ml solution for injection pre-filled syringes (Dr Reddy's Laboratories (UK) Ltd)"	"Fondaparinux"	"5mg/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Parenteral Anticoagulants"	"Fondaparinux"
"60949"	308	"Warfarin 5mg/5ml oral suspension"	"Warfarin"	"1mg/1ml"	"Oral suspension"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"55565"	3	"Clexane 100mg/1ml solution for injection pre-filled syringes (DE Pharmaceuticals)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"60041"	5	"Danaparoid sodium 750units/0.6ml solution for injection ampoules"	"Danaparoid"	"1250unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"Parenteral Anticoagulants"	"Danaparoid"
"13568"	127	"Heparin sodium 25,000iu/ml Subcutaneous injection"	"Heparin"	"25,000iu/ml"	"Subcutaneous Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Heparin"
"24896"	2	"Heparin low molecular weight 2500 iu/0.2ml Sterile solution"	"Dalteparin/Heparin"	"2500iu/0.2ml"	"Sterile Solution"	NA	"Parenteral Anticoagulants"	"Dalteparin/Heparin"
"37613"	80	"Heparin sodium 10,000units/10ml solution for injection ampoules"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"89641"	4	"Warfarin 5mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)"	"Warfarin"	"5mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"47423"	3	"Heparin sodium 200units/2ml I.V. flush solution ampoules (LEO Pharma)"	"Heparin"	"100unit/1ml"	"Not applicable"	"Route of administration not applicable"	"Catheter Maintenance Solutions"	"Heparin"
"47646"	1813	"Heparin sodium 50units/5ml I.V. flush solution ampoules (Wockhardt UK Ltd)"	"Heparin"	"10unit/1ml"	"Not applicable"	"Route of administration not applicable"	"Catheter Maintenance Solutions"	"Heparin"
"5747"	989	"Fragmin 25,000iu/ml Solution for injection (Pfizer Ltd)"	"Dalteparin"	"25,000iu/ml"	"Solution For Injection"	"Subcutaneous Injection"	"Parenteral Anticoagulants"	"Dalteparin"
"8664"	540	"Heparin sodium 5000iu/ml Injection"	"Heparin"	"5000iu/ml"	"Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Heparin"
"13502"	3525	"Dindevan 10mg Tablet (Goldshield Pharmaceuticals Ltd)"	"Phenindione"	"10mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Phenindione"
"91550"	0	"Apixaban 5mg tablets (Accord-UK Ltd)"	"Apixaban"	"5mg"	"Oral tablet"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Apixaban"
"31511"	22788	"Warfarin 3mg Tablet (WB Pharmaceuticals Ltd)"	"Warfarin"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"34517"	56	"Warfarin 1mg tablets (Viatris UK Healthcare Ltd)"	"Warfarin"	"1mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"46678"	2983	"Pradaxa 150mg capsules (Boehringer Ingelheim Ltd)"	"Dabigatran etexilate"	"150mg"	"Oral capsule"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Dabigatran etexilate"
"19337"	101	"Multiparin 125,000units/5ml solution for injection vials (Wockhardt UK Ltd)"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"64998"	5	"Epoprostenol 1.5mg powder and solvent (pH10.5) for solution for infusion vials"	"Epoprostenol"	"1.5mg"	"Powder and solvent for solution for infusion"	"Intravenous"	"Antifibrotics"	"Epoprostenol"
"15293"	12	"Heparin sodium 5000iu/ml pre-filled Injection"	"Heparin"	"5000iu/ml"	"Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Heparin"
"34087"	746	"Warfarin 1mg Tablet (Celltech Pharma Europe Ltd)"	"Warfarin"	"1mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"91680"	148	"Warfarin 1mg tablets (Sun Pharmaceutical Industries Europe B.V.)"	"Warfarin"	"1mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"20153"	12758	"Enoxaparin sodium 150mg/1ml solution for injection pre-filled syringes"	"Enoxaparin"	"150mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"47397"	15	"Heparin sodium 25,000units/5ml solution for injection ampoules"	"Heparin"	"5000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"43409"	649	"Warfarin 5mg tablets (A A H Pharmaceuticals Ltd)"	"Warfarin"	"5mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"20028"	72	"Multiparin 5,000units/5ml solution for injection vials (Wockhardt UK Ltd)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"37704"	23	"Minihep 25,000iu/ml Subcutaneous preparation (LEO Pharma)"	"Heparin"	"25,000iu/ml"	"Subcutaneous Preparation"	NA	"Parenteral Anticoagulants"	"Heparin"
"5526"	3659	"Fragmin 2,500units/0.2ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"12500unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"38327"	401	"Arixtra 7.5mg/0.6ml solution for injection pre-filled syringes (Viatris UK Healthcare Ltd)"	"Fondaparinux"	"12.5mg/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Fondaparinux"
"37086"	250	"Enoxaparin sodium 300mg/3ml solution for injection vials"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"39444"	110659	"Dabigatran etexilate 110mg capsules"	"Dabigatran etexilate"	"110mg"	"Oral capsule"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Dabigatran etexilate"
"65876"	803	"Edoxaban 15mg tablets"	"Edoxaban"	"15mg"	"Oral tablet"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Edoxaban"
"20024"	83	"Uniparin forte 10,000 iu/0.4ml Subcutaneous injection (C P Pharmaceuticals Ltd)"	"Heparin"	"10,000 iu/0.4ml"	"Subcutaneous Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Heparin"
"84751"	0	"Heparin sodium 5,000units/5ml solution for injection vials (C P Pharmaceuticals Ltd)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"54927"	4	"Heparin sodium 2,000units/1litre infusion bags"	"Heparin"	"2unit/1ml"	"Infusion"	"Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"33711"	6646	"Warfarin 5mg Tablet (WB Pharmaceuticals Ltd)"	"Warfarin"	"5mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"62959"	0	"Heparin calcium 5,000units/0.2ml solution for injection ampoules (A A H Pharmaceuticals Ltd)"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Parenteral Anticoagulants"	"Heparin"
"2675"	1503	"Fragmin 10,000units/4ml solution for injection ampoules (Pfizer Ltd)"	"Dalteparin"	"2500unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"Parenteral Anticoagulants"	"Dalteparin"
"9640"	1580	"Tinzaparin 10000 IU/ml Injection"	"Tinzaparin"	"10000 IU/ml"	"Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Tinzaparin"
"60131"	2	"Heparin sodium 50units/5ml patency solution ampoules (A A H Pharmaceuticals Ltd)"	"Heparin"	"10unit/1ml"	"Not applicable"	"Route of administration not applicable"	"Catheter Maintenance Solutions"	"Heparin"
"89475"	1	"Dabigatran etexilate 110mg granules sachets sugar free"	"Dabigatran etexilate"	"110mg"	"Oral granules"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Dabigatran etexilate"
"84103"	3	"Inhixa 40mg/0.4ml solution for injection pre-filled syringes (Ethigen Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"47944"	73	"Warfarin 1mg tablets (Accord-UK Ltd)"	"Warfarin"	"1mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"54946"	42	"Warfarin 3mg tablets (Accord-UK Ltd)"	"Warfarin"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"69128"	1	"Warfarin 500micrograms/5ml oral solution"	"Warfarin"	"100microgram/1ml"	"Oral solution"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"40143"	1781	"Warfarin 500microgram tablets (A A H Pharmaceuticals Ltd)"	"Warfarin"	"500microgram"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"58962"	0	"Warfarin 3mg tablets (DE Pharmaceuticals)"	"Warfarin"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"13504"	7967	"Phenindione 25mg tablets"	"Phenindione"	"25mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Phenindione"
"39755"	3113	"Pradaxa 110mg capsules (Boehringer Ingelheim Ltd)"	"Dabigatran etexilate"	"110mg"	"Oral capsule"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Dabigatran etexilate"
"10044"	8827	"Dalteparin sodium 10,000units/0.4ml solution for injection pre-filled syringes"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"17965"	9342	"Marevan 500microgram tablets (Advanz Pharma)"	"Warfarin"	"500microgram"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"51006"	1	"Clexane 80mg/0.8ml solution for injection pre-filled syringes (DE Pharmaceuticals)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"18209"	4327	"Fragmin 7,500units/0.3ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"78163"	43	"Phenindione 25mg tablets (Advanz Pharma)"	"Phenindione"	"25mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Phenindione"
"84661"	42	"Warfarin 500microgram tablets (Zentiva Pharma UK Ltd)"	"Warfarin"	"500microgram"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"82638"	1	"Inhixa 300mg/3ml solution for injection multidose vials (Techdow Pharma England Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"65850"	541	"Lixiana 60mg tablets (Daiichi Sankyo UK Ltd)"	"Edoxaban"	"60mg"	"Oral tablet"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Edoxaban"
"20154"	25467	"Enoxaparin sodium 100mg/1ml solution for injection pre-filled syringes"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"59578"	2	"Warfarin 3mg tablets (Phoenix Healthcare Distribution Ltd)"	"Warfarin"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"17791"	101	"Innohep 5000iu/5ml Sterile solution (LEO Pharma)"	"Tinzaparin"	"5000iu/5ml"	"Sterile Solution"	NA	"Parenteral Anticoagulants"	"Tinzaparin"
"2676"	20406	"Fragmin 5,000units/0.2ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"51496"	4	"Warfarin 1mg tablets (Phoenix Healthcare Distribution Ltd)"	"Warfarin"	"1mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"77245"	0	"Warfarin 3mg tablets (Almus Pharmaceuticals Ltd)"	"Warfarin"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"14212"	5363	"Tinzaparin sodium 3,500units/0.35ml solution for injection pre-filled syringes"	"Tinzaparin"	"10000unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Parenteral Anticoagulants"	"Tinzaparin"
"71274"	1975	"Inhixa 60mg/0.6ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"19486"	10658	"Dalteparin sodium 7,500units/0.3ml solution for injection pre-filled syringes"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"75959"	215	"Arovi 120mg/0.8ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"150mg/1ml"	"Solution for injection"	"Intraarterial/Intravenous/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"27035"	2	"Pump-hep 1000unit/ml Infusion (LEO Pharma)"	"Heparin"	"1000unit/ml"	"Infusion"	"Intravenous Infusion"	"Parenteral Anticoagulants"	"Heparin"
"77043"	1	"Monoparin 20,000units/20ml solution for injection ampoules (Wockhardt UK Ltd)"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"86940"	0	"Apixaban 5mg tablets (A A H Pharmaceuticals Ltd)"	"Apixaban"	"5mg"	"Oral tablet"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Apixaban"
"38041"	165	"Warfarin sodium 5mg/ml oral suspension"	"Warfarin"	"5mg/5ml"	"Oral Suspension"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"71837"	3	"Flolan 1.5mg powder and solvent (pH10.5) for solution for infusion vials (GlaxoSmithKline UK Ltd)"	"Epoprostenol"	"1.5mg"	"Powder and solvent for solution for infusion"	"Intravenous"	"Parenteral Anticoagulants"	"Epoprostenol"
"12974"	334	"Clexane 150mg/ml Injection (Aventis Pharma)"	"Enoxaparin"	"150mg/ml"	"Injection"	"Subcutaneous Injection"	"Parenteral Anticoagulants"	"Enoxaparin"
"19280"	2829	"Innohep 14,000units/0.7ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Tinzaparin"
"23573"	68	"Fondaparinux sodium 5mg/0.4ml solution for injection pre-filled syringes"	"Fondaparinux"	"12.5mg/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Fondaparinux"
"73421"	55	"Phenprocoumon 3mg tablets"	"Phenprocoumon"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Phenprocoumon"
"85798"	0	"Warfarin 500microgram tablets (Sun Pharma UK Ltd)"	"Warfarin"	"500microgram"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"62150"	18874	"Rivaroxaban 2.5mg tablets"	"Rivaroxaban"	"2.5mg"	"Oral tablet"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Rivaroxaban"
"21365"	53	"Uniparin 5000iu/0.2ml Injection (C P Pharmaceuticals Ltd)"	"Heparin"	"5000iu/0.2ml"	"Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Heparin"
"24809"	1	"HEPARIN SODIUM/HYDROCORTISONE ACETATE CRE"	"Heparin"	NA	NA	NA	"Unknown"	"Heparin"
"11117"	775	"Hep-flush 100iu/ml Oral solution (LEO Pharma)"	"Heparin"	"100iu/ml"	"Oral Solution"	"Oral"	"Parenteral Anticoagulants"	"Heparin"
"74349"	184	"Arovi 80mg/0.8ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"48134"	64	"Xarelto 15mg tablets (Bayer Plc)"	"Rivaroxaban"	"15mg"	"Oral tablet"	"Oral"	"Unknown"	"Rivaroxaban"
"34758"	3562	"Warfarin 3mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Warfarin"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"82730"	1	"Coumadin 4mg tablets (Imported (Canada))"	"Warfarin"	"4mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"89777"	14	"Dalteparin sodium 10,000units/4ml solution for injection vials"	"Dalteparin"	"2500unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"Parenteral Anticoagulants"	"Dalteparin"
"90635"	522	"Rivaroxaban 15mg capsules"	"Rivaroxaban"	"15mg"	"Oral capsule"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Rivaroxaban"
"89120"	7	"Heparin sodium 200units/2ml I.V. flush solution ampoules (Kent Pharma (UK) Ltd)"	"Heparin"	"100unit/1ml"	"Not applicable"	"Route of administration not applicable"	"Catheter Maintenance Solutions"	"Heparin"
"3744"	5264	"Heparin 10 iu/ml Flush solution"	"Heparin"	"10 iu/ml"	"Flush Solution"	NA	"Parenteral Anticoagulants"	"Heparin"
"30203"	5665	"Warfarin wbp 3mg Tablet (Boehringer Ingelheim Ltd)"	"Warfarin"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"43407"	979	"Warfarin 3mg tablets (A A H Pharmaceuticals Ltd)"	"Warfarin"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"51350"	9	"Fragmin 15,000units/0.6ml solution for injection pre-filled syringes (Waymade Healthcare Plc)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"21518"	37	"Monoparin 25,000iu/ml Injection (C P Pharmaceuticals Ltd)"	"Heparin"	"25,000iu/ml"	"Injection"	"Subcutaneous Injection"	"Parenteral Anticoagulants"	"Heparin"
"80969"	9	"Warfarin 1mg tablets (Arrow Generics Ltd)"	"Warfarin"	"1mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"47353"	2856	"Rivaroxaban 15mg tablets"	"Rivaroxaban"	"15mg"	"Oral tablet"	"Oral"	"Unknown"	"Rivaroxaban"
"62310"	6	"Warfarin 500microgram tablets (Advanz Pharma)"	"Warfarin"	"500microgram"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"89251"	0	"Fondaparinux sodium 10mg/0.8ml solution for injection pre-filled syringes (Dr Reddy's Laboratories (UK) Ltd)"	"Fondaparinux"	"12.5mg/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Fondaparinux"
"50391"	9	"Fragmin 18,000units/0.72ml solution for injection pre-filled syringes (Waymade Healthcare Plc)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"36142"	51	"Heparin sodium 25,000units/1ml solution for injection ampoules"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"14851"	6464	"Tinzaparin sodium 4,500units/0.45ml solution for injection pre-filled syringes"	"Tinzaparin"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"Parenteral Anticoagulants"	"Tinzaparin"
"60188"	5	"Heparin sodium 5,000units/1litre infusion bags"	"Heparin"	"5unit/1ml"	"Infusion"	"Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"10002"	1177	"Dalteparin 10000iu/1ml injection solution"	"Dalteparin"	"10000 iu/1ml"	"Injection Solution"	"Subcutaneous Injection"	"Parenteral Anticoagulants"	"Dalteparin"
"92278"	1	"Dabigatran etexilate 110mg capsule (Genus Pharmaceuticals Ltd)"	"Dabigatran etexilate"	"110mg"	"Oral capsule"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Dabigatran etexilate"
"72040"	31	"Warfarin 3mg tablets (Crescent Pharma Ltd)"	"Warfarin"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"42106"	3	"Unihep leo 25,000iu/ml Injection (LEO Pharma)"	"Heparin"	"25,000iu/ml"	"Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Heparin"
"75255"	1	"Dalteparin sodium 5,000units/0.2ml solution for injection pre-filled syringes (Ennogen Healthcare Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"77318"	1	"Enoxaparin Becat 20mg/0.2ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"13097"	13004	"Clexane 20mg/0.2ml solution for injection pre-filled syringes (Sanofi)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"63169"	347	"Innohep 12,000units/0.6ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Tinzaparin"
"37131"	20	"Heparin sodium 25,000units/5ml solution for injection vials"	"Heparin"	"5000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"30108"	53	"Heparin calcium 5000iu/0.2ml Injection"	"Heparin"	"5000iu/0.2ml"	"Injection"	"Subcutaneous Injection"	"Parenteral Anticoagulants"	"Heparin"
"76048"	81	"Arovi 150mg/1ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"150mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"25195"	2	"Heparin sodium 25,000iu/ml pre-filled Injection"	"Heparin"	"25,000iu/ml"	"Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Heparin"
"34418"	62	"Warfarin 5mg tablets (Viatris UK Healthcare Ltd)"	"Warfarin"	"5mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"10072"	5200	"Fragmin 10,000units/0.4ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"1781"	3065975	"Warfarin 5mg tablets"	"Warfarin"	"5mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"85412"	0	"Heparin sodium 5,000units/0.2ml solution for injection ampoules (C P Pharmaceuticals Ltd)"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Parenteral Anticoagulants"	"Heparin"
"10560"	38	"WARFARIN 10 MG TAB"	"Warfarin"	NA	"Tablet"	"Oral"	"Unknown"	"Warfarin"
"14341"	12289	"Clexane Forte 150mg/1ml solution for injection pre-filled syringes (Sanofi)"	"Enoxaparin"	"150mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
