"medcodeid"	"TermRead"	"TermSNOMED"	"TermEMIS"	"SNOMED"	"OriginalReadCode"	"CleansedReadCode"	"Group"	"Observations"
"294740010"	"Hebephrenic schizophrenia in remission"	"Hebephrenic schizophrenia in remission"	NA	"31373002"	"E1015"	"E101500"	"schizophrenia"	79
"294741014"	"Hebephrenic schizophrenia NOS"	"Hebephrenic schizophrenia NOS"	NA	"35252006"	"E101z"	"E101z00"	"schizophrenia"	388
"294742019"	"Catatonic schizophrenia"	"Catatonic schizophrenia"	NA	"191542003"	"E102"	"E102.00"	"schizophrenia"	3884
"294743012"	"[X]Schizophrenic flexibilatis cerea"	"[X]Schizophrenic flexibilatis cerea"	NA	"191542003"	"Eu202-4"	"Eu20214"	"schizophrenia"	2
"294744018"	"Unspecified catatonic schizophrenia"	"Unspecified catatonic schizophrenia"	NA	"191542003"	"E1020"	"E102000"	"schizophrenia"	112
"294750011"	"Acute exacerbation of subchronic catatonic schizophrenia"	"Acute exacerbation of subchronic catatonic schizophrenia"	NA	"191547009"	"E1023"	"E102300"	"schizophrenia"	12
"294751010"	"Acute exacerbation of chronic catatonic schizophrenia"	"Acute exacerbation of chronic catatonic schizophrenia"	NA	"191548004"	"E1024"	"E102400"	"schizophrenia"	14
"294753013"	"Catatonic schizophrenia NOS"	"Catatonic schizophrenia NOS"	NA	"191542003"	"E102z"	"E102z00"	"schizophrenia"	104
"294754019"	"Unspecified paranoid schizophrenia"	"Unspecified paranoid schizophrenia"	NA	"64905009"	"E1030"	"E103000"	"schizophrenia"	2177
"294757014"	"Acute exacerbation of subchronic paranoid schizophrenia"	"Acute exacerbation of subchronic paranoid schizophrenia"	NA	"191554003"	"E1033"	"E103300"	"schizophrenia"	154
"294758016"	"Acute exacerbation of chronic paranoid schizophrenia"	"Acute exacerbation of chronic paranoid schizophrenia"	NA	"191555002"	"E1034"	"E103400"	"schizophrenia"	1120
"294760019"	"Paranoid schizophrenia NOS"	"Paranoid schizophrenia NOS"	NA	"64905009"	"E103z"	"E103z00"	"schizophrenia"	9037
"294764011"	"Latent schizophrenia"	"Latent schizophrenia"	NA	"191559008"	"E105"	"E105.00"	"other psychosis"	199
"294765012"	"Unspecified latent schizophrenia"	"Unspecified latent schizophrenia"	NA	"191559008"	"E1050"	"E105000"	"other psychosis"	8
"294766013"	"Subchronic latent schizophrenia"	"Subchronic latent schizophrenia"	NA	"191561004"	"E1051"	"E105100"	"other psychosis"	18
"294767016"	"Chronic latent schizophrenia"	"Chronic latent schizophrenia"	NA	"191562006"	"E1052"	"E105200"	"other psychosis"	44
"294768014"	"Acute exacerbation of subchronic latent schizophrenia"	"Acute exacerbation of subchronic latent schizophrenia"	NA	"191563001"	"E1053"	"E105300"	"other psychosis"	4
"294769018"	"Acute exacerbation of chronic latent schizophrenia"	"Acute exacerbation of chronic latent schizophrenia"	NA	"191564007"	"E1054"	"E105400"	"other psychosis"	17
"294770017"	"Latent schizophrenia in remission"	"Latent schizophrenia in remission"	NA	"191565008"	"E1055"	"E105500"	"other psychosis"	237
"294771018"	"Latent schizophrenia NOS"	"Latent schizophrenia NOS"	NA	"191559008"	"E105z"	"E105z00"	"other psychosis"	326
"294773015"	"Cyclic schizophrenia"	"Cyclic schizophrenia"	NA	"191567000"	"E107-1"	"E107.11"	"schizophrenia"	3
"294787015"	"Coenesthopathic schizophrenia"	"Coenesthopathic schizophrenia"	NA	"191577003"	"E10y1"	"E10y100"	"schizophrenia"	14
"294788013"	"Cenesthopathic schizophrenia"	"Cenesthopathic schizophrenia"	NA	"191577003"	"E10y-1"	"E10y.11"	"schizophrenia"	4
"294789017"	"Other schizophrenia NOS"	"Other schizophrenia NOS"	NA	"58214004"	"E10yz"	"E10yz00"	"schizophrenia"	410
"294790014"	"Schizophrenia"	"Schizophrenia NOS"	NA	"58214004"	"E10z"	"E10z.00"	"schizophrenia"	416276
"294802018"	"Single manic episode, unspecified"	"Single manic episode, unspecified"	NA	"268619003"	"E1100"	"E110000"	"bipolar"	2298
"294803011"	"Single manic episode, mild"	"Single manic episode, mild"	NA	"191583000"	"E1101"	"E110100"	"bipolar"	2509
"294804017"	"Single manic episode, moderate"	"Single manic episode, moderate"	NA	"191584006"	"E1102"	"E110200"	"bipolar"	419
"294805016"	"Single manic episode, severe"	"Single manic episode, severe without mention of psychosis"	NA	"764641000000104"	"E1103"	"E110300"	"bipolar"	349
"294806015"	"Single manic episode, severe, with psychosis"	"Single manic episode, severe, with psychosis"	NA	"191586008"	"E1104"	"E110400"	"bipolar"	1753
"294807012"	"Single manic episode in partial remission"	"Single manic episode in partial or unspecified remission"	NA	"764731000000103"	"E1105"	"E110500"	"bipolar"	53
"294808019"	"Single manic episode in full remission"	"Single manic episode in full remission"	NA	"191588009"	"E1106"	"E110600"	"bipolar"	2229
"294809010"	"Manic disorder, single episode NOS"	"Manic disorder, single episode NOS"	NA	"268619003"	"E110z"	"E110z00"	"bipolar"	510
"294810017"	"Recurrent manic episodes"	"Recurrent manic episodes"	NA	"191590005"	"E111"	"E111.00"	"bipolar"	3123
"294811018"	"Recurrent manic episodes, unspecified"	"Recurrent manic episodes, unspecified"	NA	"191590005"	"E1110"	"E111000"	"bipolar"	466
"294812013"	"Recurrent manic episodes, mild"	"Recurrent manic episodes, mild"	NA	"191592002"	"E1111"	"E111100"	"bipolar"	246
"294813015"	"Recurrent manic episodes, moderate"	"Recurrent manic episodes, moderate"	NA	"191593007"	"E1112"	"E111200"	"bipolar"	316
"294815010"	"Recurrent manic episodes, severe, with psychosis"	"Recurrent manic episodes, severe, with psychosis"	NA	"191595000"	"E1114"	"E111400"	"bipolar"	715
"294817019"	"Recurrent manic episodes, in full remission"	"Recurrent manic episodes, in full remission"	NA	"191597008"	"E1116"	"E111600"	"bipolar"	750
"294818012"	"Recurrent manic episode NOS"	"Recurrent manic episode NOS"	NA	"191590005"	"E111z"	"E111z00"	"bipolar"	360
"294847017"	"Manic-depressive - now manic"	"Manic-depressive - now manic"	NA	"191618007"	"E114-1"	"E114.11"	"bipolar"	1908
"294848010"	"Bipolar affective disorder, currently manic, unspecified"	"Bipolar affective disorder, currently manic, unspecified"	NA	"191618007"	"E1140"	"E114000"	"bipolar"	3333
"294849019"	"Bipolar affective disorder, currently manic, mild"	"Bipolar affective disorder, currently manic, mild"	NA	"191620005"	"E1141"	"E114100"	"bipolar"	1931
"294850019"	"Bipolar affective disorder, currently manic, moderate"	"Bipolar affective disorder, currently manic, moderate"	NA	"191621009"	"E1142"	"E114200"	"bipolar"	1804
"294858014"	"Bipolar affective disorder, currently manic, NOS"	"Bipolar affective disorder, currently manic, NOS"	NA	"191618007"	"E114z"	"E114z00"	"bipolar"	1296
"294860011"	"Manic-depressive - now depressed"	"Manic-depressive - now depressed"	NA	"191627008"	"E115-1"	"E115.11"	"bipolar"	5194
"294861010"	"Bipolar affective disorder, currently depressed, unspecified"	"Bipolar affective disorder, currently depressed, unspecified"	NA	"191627008"	"E1150"	"E115000"	"bipolar"	2493
"294862015"	"Bipolar affective disorder, currently depressed, mild"	"Bipolar affective disorder, currently depressed, mild"	NA	"191629006"	"E1151"	"E115100"	"bipolar"	2553
"294863013"	"Bipolar affective disorder, currently depressed, moderate"	"Bipolar affective disorder, currently depressed, moderate"	NA	"191630001"	"E1152"	"E115200"	"bipolar"	2293
"294868016"	"Bipolar affective disorder, currently depressed, NOS"	"Bipolar affective disorder, currently depressed, NOS"	NA	"191627008"	"E115z"	"E115z00"	"bipolar"	1730
"294869012"	"Mixed bipolar affective disorder"	"Mixed bipolar affective disorder"	NA	"191636007"	"E116"	"E116.00"	"bipolar"	82559
"294870013"	"Mixed bipolar affective disorder, unspecified"	"Mixed bipolar affective disorder, unspecified"	NA	"191636007"	"E1160"	"E116000"	"bipolar"	4202
"294871012"	"Mixed bipolar affective disorder, mild"	"Mixed bipolar affective disorder, mild"	NA	"191638008"	"E1161"	"E116100"	"bipolar"	1046
"294872017"	"Mixed bipolar affective disorder, moderate"	"Mixed bipolar affective disorder, moderate"	NA	"191639000"	"E1162"	"E116200"	"bipolar"	1576
"294874016"	"Mixed bipolar affective disorder, severe, with psychosis"	"Mixed bipolar affective disorder, severe, with psychosis"	NA	"191641004"	"E1164"	"E116400"	"bipolar"	2763
"294876019"	"Mixed bipolar affective disorder, in full remission"	"Mixed bipolar affective disorder, in full remission"	NA	"191643001"	"E1166"	"E116600"	"bipolar"	2015
"294877011"	"Mixed bipolar affective disorder, NOS"	"Mixed bipolar affective disorder, NOS"	NA	"191636007"	"E116z"	"E116z00"	"bipolar"	11826
"294880012"	"Unspecified bipolar affective disorder"	"Unspecified bipolar affective disorder"	NA	"13746004"	"E117"	"E117.00"	"bipolar"	58499
"294881011"	"Unspecified bipolar affective disorder, unspecified"	"Unspecified bipolar affective disorder, unspecified"	NA	"13746004"	"E1170"	"E117000"	"bipolar"	1120
"294882016"	"Mild bipolar disorder"	"Unspecified bipolar affective disorder, mild"	NA	"13313007"	"E1171"	"E117100"	"bipolar"	561
"294883014"	"Moderate bipolar disorder"	"Unspecified bipolar affective disorder, moderate"	NA	"79584002"	"E1172"	"E117200"	"bipolar"	459
"294887010"	"Bipolar disorder in full remission"	"Unspecified bipolar affective disorder, in full remission"	NA	"41836007"	"E1176"	"E117600"	"bipolar"	4214
"294888017"	"Unspecified bipolar affective disorder, NOS"	"Unspecified bipolar affective disorder, NOS"	NA	"13746004"	"E117z"	"E117z00"	"bipolar"	3926
"294891017"	"Other and unspecified manic-depressive psychoses"	"Other and unspecified manic-depressive psychoses"	NA	"13746004"	"E11y"	"E11y.00"	"bipolar"	13398
"294892012"	"Unspecified manic-depressive psychoses"	"Unspecified manic-depressive psychoses"	NA	"13746004"	"E11y0"	"E11y000"	"bipolar"	6367
"294893019"	"Atypical manic disorder"	"Atypical manic disorder"	NA	"191658009"	"E11y1"	"E11y100"	"bipolar"	224
"294895014"	"Mixed bipolar I disorder"	"Other mixed manic-depressive psychoses"	NA	"16506000"	"E11y3"	"E11y300"	"bipolar"	397
"294896010"	"Other and unspecified manic-depressive psychoses NOS"	"Other and unspecified manic-depressive psychoses NOS"	NA	"13746004"	"E11yz"	"E11yz00"	"bipolar"	937
"294897018"	"Affective psychosis"	"Other and unspecified affective psychoses"	NA	"441704009"	"E11z"	"E11z.00"	"other psychosis"	5174
"294898011"	"Unspecified affective psychoses NOS"	"Unspecified affective psychoses NOS"	NA	"441704009"	"E11z0"	"E11z000"	"other psychosis"	2466
"294902017"	"Other affective psychosis NOS"	"Other affective psychosis NOS"	NA	"441704009"	"E11zz"	"E11zz00"	"other psychosis"	3561
"294904016"	"Simple paranoid state"	"Simple paranoid state"	NA	"191668004"	"E120"	"E120.00"	"other psychosis"	6220
"294908018"	"Folie a deux"	"Folie a deux"	NA	"191670008"	"E123-1"	"E123.11"	"other psychosis"	93
"294909014"	"Shared paranoid disorder"	"Shared paranoid disorder"	NA	"191670008"	"E123"	"E123.00"	"other psychosis"	69
"294910016"	"Other paranoid states"	"Other paranoid states"	NA	"191667009"	"E12y"	"E12y.00"	"other psychosis"	1231
"294911017"	"Paranoia querulans"	"Paranoia querulans"	NA	"191672000"	"E12y0"	"E12y000"	"other psychosis"	74
"294912012"	"Other paranoid states NOS"	"Other paranoid states NOS"	NA	"191667009"	"E12yz"	"E12yz00"	"other psychosis"	717
"294913019"	"Paranoid psychosis"	"Paranoid psychosis NOS"	NA	"191667009"	"E12z"	"E12z.00"	"other psychosis"	81821
"294924017"	"Psychogenic paranoid psychosis"	"Psychogenic paranoid psychosis"	NA	"191680007"	"E134"	"E134.00"	"other psychosis"	1833
"294926015"	"Other reactive psychoses"	"Other reactive psychoses"	NA	"231437006"	"E13y"	"E13y.00"	"other psychosis"	324
"294927012"	"Psychogenic stupor"	"Psychogenic stupor"	NA	"191683009"	"E13y0"	"E13y000"	"other psychosis"	61
"294929010"	"Other reactive psychoses NOS"	"Other reactive psychoses NOS"	NA	"231437006"	"E13yz"	"E13yz00"	"other psychosis"	354
"294949018"	"Other specified non-organic psychoses"	"Other specified non-organic psychoses"	NA	"191525009"	"E1y"	"E1y..00"	"other psychosis"	496
"296022017"	"[X]Schizophrenia, schizotypal and delusional disorders"	"[X]Schizophrenia, schizotypal and delusional disorders"	NA	"417601000000102"	"Eu2"	"Eu2..00"	"other psychosis"	15197
"296031017"	"Undifferentiated schizophrenia"	"[X]Undifferentiated schizophrenia"	NA	"111484002"	"Eu203"	"Eu20300"	"schizophrenia"	1488
"296040018"	"[X]Schizophrenia, unspecified"	"[X]Schizophrenia, unspecified"	NA	"58214004"	"Eu20z"	"Eu20z00"	"schizophrenia"	1762
"296066015"	"[X]Persistent delusional disorder, unspecified"	"[X]Persistent delusional disorder, unspecified"	NA	"231487004"	"Eu22z"	"Eu22z00"	"other psychosis"	2430
"296083012"	"[X]Other acute and transient psychotic disorders"	"[X]Other acute and transient psychotic disorders"	NA	"231489001"	"Eu23y"	"Eu23y00"	"other psychosis"	794
"296095012"	"[X]Other schizoaffective disorders"	"[X]Other schizoaffective disorders"	NA	"68890003"	"Eu25y"	"Eu25y00"	"other psychosis"	833
"296096013"	"[X]Schizoaffective disorder, unspecified"	"[X]Schizoaffective disorder, unspecified"	NA	"68890003"	"Eu25z"	"Eu25z00"	"other psychosis"	23477
"296110017"	"Mania"	"[X]Mania without psychotic symptoms"	NA	"231494001"	"Eu301"	"Eu30100"	"bipolar"	7190
"296118012"	"[X]Other manic episodes"	"[X]Other manic episodes"	NA	"231494001"	"Eu30y"	"Eu30y00"	"bipolar"	220
"296130018"	"Bipolar disorder in remission"	"[X]Bipolar affective disorder, currently in remission"	NA	"85248005"	"Eu317"	"Eu31700"	"bipolar"	23405
"296135011"	"[X]Bipolar affective disorder, unspecified"	"[X]Bipolar affective disorder, unspecified"	NA	"13746004"	"Eu31z"	"Eu31z00"	"bipolar"	24459
"346895011"	"Psychotic disorder"	"Psychotic episode NOS"	NA	"69322001"	"E13z-1"	"E13z.11"	"other psychosis"	203796
"346896012"	"Reactive psychoses"	"Reactive psychoses"	NA	"231437006"	"E13-1"	"E13..11"	"other psychosis"	1791
"369805011"	"Grandiose delusions"	"Grandiose delusions (finding)"	NA	"247667002"	"1BH1"	"1BH1.00"	"other psychosis"	1608
"401763015"	"Acute schizophrenic episode"	"Acute schizophrenic episode"	NA	"268617001"	"E104"	"E104.00"	"schizophrenia"	4636
"401764014"	"Other schizophrenia"	"Other schizophrenia"	NA	"58214004"	"E10y"	"E10y.00"	"schizophrenia"	2142
"401765010"	"Manic disorder, single episode"	"Manic disorder, single episode"	NA	"268619003"	"E110"	"E110.00"	"bipolar"	53754
"401768012"	"Chronic paranoid psychosis"	"Chronic paranoid psychosis"	NA	"268622001"	"E121"	"E121.00"	"other psychosis"	10385
"401770015"	"Acute paranoid reaction"	"Acute paranoid reaction"	NA	"268624000"	"E133"	"E133.00"	"other psychosis"	2526
"401771016"	"Non-organic psychosis NOS"	"Non-organic psychosis NOS"	NA	"191525009"	"E1z"	"E1z..00"	"other psychosis"	8839
"401855010"	"[X]Other schizophrenia"	"[X]Other schizophrenia"	NA	"58214004"	"Eu20y"	"Eu20y00"	"schizophrenia"	368
"401856011"	"Schizotypal personality disorder"	"[X]Schizotypal disorder"	NA	"31027006"	"Eu21"	"Eu21.00"	"other psychosis"	5289
"401857019"	"[X]Other persistent delusional disorders"	"[X]Other persistent delusional disorders"	NA	"231487004"	"Eu22y"	"Eu22y00"	"other psychosis"	661
"401859016"	"[X]Other acute predominantly delusional psychotic disorders"	"[X]Other acute predominantly delusional psychotic disorders"	NA	"231489001"	"Eu233"	"Eu23300"	"other psychosis"	990
"401860014"	"[X]Acute and transient psychotic disorder, unspecified"	"[X]Acute and transient psychotic disorder, unspecified"	NA	"231489001"	"Eu23z"	"Eu23z00"	"other psychosis"	5091
"401862018"	"[X]Unspecified nonorganic psychosis"	"[X]Unspecified nonorganic psychosis"	NA	"191525009"	"Eu2z"	"Eu2z.00"	"other psychosis"	18767
"401863011"	"[X]Mania with psychotic symptoms"	"[X]Mania with psychotic symptoms"	NA	"231494001"	"Eu302"	"Eu30200"	"bipolar"	7734
"401864017"	"[X]Manic episode, unspecified"	"[X]Manic episode, unspecified"	NA	"268619003"	"Eu30z"	"Eu30z00"	"bipolar"	1640
"401865016"	"[X]Other bipolar affective disorders"	"[X]Other bipolar affective disorders"	NA	"13746004"	"Eu31y"	"Eu31y00"	"bipolar"	1531
"402504012"	"Psychotic condition, insight present"	NA	NA	NA	"285-1"	"285..11"	"other psychosis"	2105
"460273017"	"[V]Personal history of schizophrenia"	NA	NA	NA	"ZV110"	"ZV11000"	"schizophrenia"	3466
"480834016"	"Delusions"	"Delusions (finding)"	NA	"2073000"	"1BH"	"1BH..00"	"other psychosis"	38105
"492910018"	"Ideas of reference"	"Ideas of reference"	NA	"41189006"	"1BH2"	"1BH2.00"	"other psychosis"	894
"1219653018"	"Atypical schizophrenia"	"Atypical schizophrenia"	NA	"111484002"	"E10y0"	"E10y000"	"schizophrenia"	267
"1227584015"	"[V]Personal history of manic-depressive psychosis"	NA	NA	NA	"ZV111-2"	"ZV11112"	"bipolar"	333
"1234861017"	"Chronic schizophrenic"	"Chronic schizophrenic"	NA	"83746006"	"E1002"	"E100200"	"schizophrenia"	74190
"1780205015"	"H/O: manic depressive disorder"	"H/O: manic depressive disorder"	NA	"400998002"	"146D"	"146D.00"	"bipolar"	11100
"2157096015"	"Manic mood"	"Manic mood"	NA	"405273008"	"1S42"	"1S42.00"	"bipolar"	2395
"2532965018"	"Erotomania"	"[X]Erotomania"	NA	"280949006"	"Eu528"	"Eu52800"	"other psychosis"	254
"2548181016"	"Paranoid ideation"	"Paranoid ideation"	NA	"417233008"	"1BH3"	"1BH3.00"	"other psychosis"	51007
"2549129012"	"O/E - paranoid delusions"	NA	NA	NA	"225E"	"225E.00"	"other psychosis"	9434
"2549426013"	"O/E - delusion of persecution"	NA	NA	NA	"225F"	"225F.00"	"other psychosis"	346
"25461000006115"	"Other nonorganic psychoses"	"Other nonorganic psychoses"	NA	"191525009"	"E13"	"E13..00"	"other psychosis"	4515
"78531000006116"	"Unspecified schizo-affective schizophrenia"	"Unspecified schizo-affective schizophrenia"	NA	"191567000"	"E1070"	"E107000"	"other psychosis"	3168
"82091000006116"	"Bipolar disorder in partial remission"	"Unspecified bipolar affect disord, partial/unspec remission"	NA	"5703000"	"E1175"	"E117500"	"bipolar"	344
"82151000006114"	"Severe bipolar disorder without psychotic features"	"Unspecified bipolar affective disorder, severe, no psychosis"	NA	"53049002"	"E1173"	"E117300"	"bipolar"	88
"82171000006116"	"Severe bipolar disorder with psychotic features"	"Unspecified bipolar affective disorder,severe with psychosis"	NA	"4441000"	"E1174"	"E117400"	"bipolar"	730
"123611000006110"	"Subchronic schizo-affective schizophrenia"	"Subchronic schizo-affective schizophrenia"	NA	"191569002"	"E1071"	"E107100"	"other psychosis"	16
"155141000006116"	"Schizoaffective schizophrenia"	"Schizo-affective schizophrenia"	NA	"191567000"	"E107"	"E107.00"	"other psychosis"	36337
"155151000006119"	"Schizoaffective schizophrenia in remission"	"Schizo-affective schizophrenia in remission"	NA	"191574005"	"E1075"	"E107500"	"other psychosis"	2377
"155161000006117"	"Schizo-affective schizophrenia NOS"	"Schizo-affective schizophrenia NOS"	NA	"191567000"	"E107z"	"E107z00"	"other psychosis"	4865
"155281000006119"	"Schizotypal personality"	"Schizotypal personality"	NA	"31027006"	"E2122"	"E212200"	"other psychosis"	2139
"161371000006118"	"Sander's disease"	"Sanders disease"	NA	"268622001"	"E121-1"	"E121.11"	"other psychosis"	5
"169061000006112"	"Restzustand - schizophrenia"	"Restzustand - schizophrenia"	NA	"26025008"	"E106-1"	"E106.11"	"schizophrenia"	2
"182861000006110"	"Recurrent manic episodes, in partial remission"	"Recurrent manic episodes, partial or unspecified remission"	NA	"764671000000105"	"E1115"	"E111500"	"bipolar"	70
"182871000006115"	"Recurrent manic episodes, severe"	"Recurrent manic episodes, severe without mention psychosis"	NA	"764621000000106"	"E1113"	"E111300"	"bipolar"	81
"215691000006112"	"Poor insight into psychotic condition"	NA	NA	NA	"286-1"	"286..11"	"other psychosis"	871
"215841000000114"	"Delusional disorder"	"[X]Delusional disorder"	NA	"48500005"	"Eu220"	"Eu22000"	"other psychosis"	68107
"215851000000112"	"[X]Paranoid psychosis"	"[X]Paranoid psychosis"	NA	"191667009"	"Eu220-1"	"Eu22011"	"other psychosis"	51969
"215871000000115"	"[X]Paranoia"	"[X]Paranoia"	NA	"417233008"	"Eu220-5"	"Eu22015"	"other psychosis"	41770
"223601000000119"	"Manic psychosis"	"Manic psychoses"	NA	"231494001"	"E11-3"	"E11..13"	"bipolar"	5312
"223611000000117"	"Non-organic psychosis"	"Nonorganic psychosis NOS"	NA	"191525009"	"E13z"	"E13z.00"	"other psychosis"	53674
"243361000006117"	"Paranoid disorder"	"Paranoid states"	NA	"191667009"	"E12"	"E12..00"	"other psychosis"	139926
"300411000000110"	"H/O: psychosis"	"H/O: psychosis"	NA	"198991000000103"	"146H"	"146H.00"	"other psychosis"	26424
"362271000006110"	"Acute transient psychotic disorder"	"[X]Acute and transient psychotic disorders"	NA	"231489001"	"Eu23"	"Eu23.00"	"other psychosis"	22553
"362381000006115"	"Acute polymorphic psychotic disorder co-occurrent with symptoms of schizophrenia"	"[X]Acute polymorphic psychot disord with symp of schizophren"	NA	"712850003"	"Eu231"	"Eu23100"	"other psychosis"	2729
"362391000006117"	"Acute polymorphic psychotic disorder without symptoms of schizophrenia"	"[X]Acute polymorphic psychot disord without symp of schizoph"	NA	"712824002"	"Eu230"	"Eu23000"	"other psychosis"	3017
"362421000006113"	"Acute schizophrenia-like psychotic disorder"	"[X]Acute schizophrenia-like psychotic disorder"	NA	"278853003"	"Eu232"	"Eu23200"	"other psychosis"	5560
"362781000006116"	"[X]Affective psychosis NOS"	NA	NA	NA	"Eu3z-1"	"Eu3z.11"	"other psychosis"	2071
"366571000006114"	"[X]Atypical schizophrenia"	"[X]Atypical schizophrenia"	NA	"111484002"	"Eu203-1"	"Eu20311"	"schizophrenia"	65
"367051000006112"	"Severe depressed bipolar I disorder without psychotic features"	"[X]Bipol aff disord, curr epis sev depress, no psychot symp"	NA	"61403008"	"Eu314"	"Eu31400"	"bipolar"	1049
"367061000006114"	"Psychosis and severe depression co-occurrent and due to bipolar affective disorder"	"[X]Bipolar affect dis cur epi severe depres with psyc symp"	NA	"765176007"	"Eu315"	"Eu31500"	"bipolar"	2135
"367071000006119"	"Bipolar affective disorder, currently manic, severe, with psychosis"	"[X]Bipolar affect disorder cur epi manic with psychotic symp"	NA	"191623007"	"Eu312"	"Eu31200"	"bipolar"	4815
"367081000006116"	"[X]Bipolar affect disorder cur epi manic wout psychotic symp"	"[X]Bipolar affect disorder cur epi manic wout psychotic symp"	NA	"191618007"	"Eu311"	"Eu31100"	"bipolar"	910
"367091000006118"	"[X]Bipolar affect disorder cur epi mild or moderate depressn"	"[X]Bipolar affect disorder cur epi mild or moderate depressn"	NA	"191630001"	"Eu313"	"Eu31300"	"bipolar"	4291
"367101000006112"	"Bipolar affective disorder"	"[X]Bipolar affective disorder"	NA	"13746004"	"Eu31"	"Eu31.00"	"bipolar"	802959
"367111000006110"	"Bipolar affective disorder, current episode hypomanic"	"[X]Bipolar affective disorder, current episode hypomanic"	NA	"31446002"	"Eu310"	"Eu31000"	"bipolar"	12878
"367121000006119"	"[X]Bipolar affective disorder, current episode mixed"	"[X]Bipolar affective disorder, current episode mixed"	NA	"192362008"	"Eu316"	"Eu31600"	"bipolar"	2664
"367151000006111"	"[X]Bipolar disorder, single manic episode"	"[X]Bipolar disorder, single manic episode"	NA	"268619003"	"Eu30-1"	"Eu30.11"	"bipolar"	7160
"367161000006113"	"[X]Bipolar II disorder"	"[X]Bipolar II disorder"	NA	"83225003"	"Eu31y-1"	"Eu31y11"	"bipolar"	8004
"367951000006113"	"Borderline schizophrenia"	"[X]Borderline schizophrenia"	NA	"274952002"	"Eu21-2"	"Eu21.12"	"other psychosis"	194
"367961000006110"	"[X]Bouffee delirante"	"[X]Bouffee delirante"	NA	"63204009"	"Eu230-1"	"Eu23011"	"other psychosis"	2
"367971000006115"	"[X]Bouffee delirante with symptoms of schizophrenia"	"[X]Bouffee delirante with symptoms of schizophrenia"	NA	"712850003"	"Eu231-1"	"Eu23111"	"other psychosis"	2
"367991000006119"	"[X]Brief reactive psychosis NOS"	"[X]Brief reactive psychosis NOS"	NA	"231489001"	"Eu23z-1"	"Eu23z11"	"other psychosis"	1682
"368001000006112"	"[X]Brief schizophreniform disorder"	"[X]Brief schizophreniform disorder"	NA	"278853003"	"Eu232-1"	"Eu23211"	"other psychosis"	89
"368011000006110"	"[X]Brief schizophrenifrm psych"	"[X]Brief schizophrenifrm psych"	NA	"278853003"	"Eu232-2"	"Eu23212"	"other psychosis"	77
"370451000006110"	"[X]Catatonic schizophrenia"	"[X]Catatonic schizophrenia"	NA	"191542003"	"Eu202"	"Eu20200"	"schizophrenia"	566
"370461000006112"	"[X]Catatonic stupor"	"[X]Catatonic stupor"	NA	"191542003"	"Eu202-1"	"Eu20211"	"schizophrenia"	482
"370631000006117"	"[X]Cenesthopathic schizophrenia"	"[X]Cenesthopathic schizophrenia"	NA	"58214004"	"Eu20y-1"	"Eu20y11"	"schizophrenia"	5
"370981000006112"	"[X]Chronic hallucinatory psychosis"	"[X]Chronic hallucinatory psychosis"	NA	"480111000000107"	"Eu2y-1"	"Eu2y.11"	"other psychosis"	717
"371031000006115"	"[X]Chronic undifferentiated schizophrenia"	"[X]Chronic undifferentiated schizophrenia"	NA	"111484002"	"Eu205-1"	"Eu20511"	"schizophrenia"	2150
"376251000006112"	"[X]Cyclic schizophrenia"	"[X]Cyclic schizophrenia"	NA	"270901009"	"Eu252-1"	"Eu25211"	"schizophrenia"	1
"376271000006119"	"[X]Cycloid psychosis"	"[X]Cycloid psychosis"	NA	"307417003"	"Eu230-2"	"Eu23012"	"other psychosis"	369
"376281000006116"	"Cycloid psychosis"	"[X]Cycloid psychosis with symptoms of schizophrenia"	NA	"307417003"	"Eu231-2"	"Eu23112"	"other psychosis"	116
"376501000006110"	"[X]Delusional dysmorphophobia"	"[X]Delusional dysmorphophobia"	NA	"231487004"	"Eu22y-1"	"Eu22y11"	"other psychosis"	1051
"378051000006119"	"[X]Disorganised schizophrenia"	"[X]Disorganised schizophrenia"	NA	"35252006"	"Eu201-1"	"Eu20111"	"schizophrenia"	60
"387071000006117"	"[X]Folie a deux"	"[X]Folie a deux"	NA	"191670008"	"Eu24-1"	"Eu24.11"	"other psychosis"	29
"388741000006110"	"[X]Hebephrenic schizophrenia"	"[X]Hebephrenic schizophrenia"	NA	"35252006"	"Eu201"	"Eu20100"	"schizophrenia"	1179
"389401000006111"	"Hypomania"	"[X]Hypomania"	NA	"231496004"	"Eu300"	"Eu30000"	"bipolar"	52421
"389641000006110"	"Induced delusional disorder"	"[X]Induced delusional disorder"	NA	"61831009"	"Eu24"	"Eu24.00"	"other psychosis"	588
"389651000006112"	"[X]Induced paranoid disorder"	"[X]Induced paranoid disorder"	NA	"61831009"	"Eu24-2"	"Eu24.12"	"other psychosis"	80
"389661000006114"	"[X]Induced psychotic disorder"	"[X]Induced psychotic disorder"	NA	"61831009"	"Eu24-3"	"Eu24.13"	"other psychosis"	1626
"394461000006110"	"[X]Involutional paranoid state"	"[X]Involutional paranoid state"	NA	"231487004"	"Eu22y-2"	"Eu22y12"	"other psychosis"	32
"395021000006111"	"[X]Latent schizophrenia"	"[X]Latent schizophrenia"	NA	"191559008"	"Eu21-3"	"Eu21.13"	"other psychosis"	7
