"prodcodeid"	"term"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"concat"	"match"	"Antihypertensives"
"3041000033115"	"Acebutolol 100mg capsules"	"Acebutolol 100mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Acebutolol"	"100.000mg"	"02040000"	"acebutolol 100mg capsules acebutolol 100mg capsules acebutolol hydrochloride"	1	"Acebutolol"
"3141000033116"	"Acebutolol 200mg capsules"	"Acebutolol 200mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Acebutolol"	"200.000mg"	"02040000"	"acebutolol 200mg capsules acebutolol 200mg capsules acebutolol hydrochloride"	1	"Acebutolol"
"6041000033113"	"Acebutolol  Injection  5 mg/1 ml"	"Acebutolol  Injection  5 mg/1 ml"	"Solution for injection"	"Intramuscular"	"Acebutolol"	NA	NA	"na acebutolol  injection  5 mg 1 ml acebutolol"	1	"Acebutolol"
"10741000033112"	"Acebutolol 400mg tablets"	"Acebutolol 400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Acebutolol"	"400.000mg"	"02040000"	"acebutolol 400mg tablets acebutolol 400mg tablets acebutolol hydrochloride"	1	"Acebutolol"
"10841000033119"	"Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Acepril 12.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Captopril"	"12.500mg"	NA	"acepril 12 5mg tablets acepril 12 5mg tablets  bristol myers squibb pharmaceuticals ltd  captopril"	1	"Captopril"
"10941000033110"	"Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Acepril 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Captopril"	"25.000mg"	NA	"acepril 25mg tablets acepril 25mg tablets  bristol myers squibb pharmaceuticals ltd  captopril"	1	"Captopril"
"11041000033117"	"Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Acepril 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Captopril"	"50.000mg"	NA	"acepril 50mg tablets acepril 50mg tablets  bristol myers squibb pharmaceuticals ltd  captopril"	1	"Captopril"
"11241000033113"	"Accuretic 10mg/12.5mg tablets (Pfizer Ltd)"	"Accuretic 10mg/12.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Hydrochlorothiazide/Quinapril"	"12.500mg + 10.000mg"	NA	"accuretic 10mg 12 5mg tablets accuretic 10mg 12 5mg tablets  pfizer ltd  hydrochlorothiazide  quinapril hydrochloride"	1	"Hydrochlorothiazide/Quinapril"
"11641000033111"	"Accupro 40mg tablets (Pfizer Ltd)"	"Accupro 40mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quinapril"	"40.000mg"	NA	"accupro 40mg tablets accupro 40mg tablets  pfizer ltd  quinapril hydrochloride"	1	"Quinapril"
"13141000033119"	"Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Acezide 25mg/50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Captopril/Hydrochlorothiazide"	"50.000mg + 25.000mg"	NA	"acezide 25mg 50mg tablets acezide 25mg 50mg tablets  bristol myers squibb pharmaceuticals ltd  captopril  hydrochlorothiazide"	1	"Captopril/Hydrochlorothiazide"
"13241000033114"	"Accupro 10mg tablets (Pfizer Ltd)"	"Accupro 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quinapril"	"10.000mg"	NA	"accupro 10mg tablets accupro 10mg tablets  pfizer ltd  quinapril hydrochloride"	1	"Quinapril"
"13341000033116"	"Accupro 20mg tablets (Pfizer Ltd)"	"Accupro 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quinapril"	"20.000mg"	NA	"accupro 20mg tablets accupro 20mg tablets  pfizer ltd  quinapril hydrochloride"	1	"Quinapril"
"13441000033110"	"Accupro 5mg tablets (Pfizer Ltd)"	"Accupro 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quinapril"	"5.000mg"	NA	"accupro 5mg tablets accupro 5mg tablets  pfizer ltd  quinapril hydrochloride"	1	"Quinapril"
"14041000033115"	"Adalat 10mg capsules (Bayer Plc)"	"Adalat 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Nifedipine"	"10.000mg"	NA	"adalat 10mg capsules adalat 10mg capsules  bayer plc  nifedipine"	1	"Nifedipine"
"14141000033116"	"Adalat 5mg capsules (Bayer Plc)"	"Adalat 5mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Nifedipine"	"5.000mg"	NA	"adalat 5mg capsules adalat 5mg capsules  bayer plc  nifedipine"	1	"Nifedipine"
"17141000033112"	"Adalat LA 30mg tablets (Bayer Plc)"	"Adalat LA 30mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"30.000mg"	NA	"adalat la 30mg tablets adalat la 30mg tablets  bayer plc  nifedipine"	1	"Nifedipine"
"17241000033117"	"Adalat LA 60mg tablets (Bayer Plc)"	"Adalat LA 60mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"60.000mg"	NA	"adalat la 60mg tablets adalat la 60mg tablets  bayer plc  nifedipine"	1	"Nifedipine"
"17341000033110"	"Adizem-SR 120mg capsules (Napp Pharmaceuticals Ltd)"	"Adizem-SR 120mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"120.000mg"	NA	"adizem sr 120mg capsules adizem sr 120mg capsules  napp pharmaceuticals ltd  diltiazem hydrochloride"	1	"Diltiazem"
"17441000033116"	"Adizem-SR 180mg capsules (Napp Pharmaceuticals Ltd)"	"Adizem-SR 180mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"180.000mg"	NA	"adizem sr 180mg capsules adizem sr 180mg capsules  napp pharmaceuticals ltd  diltiazem hydrochloride"	1	"Diltiazem"
"17641000033119"	"Adizem-SR 90mg capsules (Napp Pharmaceuticals Ltd)"	"Adizem-SR 90mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"90.000mg"	NA	"adizem sr 90mg capsules adizem sr 90mg capsules  napp pharmaceuticals ltd  diltiazem hydrochloride"	1	"Diltiazem"
"17741000033111"	"Adizem-XL 120mg capsules (Napp Pharmaceuticals Ltd)"	"Adizem-XL 120mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"120.000mg"	NA	"adizem xl 120mg capsules adizem xl 120mg capsules  napp pharmaceuticals ltd  diltiazem hydrochloride"	1	"Diltiazem"
"17841000033118"	"Adizem-XL 180mg capsules (Napp Pharmaceuticals Ltd)"	"Adizem-XL 180mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"180.000mg"	NA	"adizem xl 180mg capsules adizem xl 180mg capsules  napp pharmaceuticals ltd  diltiazem hydrochloride"	1	"Diltiazem"
"17941000033114"	"Adizem-XL 240mg capsules (Napp Pharmaceuticals Ltd)"	"Adizem-XL 240mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"240.000mg"	NA	"adizem xl 240mg capsules adizem xl 240mg capsules  napp pharmaceuticals ltd  diltiazem hydrochloride"	1	"Diltiazem"
"18041000033112"	"Adizem-XL 300mg capsules (Napp Pharmaceuticals Ltd)"	"Adizem-XL 300mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"300.000mg"	NA	"adizem xl 300mg capsules adizem xl 300mg capsules  napp pharmaceuticals ltd  diltiazem hydrochloride"	1	"Diltiazem"
"18241000033116"	"Adipine MR 20 tablets (Chiesi Ltd)"	"Adipine MR 20 tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"20.000mg"	NA	"adipine mr 20 tablets adipine mr 20 tablets  chiesi ltd  nifedipine"	1	"Nifedipine"
"18341000033114"	"Adipine MR 10 tablets (Chiesi Ltd)"	"Adipine MR 10 tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"10.000mg"	NA	"adipine mr 10 tablets adipine mr 10 tablets  chiesi ltd  nifedipine"	1	"Nifedipine"
"19341000033119"	"Adalat retard 20mg tablets (Bayer Plc)"	"Adalat retard 20mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"20.000mg"	NA	"adalat retard 20mg tablets adalat retard 20mg tablets  bayer plc  nifedipine"	1	"Nifedipine"
"19441000033113"	"Adalat retard 10mg tablets (Bayer Plc)"	"Adalat retard 10mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"10.000mg"	NA	"adalat retard 10mg tablets adalat retard 10mg tablets  bayer plc  nifedipine"	1	"Nifedipine"
"19641000033110"	"Adizem-SR 120mg tablets (Napp Pharmaceuticals Ltd)"	"Adizem-SR 120mg tablets"	"Modified-release tablet"	"Oral"	"Diltiazem"	"120.000mg"	NA	"adizem sr 120mg tablets adizem sr 120mg tablets  napp pharmaceuticals ltd  diltiazem hydrochloride"	1	"Diltiazem"
"37741000033118"	"Alphavase 1 tablets (Ashbourne Pharmaceuticals Ltd)"	"Alphavase 1 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prazosin"	"1.000mg"	NA	"alphavase 1 tablets alphavase 1 tablets  ashbourne pharmaceuticals ltd  prazosin hydrochloride"	1	"Prazosin"
"37841000033111"	"Alphavase 2 tablets (Ashbourne Pharmaceuticals Ltd)"	"Alphavase 2 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prazosin"	"2.000mg"	NA	"alphavase 2 tablets alphavase 2 tablets  ashbourne pharmaceuticals ltd  prazosin hydrochloride"	1	"Prazosin"
"37941000033115"	"Alphavase 5 tablets (Ashbourne Pharmaceuticals Ltd)"	"Alphavase 5 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prazosin"	"5.000mg"	NA	"alphavase 5 tablets alphavase 5 tablets  ashbourne pharmaceuticals ltd  prazosin hydrochloride"	1	"Prazosin"
"40241000033110"	"Aldactide 25 tablets (Pfizer Ltd)"	"Aldactide 25 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Spironolactone"	"25.000mg + 25.000mg"	NA	"aldactide 25 tablets aldactide 25 tablets  pfizer ltd  hydroflumethiazide  spironolactone"	1	"Spironolactone"
"40341000033117"	"Aldactide 50 tablets (Pfizer Ltd)"	"Aldactide 50 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Spironolactone"	"50.000mg + 50.000mg"	NA	"aldactide 50 tablets aldactide 50 tablets  pfizer ltd  hydroflumethiazide  spironolactone"	1	"Spironolactone"
"40441000033111"	"Aldactone 100mg tablets (Pfizer Ltd)"	"Aldactone 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Spironolactone"	"100.000mg"	NA	"aldactone 100mg tablets aldactone 100mg tablets  pfizer ltd  spironolactone"	1	"Spironolactone"
"40541000033112"	"Aldactone 25mg tablets (Pfizer Ltd)"	"Aldactone 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Spironolactone"	"25.000mg"	NA	"aldactone 25mg tablets aldactone 25mg tablets  pfizer ltd  spironolactone"	1	"Spironolactone"
"40641000033113"	"Aldactone 50mg tablets (Pfizer Ltd)"	"Aldactone 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Spironolactone"	"50.000mg"	NA	"aldactone 50mg tablets aldactone 50mg tablets  pfizer ltd  spironolactone"	1	"Spironolactone"
"40941000033118"	"Aldomet 250mg tablets (Aspen Pharma Trading Ltd)"	"Aldomet 250mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Methyldopa"	"250.000mg"	NA	"aldomet 250mg tablets aldomet 250mg tablets  aspen pharma trading ltd  methyldopa  anhydrous "	1	"Methyldopa"
"41041000033111"	"Aldomet 500mg tablets (Aspen Pharma Trading Ltd)"	"Aldomet 500mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Methyldopa"	"500.000mg"	NA	"aldomet 500mg tablets aldomet 500mg tablets  aspen pharma trading ltd  methyldopa  anhydrous "	1	"Methyldopa"
"53841000033117"	"Amiloride 5mg/5ml oral solution sugar free"	"Amiloride 5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amiloride"	"1.000mg/1.000ml"	"02020300"	"amiloride 5mg 5ml oral solution sugar free amiloride 5mg 5ml oral solution sugar free amiloride hydrochloride"	1	"Amiloride"
"57141000033118"	"Amiloride 5mg tablets"	"Amiloride 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amiloride"	"5.000mg"	"02020300"	"amiloride 5mg tablets amiloride 5mg tablets amiloride hydrochloride"	1	"Amiloride"
"57241000033113"	"Amlodipine Besilate  Tablets  5 mg"	"Amlodipine Besilate  Tablets  5 mg"	"Tablet"	"Oral"	"Amlodipine"	NA	NA	"na amlodipine besilate  tablets  5 mg amlodipine"	1	"Amlodipine"
"57341000033115"	"Amilmaxco 5mg/50mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Amilmaxco 5mg/50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Hydrochlorothiazide/Amiloride"	"5.000mg + 50.000mg"	NA	"amilmaxco 5mg 50mg tablets amilmaxco 5mg 50mg tablets  ashbourne pharmaceuticals ltd  amiloride hydrochloride  hydrochlorothiazide"	1	"Hydrochlorothiazide/Amiloride"
"59141000033113"	"Amias 16mg tablets (Neon Healthcare Ltd)"	"Amias 16mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Candesartan"	"16.000mg"	NA	"amias 16mg tablets amias 16mg tablets  neon healthcare ltd  candesartan cilexetil"	1	"Candesartan"
"59241000033118"	"Amias 2mg tablets (Neon Healthcare Ltd)"	"Amias 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Candesartan"	"2.000mg"	NA	"amias 2mg tablets amias 2mg tablets  neon healthcare ltd  candesartan cilexetil"	1	"Candesartan"
"59341000033111"	"Amias 4mg tablets (Neon Healthcare Ltd)"	"Amias 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Candesartan"	"4.000mg"	NA	"amias 4mg tablets amias 4mg tablets  neon healthcare ltd  candesartan cilexetil"	1	"Candesartan"
"59441000033117"	"Amias 8mg tablets (Neon Healthcare Ltd)"	"Amias 8mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Candesartan"	"8.000mg"	NA	"amias 8mg tablets amias 8mg tablets  neon healthcare ltd  candesartan cilexetil"	1	"Candesartan"
"60341000033110"	"Amil-Co 5mg/50mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Amil-Co 5mg/50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Hydrochlorothiazide/Amiloride"	"5.000mg + 50.000mg"	NA	"amil co 5mg 50mg tablets amil co 5mg 50mg tablets  ivax pharmaceuticals uk ltd  amiloride hydrochloride  hydrochlorothiazide"	1	"Hydrochlorothiazide/Amiloride"
"60741000033111"	"Amlodipine Besilate  Tablets  10 mg"	"Amlodipine Besilate  Tablets  10 mg"	"Tablet"	"Oral"	"Amlodipine"	NA	NA	"na amlodipine besilate  tablets  10 mg amlodipine"	1	"Amlodipine"
"61841000033111"	"Angiopine 10 capsules (Ashbourne Pharmaceuticals Ltd)"	"Angiopine 10 capsules"	"Capsule/ Oral capsule"	"Oral"	"Nifedipine"	"10.000mg"	NA	"angiopine 10 capsules angiopine 10 capsules  ashbourne pharmaceuticals ltd  nifedipine"	1	"Nifedipine"
"65241000033114"	"Angiopine MR 20mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Angiopine MR 20mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"20.000mg"	NA	"angiopine mr 20mg tablets angiopine mr 20mg tablets  ashbourne pharmaceuticals ltd  nifedipine"	1	"Nifedipine"
"65341000033116"	"Angitil SR 90 capsules (Ethypharm UK Ltd)"	"Angitil SR 90 capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"90.000mg"	NA	"angitil sr 90 capsules angitil sr 90 capsules  ethypharm uk ltd  diltiazem hydrochloride"	1	"Diltiazem"
"65441000033110"	"Angitil SR 120 capsules (Ethypharm UK Ltd)"	"Angitil SR 120 capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"120.000mg"	NA	"angitil sr 120 capsules angitil sr 120 capsules  ethypharm uk ltd  diltiazem hydrochloride"	1	"Diltiazem"
"65541000033111"	"Angitil SR 180 capsules (Ethypharm UK Ltd)"	"Angitil SR 180 capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"180.000mg"	NA	"angitil sr 180 capsules angitil sr 180 capsules  ethypharm uk ltd  diltiazem hydrochloride"	1	"Diltiazem"
"65941000033117"	"Angiozem CR 90mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Angiozem CR 90mg tablets"	"Modified-release tablet"	"Oral"	"Diltiazem"	"90.000mg"	NA	"angiozem cr 90mg tablets angiozem cr 90mg tablets  ashbourne pharmaceuticals ltd  diltiazem hydrochloride"	1	"Diltiazem"
"66041000033110"	"Angiozem CR 120mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Angiozem CR 120mg tablets"	"Modified-release tablet"	"Oral"	"Diltiazem"	"120.000mg"	NA	"angiozem cr 120mg tablets angiozem cr 120mg tablets  ashbourne pharmaceuticals ltd  diltiazem hydrochloride"	1	"Diltiazem"
"66141000033114"	"Angiopine MR 10mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Angiopine MR 10mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"10.000mg"	NA	"angiopine mr 10mg tablets angiopine mr 10mg tablets  ashbourne pharmaceuticals ltd  nifedipine"	1	"Nifedipine"
"69441000033112"	"Antipressan 25mg tablets (Teva UK Ltd)"	"Antipressan 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Atenolol"	"25.000mg"	NA	"antipressan 25mg tablets antipressan 25mg tablets  teva uk ltd  atenolol"	1	"Atenolol"
"70941000033117"	"Antipressan 100mg tablets (Teva UK Ltd)"	"Antipressan 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Atenolol"	"100.000mg"	NA	"antipressan 100mg tablets antipressan 100mg tablets  teva uk ltd  atenolol"	1	"Atenolol"
"71041000033110"	"Antipressan 50mg tablets (Teva UK Ltd)"	"Antipressan 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Atenolol"	"50.000mg"	NA	"antipressan 50mg tablets antipressan 50mg tablets  teva uk ltd  atenolol"	1	"Atenolol"
"71141000033114"	"Angiozem 60mg modified-release tablets (Ashbourne Pharmaceuticals Ltd)"	"Angiozem 60mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Diltiazem"	"60.000mg"	NA	"angiozem 60mg modified release tablets angiozem 60mg modified release tablets  ashbourne pharmaceuticals ltd  diltiazem hydrochloride"	1	"Diltiazem"
"73441000033117"	"Apresoline 20mg powder for solution for injection ampoules (Advanz Pharma)"	"Apresoline 20mg powder for solution for injection ampoules"	"Powder for solution for injection"	"Intravenous"	"Hydralazine"	"20.000mg"	NA	"apresoline 20mg powder for solution for injection ampoules apresoline 20mg powder for solution for injection ampoules  advanz pharma  hydralazine hydrochloride"	1	"Hydralazine"
"74341000033114"	"Apresoline 25mg tablets (Advanz Pharma)"	"Apresoline 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Hydralazine"	"25.000mg"	NA	"apresoline 25mg tablets apresoline 25mg tablets  advanz pharma  hydralazine hydrochloride"	1	"Hydralazine"
"74541000033119"	"Aprinox 2.5mg tablets (Advanz Pharma)"	"Aprinox 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Bendroflumethiazide"	"2.500mg"	NA	"aprinox 2 5mg tablets aprinox 2 5mg tablets  advanz pharma  bendroflumethiazide"	1	"Bendroflumethiazide"
"74641000033118"	"Aprinox 5mg tablets (Amdipharm Plc)"	"Aprinox 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Bendroflumethiazide"	"5.000mg"	NA	"aprinox 5mg tablets aprinox 5mg tablets  amdipharm plc  bendroflumethiazide"	1	"Bendroflumethiazide"
"75941000033114"	"Aprovel 150mg tablets (Sanofi)"	"Aprovel 150mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Irbesartan"	"150.000mg"	NA	"aprovel 150mg tablets aprovel 150mg tablets  sanofi  irbesartan"	1	"Irbesartan"
"76041000033116"	"Aprovel 300mg tablets (Sanofi)"	"Aprovel 300mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Irbesartan"	"300.000mg"	NA	"aprovel 300mg tablets aprovel 300mg tablets  sanofi  irbesartan"	1	"Irbesartan"
"76141000033117"	"Aprovel 75mg tablets (Sanofi)"	"Aprovel 75mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Irbesartan"	"75.000mg"	NA	"aprovel 75mg tablets aprovel 75mg tablets  sanofi  irbesartan"	1	"Irbesartan"
"89541000033111"	"Atenolol 5mg/10ml solution for injection ampoules"	"Atenolol 5mg/10ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Atenolol"	"500.000microgram/1.000ml"	"02040000"	"atenolol 5mg 10ml solution for injection ampoules atenolol 5mg 10ml solution for injection ampoules atenolol"	1	"Atenolol"
"90441000033118"	"Atenolol 25mg/5ml oral solution sugar free"	"Atenolol 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Atenolol"	"5.000mg/1.000ml"	"02040000"	"atenolol 25mg 5ml oral solution sugar free atenolol 25mg 5ml oral solution sugar free atenolol"	1	"Atenolol"
"90541000033117"	"Atenix 100 tablets (Ashbourne Pharmaceuticals Ltd)"	"Atenix 100 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Atenolol"	"100.000mg"	NA	"atenix 100 tablets atenix 100 tablets  ashbourne pharmaceuticals ltd  atenolol"	1	"Atenolol"
"90641000033116"	"Atenolol 25mg tablets"	"Atenolol 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Atenolol"	"25.000mg"	"02040000"	"atenolol 25mg tablets atenolol 25mg tablets atenolol"	1	"Atenolol"
"90741000033113"	"Atenix Co 100 tablets (Ashbourne Pharmaceuticals Ltd)"	"Atenix Co 100 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlortalidone/Atenolol"	"100.000mg + 25.000mg"	NA	"atenix co 100 tablets atenix co 100 tablets  ashbourne pharmaceuticals ltd  atenolol  chlortalidone"	1	"Chlortalidone/Atenolol"
"91041000033118"	"Atenolol 100mg tablets"	"Atenolol 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Atenolol"	"100.000mg"	"02040000"	"atenolol 100mg tablets atenolol 100mg tablets atenolol"	1	"Atenolol"
"91141000033119"	"Atenolol 50mg tablets"	"Atenolol 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Atenolol"	"50.000mg"	"02040000"	"atenolol 50mg tablets atenolol 50mg tablets atenolol"	1	"Atenolol"
"91841000033113"	"Atenix 25 tablets (Ashbourne Pharmaceuticals Ltd)"	"Atenix 25 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Atenolol"	"25.000mg"	NA	"atenix 25 tablets atenix 25 tablets  ashbourne pharmaceuticals ltd  atenolol"	1	"Atenolol"
"92441000033119"	"Atenix Co 50 tablets (Ashbourne Pharmaceuticals Ltd)"	"Atenix Co 50 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlortalidone/Atenolol"	"50.000mg + 12.500mg"	NA	"atenix co 50 tablets atenix co 50 tablets  ashbourne pharmaceuticals ltd  atenolol  chlortalidone"	1	"Chlortalidone/Atenolol"
"92541000033118"	"Atenix 50 tablets (Ashbourne Pharmaceuticals Ltd)"	"Atenix 50 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Atenolol"	"50.000mg"	NA	"atenix 50 tablets atenix 50 tablets  ashbourne pharmaceuticals ltd  atenolol"	1	"Atenolol"
"116741000033118"	"Baratol 25mg tablets (Amdipharm Plc)"	"Baratol 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Indoramin"	"25.000mg"	NA	"baratol 25mg tablets baratol 25mg tablets  amdipharm plc  indoramin hydrochloride"	1	"Indoramin"
"124241000033112"	"Bedranol SR 160mg capsules (Sandoz Ltd)"	"Bedranol SR 160mg capsules"	"Modified-release capsule"	"Oral"	"Propranolol"	"160.000mg"	NA	"bedranol sr 160mg capsules bedranol sr 160mg capsules  sandoz ltd  propranolol hydrochloride"	1	"Propranolol"
"124341000033119"	"Beta-Adalat modified-release capsules (Bayer Plc)"	"Beta-Adalat modified-release capsules"	"Modified-release capsule"	"Oral"	"Nifedipine/Atenolol"	"50.000mg + 20.000mg"	NA	"beta adalat modified release capsules beta adalat modified release capsules  bayer plc  atenolol  nifedipine"	1	"Nifedipine/Atenolol"
"131141000033116"	"Betaloc I.V. 5mg/5ml solution for injection ampoules (Recordati Pharmaceuticals Ltd)"	"Betaloc I.V. 5mg/5ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Metoprolol"	"1.000mg/1.000ml"	NA	"betaloc i v  5mg 5ml solution for injection ampoules betaloc i v  5mg 5ml solution for injection ampoules  recordati pharmaceuticals ltd  metoprolol tartrate"	1	"Metoprolol"
"133141000033117"	"Beta-Prograne 160mg modified-release capsules (Tillomed Laboratories Ltd)"	"Beta-Prograne 160mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Propranolol"	"160.000mg"	NA	"beta prograne 160mg modified release capsules beta prograne 160mg modified release capsules  tillomed laboratories ltd  propranolol hydrochloride"	1	"Propranolol"
"144341000033117"	"Betaloc 100mg tablets (AstraZeneca UK Ltd)"	"Betaloc 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metoprolol"	"100.000mg"	NA	"betaloc 100mg tablets betaloc 100mg tablets  astrazeneca uk ltd  metoprolol tartrate"	1	"Metoprolol"
"144441000033111"	"Betaloc 50mg tablets (AstraZeneca UK Ltd)"	"Betaloc 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metoprolol"	"50.000mg"	NA	"betaloc 50mg tablets betaloc 50mg tablets  astrazeneca uk ltd  metoprolol tartrate"	1	"Metoprolol"
"144541000033112"	"Betaloc-SA 200mg tablets (AstraZeneca UK Ltd)"	"Betaloc-SA 200mg tablets"	"Modified-release tablet"	"Oral"	"Metoprolol"	"200.000mg"	NA	"betaloc sa 200mg tablets betaloc sa 200mg tablets  astrazeneca uk ltd  metoprolol tartrate"	1	"Metoprolol"
"144741000033116"	"Betim 10mg tablets (Meda Pharmaceuticals Ltd)"	"Betim 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Timolol"	"10.000mg"	NA	"betim 10mg tablets betim 10mg tablets  meda pharmaceuticals ltd  timolol maleate"	1	"Timolol"
"172341000033112"	"Burinex A 5mg/1mg tablets (LEO Pharma)"	"Burinex A 5mg/1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amiloride"	"5.000mg + 1.000mg"	NA	"burinex a 5mg 1mg tablets burinex a 5mg 1mg tablets  leo pharma  amiloride hydrochloride  bumetanide"	1	"Amiloride"
"176741000033114"	"Cardene 20mg capsules (Laboratoire X.O)"	"Cardene 20mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Nicardipine"	"20.000mg"	NA	"cardene 20mg capsules cardene 20mg capsules  laboratoire x o  nicardipine hydrochloride"	1	"Nicardipine"
"176841000033116"	"Cardene 30mg capsules (Laboratoire X.O)"	"Cardene 30mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Nicardipine"	"30.000mg"	NA	"cardene 30mg capsules cardene 30mg capsules  laboratoire x o  nicardipine hydrochloride"	1	"Nicardipine"
"196241000033111"	"Catapres 150micrograms/1ml solution for injection ampoules (Glenwood GmbH)"	"Catapres 150micrograms/1ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Clonidine"	"150.000microgram/1.000ml"	NA	"catapres 150micrograms 1ml solution for injection ampoules catapres 150micrograms 1ml solution for injection ampoules  glenwood gmbh  clonidine hydrochloride"	1	"Clonidine"
