"prodcodeid"	"term"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"concat"	"match"	"Antihypertensives"
"10495741000033115"	"Taptiqom 15micrograms/ml / 5mg/ml eye drops 0.3ml unit dose (Santen UK Ltd)"	"Taptiqom 15micrograms/ml / 5mg/ml eye drops 0.3ml unit dose"	"Eye drops"	"Ocular"	"Timolol"	"15.000microgram/1.000ml + 5.000mg/1.000ml"	NA	"taptiqom 15micrograms ml   5mg ml eye drops 0 3ml unit dose taptiqom 15micrograms ml   5mg ml eye drops 0 3ml unit dose  santen uk ltd  tafluprost  timolol maleate"	1	"Timolol"
"10617641000033119"	"Phentolamine 2mg/0.35ml / Aviptadil 25micrograms/0.35ml solution for injection ampoules"	"Phentolamine 2mg/0.35ml / Aviptadil 25micrograms/0.35ml solution for injection ampoules"	"Solution for injection"	"Intracavernous"	"Phentolamine"	"71.430microgram/1.000ml + 5.710mg/1.000ml"	"07040500"	"phentolamine 2mg 0 35ml   aviptadil 25micrograms 0 35ml solution for injection ampoules phentolamine 2mg 0 35ml   aviptadil 25micrograms 0 35ml solution for injection ampoules aviptadil  phentolamine mesilate"	1	"Phentolamine"
"10617741000033111"	"Invicorp 25micrograms/2mg/0.35ml solution for injection ampoules (Evolan Pharma AB)"	"Invicorp 25micrograms/2mg/0.35ml solution for injection ampoules"	"Solution for injection"	"Intracavernous"	"Phentolamine"	"71.430microgram/1.000ml + 5.710mg/1.000ml"	NA	"invicorp 25micrograms 2mg 0 35ml solution for injection ampoules invicorp 25micrograms 2mg 0 35ml solution for injection ampoules  evolan pharma ab  aviptadil  phentolamine mesilate"	1	"Phentolamine"
"10645041000033114"	"Lisinopril 5mg/5ml oral solution sugar free"	"Lisinopril 5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Lisinopril"	"1.000mg/1.000ml"	"02050501"	"lisinopril 5mg 5ml oral solution sugar free lisinopril 5mg 5ml oral solution sugar free lisinopril"	1	"Lisinopril"
"10650041000033116"	"Nadolol 20mg/5ml oral suspension"	"Nadolol 20mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Nadolol"	"4.000mg/1.000ml"	"02040000"	"nadolol 20mg 5ml oral suspension nadolol 20mg 5ml oral suspension nadolol"	1	"Nadolol"
"10650141000033117"	"Nadolol 30mg/5ml oral suspension"	"Nadolol 30mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Nadolol"	"6.000mg/1.000ml"	"02040000"	"nadolol 30mg 5ml oral suspension nadolol 30mg 5ml oral suspension nadolol"	1	"Nadolol"
"10740841000033116"	"Guanfacine 1mg modified-release tablets"	"Guanfacine 1mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Guanfacine"	"1.000mg"	"04040000"	"guanfacine 1mg modified release tablets guanfacine 1mg modified release tablets guanfacine hydrochloride"	1	"Guanfacine"
"10740941000033112"	"Guanfacine 2mg modified-release tablets"	"Guanfacine 2mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Guanfacine"	"2.000mg"	"04040000"	"guanfacine 2mg modified release tablets guanfacine 2mg modified release tablets guanfacine hydrochloride"	1	"Guanfacine"
"10741041000033119"	"Guanfacine 3mg modified-release tablets"	"Guanfacine 3mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Guanfacine"	"3.000mg"	"04040000"	"guanfacine 3mg modified release tablets guanfacine 3mg modified release tablets guanfacine hydrochloride"	1	"Guanfacine"
"10741141000033115"	"Guanfacine 4mg modified-release tablets"	"Guanfacine 4mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Guanfacine"	"4.000mg"	"04040000"	"guanfacine 4mg modified release tablets guanfacine 4mg modified release tablets guanfacine hydrochloride"	1	"Guanfacine"
"10741241000033110"	"Intuniv 1mg modified-release tablets (Takeda UK Ltd)"	"Intuniv 1mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Guanfacine"	"1.000mg"	NA	"intuniv 1mg modified release tablets intuniv 1mg modified release tablets  takeda uk ltd  guanfacine hydrochloride"	1	"Guanfacine"
"10741341000033117"	"Intuniv 2mg modified-release tablets (Takeda UK Ltd)"	"Intuniv 2mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Guanfacine"	"2.000mg"	NA	"intuniv 2mg modified release tablets intuniv 2mg modified release tablets  takeda uk ltd  guanfacine hydrochloride"	1	"Guanfacine"
"10741441000033111"	"Intuniv 3mg modified-release tablets (Takeda UK Ltd)"	"Intuniv 3mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Guanfacine"	"3.000mg"	NA	"intuniv 3mg modified release tablets intuniv 3mg modified release tablets  takeda uk ltd  guanfacine hydrochloride"	1	"Guanfacine"
"10741541000033112"	"Intuniv 4mg modified-release tablets (Takeda UK Ltd)"	"Intuniv 4mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Guanfacine"	"4.000mg"	NA	"intuniv 4mg modified release tablets intuniv 4mg modified release tablets  takeda uk ltd  guanfacine hydrochloride"	1	"Guanfacine"
"10943641000033117"	"Sacubitril 24mg / Valsartan 26mg tablets"	"Sacubitril 24mg / Valsartan 26mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Valsartan"	"24.000mg + 26.000mg"	"02050502"	"sacubitril 24mg   valsartan 26mg tablets sacubitril 24mg   valsartan 26mg tablets sacubitril  valsartan"	1	"Valsartan"
"10943741000033114"	"Sacubitril 49mg / Valsartan 51mg tablets"	"Sacubitril 49mg / Valsartan 51mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Valsartan"	"49.000mg + 51.000mg"	"02050502"	"sacubitril 49mg   valsartan 51mg tablets sacubitril 49mg   valsartan 51mg tablets sacubitril  valsartan"	1	"Valsartan"
"10943841000033116"	"Sacubitril 97mg / Valsartan 103mg tablets"	"Sacubitril 97mg / Valsartan 103mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Valsartan"	"97.000mg + 103.000mg"	"02050502"	"sacubitril 97mg   valsartan 103mg tablets sacubitril 97mg   valsartan 103mg tablets sacubitril  valsartan"	1	"Valsartan"
"10943941000033112"	"Entresto 24mg/26mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Entresto 24mg/26mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Valsartan"	"24.000mg + 26.000mg"	NA	"entresto 24mg 26mg tablets entresto 24mg 26mg tablets  novartis pharmaceuticals uk ltd  sacubitril  valsartan"	1	"Valsartan"
