"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"5812"	"1625.11"	188862	0	19573	64	"abnormal weight loss - symptom"	"February 2009"
"12398"	"1D1A.00"	58193	0	3034	0	"complaining of weight loss"	"February 2009"
"105396"	"8H4n.00"	291	0	938	0	"referral to weight management special interest gp"	"December 2012"
"105638"	"9hN1.00"	14	0	0	0	"excepted from obesity quality indicators: informed dissent"	"January 2013"
"108608"	"66Cb.00"	182	0	0	0	"intensive weight management programme commenced"	"September 2014"
"49409"	"9OK4.00"	2732	0	4	0	"obesity monitoring 1st letter"	"February 2009"
"11443"	"ZC1..00"	3524	0	25	0	"actions to lose weight"	"February 2009"
"98136"	"8IAM.00"	33649	0	4055	47	"referral to weight management service declined"	"December 2009"
"47516"	"2292.00"	271	0	0	0	"o/e - height 10-20% < average"	"February 2009"
"35476"	"2294.00"	291	0	0	0	"o/e-height 10-20% over average"	"February 2009"
"104421"	"C380700"	2	0	0	0	"lifelong obesity"	"June 2012"
"28937"	"22K2.00"	417930	0	12	0	"body mass index high k/m2"	"February 2009"
"12530"	"R034800"	3815	0	178	1	"[d]underweight"	"February 2009"
"17470"	"6878.00"	9873	0	16	0	"obesity screen"	"February 2009"
"32879"	"66CG.00"	61114	0	2563	0	"weight management programme offered"	"February 2009"
"17444"	"66CE.00"	85	0	89	0	"reason for obesity therapy - occupational"	"February 2009"
"43472"	"66CK.00"	883	0	1	0	"target weight reached"	"February 2009"
"96348"	"6B4..11"	72	0	2	0	"counterweight programme"	"April 2009"
"8964"	"8B57.00"	21076	0	190	70	"weight reducing diet"	"February 2009"
"654"	"1623.00"	99976	0	17203	515	"weight decreasing"	"February 2009"
"66406"	"C38..00"	671	0	0	0	"obesity and other hyperalimentation"	"February 2009"
"22695"	"C380400"	2079	0	8	0	"central obesity"	"February 2009"
"111737"	"66CF100"	2	0	0	0	"6 month target weight"	"April 2017"
"6533"	"R031.00"	75690	0	3663	25	"[d]abnormal weight gain"	"February 2009"
"103195"	"14f..00"	65	0	2	0	"h/o: attempted weight loss"	"October 2011"
"110708"	"8HHH100"	26	0	2	0	"referral to residential weight management programme"	"April 2016"
"43806"	"ZC1A.00"	25	0	0	0	"excessive exercising to lose weight"	"February 2009"
"11461"	"66C..00"	178290	0	976	0	"obesity monitoring"	"February 2009"
"69757"	"Cyu7000"	29	0	1	0	"[x]other obesity"	"February 2009"
"28946"	"22K1.00"	391607	0	2	1	"body mass index normal k/m2"	"February 2009"
"22556"	"22K7.00"	75214	0	300	5	"body mass index 40+ - severely obese"	"February 2009"
