"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Mood Stabiliser"
"1123841000033114"	"Priadel 520mg/5ml liquid"	"Oral solution"	"Oral"	"Lithium"	"104.000mg/1.000ml"	NA	"Lithium"
"1132941000033114"	"Priadel 200mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Lithium"	"200.000mg"	NA	"Lithium"
"1133041000033116"	"Priadel 400mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Lithium"	"400.000mg"	NA	"Lithium"
"1358241000033111"	"Sodium valproate 400mg powder and solvent for solution for injection vials"	"Powder and solvent for solution for injection"	"Intravenous"	"Valproate"	"400.000mg"	"04080100"	"Valproate"
"1358941000033119"	"Sodium Valproate  Sugar-free liquid  200 mg/5 ml"	NA	NA	"Valproate"	NA	NA	"Valproate"
"1359341000033113"	"Sodium valproate 200mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"200.000mg"	"04080100"	"Valproate"
"1359441000033119"	"Sodium valproate 300mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"300.000mg"	"04080100"	"Valproate"
"1359541000033118"	"Sodium valproate 500mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"500.000mg"	"04080100"	"Valproate"
"1361241000033114"	"Sodium valproate 200mg/5ml oral solution"	"Oral solution"	"Oral"	"Valproate"	"40.000mg/1.000ml"	"04080100"	"Valproate"
"1363641000033113"	"Sodium valproate 200mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Valproate"	"40.000mg/1.000ml"	"04080100"	"Valproate"
"1363741000033116"	"Sodium Valproate  Syrup  200 mg/5 ml"	"Oral solution"	"Oral"	"Valproate"	NA	NA	"Valproate"
"1364941000033115"	"Sodium valproate 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Valproate"	"100.000mg"	"04080100"	"Valproate"
"1365041000033115"	"Sodium valproate 200mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"200.000mg"	"04080100"	"Valproate"
"1365141000033116"	"Sodium valproate 500mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"500.000mg"	"04080100"	"Valproate"
"1415041000033114"	"Tegretol 100mg Chewtabs"	"Chewable tablet"	"Oral"	"Carbamazepine"	"100.000mg"	NA	"Carbamazepine"
"1415141000033113"	"Tegretol 200mg Chewtabs"	"Chewable tablet"	"Oral"	"Carbamazepine"	"200.000mg"	NA	"Carbamazepine"
"1423941000033119"	"Tegretol 125mg suppositories"	"Suppository"	"Rectal"	"Carbamazepine"	"125.000mg"	NA	"Carbamazepine"
"1424041000033117"	"Tegretol 250mg suppositories"	"Suppository"	"Rectal"	"Carbamazepine"	"250.000mg"	NA	"Carbamazepine"
"1424241000033113"	"Tegretol 100mg/5ml liquid"	"Oral suspension"	"Oral"	"Carbamazepine"	"20.000mg/1.000ml"	NA	"Carbamazepine"
"1425841000033111"	"Tegretol 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Carbamazepine"	"100.000mg"	NA	"Carbamazepine"
"1425941000033115"	"Tegretol 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Carbamazepine"	"200.000mg"	NA	"Carbamazepine"
"1426041000033113"	"Tegretol 400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Carbamazepine"	"400.000mg"	NA	"Carbamazepine"
"1428841000033119"	"Tegretol Prolonged Release 200mg tablets"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"200.000mg"	NA	"Carbamazepine"
"1428941000033110"	"Tegretol Prolonged Release 400mg tablets"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"400.000mg"	NA	"Carbamazepine"
"1500041000033112"	"Valproic acid 150mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Valproic"	"150.000mg"	"04080100"	"Valproic"
"1500141000033111"	"Valproic acid 300mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Valproic"	"300.000mg"	"04080100"	"Valproic"
"1500241000033116"	"Valproic acid 500mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Valproic"	"500.000mg"	"04080100"	"Valproic"
"1729541000033118"	"Epimaz 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Carbamazepine"	"100.000mg"	NA	"Carbamazepine"
"1729641000033117"	"Epimaz 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Carbamazepine"	"200.000mg"	NA	"Carbamazepine"
"1729741000033114"	"Epimaz 400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Carbamazepine"	"400.000mg"	NA	"Carbamazepine"
"1747541000033114"	"Orlept SF 200mg/5ml liquid"	"Oral solution"	"Oral"	"Valproate"	"40.000mg/1.000ml"	NA	"Valproate"
"1747641000033110"	"Orlept 200mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"200.000mg"	NA	"Valproate"
"1747741000033118"	"Orlept 500mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"500.000mg"	NA	"Valproate"
"2266041000033115"	"Carbamazepine 200mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"200.000mg"	"04080100"	"Carbamazepine"
"2266141000033116"	"Carbamazepine 400mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"400.000mg"	"04080100"	"Carbamazepine"
"2271441000033112"	"Depakote 250mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"250.000mg"	NA	"Valproate"
"2271541000033113"	"Depakote 500mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"500.000mg"	NA	"Valproate"
"2446641000033118"	"*Lithium Carbonicum  Tablets"	"Tablet"	"Oral"	"Lithium"	NA	NA	"Lithium"
"2447041000033114"	"*Lithium Carbonicum  Pills (Sucrose)"	"Tablet"	"Oral"	"Lithium"	NA	NA	"Lithium"
"2584441000033110"	"Lamotrigine 2mg dispersible tablets sugar free"	"Dispersible tablet/"	"Oral"	"Lamotrigine"	"2.000mg"	"04080100"	"Lamotrigine"
"2584541000033111"	"Lamictal 2mg dispersible tablets"	"Dispersible tablet/"	"Oral"	"Lamotrigine"	"2.000mg"	NA	"Lamotrigine"
"2668041000033116"	"Teril Retard 200mg tablets"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"200.000mg"	NA	"Carbamazepine"
"2668141000033117"	"Teril Retard 400mg tablets"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"400.000mg"	NA	"Carbamazepine"
"2711241000033110"	"Valproic acid 250mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate/Valproic"	"250.000mg"	"04020300"	"Valproate/Valproic"
"2711341000033117"	"Valproic acid 500mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate/Valproic"	"500.000mg"	"04020300"	"Valproate/Valproic"
"2730441000033114"	"Arbil MR 200mg tablets"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"200.000mg"	NA	"Carbamazepine"
"2730541000033110"	"Arbil MR 400mg tablets"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"400.000mg"	NA	"Carbamazepine"
"2760941000033111"	"Lithium citrate 509mg/5ml oral solution"	"Oral solution"	"Oral"	"Lithium"	"101.800mg/1.000ml"	"04020300"	"Lithium"
"2761041000033118"	"Lithium citrate 1.018g/5ml oral solution"	"Oral solution"	"Oral"	"Lithium"	"203.600mg/1.000ml"	"04020300"	"Lithium"
"2761141000033119"	"Li-Liquid 509mg/5ml oral solution"	"Oral solution"	"Oral"	"Lithium"	"101.800mg/1.000ml"	NA	"Lithium"
"2761241000033114"	"Li-Liquid 1.018g/5ml oral solution"	"Oral solution"	"Oral"	"Lithium"	"203.600mg/1.000ml"	NA	"Lithium"
"2799141000033115"	"Epival CR 500mg tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"500.000mg"	NA	"Valproate"
"2799241000033110"	"Epival CR 300mg tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"300.000mg"	NA	"Valproate"
"2928641000033118"	"Epimaz Retard 200mg tablets"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"200.000mg"	NA	"Carbamazepine"
"2928741000033110"	"Epimaz Retard 400mg tablets"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"400.000mg"	NA	"Carbamazepine"
"2929341000033119"	"Carbagen SR 200mg tablets"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"200.000mg"	NA	"Carbamazepine"
"2929441000033113"	"Carbagen SR 400mg tablets"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"400.000mg"	NA	"Carbamazepine"
"3152941000033118"	"Sodium valproate 300mg suppositories"	"Suppository"	"Rectal"	"Valproate"	"300.000mg"	"04080100"	"Valproate"
"3153041000033111"	"Sodium valproate 100mg suppositories"	"Suppository"	"Rectal"	"Valproate"	"100.000mg"	"04080100"	"Valproate"
"3923941000033110"	"Sodium valproate 500mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Valproate"	"100.000mg/1.000ml"	"04080100"	"Valproate"
"3979441000033115"	"Carbamazepine 500mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Carbamazepine"	"100.000mg/1.000ml"	"04080100"	"Carbamazepine"
"4021241000033113"	"Sodium valproate 300mg/3ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Valproate"	"100.000mg/1.000ml"	"04080100"	"Valproate"
"4021341000033115"	"Episenta 300mg/3ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Valproate"	"100.000mg/1.000ml"	NA	"Valproate"
"4150241000033114"	"Sodium valproate 150mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Valproate"	"150.000mg"	"04080100"	"Valproate"
"4150341000033116"	"Sodium valproate 300mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Valproate"	"300.000mg"	"04080100"	"Valproate"
"4150441000033110"	"Episenta 150mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Valproate"	"150.000mg"	NA	"Valproate"
"4150641000033112"	"Episenta 300mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Valproate"	"300.000mg"	NA	"Valproate"
"4150941000033117"	"Sodium valproate 500mg modified-release granules sachets sugar free"	"Modified-release granules"	"Oral"	"Valproate"	"500.000mg"	"04080100"	"Valproate"
"4151041000033110"	"Sodium valproate 1g modified-release granules sachets sugar free"	"Modified-release granules"	"Oral"	"Valproate"	"1.000gram"	"04080100"	"Valproate"
"4151141000033114"	"Episenta 500mg modified-release granules sachets"	"Modified-release granules"	"Oral"	"Valproate"	"500.000mg"	NA	"Valproate"
"4151241000033119"	"Episenta 1000mg modified-release granules sachets"	"Modified-release granules"	"Oral"	"Valproate"	"1.000gram"	NA	"Valproate"
"4434741000033113"	"Sodium valproate 1g/10ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Valproate"	"100.000mg/1.000ml"	"04080100"	"Valproate"
"4549841000033112"	"Sodium valproate 100mg modified-release granules sachets sugar free"	"Modified-release granules"	"Oral"	"Valproate"	"100.000mg"	"04080100"	"Valproate"
