"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antiplatelets"
"34233"	3	"Aspirin with aloxiprin and caffeine capsules"	"Aspirin"	NA	"Capsules"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"74210"	0	"Dristan Tablet (Wyeth Consumer Healthcare)"	"Aspirin"	NA	"Tablet"	"Oral"	"Systemic Nasal Decongestants/Non-Opioid And Compound Analgesics"	"Aspirin"
"2986"	25149	"Co-codaprin 8mg/400mg dispersible tablets"	"Aspirin"	"8mg + 400mg"	"Dispersible tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"83401"	0	"Aspirin 300mg tablets (Numark Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"19674"	20	"ASPIRIN DISPERSIBLE"	"Aspirin"	NA	NA	NA	"Unknown"	"Aspirin"
"19813"	3	"ASPIRIN SOLUBLE"	"Aspirin"	NA	NA	NA	"Unknown"	"Aspirin"
"92280"	1	"Dipyridamole 200mg modified-release capsules (Dr Reddy's Laboratories (UK) Ltd)"	"Dipyridamole"	"200mg"	"Modified-release capsule"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"43709"	37	"Aspirin 75mg gastro-resistant tablets (Almus Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"51358"	4	"Dipyridamole 100mg tablets (Viatris UK Healthcare Ltd)"	"Dipyridamole"	"100mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"74786"	2907	"Aspirin 75mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"6007"	50909	"Nu-Seals 300 gastro-resistant tablets (Alliance Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"54565"	12	"Aspirin 75mg dispersible tablets (Lloyds Pharmacy Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"36521"	11	"Aspirin 500mg modified-release tablets"	"Aspirin"	"500mg"	"Modified Release Tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"24828"	2	"Hypon Tablet (Wellcome Medical Division)"	"Aspirin"	NA	"Tablet"	"Oral"	"Non-Opioid And Compound Analgesics/Opioid Analgesics"	"Aspirin"
"80766"	2	"Aspirin 75mg dispersible tablets (M & A Pharmachem Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"49220"	0	"Aspirin 300mg tablets (Kent Pharma (UK) Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"34666"	325	"Aspirin ec 300mg Gastro-resistant tablet (A A H Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"43060"	236	"Aspirin 300mg Soluble tablet (Celltech Pharma Europe Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"57585"	123	"Asasantin Retard capsules (Dowelhurst Ltd)"	"Aspirin/Dipyridamole"	"200mg + 25mg"	"Modified-release capsule"	"Oral"	"Antiplatelet Products"	"Aspirin/Dipyridamole"
"25335"	15566	"PostMI 75 EC tablets (Ashbourne Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"16597"	19	"Dipyridamole 10mg/2ml solution for injection ampoules"	"Dipyridamole"	"5mg/1ml"	"Solution for injection"	"Intravenous"	"Unknown"	"Dipyridamole"
"56996"	6	"Aspirin 75mg dispersible tablets (Waymade Healthcare Plc)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"7518"	889	"Aspirin 400mg with Codeine 8mg dispersible tablets"	"Aspirin"	"400mg + 8mg"	"Dispersible Tablet"	"Oral"	"Non-Opioid And Compound Analgesics/Opioid Analgesics"	"Aspirin"
"7769"	133	"ASPIRIN/PARACETAMOL TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"1486"	4789	"ASPIRIN 75 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"Unknown"	"Aspirin"
"9301"	6454	"Aspirin 100mg modified-release tablets"	"Aspirin"	"100mg"	"Modified Release Tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"6006"	80085	"Nu-Seals 75 gastro-resistant tablets (Alliance Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"33662"	3	"Aspirin 300mg Dispersible tablet (A A H Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"71676"	0	"Aspirin 75mg dispersible tablets (Mawdsley-Brooks & Company Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"29848"	4	"Aspirin 300mg with Glycine 150mg chewable tablets"	"Aspirin"	"300mg + 150mg"	"Chewable Tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"7520"	18	"Anadin Extra soluble tablets (Haleon UK Trading Ltd)"	"Aspirin"	"45mg + 300mg + 200mg"	"Soluble tablet"	"Oral"	"Other Non Opioid Analgesics"	"Aspirin"
"52280"	0	"Aspirin 300mg Tablet (Wockhardt UK Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"3832"	324828	"Persantin Retard 200mg capsules (Boehringer Ingelheim Ltd)"	"Dipyridamole"	"200mg"	"Modified-release capsule"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"43679"	1	"Flamasacard 162.5mg Modified-release capsule (Abbey Pharmaceuticals Ltd)"	"Aspirin"	"162.5mg"	"Modified-Release Capsule"	"Oral"	"Antiplatelet Products"	"Aspirin"
"44311"	25	"DEXTROPROPOXYPHENE NAPSYLATE/ASPIRIN 100 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"40381"	97	"Aspirin 75mg Soluble tablet (C P Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"8186"	1156	"Aspirin 300mg modified-release tablets"	"Aspirin"	"300mg"	"Modified-release tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"41766"	11	"Maximum Strength Aspro Clear 500mg effervescent tablets (Bayer Plc)"	"Aspirin"	"500mg"	"Effervescent tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"48974"	2033	"Aspirin 75mg tablets (Phoenix Healthcare Distribution Ltd)"	"Aspirin"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"22232"	80	"Disprin Direct 300mg orodispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"300mg"	"Orodispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"31870"	18	"Aspirin 320mg tablets"	"Aspirin"	"320mg"	"Tablets"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"38998"	17	"Plavix 300mg tablets (Sanofi)"	"Clopidogrel"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"58331"	1147	"Aspirin 300mg gastro-resistant tablets (Viatris UK Healthcare Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"70841"	24	"Aspirin 300mg Dispersible tablet (Family Health)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"63603"	99	"Laboprin Tablet (Laboratories For Applied Biology Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"73478"	2	"Lloydspharmacy Extra Power Pain Reliever tablets (Lloyds Pharmacy Ltd)"	"Aspirin"	"45mg + 200mg + 300mg"	"Oral tablet"	"Oral"	"Other Non Opioid Analgesics"	"Aspirin"
"35967"	2	"Paramed Extra Power Pain Control tablets (Galpharm International Ltd)"	"Aspirin"	"45mg + 200mg + 300mg"	"Oral tablet"	"Oral"	"Other Non Opioid Analgesics"	"Aspirin"
"77477"	175	"Plavix 75mg tablets (Waymade Healthcare Plc)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"15352"	8	"ASPIRIN & PARACETAMOL TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"8920"	392	"ASPIRIN SOLUBLE 500 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"395"	3814	"Aspirin mixture"	"Aspirin"	NA	"Mixture"	"Oromucosal"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"75212"	2	"Dipyridamole 100mg Tablet (Berk Pharmaceuticals Ltd)"	"Dipyridamole"	"100mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"11941"	44	"ASPIRIN SACHETS 30 MG"	"Aspirin"	NA	"Granules"	"Oral"	"Unknown"	"Aspirin"
"23878"	1227	"Nu-seals cardio ec 75mg Gastro-resistant tablet (Genus Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"21921"	314	"Postmi ec 300mg Gastro-resistant tablet (Ashbourne Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"17130"	2	"Persantin 10mg/2ml solution for injection ampoules (Boehringer Ingelheim Ltd)"	"Dipyridamole"	"5mg/1ml"	"Solution for injection"	"Intravenous"	"Cardiac Stress Test"	"Dipyridamole"
"25284"	136	"Cerebrovase 25mg Tablet (Ashbourne Pharmaceuticals Ltd)"	"Dipyridamole"	"25mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"17456"	56	"Metoclopramide with lysine acetylsalicylate 10mg + 900mg Oral solution"	"Aspirin"	"10mg + 900mg"	"Oral Solution"	"Oral"	"Products Used Against Nausea And Vertigo - Domperidone & Metoclopramide/Acute Migraine"	"Aspirin"
"10305"	356	"Aspirin 162.5mg capsules"	"Aspirin"	"162.5mg"	"Capsules"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"22824"	39	"ASPIRIN disp 600 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"48021"	0	"Aspirin 75mg Tablet (Hillcross Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"434"	1226998	"Aspirin 300mg gastro-resistant tablets"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"56503"	208	"Asasantin Retard capsules (Mawdsley-Brooks & Company Ltd)"	"Aspirin/Dipyridamole"	"200mg + 25mg"	"Modified-release capsule"	"Oral"	"Antiplatelet Products"	"Aspirin/Dipyridamole"
"31956"	96	"Aspirin 75mg gastro-resistant tablets (Kent Pharma (UK) Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"59791"	4	"Aspirin 75mg dispersible tablets (Aspar Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"15364"	2435	"Aspirin 150mg suppositories"	"Aspirin"	"150mg"	"Suppository"	"Rectal"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"47937"	0	"Aspirin 75mg dispersible tablets (Wockhardt UK Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Unknown"	"Aspirin"
"46925"	28	"Co-codaprin 8mg/400mg dispersible tablets (Actavis UK Ltd)"	"Aspirin"	"8mg + 400mg"	"Dispersible tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"51561"	0	"Aspirin 75mg gastro-resistant tablets (Zanza Specials International Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"57057"	1	"Aspirin 75mg dispersible tablets (Wockhardt UK Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"76456"	2	"Antoin Tablet (Manufacturer unknown)"	"Aspirin"	"8mg + 400mg"	"Dispersible tablet"	"Oral"	"Non-Opioid And Compound Analgesics/Opioid Analgesics"	"Aspirin"
"30022"	3	"Fynnon calcium aspirin 500mg Soluble tablet (SSL International Plc)"	"Aspirin"	"500mg"	"Soluble Tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"15397"	125	"ASPIRIN SOLUBLE 50 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"32728"	2	"Askit oral powder sachets (Bayer Plc)"	"Aspirin"	"530mg + 140mg + 110mg"	"Oral powder"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"60321"	0	"Dipyridamole 25mg tablets (Phoenix Healthcare Distribution Ltd)"	"Dipyridamole"	"25mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"34796"	12	"Aspirin 75mg Gastro-resistant tablet (Galen Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"55161"	2	"Clopidogrel 75mg tablets (Wockhardt UK Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"430"	290	"Aspirin 500mg / Caffeine 32mg capsules"	"Aspirin"	"500mg + 32mg"	"Capsules"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"36543"	389	"Aspirin 100mg effervescent tablets"	"Aspirin"	"100mg"	"Tablets"	"Oral"	"Antiplatelet Products"	"Aspirin"
"489"	13364617	"Clopidogrel 75mg tablets"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"68710"	27	"Brilique 60mg tablets (AstraZeneca UK Ltd)"	"Ticagrelor"	"60mg"	"Oral tablet"	"Gastroenteral/Oral"	"Antiplatelet Products"	"Ticagrelor"
"24309"	2	"Paracetamol 120mg with aspirin 165.3mg & caffeine 60mg powder"	"Aspirin"	"120mg + 165.3mg + 60mg"	"Powders"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"27435"	1	"Paracetamol 200mg with aspirin 300mg & caffeine 45mg soluble tablet"	"Aspirin"	"200mg + 300mg +45mg"	"Soluble Tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"59244"	33	"Aspirin 100mg capsules"	"Aspirin"	"100mg"	"Oral capsule"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"52905"	0	"Aspirin 300mg tablets (Lloyds Pharmacy Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"17180"	1076	"Metoclopramide with aspirin 5mg + 450mg Effervescent tablet"	"Aspirin"	"5mg + 450mg"	"Effervescent Tablet"	"Oral"	"Products Used Against Nausea And Vertigo - Domperidone & Metoclopramide/Acute Migraine"	"Aspirin"
"72650"	6	"Dipyridamole oral liquid"	"Dipyridamole"	NA	"Oral solution"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"66171"	5	"Aspirin 150mg Suppository (Distriphar (UK))"	"Aspirin"	"150mg"	"Suppository"	"Rectal"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"40591"	102	"Efient 5mg tablets (Vygoris Ltd)"	"Prasugrel"	"5mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Prasugrel"
"20127"	117	"Codeine phosphate 8mg with aspirin 400mg with caffeine dispersible tablets"	"Aspirin"	"8mg+400mg"	"Dispersible Tablet"	"Oral"	"Non-Opioid And Compound Analgesics/Opioid Analgesics"	"Aspirin"
"14517"	72	"Robaxisal forte Tablet (Shire Pharmaceuticals Ltd)"	"Aspirin"	NA	"Tablet"	"Oral"	"Non-Opioid And Compound Analgesics/Skeletal Muscle Relaxants"	"Aspirin"
"34434"	1091	"Aspirin 75mg dispersible tablets (Thornton & Ross Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"79364"	8	"Dipyridamole 25mg Tablet (Approved Prescription Services Ltd)"	"Dipyridamole"	"25mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"13882"	8577	"Imazin XL tablets (Napp Pharmaceuticals Ltd)"	"Aspirin"	"75mg + 60mg"	"Modified-release tablet"	"Oral"	"Unknown"	"Aspirin"
"70549"	10	"Danamep 75mg dispersible tablets (Ecogen Europe Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"30920"	14	"Aspirin 300mg Dispersible tablet (M & A Pharmachem Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"77428"	595	"Persantin Retard 200mg capsules (Dowelhurst Ltd)"	"Dipyridamole"	"200mg"	"Modified-release capsule"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"31894"	1	"Safapryn -Co Tablet (Pfizer Ltd)"	"Aspirin"	NA	"Tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"24427"	10	"ANHYDROUS CITRIC ACID /ASPIRIN /CALCIUM 8 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"58112"	2	"Alka-Seltzer effervescent tablets original (Bayer Plc)"	"Aspirin"	"965mg + 324mg + 1.625gram"	"Effervescent tablet"	"Oral"	"Other Non Opioid Analgesics"	"Aspirin"
"7944"	94	"ASPIRIN SOLUBLE 40 MG CAP"	"Aspirin"	NA	NA	NA	"Unknown"	"Aspirin"
"15044"	120	"ASPIRIN disp 500 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"54284"	56	"Aspirin 75mg dispersible tablets (Almus Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"32154"	3	"Anadin Soluble tablet (Wyeth Consumer Healthcare)"	"Aspirin"	NA	"Soluble Tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"85588"	0	"Aspirin 75mg gastro-resistant tablets (Medihealth (Northern) Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"37541"	0	"Aspirin 227mg medicated chewing-gum"	"Aspirin"	"227mg"	"Chewing Gum"	"Oromucosal"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"254"	625755	"Aspirin 300mg tablets"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"23250"	7	"ASPIRIN /ETHOHEPTAZINE CITRATE /MEPROBAM 250 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"59904"	1438	"Clopidogrel 75mg/5ml oral solution"	"Clopidogrel"	"15mg/1ml"	"Oral solution"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"39932"	93060	"Prasugrel 10mg tablets"	"Prasugrel"	"10mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Prasugrel"
"12964"	147	"Aspirin 600mg / Caffeine 50mg oral powder sachets sugar free"	"Aspirin"	"600mg + 50mg"	"Oral powder"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"56007"	0	"Aspirin 300mg dispersible tablets (Sigma Pharmaceuticals Plc)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"25232"	238	"Vasyrol cold sore 100mg Tablet (Shire Pharmaceuticals Ltd)"	"Dipyridamole"	"100mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"25718"	1349	"Angettes 75 tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"31938"	4989	"Aspirin 75mg gastro-resistant tablets (Sandoz Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"22776"	3	"Aspirin 500mg with Cyclizine 25mg effervescent tablets"	"Aspirin"	"500mg+25mg"	"Effervescent Tablet"	"Oral"	"Antihistamines Used For Nausea And Vomiting/Acute Migraine"	"Aspirin"
"59253"	15	"Aspirin 75mg gastro-resistant tablets (Waymade Healthcare Plc)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"32036"	50276	"Aspirin 75mg dispersible tablets (Accord-UK Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"34386"	1186	"Aspirin 300mg tablets (Accord-UK Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"67160"	0	"Aspirin 300mg dispersible tablets (Lloyds Pharmacy Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"21770"	185	"Paracetamol 200mg with aspirin 300mg dispersible tablet"	"Aspirin"	"200mg + 300mg"	"Dispersible Tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"79812"	3	"Aspirin 75mg tablets (Kent Pharma (UK) Ltd)"	"Aspirin"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"40114"	8960	"Prasugrel 5mg tablets"	"Prasugrel"	"5mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Prasugrel"
"52044"	2	"Aspirin 300mg caplets (The Boots Company Plc)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"771"	81067	"Dipyridamole 25mg tablets"	"Dipyridamole"	"25mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"26967"	76	"Alka-Seltzer XS effervescent tablets (Bayer Plc)"	"Aspirin"	"133mg + 267mg + 40mg + 954mg + 1.606gram"	"Effervescent tablet"	"Oral"	"Other Non Opioid Analgesics"	"Aspirin"
"34762"	71	"Aspirin 300mg Gastro-resistant tablet (Galen Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"18329"	303	"Enprin 75mg gastro-resistant tablets (Galpharm International Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"15517"	14	"ASPIRIN 100 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"Unknown"	"Aspirin"
"68764"	112	"Molita 200mg/25mg modified-release capsules (Dr Reddy's Laboratories (UK) Ltd)"	"Aspirin/Dipyridamole"	"200mg + 25mg"	"Modified-release capsule"	"Oral"	"Antiplatelet Products"	"Aspirin/Dipyridamole"
"22305"	16	"Disprin Extra dispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"300mg + 200mg"	"Dispersible tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"64837"	4	"Ofcram PR 200mg capsules (Advanz Pharma)"	"Dipyridamole"	"200mg"	"Modified-release capsule"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"45840"	14	"Aspirin 300mg Dispersible tablet (Numark Management Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"53791"	0	"Aspirin 150mg suppositories (Alliance Healthcare (Distribution) Ltd)"	"Aspirin"	"150mg"	"Suppository"	"Rectal"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"836"	157404	"Plavix 75mg tablets (Sanofi)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"88720"	0	"Aspirin 75mg gastro-resistant tablets (Sigma Pharmaceuticals Plc)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"6696"	5026	"Micropirin 75mg gastro-resistant tablets (Dexcel-Pharma Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"50949"	4176	"Aspirin 75mg tablets (A A H Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"5882"	23646	"Dipyridamole 50mg/5ml oral suspension sugar free"	"Dipyridamole"	"10mg/1ml"	"Oral suspension"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"60605"	0	"Dipyridamole 25mg tablets (A A H Pharmaceuticals Ltd)"	"Dipyridamole"	"25mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"60694"	1	"Aspirin 25mg/5ml oral solution"	"Aspirin"	"5mg/1ml"	"Oral solution"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics/Acute Migraine/Non-Steroidal Anti-Inflammatory Drugs"	"Aspirin"
"7539"	5	"Beechams Powders oral powder sachets (Haleon UK Trading Ltd)"	"Aspirin"	"600mg + 50mg"	"Oral powder"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"32992"	103	"Aspirin 75mg gastro-resistant tablets (Viatris UK Healthcare Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"306"	1817	"Aspirin with codeine phosphate and caffeine tablets"	"Aspirin"	NA	"Tablets"	"Oral"	"Non-Opioid And Compound Analgesics/Opioid Analgesics"	"Aspirin"
"24025"	1817	"Caprin 300mg gastro-resistant tablets (Pinewood Healthcare)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
