"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antiplatelets"
"34709"	6	"Dipyridamole 100mg tablets (A A H Pharmaceuticals Ltd)"	"Dipyridamole"	"100mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"66973"	11340	"Ticagrelor 60mg tablets"	"Ticagrelor"	"60mg"	"Oral tablet"	"Gastroenteral/Oral"	"Antiplatelet Products"	"Ticagrelor"
"88492"	0	"Aspirin 500mg powder and solvent for solution for injection vials"	"Aspirin"	"500mg"	"Powder and solvent for solution for injection"	"Intravenous/Intramuscular"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"45905"	238	"Clopidogrel 1mg/ml oral suspension"	"Clopidogrel"	"1mg/1ml"	"Oral suspension"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"66563"	0	"Aspirin 75mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"28238"	19	"ASPIRIN 300MG/LYSINE 245MG 300 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"78167"	356	"Dipyridamole 25mg Tablet (IVAX Pharmaceuticals UK Ltd)"	"Dipyridamole"	"25mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"7989"	286	"DIHYDROCODEINE TARTRATE/ASPIRIN 300 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"7486"	50	"ASPIRIN 37.5 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"35108"	4123	"Dipyridamole 100mg/5ml oral suspension"	"Dipyridamole"	"20mg/1ml"	"Oral suspension"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"18217"	1786	"Aspirin 300mg orodispersible tablets sugar free"	"Aspirin"	"300mg"	"Orodispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
