"medcode"	"Term"	"OriginalReadCode"	"CleansedReadCode"	"Group"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"databaserelease"
"15923"	"Bipolar affective disorder, currently depressed, unspecified"	"E1150"	"E115000"	"bipolar"	110	0	4	0	"February 2009"
"1531"	"[X]Manic-depressive illness"	"Eu31-1"	"Eu31.11"	"bipolar"	9120	0	776	14	"February 2009"
"6710"	"[X]Manic-depressive psychosis"	"Eu31-2"	"Eu31.12"	"bipolar"	1973	0	35	0	"February 2009"
"66153"	"[X]Manic-depressive reaction"	"Eu31-3"	"Eu31.13"	"bipolar"	27	0	1	0	"February 2009"
"31535"	"Mixed bipolar affective disorder, unspecified"	"E1160"	"E116000"	"bipolar"	737	0	2	0	"February 2009"
"22104"	"[V]Personal history of schizophrenia"	NA	"ZV11000"	"schizophrenia"	1519	0	27	0	"February 2009"
"62680"	"Shared paranoid disorder"	"E123"	"E123.00"	"other psychosis"	13	0	0	0	"February 2009"
"9422"	"[X]Schizoaffective disorders"	"Eu25"	"Eu25.00"	"other psychosis"	14173	0	352	0	"February 2009"
"58863"	"Recurrent manic episodes, partial or unspecified remission"	"E1115"	"E111500"	"bipolar"	3	0	0	0	"February 2009"
"31738"	"[X]Chronic hallucinatory psychosis"	"Eu2y-1"	"Eu2y.11"	"other psychosis"	163	0	10	0	"February 2009"
"49761"	"Other schizophrenia NOS"	"E10yz"	"E10yz00"	"schizophrenia"	73	0	0	0	"February 2009"
"33847"	"[X]Schizoaffective disorder, manic type"	"Eu250"	"Eu25000"	"other psychosis"	221	0	0	0	"February 2009"
"21065"	"[X]Mania with psychotic symptoms"	"Eu302"	"Eu30200"	"bipolar"	1348	0	38	0	"February 2009"
"33410"	"[X]Schizoaffective psychosis NOS"	"Eu25z-1"	"Eu25z11"	"other psychosis"	325	0	8	0	"February 2009"
"11548"	"H/O: manic depressive disorder"	"146D"	"146D.00"	"bipolar"	2349	0	103	0	"February 2009"
"96883"	"Latent schizophrenia in remission"	"E1055"	"E105500"	"other psychosis"	28	0	0	0	"May 2009"
"694"	"[X]Psychosis NOS"	"Eu2z-1"	"Eu2z.11"	"other psychosis"	27185	0	1874	3	"February 2009"
"31362"	"Chronic paranoid schizophrenia"	"E1032"	"E103200"	"schizophrenia"	412	0	5	0	"February 2009"
"47230"	"[X]Induced paranoid disorder"	"Eu24-2"	"Eu24.12"	"other psychosis"	34	0	1	0	"February 2009"
"11973"	"[X]Induced psychotic disorder"	"Eu24-3"	"Eu24.13"	"other psychosis"	438	0	1	0	"February 2009"
"105606"	"[X]Folie a deux"	"Eu24-1"	"Eu24.11"	"other psychosis"	1	0	0	0	"January 2013"
"53625"	"Simple schizophrenia NOS"	"E100z"	"E100z00"	"schizophrenia"	125	0	0	0	"February 2009"
"30619"	"Hebephrenic schizophrenia"	"E101"	"E101.00"	"schizophrenia"	554	0	5	0	"February 2009"
"1494"	"Paranoid schizophrenia"	"E103"	"E103.00"	"schizophrenia"	38083	0	1178	0	"February 2009"
"48632"	"[X]Mania with mood-incongruent psychotic symptoms"	"Eu302-2"	"Eu30212"	"bipolar"	24	0	0	0	"February 2009"
"854"	"Schizophrenic disorders"	"E10"	"E10..00"	"schizophrenia"	73956	0	4295	7	"February 2009"
"46434"	"Bipolar affective disorder, currently manic, moderate"	"E1142"	"E114200"	"bipolar"	64	0	1	0	"February 2009"
"3636"	"Psychotic episode NOS"	"E13z-1"	"E13z.11"	"other psychosis"	24376	0	553	0	"February 2009"
"34389"	"[X]Delusional disorder"	"Eu220"	"Eu22000"	"other psychosis"	2902	0	41	0	"February 2009"
"18909"	"Hypomanic psychoses"	"E110-1"	"E110.11"	"bipolar"	1529	0	56	0	"February 2009"
"49223"	"[X]Persistent delusional disorder, unspecified"	"Eu22z"	"Eu22z00"	"other psychosis"	165	0	1	0	"February 2009"
"16562"	"[X]Bipolar affect disorder cur epi mild or moderate depressn"	"Eu313"	"Eu31300"	"bipolar"	558	0	9	0	"February 2009"
"17982"	"Delusion"	"1BH-1"	"1BH..11"	"other psychosis"	2513	0	215	0	"February 2009"
"38063"	"Residual schizophrenia"	"E106"	"E106.00"	"schizophrenia"	439	0	1	0	"February 2009"
"4677"	"Bipolar affective disorder, currently depressed"	"E115"	"E115.00"	"bipolar"	826	0	41	0	"February 2009"
"99199"	"Subchronic catatonic schizophrenia"	"E1021"	"E102100"	"schizophrenia"	2	0	0	0	"April 2010"
"104760"	"Subchronic paranoid schizophrenia"	"E1031"	"E103100"	"schizophrenia"	5	0	0	0	"August 2012"
"26227"	"Recurrent manic episodes"	"E111"	"E111.00"	"bipolar"	347	0	6	0	"February 2009"
"51903"	"[X]Schizophreniform psychosis, manic type"	"Eu250-2"	"Eu25012"	"other psychosis"	58	0	1	0	"February 2009"
"115050"	"[X]Bouffee delirante with symptoms of schizophrenia"	"Eu231-1"	"Eu23111"	"other psychosis"	2	0	0	0	"July 2020"
"26143"	"[X]Cycloid psychosis with symptoms of schizophrenia"	"Eu231-2"	"Eu23112"	"other psychosis"	14	0	4	0	"February 2009"
"33338"	"Atypical schizophrenia"	"E10y0"	"E10y000"	"schizophrenia"	108	0	16	0	"February 2009"
"9521"	"[X]Bipolar disorder, single manic episode"	"Eu30-1"	"Eu30.11"	"bipolar"	1164	0	77	0	"February 2009"
"35734"	"Bipolar affective disorder, currently depressed, mild"	"E1151"	"E115100"	"bipolar"	88	0	1	0	"February 2009"
"68326"	"Unspecified bipolar affective disorder,severe with psychosis"	"E1174"	"E117400"	"bipolar"	17	0	0	0	"February 2009"
"85102"	"Bipolar affective disorder resolved"	"212V"	"212V.00"	"bipolar"	553	0	31	0	"February 2009"
"55479"	"Ideas of reference"	"1BH2"	"1BH2.00"	"other psychosis"	155	0	21	0	"February 2009"
"65811"	"Recurrent manic episodes, severe without mention psychosis"	"E1113"	"E111300"	"bipolar"	35	0	0	0	"February 2009"
"6874"	"[X]Bipolar affective disorder"	"Eu31"	"Eu31.00"	"bipolar"	71803	0	2381	0	"February 2009"
"66766"	"Paranoia querulans"	"E12y0"	"E12y000"	"other psychosis"	10	0	1	0	"February 2009"
"8766"	"[X]Symptomatic psychosis NOS"	"Eu0z-2"	"Eu0z.12"	"other psychosis"	1814	0	110	0	"February 2009"
"91511"	"[X]Latent schizophrenic reaction"	"Eu21-1"	"Eu21.11"	"other psychosis"	7	0	0	0	"February 2009"
"64993"	"[X]Latent schizophrenia"	"Eu21-3"	"Eu21.13"	"other psychosis"	2	0	0	0	"February 2009"
"54387"	"[X]Borderline schizophrenia"	"Eu21-2"	"Eu21.12"	"other psychosis"	22	0	0	0	"February 2009"
"40386"	"[X]Prodromal schizophrenia"	"Eu21-5"	"Eu21.15"	"other psychosis"	40	0	0	0	"February 2009"
"62449"	"[X]Prepsychotic schizophrenia"	"Eu21-4"	"Eu21.14"	"other psychosis"	6	0	0	0	"February 2009"
"71250"	"[X]Pseudopsychopathic schizophrenia"	"Eu21-7"	"Eu21.17"	"other psychosis"	1	0	0	0	"February 2009"
"26859"	"[X]Schizotypal personality disorder"	"Eu21-8"	"Eu21.18"	"other psychosis"	151	0	6	0	"February 2009"
"50868"	"Folie a deux"	"E123-1"	"E123.11"	"other psychosis"	36	0	1	0	"February 2009"
"44513"	"[X]Manic episode, unspecified"	"Eu30z"	"Eu30z00"	"bipolar"	314	0	3	0	"February 2009"
"114206"	"Acute exacerbation of chronic latent schizophrenia"	"E1054"	"E105400"	"other psychosis"	2	0	0	0	"October 2019"
"94299"	"Chronic latent schizophrenia"	"E1052"	"E105200"	"other psychosis"	4	0	0	0	"February 2009"
"32295"	"Recurrent manic episodes, severe, with psychosis"	"E1114"	"E111400"	"bipolar"	44	0	0	0	"February 2009"
"113529"	"Chronic catatonic schizophrenia"	"E1022"	"E102200"	"schizophrenia"	2	0	0	0	"April 2019"
"46415"	"Recurrent manic episode NOS"	"E111z"	"E111z00"	"bipolar"	300	0	1	0	"February 2009"
"63867"	"Catatonic schizophrenia NOS"	"E102z"	"E102z00"	"schizophrenia"	13	0	0	0	"February 2009"
"44498"	"Acute exacerbation of chronic schizophrenia"	"E1004"	"E100400"	"schizophrenia"	123	0	2	0	"February 2009"
"12771"	"Paranoid psychosis NOS"	"E12z"	"E12z.00"	"other psychosis"	8092	0	479	0	"February 2009"
"63651"	"Mixed bipolar affective disorder, partial/unspec remission"	"E1165"	"E116500"	"bipolar"	10	0	0	0	"February 2009"
"36126"	"Bipolar affective disorder, currently manic, mild"	"E1141"	"E114100"	"bipolar"	65	0	1	0	"February 2009"
"34236"	"[X]Schizophrenia"	"Eu20"	"Eu20.00"	"schizophrenia"	5569	0	106	0	"February 2009"
"101987"	"[X]Nonorganic psychosis in remission"	"Eu26"	"Eu26.00"	"other psychosis"	2113	0	1	0	"April 2011"
"51302"	"[X]Induced delusional disorder"	"Eu24"	"Eu24.00"	"other psychosis"	127	0	0	0	"February 2009"
"63150"	"Mixed bipolar affective disorder, moderate"	"E1162"	"E116200"	"bipolar"	65	0	0	0	"February 2009"
"62405"	"[X]Delusional misidentification syndrome"	"Eu221"	"Eu22100"	"other psychosis"	8	0	0	0	"February 2009"
