"medcode"	"Term"	"OriginalReadCode"	"CleansedReadCode"	"Group"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"databaserelease"
"10575"	"Schizo-affective schizophrenia NOS"	"E107z"	"E107z00"	"other psychosis"	356	0	1	0	"February 2009"
"22644"	"Poor insight into psychotic condition"	NA	"286..11"	"other psychosis"	443	0	80	0	"February 2009"
"55221"	"[X]Capgras syndrome"	"Eu221-1"	"Eu22111"	"other psychosis"	58	0	2	0	"February 2009"
"31493"	"[X]Schizophrenic flexibilatis cerea"	"Eu202-4"	"Eu20214"	"schizophrenia"	2	0	0	0	"February 2009"
"57465"	"Bipolar affective disorder, now depressed, in full remission"	"E1156"	"E115600"	"bipolar"	138	0	0	0	"February 2009"
"56438"	"Schizo-affective schizophrenia in remission"	"E1075"	"E107500"	"other psychosis"	322	0	0	0	"February 2009"
"37580"	"[X]Mixed schizophrenic and affective psychosis"	"Eu252-2"	"Eu25212"	"other psychosis"	183	0	5	0	"February 2009"
"37178"	"Recurrent manic episodes, in full remission"	"E1116"	"E111600"	"bipolar"	193	0	1	0	"February 2009"
"19345"	"Psychosis, schizophrenia + bipolar affective disord resolved"	"212T"	"212T.00"	"other psychosis"	2538	0	86	0	"February 2009"
"97919"	"Acute exacerbation of chronic hebephrenic schizophrenia"	"E1014"	"E101400"	"schizophrenia"	1	0	0	0	"October 2009"
"3890"	"Chronic paranoid psychosis"	"E121"	"E121.00"	"other psychosis"	2324	0	316	1	"February 2009"
"39062"	"Other schizophrenia"	"E10y"	"E10y.00"	"schizophrenia"	155	0	1	0	"February 2009"
"29451"	"[X]Manic-depress psychosis,depressd,no psychotic symptoms"	"Eu332-3"	"Eu33213"	"bipolar"	148	0	7	0	"February 2009"
"63698"	"Unspecified bipolar affective disorder, mild"	"E1171"	"E117100"	"bipolar"	17	0	0	0	"February 2009"
"73423"	"Unspecified bipolar affective disorder, severe, no psychosis"	"E1173"	"E117300"	"bipolar"	5	0	0	0	"February 2009"
"35607"	"Bipolar affect disord, now depressed, severe, no psychosis"	"E1153"	"E115300"	"bipolar"	39	0	0	0	"February 2009"
"34966"	"[X]Schizophrenia, unspecified"	"Eu20z"	"Eu20z00"	"schizophrenia"	280	0	4	0	"February 2009"
"23616"	"Subchronic schizophrenia"	"E1001"	"E100100"	"schizophrenia"	293	0	0	0	"February 2009"
"61501"	"[X]Catatonic schizophrenia"	"Eu202"	"Eu20200"	"schizophrenia"	36	0	0	0	"February 2009"
"31455"	"Other paranoid states NOS"	"E12yz"	"E12yz00"	"other psychosis"	202	0	4	0	"February 2009"
"66077"	"[X]Other persistent delusional disorders"	"Eu22y"	"Eu22y00"	"other psychosis"	49	0	0	0	"February 2009"
"13024"	"[X]Mania without psychotic symptoms"	"Eu301"	"Eu30100"	"bipolar"	1265	0	146	0	"February 2009"
"73295"	"Schizophrenia simplex"	"E100-1"	"E100.11"	"schizophrenia"	8	0	0	0	"February 2009"
