"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Anticoagulants"
"6112441000033111"	"Coumadin 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Warfarin"	"4.000mg"	NA	"Warfarin"
"6436141000033111"	"Dabigatran etexilate 150mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Dabigatran etexilate"	"150.000mg"	"02080200"	"Dabigatran etexilate"
"6436241000033116"	"Pradaxa 150mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Dabigatran etexilate"	"150.000mg"	NA	"Dabigatran etexilate"
"6444441000033114"	"Apixaban 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Apixaban"	"2.500mg"	"02080200"	"Apixaban"
"6444541000033110"	"Eliquis 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Apixaban"	"2.500mg"	NA	"Apixaban"
"6511341000033117"	"Rivaroxaban 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rivaroxaban"	"15.000mg"	"02080200"	"Rivaroxaban"
"6511441000033111"	"Rivaroxaban 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rivaroxaban"	"20.000mg"	"02080200"	"Rivaroxaban"
"6511541000033112"	"Xarelto 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rivaroxaban"	"15.000mg"	NA	"Rivaroxaban"
"6511641000033113"	"Xarelto 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rivaroxaban"	"20.000mg"	NA	"Rivaroxaban"
"8232941000033119"	"Apixaban 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Apixaban"	"5.000mg"	"02080200"	"Apixaban"
"8233041000033112"	"Eliquis 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Apixaban"	"5.000mg"	NA	"Apixaban"
"8534941000033115"	"Epoprostenol 500microgram powder (pH12) for solution for infusion vials"	"Powder for solution for infusion"	"Intravenous"	"Epoprostenol"	"500.000microgram"	"02080100"	"Epoprostenol"
"8535041000033115"	"Epoprostenol 1.5mg powder (pH12) for solution for infusion vials"	"Powder for solution for infusion"	"Intravenous"	"Epoprostenol"	"1.500mg"	"02080100"	"Epoprostenol"
"8535141000033116"	"Veletri 500microgram powder for solution for infusion vials"	"Powder for solution for infusion"	"Intravenous"	"Epoprostenol"	"500.000microgram"	NA	"Epoprostenol"
"8535241000033111"	"Veletri 1.5mg powder for solution for infusion vials"	"Powder for solution for infusion"	"Intravenous"	"Epoprostenol"	"1.500mg"	NA	"Epoprostenol"
"9121341000033112"	"Phenprocoumon 3mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Phenprocoumon"	"3.000mg"	"02080200"	"Phenprocoumon"
"9121441000033118"	"Marcoumar 3mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Phenprocoumon"	"3.000mg"	NA	"Phenprocoumon"
"9704541000033116"	"Rivaroxaban 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rivaroxaban"	"2.500mg"	"02080200"	"Rivaroxaban"
"9704641000033115"	"Xarelto 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rivaroxaban"	"2.500mg"	NA	"Rivaroxaban"
"10046241000033115"	"Tinzaparin sodium 8,000units/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	"02080100"	"Tinzaparin"
"10046341000033113"	"Tinzaparin sodium 12,000units/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	"02080100"	"Tinzaparin"
"10046441000033119"	"Tinzaparin sodium 16,000units/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	"02080100"	"Tinzaparin"
"10046541000033118"	"Innohep 8,000units/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	NA	"Tinzaparin"
"10046641000033117"	"Innohep 12,000units/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	NA	"Tinzaparin"
"10046741000033114"	"Innohep 16,000units/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	NA	"Tinzaparin"
"10493541000033110"	"Edoxaban 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Edoxaban"	"15.000mg"	"02080200"	"Edoxaban"
"10493641000033111"	"Edoxaban 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Edoxaban"	"30.000mg"	"02080200"	"Edoxaban"
"10493741000033119"	"Edoxaban 60mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Edoxaban"	"60.000mg"	"02080200"	"Edoxaban"
"10493841000033112"	"Lixiana 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Edoxaban"	"15.000mg"	NA	"Edoxaban"
"10493941000033116"	"Lixiana 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Edoxaban"	"30.000mg"	NA	"Edoxaban"
"10494041000033119"	"Lixiana 60mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Edoxaban"	"60.000mg"	NA	"Edoxaban"
"11799141000033118"	"Epoprostenol 1.5mg powder and solvent (pH10.5) for solution for infusion vials"	"Powder and solvent for solution for infusion"	"Intravenous"	"Epoprostenol"	"1.500mg"	"02080100"	"Epoprostenol"
"11799241000033113"	"Epoprostenol 500microgram powder and solvent (pH10.5) for solution for infusion vials"	"Powder and solvent for solution for infusion"	"Intravenous"	"Epoprostenol"	"500.000microgram"	"02080100"	"Epoprostenol"
"11802341000033113"	"Epoprostenol 500microgram powder and solvent for solution for infusion vials"	"Powder and solvent for solution for infusion"	"Intravenous"	"Epoprostenol"	"500.000microgram"	"02080100"	"Epoprostenol"
"11802541000033118"	"Epoprostenol 1.5mg powder and solvent for solution for infusion vials"	"Powder and solvent for solution for infusion"	"Intravenous"	"Epoprostenol"	"1.500mg"	"02080100"	"Epoprostenol"
"11802641000033117"	"Flolan 500microgram powder and solvent for solution for infusion vials"	"Powder and solvent for solution for infusion"	"Intravenous"	"Epoprostenol"	"500.000microgram"	NA	"Epoprostenol"
"11802741000033114"	"Flolan 1.5mg powder and solvent for solution for infusion vials"	"Powder and solvent for solution for infusion"	"Intravenous"	"Epoprostenol"	"1.500mg"	NA	"Epoprostenol"
"12372741000033116"	"Inhixa 20mg/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"12372841000033114"	"Inhixa 40mg/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"12372941000033118"	"Inhixa 60mg/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"12373041000033111"	"Inhixa 80mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"12373141000033110"	"Inhixa 100mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"12407041000033117"	"Rivaroxaban 15mg tablets and Rivaroxaban 20mg tablets"	"Not applicable"	"Route of administration not applicable"	"Rivaroxaban"	NA	"02080200"	"Rivaroxaban"
"12407141000033118"	"Xarelto 15mg/20mg treatment initiation pack"	"Not applicable"	NA	"Rivaroxaban"	NA	NA	"Rivaroxaban"
"12444341000033118"	"Heparin sodium 500units/500ml infusion bags"	"Infusion"	"Intravenous"	"Heparin"	"1.000unit/1.000ml + 1.000unit/1.000ml"	NA	"Heparin"
"12476141000033111"	"Enoxaparin Becat 20mg/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"12476241000033116"	"Enoxaparin Becat 40mg/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"12476341000033114"	"Enoxaparin Becat 60mg/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"12476441000033115"	"Enoxaparin Becat 80mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"12476641000033118"	"Enoxaparin Becat 100mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"12584641000033111"	"Arovi 100mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"12584741000033119"	"Arovi 120mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"150.000mg/1.000ml"	NA	"Enoxaparin"
"12584841000033112"	"Arovi 150mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"150.000mg/1.000ml"	NA	"Enoxaparin"
"12584941000033116"	"Arovi 20mg/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"12585041000033116"	"Arovi 40mg/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"12585141000033117"	"Arovi 60mg/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"12585241000033112"	"Arovi 80mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"12988541000033114"	"Inhixa 120mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"150.000mg/1.000ml"	NA	"Enoxaparin"
"12988641000033110"	"Inhixa 150mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"150.000mg/1.000ml"	NA	"Enoxaparin"
"13711341000033114"	"Inhixa 300mg/3ml solution for injection multidose vials"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intraarterial"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"13801941000033112"	"Ledraxen 20mg/0.2ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"13802341000033116"	"Ledraxen 40mg/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"13802641000033112"	"Ledraxen 60mg/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"13802841000033113"	"Ledraxen 80mg/0.8ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"13802941000033117"	"Ledraxen 100mg/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Enoxaparin"	"100.000mg/1.000ml"	NA	"Enoxaparin"
"13841341000033118"	"Rivaroxaban 1mg/ml granules for oral suspension sugar free"	"Oral suspension/ Granules for oral suspension"	"Oral"	"Rivaroxaban"	"1.000mg/1.000ml"	"02080200"	"Rivaroxaban"
"13841441000033112"	"Xarelto 1mg/ml granules for oral suspension"	"Oral suspension/ Granules for oral suspension"	"Oral"	"Rivaroxaban"	"1.000mg/1.000ml"	NA	"Rivaroxaban"
"14181741000033117"	"Dalteparin sodium 10,000units/4ml solution for injection vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Dalteparin"	"2500.000unit/1.000ml + 2500.000unit/1.000ml"	"02080100"	"Dalteparin"
"14181841000033110"	"Fragmin 10,000units/4ml solution for injection vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Dalteparin"	"2500.000unit/1.000ml + 2500.000unit/1.000ml"	NA	"Dalteparin"
"14236341000033115"	"Dabigatran etexilate 110mg granules sachets sugar free"	"Granules/ Oral granules"	"Oral"	"Dabigatran etexilate"	"110.000mg"	"02080200"	"Dabigatran etexilate"
"14236441000033114"	"Dabigatran etexilate 150mg granules sachets sugar free"	"Granules/ Oral granules"	"Oral"	"Dabigatran etexilate"	"150.000mg"	"02080200"	"Dabigatran etexilate"
"14432641000033113"	"Rivaroxaban 10mg capsules"	"Oral capsule"	"Oral"	"Rivaroxaban"	"10.000mg"	"02080200"	"Rivaroxaban"
"14432741000033116"	"Rivaroxaban 20mg capsules"	"Oral capsule"	"Oral"	"Rivaroxaban"	"20.000mg"	"02080200"	"Rivaroxaban"
"14432941000033118"	"Rivaroxaban 15mg capsules"	"Oral capsule"	"Oral"	"Rivaroxaban"	"15.000mg"	"02080200"	"Rivaroxaban"
