"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Anticoagulants"
"929141000033116"	"Monoparin calcium 5,000units/0.2ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	NA	"Heparin"
"941941000033118"	"Multiparin 5,000units/5ml solution for injection vials"	"Solution for injection"	"Intravenous"	"Heparin"	"1000.000unit/1.000ml + 1000.000unit/1.000ml"	NA	"Heparin"
"942041000033112"	"Multiparin 125,000units/5ml solution for injection vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	NA	"Heparin"
"942141000033111"	"Multiparin 25,000units/5ml solution for injection vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Heparin"	"5000.000unit/1.000ml + 5000.000unit/1.000ml"	NA	"Heparin"
"1013141000033117"	"Orgaran 750units/0.6ml solution for injection ampoules"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Danaparoid"	"1250.000unit/1.000ml + 1250.000unit/1.000ml"	NA	"Danaparoid"
"1081541000033110"	"Phenindione 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Phenindione"	"10.000mg"	"02080200"	"Phenindione"
"1082341000033112"	"Phenindione 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Phenindione"	"25.000mg"	"02080200"	"Phenindione"
"1082441000033118"	"Phenindione 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Phenindione"	"50.000mg"	"02080200"	"Phenindione"
"1337341000033116"	"Sinthrome 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Acenocoumarol"	"1.000mg"	NA	"Acenocoumarol"
"1337441000033110"	"Sinthrome  Tablets  4 mg"	"Tablet"	"Oral"	"Acenocoumarol"	NA	NA	"Acenocoumarol"
"1439641000033114"	"Tinzaparin  Injection  3500 i.u./0.3 ml"	"Solution for injection"	"Intramuscular"	"Tinzaparin"	NA	NA	"Tinzaparin"
"1439741000033117"	"Tinzaparin  Injection  5000 i.u./0.5 ml"	"Solution for injection"	"Intramuscular"	"Tinzaparin"	NA	NA	"Tinzaparin"
"1439841000033110"	"Tinzaparin sodium 40,000units/2ml solution for injection vials"	"Solution for injection"	"Subcutaneous"	"Tinzaparin"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	"02080100"	"Tinzaparin"
"1439941000033119"	"Tinzaparin  Injection  5000 i.u./5 ml"	"Solution for injection"	"Intramuscular"	"Tinzaparin"	NA	NA	"Tinzaparin"
