"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"Antidiabetic"	"group"	"database"
"720241000033114"	"Humulin M4  Cartridges (1.5 Ml)"	NA	NA	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"720341000033116"	"Humulin S  Cartridges (1.5 Ml)  100 units/ml"	NA	NA	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"720441000033110"	"Humulin M5  Cartridges (1.5 Ml)"	NA	NA	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"720541000033111"	"Humalog 100units/ml solution for injection 1.5ml cartridges"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"Insulin"	"Insulin"	"Aurum"
"720941000033117"	"Human Actrapid Penfill  Cartridges (3 Ml)  100 units/ml"	NA	NA	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"721041000033110"	"Human Actrapid Penfill 100units/ml solution for injection 1.5ml cartridges"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"Insulin"	"Insulin"	"Aurum"
"721141000033114"	"Humulin M5 50/50  Cartridges"	NA	NA	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"721641000033116"	"Human Insulatard Ge  Injection  100 units/ml"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"722841000033112"	"Humulin M5 100units/ml suspension for injection 10ml vials"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml"	"Insulin"	"Insulin"	"Aurum"
"722941000033116"	"Human Mixtard 30 Ge  Injection"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Aurum"
"723241000033118"	"Humalog 100units/ml solution for injection 10ml vials"	"Solution for injection"	"Subcutaneous/ Intravenous/ Intramuscular"	"Insulin"	"100.000unit/1.000ml + 100.000unit/1.000ml"	"Insulin"	"Insulin"	"Aurum"
