"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"	"period"
"56451"	"L13zz00"	383	0	2	0	"unspecified pregnancy vomiting nos"	"February 2009"	"unspecified"
"66074"	"L39y400"	43	0	1	0	"other complications of labour and delivery with p/n problem"	"February 2009"	"postnatal"
"96821"	"Q212000"	1	0	0	0	"liveborn with prelabour abnormal heart beat"	"May 2009"	"postnatal"
"43918"	"L340400"	83	0	13	0	"fourchette tear during delivery"	"February 2009"	"postnatal"
"33915"	"L213.00"	268	0	1	0	"multiple delivery"	"February 2009"	"postnatal"
"5213"	"7F16400"	4164	0	36	0	"low forceps cephalic delivery"	"February 2009"	"postnatal"
"14644"	"L166z11"	1274	0	8	0	"uti - urinary tract infection in pregnancy"	"February 2009"	"unspecified"
"109355"	"R14B.00"	3	0	0	0	"[d]abnormal placental function test"	"March 2015"	"late pregnancy"
"25223"	"L396.00"	9746	0	6	0	"vacuum extractor delivery"	"February 2009"	"postnatal"
"48311"	"Z261.00"	44	0	0	0	"observation of gestational sac"	"February 2009"	"unspecified"
"21759"	"ZL9B200"	38508	0	13	0	"seen by obstetrician"	"February 2009"	"unspecified"
"43004"	"Q13..00"	379	0	1	0	"light for gestational age"	"February 2009"	"unspecified"
"111772"	"Lyu3300"	1	0	0	0	"[x]maternal care for other abnormalities of cervix"	"April 2017"	"unspecified"
"93190"	"7F22712"	3	0	0	0	"pack to control postnatal haemorrhage"	"February 2009"	"postnatal"
"54099"	"7F22711"	21	0	1	0	"pack to control postnatal vaginal bleeding"	"February 2009"	"postnatal"
"35652"	"L412000"	21	0	0	0	"superficial thrombophlebitis in pregnancy/puerperium unsp"	"February 2009"	"postnatal"
"109712"	"L267100"	2	0	0	0	"other placental conditions - delivered"	"June 2015"	"late pregnancy"
"99188"	"L173.00"	9	0	0	0	"maternal tuberculosis in pregnancy/childbirth/puerperium"	"April 2010"	"postnatal"
"100157"	"L169400"	2	0	0	0	"herpes gestationis with postnatal complication"	"July 2010"	"postnatal"
"50488"	"L354.12"	92	0	6	0	"high vaginal tear - obstetric"	"February 2009"	"unspecified"
"33258"	"L512.00"	98	0	6	0	"maternal care for diminished fetal movements"	"February 2009"	"unspecified"
"87844"	"7F2A000"	6	0	0	0	"obstetric umbilical artery doppler"	"February 2009"	"unspecified"
"67883"	"L514.00"	3	0	0	0	"maternal care for poor fetal growth"	"February 2009"	"unspecified"
"5045"	"L452400"	636	0	5	0	"obstetric nonpurulent mastitis with postnatal complication"	"February 2009"	"postnatal"
"63656"	"L113.13"	17	0	0	0	"antepartum haemorrhage with hypofibrinogenaemia"	"February 2009"	"late pregnancy"
"32975"	"6166.00"	160	0	12	0	"pregnant, diaphragm failure"	"February 2009"	"early pregnancy"
"63781"	"L410z00"	18	0	0	0	"varicose veins of legs in pregnancy and puerperium nos"	"February 2009"	"postnatal"
"96843"	"L267600"	13	0	0	0	"placental infarction"	"May 2009"	"late pregnancy"
"45870"	"Ly...00"	375	0	25	0	"complications of pregnancy,childbirth or the puerperium os"	"February 2009"	"postnatal"
"52106"	"L412z00"	17	0	0	0	"superficial thrombophlebitis in pregnancy and puerperium nos"	"February 2009"	"postnatal"
"23495"	"L265.00"	1451	0	286	0	"small-for-dates fetus in pregnancy"	"February 2009"	"unspecified"
"3766"	"L10..00"	8003	0	2013	7	"haemorrhage in early pregnancy"	"February 2009"	"unspecified"
"111263"	"L230200"	1	0	0	0	"disproportion - major pelvic abnormality with antenatal prob"	"August 2016"	"early pregnancy"
"57957"	"7F1Ay00"	14	0	0	0	"other specified other method of delivery"	"February 2009"	"postnatal"
"56953"	"Z235400"	8	0	1	0	"pendulous pregnant abdomen"	"February 2009"	"early pregnancy"
"55111"	"6B22.00"	1551	0	2	0	"sure start antenatal visit"	"February 2009"	"early pregnancy"
"40279"	"7E19012"	8	0	1	0	"fimbrial extraction of tubal pregnancy"	"February 2009"	"unspecified"
"29122"	"7E19011"	1098	0	14	0	"removal of ectopic pregnancy from fallopian tube"	"February 2009"	"unspecified"
"1748"	"7E08400"	99361	0	1637	0	"suction termination of pregnancy"	"February 2009"	"unspecified"
"113354"	"L212000"	2	0	0	0	"quadruplet pregnancy unspecified"	"February 2019"	"unspecified"
"86991"	"L172000"	15	0	0	0	"other maternal venereal disease, unspec pregnancy/puerperium"	"February 2009"	"postnatal"
"103140"	"L370100"	3	0	0	0	"retained placenta with no haemorrhage - deliv with p/n prob"	"October 2011"	"late pregnancy"
"62776"	"Q037.11"	5	0	1	0	"fetus or neonate affected by hypertonic labour"	"February 2009"	"postnatal"
"15670"	"L130.00"	4199	0	76	0	"mild hyperemesis gravidarum"	"February 2009"	"early pregnancy"
"7670"	"L398z00"	6435	0	12	0	"caesarean delivery nos"	"February 2009"	"postnatal"
"91659"	"Q022.00"	7	0	0	0	"fetus/neonate affected by placental abnormality nec"	"February 2009"	"late pregnancy"
"54269"	"L45z100"	40	0	0	0	"obstetric breast infection nos - delivered"	"February 2009"	"unspecified"
"41253"	"7F...11"	156	0	3	0	"childbirth operations"	"February 2009"	"postnatal"
"65491"	"7F05.00"	5	0	0	0	"other operations on amniotic cavity"	"February 2009"	"late pregnancy"
"106170"	"L21zz00"	3	0	0	0	"multiple pregnancy nos"	"May 2013"	"unspecified"
"47925"	"4443100"	8	0	2	1	"hpl - human placental lactogen abnormal"	"February 2009"	"late pregnancy"
"24243"	"L263400"	20	0	1	0	"labour and delivery complic by meconium in amniotic fluid"	"February 2009"	"late pregnancy"
"97459"	"L300700"	2	0	0	0	"obstructed labour due to compound presentation"	"August 2009"	"postnatal"
"64976"	"Z243200"	3	0	0	0	"first stage of labour not established"	"February 2009"	"postnatal"
"53660"	"L451100"	26	0	2	0	"obstetric breast abscess - delivered"	"February 2009"	"unspecified"
"5357"	"7E08500"	1116	0	54	0	"dilation of cervix and extraction termination of pregnancy"	"February 2009"	"unspecified"
"73308"	"L29z.00"	16	0	0	0	"problems affecting labour nos"	"February 2009"	"postnatal"
"23009"	"Q213.11"	358	0	0	0	"fetal distress in labour - liveborn"	"February 2009"	"postnatal"
"15828"	"14Y4.00"	3348	0	18	0	"born by breech delivery"	"February 2009"	"postnatal"
"66578"	"L31..00"	7	0	1	0	"abnormal forces of labour"	"February 2009"	"postnatal"
"4243"	"L466.00"	8473	0	1463	35	"galactorrhoea in pregnancy and the puerperium"	"February 2009"	"postnatal"
"70092"	"L460.00"	112	0	1	0	"retracted nipple in pregnancy, the puerperium or lactation"	"February 2009"	"postnatal"
"16995"	"L462.00"	1633	0	3	0	"breast engorgement in pregnancy, the puerperium or lactation"	"February 2009"	"postnatal"
"112102"	"L092200"	1	0	0	0	"broad ligament damage following abortive pregnancy"	"September 2017"	"unspecified"
"14899"	"621Z.00"	42925	0	1537	2	"patient pregnant nos"	"February 2009"	"early pregnancy"
"61563"	"L161300"	42	0	0	0	"oedema or excessive weight gain in pregnancy - not delivered"	"February 2009"	"unspecified"
"13432"	"63D..00"	96980	0	1	1	"placental details"	"February 2009"	"late pregnancy"
"64523"	"L091z00"	12	0	0	0	"delayed/excess haemorrhage nos following abortive pregnancy"	"February 2009"	"unspecified"
"20621"	"ZV25313"	90	0	17	0	"[v]admission for termination of pregnancy"	"February 2009"	"unspecified"
