"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"	"period"
"73145"	"L28zz00"	3	0	0	0	"amniotic cavity and membrane problem nos"	"February 2009"	"late pregnancy"
"4435"	"4H12.00"	100	0	50	67	"amniotic fluid - nil abnormal"	"February 2009"	"late pregnancy"
"61182"	"L211100"	31	0	0	0	"triplet pregnancy - delivered"	"February 2009"	"unspecified"
"13417"	"62K..00"	1261	0	375	17127	"antenatal syphilis screen"	"February 2009"	"early pregnancy"
"102737"	"L112300"	7	0	0	0	"premature separation of placenta with coagulation defect"	"August 2011"	"late pregnancy"
"22775"	"L11y.00"	67	0	1	0	"other antepartum haemorrhage"	"February 2009"	"late pregnancy"
"108099"	"L39z300"	1	0	0	0	"complications of labour and delivery nos with antenatal prob"	"June 2014"	"late pregnancy"
"15073"	"7F13y00"	121	0	0	0	"other specified other caesarean delivery"	"February 2009"	"postnatal"
"33940"	"Z262C00"	34	0	1	0	"retroplacental clot"	"February 2009"	"late pregnancy"
"62880"	"L110200"	9	0	0	0	"placenta praevia without haemorrhage - not delivered"	"February 2009"	"late pregnancy"
"65399"	"L267700"	1	0	0	0	"ragged placenta"	"February 2009"	"late pregnancy"
"54652"	"L362z00"	119	0	6	0	"secondary and delayed postpartum haemorrhage nos"	"February 2009"	"postnatal"
"30365"	"Z22AA00"	1663	0	48	0	"wanted pregnancy"	"February 2009"	"unspecified"
"114683"	"L28z000"	1	0	0	0	"amniotic cavity and membrane problem nos, unspecified"	"February 2020"	"late pregnancy"
"27743"	"ZV24200"	247	0	2	0	"[v]routine postpartum follow-up"	"February 2009"	"postnatal"
"37054"	"L341100"	265	0	1	0	"second degree perineal tear during delivery - delivered"	"February 2009"	"postnatal"
"97470"	"L440100"	2	0	0	0	"puerperal cerebrovascular disorder - delivered"	"August 2009"	"postnatal"
"37040"	"Z262P00"	8	0	0	0	"placenta healthy"	"February 2009"	"late pregnancy"
"24089"	"L356z00"	34	0	1	0	"obstetric damage to pelvic joints and ligaments nos"	"February 2009"	"unspecified"
"36756"	"L386.00"	4	0	0	0	"toxic reaction to local anaesthesia during labour and deliv"	"February 2009"	"postnatal"
"2639"	"E204.11"	182545	0	4843	5	"postnatal depression"	"February 2009"	"postnatal"
"69002"	"L11y200"	7	0	0	0	"other antepartum haemorrhage - not delivered"	"February 2009"	"late pregnancy"
"24433"	"7N61400"	67	0	2	0	"[so]amniotic membrane"	"February 2009"	"late pregnancy"
"9800"	"L398300"	37251	0	26	0	"delivery by elective caesarean section"	"February 2009"	"postnatal"
"47156"	"L357.00"	117	0	2	0	"obstetric trauma causing pelvic haematoma"	"February 2009"	"unspecified"
"31923"	"Q021300"	8	0	0	0	"fetus/neonate affected by placental damage-caesarean section"	"February 2009"	"late pregnancy"
"49858"	"Z23G.00"	11	0	0	0	"uterine observation in labour"	"February 2009"	"postnatal"
"34505"	"62X3.00"	861	0	0	0	"full term gestation - 40 weeks"	"February 2009"	"40"
"30817"	"6212.00"	1229	0	1	0	"pregnant - blood test confirms"	"February 2009"	"early pregnancy"
"53310"	"L1z..00"	261	0	2	0	"complications of pregnancy/childbirth/puerperium nos"	"February 2009"	"postnatal"
"90884"	"7M0f200"	80	0	0	0	"9 - 13 weeks gestational age"	"February 2009"	"13"
"61200"	"L356000"	23	0	0	0	"obstetric damage to pelvic joints and ligaments unspecified"	"February 2009"	"unspecified"
"37699"	"L396z00"	1091	0	1	0	"vacuum extractor delivery nos"	"February 2009"	"postnatal"
"70096"	"L224200"	4	0	0	0	"transverse lie with antenatal problem"	"February 2009"	"early pregnancy"
"20793"	"7N61300"	312	0	6	0	"[so]placenta"	"February 2009"	"late pregnancy"
"13431"	"63D2.00"	25552	0	0	0	"placenta normal o/e"	"February 2009"	"late pregnancy"
"72014"	"L212z00"	1	0	0	0	"quadruplet pregnancy nos"	"February 2009"	"unspecified"
"28225"	"L240.11"	385	0	29	0	"bicornuate uterus in pregnancy, childbirth and puerperium"	"February 2009"	"postnatal"
"72021"	"L343100"	21	0	0	0	"fourth degree perineal tear during delivery - delivered"	"February 2009"	"postnatal"
"46784"	"Q023200"	4	0	0	0	"fetus/neonate affected by materno-fetal transplacental trans"	"February 2009"	"late pregnancy"
"11690"	"L40..11"	401	0	7	1	"sepsis - puerperal"	"February 2009"	"postnatal"
"103144"	"L416300"	6	0	0	0	"haemorrhoids in pregnancy and puerperium with a/n comp"	"October 2011"	"postnatal"
"70912"	"L110z00"	23	0	0	0	"placenta praevia without haemorrhage nos"	"February 2009"	"late pregnancy"
"46756"	"L184.00"	37	0	1	0	"mental disorders in pregnancy, childbirth and the puerperium"	"February 2009"	"postnatal"
"39036"	"7F...00"	417	0	11	0	"obstetric operations"	"February 2009"	"unspecified"
"12521"	"L161.11"	260	0	8	0	"excessive weight gain in pregnancy"	"February 2009"	"unspecified"
"29565"	"L161.13"	2452	0	0	0	"gestational oedema"	"February 2009"	"unspecified"
"114115"	"L295100"	1	0	0	0	"elderly primigravida - delivered"	"August 2019"	"unspecified"
"32243"	"K5D..00"	29	0	5	0	"habitual aborter - non pregnant state"	"February 2009"	"early pregnancy"
"107136"	"Q031.11"	7	0	0	0	"fetus affected by malpresentation during delivery"	"October 2013"	"postnatal"
"41959"	"L171300"	4	0	0	0	"maternal gonorrhoea in pregnancy - baby not yet delivered"	"February 2009"	"unspecified"
"50281"	"Q213z00"	23	0	0	0	"liveborn with labour fetal distress nos"	"February 2009"	"postnatal"
"26023"	"L411300"	3	0	1	0	"vv's of perineum/vulva in pregnancy/puerperium + a/n comp"	"February 2009"	"postnatal"
"64206"	"L313z00"	7	0	0	0	"precipitate labour nos"	"February 2009"	"postnatal"
"116013"	"Q03y.00"	2	0	0	0	"fetus/neonate affected by other labour and delivery problems"	"March 2022"	"postnatal"
"72458"	"L393000"	5	0	0	0	"post-delivery acute renal failure unspecified"	"February 2009"	"postnatal"
"17684"	"L395.11"	2462	0	4	0	"keilland's forceps delivery"	"February 2009"	"postnatal"
"20425"	"L395.12"	4332	0	9	0	"neville - barnes forceps delivery"	"February 2009"	"postnatal"
"58140"	"L173000"	2	0	0	0	"maternal tuberculosis,unspec whether in pregnancy/puerperium"	"February 2009"	"postnatal"
"49519"	"Z229.00"	11978	0	3	0	"observation of position of pregnancy"	"February 2009"	"unspecified"
"107713"	"L21y200"	1	0	0	0	"other multiple pregnancy with antenatal problem"	"February 2014"	"early pregnancy"
"4780"	"L20..00"	302381	0	295	1	"normal delivery in a completely normal case"	"February 2009"	"postnatal"
"64035"	"L44y100"	4	0	1	0	"other complications of the puerperium - delivered + p/n comp"	"February 2009"	"postnatal"
"93958"	"L131200"	14	0	0	0	"hyperemesis gravidarum with metabolic disturbance - not del"	"February 2009"	"early pregnancy"
"5868"	"Ly0..00"	139171	0	154	0	"spontaneous vertex delivery"	"February 2009"	"postnatal"
"109569"	"L313000"	1	0	0	0	"precipitate labour unspecified"	"April 2015"	"postnatal"
"110431"	"L26y.00"	1	0	0	0	"other feto-placental problems"	"January 2016"	"late pregnancy"
"23483"	"Q023.00"	183	0	3	0	"fetus or neonate affected by placental transfusion syndrome"	"February 2009"	"late pregnancy"
"59059"	"L433.12"	9	0	1	0	"septic obstetric embolism"	"February 2009"	"unspecified"
"112114"	"L096300"	1	0	0	0	"fat embolism following abortive pregnancy"	"September 2017"	"unspecified"
"112978"	"Z264511"	1	0	0	0	"deficient amniotic fluid"	"October 2018"	"late pregnancy"
"36235"	"67A4.00"	1044	0	4	0	"pregnancy exercise advice"	"February 2009"	"unspecified"
"105511"	"L21z.00"	4	0	0	0	"multiple pregnancy nos"	"January 2013"	"unspecified"
"106113"	"Lyu5800"	1	0	0	0	"[x]multiple delivery, unspecified"	"May 2013"	"postnatal"
"104359"	"ZVu2600"	2	0	0	0	"[x]other antenatal screening based on amniocentesis"	"June 2012"	"early pregnancy"
"67410"	"Lyu6100"	2	0	0	0	"[x]other genitourinary tract infections following delivery"	"February 2009"	"postnatal"
"25428"	"Z246211"	67	0	2	0	"start of labour"	"February 2009"	"postnatal"
"97703"	"Lyu7400"	2	0	0	0	"[x]oth spcf dis+conditns complicat preg,childbirth+puerperum"	"October 2009"	"postnatal"
"23674"	"L291.11"	83	0	0	0	"failed medical induction of labour"	"February 2009"	"postnatal"
"100418"	"62R..11"	618	0	0	0	"postnatal visit"	"August 2010"	"postnatal"
"73089"	"L460000"	27	0	0	0	"retracted nipple in pregnancy/puerperium/lactation unspec"	"February 2009"	"postnatal"
"112131"	"L172300"	1	0	0	0	"other maternal venereal dis. in pregnancy-baby not delivered"	"September 2017"	"unspecified"
"113856"	"L45y400"	1	0	0	0	"other obstetric breast infection with postnatal complication"	"May 2019"	"postnatal"
"67006"	"L096400"	9	0	0	0	"pulmonary embolism following abortive pregnancy"	"February 2009"	"unspecified"
"105387"	"L26z.00"	3	0	0	0	"feto-placental problems nos"	"December 2012"	"late pregnancy"
"63006"	"L370000"	17	0	0	0	"retained placenta with no haemorrhage unspecified"	"February 2009"	"late pregnancy"
"94735"	"L415600"	3	0	0	0	"other phlebitis in the puerperium"	"February 2009"	"postnatal"
"65783"	"L030000"	55	0	0	0	"delivery of viable fetus in abdominal pregnancy"	"February 2009"	"postnatal"
"14970"	"7F23100"	248	0	25	0	"immed repair obstetric laceration perineum & anal sphincter"	"February 2009"	"unspecified"
"95051"	"L41z600"	8	0	0	0	"venous complication in the puerperium, unspecified"	"February 2009"	"postnatal"
"87342"	"Z244100"	234	0	0	0	"observation of duration of labour"	"February 2009"	"postnatal"
"106267"	"L03y300"	10	0	0	0	"combined or heterotopic pregnancy"	"June 2013"	"unspecified"
"71610"	"L450000"	19	0	0	0	"obstetric nipple infection unspecified"	"February 2009"	"unspecified"
"2278"	"8M6..00"	65854	0	23049	1	"requests pregnancy termination"	"February 2009"	"unspecified"
"72164"	"4H43.00"	0	0	0	4	"amniotic fluid l/s ratio"	"February 2009"	"late pregnancy"
"66834"	"L300100"	5	0	0	0	"obstructed labour due to fetal malposition - delivered"	"February 2009"	"postnatal"
"68438"	"L43..11"	32	0	0	0	"obstetric pulmonary embolus"	"February 2009"	"unspecified"
"50876"	"H472.00"	7	0	0	0	"asp pneumonitis due to anaesthesia during labour and deliv"	"February 2009"	"postnatal"
"294"	"62...11"	1191736	0	84918	700	"antenatal care"	"February 2009"	"early pregnancy"
"102056"	"L26yz00"	2	0	0	0	"other feto-placental problems nos"	"April 2011"	"late pregnancy"
"92434"	"4H3..00"	0	0	0	2	"amniotic fluid microscopy"	"February 2009"	"late pregnancy"
"65085"	"L092000"	7	0	0	0	"bladder damage following abortive pregnancy"	"February 2009"	"unspecified"
"24521"	"L1A..00"	3562	0	479	0	"sublux of symphysis pubis in preg childbirth and puerp"	"February 2009"	"postnatal"
"47607"	"L440.11"	119	0	0	0	"cva - cerebrovascular accident in the puerperium"	"February 2009"	"postnatal"
"110448"	"Lyu0.00"	6	0	0	0	"[x]pregnancy with abortive outcome"	"January 2016"	"unspecified"
"61540"	"Z212100"	153	0	0	0	"delivery place planned"	"February 2009"	"postnatal"
"55359"	"Q017100"	19	0	1	0	"fetus/neonate affected by breech presentation before labour"	"February 2009"	"postnatal"
"47148"	"L28..00"	55	0	1	0	"other problems of amniotic cavity and membranes"	"February 2009"	"late pregnancy"
"104178"	"Lyu2600"	1	0	0	0	"[x]other abnormal findings on antenatal screening of mother"	"June 2012"	"early pregnancy"
"93982"	"L356.11"	5	0	0	0	"obstetric pelvic joint damage"	"February 2009"	"unspecified"
"48442"	"L356.12"	15	0	2	0	"obstetric pelvic ligament damage"	"February 2009"	"unspecified"
"106618"	"9kv..00"	2706	0	0	0	"pertussis vaccinatn progrme pregnant women enhan srvce admin"	"August 2013"	"early pregnancy"
"69599"	"L21y.00"	3	0	0	0	"other multiple pregnancy"	"February 2009"	"unspecified"
"99006"	"Q014100"	4	0	0	0	"fetus or neonate affected by abdominal ectopic pregnancy"	"April 2010"	"unspecified"
"102435"	"8CE0000"	222	0	1	0	"gestational diabetes information leaflet given"	"June 2011"	"unspecified"
"23840"	"L090z00"	120	0	0	0	"septicaemia nos following abortive pregnancy"	"February 2009"	"unspecified"
"112105"	"L092z00"	1	0	0	0	"pelvic organ or tissue damage nos follow abortive pregnancy"	"September 2017"	"unspecified"
"61455"	"ZV28100"	11	0	1	0	"[v]amniotic fluid to screen for alphafetoprotein levels"	"February 2009"	"late pregnancy"
"40357"	"L2D..00"	41	0	1	0	"retained intrauterine contraceptive device in pregnancy"	"February 2009"	"unspecified"
"115691"	"L248212"	1	0	0	0	"rigid perineum - baby delivered with postpartum complication"	"July 2021"	"postnatal"
"114129"	"L211200"	1	0	0	0	"triplet pregnancy with antenatal problem"	"August 2019"	"early pregnancy"
"54293"	"Q015.00"	2	0	0	0	"fetus or neonate affected by multiple pregnancy"	"February 2009"	"unspecified"
"52950"	"Q013.00"	50	0	0	0	"fetus or neonate affected by maternal polyhydramnios"	"February 2009"	"late pregnancy"
"31313"	"L430.00"	9	0	1	0	"obstetric air pulmonary embolism"	"February 2009"	"unspecified"
"22557"	"Z22B100"	473	0	1	0	"single pregnancy"	"February 2009"	"unspecified"
"15338"	"621A.00"	1306	0	294	0	"pregnancy unplanned ? wanted"	"February 2009"	"unspecified"
"47157"	"L34zz00"	74	0	0	0	"vulval/perineal trauma during delivery nos"	"February 2009"	"postnatal"
"58176"	"62C2.00"	27	0	0	0	"full stay delivery booking"	"February 2009"	"postnatal"
"93735"	"Z246A00"	29	0	0	0	"total duration of labour"	"February 2009"	"postnatal"
"6649"	"L166800"	3982	0	44	5	"urinary tract infection complicating pregnancy"	"February 2009"	"unspecified"
"115692"	"L143200"	1	0	0	0	"premature labour with term delivery"	"July 2021"	"postnatal"
"27056"	"62GD.00"	4	0	6	1484	"antenatal ultrasound scan at 17-22 weeks"	"February 2009"	"22"
"71189"	"Z244400"	3	0	0	0	"late onset of labour"	"February 2009"	"postnatal"
"98481"	"68b4.00"	27	0	0	0	"repeat antenatal screening required"	"February 2010"	"early pregnancy"
"51359"	"L090200"	11	0	1	0	"pelvic peritonitis following abortive pregnancy"	"February 2009"	"unspecified"
"23341"	"Q122.00"	107	0	33	0	"postmature infant - greater than 42 weeks gestation, unspec"	"February 2009"	"42"
"24951"	"L18C.00"	6	0	0	0	"endocrine nutrition+metab dis complic pregn,childbirth+puerp"	"February 2009"	"postnatal"
"62949"	"L401z00"	3	0	0	0	"puerperal salpingitis nos"	"February 2009"	"postnatal"
"69453"	"7E0B200"	26	0	0	0	"extraamniotic injection of prostaglandin"	"February 2009"	"late pregnancy"
"49855"	"Q015100"	73	0	0	0	"fetus or neonate affected by twin pregnancy"	"February 2009"	"unspecified"
"32283"	"Z212200"	93	0	0	0	"home delivery planned"	"February 2009"	"postnatal"
"40825"	"Z22B800"	3	0	0	0	"undiagnosed multiple pregnancy"	"February 2009"	"unspecified"
"106808"	"L34z200"	3	0	0	0	"vulval/perineal trauma during delivery nos with p/n problem"	"August 2013"	"postnatal"
"106983"	"9Nj8.00"	31264	0	0	0	"failed encounter - sms text message delivery failure"	"September 2013"	"postnatal"
"20197"	"L211.00"	562	0	15	0	"triplet pregnancy"	"February 2009"	"unspecified"
"740"	"7F12.00"	127583	0	628	0	"elective caesarean delivery"	"February 2009"	"postnatal"
"106537"	"L411613"	1	0	0	0	"vulval varices in the puerperium"	"August 2013"	"postnatal"
"22115"	"7F10.00"	1044	0	92	0	"surgical induction of labour"	"February 2009"	"postnatal"
"111579"	"Z263300"	2	0	0	0	"condition of membranes at delivery"	"December 2016"	"postnatal"
"89151"	"L394.00"	5	0	0	0	"other complications of obstetric procedures"	"February 2009"	"unspecified"
"46270"	"ZV22z00"	2786	0	1	0	"[v]unspecified pregnant state"	"February 2009"	"early pregnancy"
"14084"	"62GC.00"	65	0	21	3349	"antenatal ultrasound scan at 9-16 weeks"	"February 2009"	"16"
"67098"	"L183300"	16	0	0	0	"drug dependence during pregnancy - baby not yet delivered"	"February 2009"	"unspecified"
"99036"	"ZV24z00"	149	0	0	0	"[v]unspecified postpartum care and examination"	"April 2010"	"postnatal"
"66619"	"Q023011"	4	0	0	0	"fetus/neonate affected by feto-fetal transplacental transfus"	"February 2009"	"late pregnancy"
"68557"	"L353000"	5	0	0	0	"obstetric laceration of cervix unspecified"	"February 2009"	"unspecified"
"106097"	"L09y.00"	8	0	0	0	"other specified complication following abortive pregnancy"	"May 2013"	"unspecified"
"12604"	"L120.00"	849	0	3	0	"benign essential hypertension in pregnancy/childbirth/puerp"	"February 2009"	"postnatal"
"34102"	"Z262700"	41	0	0	0	"incomplete placenta at delivery"	"February 2009"	"late pregnancy"
"23373"	"L150.00"	49	0	18	0	"post-term pregnancy"	"February 2009"	"late pregnancy"
"28732"	"62c..00"	728	0	24	73277	"antenatal screening"	"February 2009"	"early pregnancy"
"6095"	"9N1N.00"	763599	0	3726	13	"seen in antenatal clinic"	"February 2009"	"early pregnancy"
"6031"	"L394500"	6887	0	50	0	"infection of obstetric surgical wound"	"February 2009"	"unspecified"
"1357"	"L210100"	7801	0	263	0	"twin pregnancy - delivered"	"February 2009"	"unspecified"
"112119"	"L09y100"	1	0	0	0	"cardiac arrest following abortive pregnancy"	"September 2017"	"unspecified"
"34484"	"62X1.00"	210	0	1	0	"gestation = 24 weeks"	"February 2009"	"24"
"45729"	"Z22D.00"	209	0	1	0	"observation of viability of pregnancy"	"February 2009"	"unspecified"
"65410"	"Z262.00"	10	0	0	0	"placental observation"	"February 2009"	"late pregnancy"
"65749"	"Z264.00"	5	0	0	0	"condition of amniotic fluid"	"February 2009"	"late pregnancy"
"44733"	"L0z..00"	189	0	2	0	"pregnancy with abortive outcome nos"	"February 2009"	"unspecified"
"99849"	"68bA.00"	7	0	0	0	"antenatal screening, at risk couple identified"	"June 2010"	"early pregnancy"
"59789"	"L14z.00"	124	0	1	0	"early or threatened labour nos"	"February 2009"	"postnatal"
"54167"	"6322.00"	814	0	0	0	"2nd stage of labour length"	"February 2009"	"postnatal"
"37435"	"L450.11"	47	0	0	0	"abscess of nipple - obstetric"	"February 2009"	"unspecified"
"21554"	"7F16900"	1405	0	19	0	"kielland forceps cephalic delivery with rotation"	"February 2009"	"postnatal"
"103683"	"8Hki.00"	6	0	4	0	"referral to teenage pregnancy and parenting support service"	"February 2012"	"unspecified"
"19737"	"L450.12"	652	0	18	0	"nipple infection - obstetric"	"February 2009"	"unspecified"
"115993"	"L38y000"	1	0	0	0	"other complications of obstetric anaesthesia unspecified"	"March 2022"	"unspecified"
"21957"	"62I..11"	2416	0	152	2609	"afp test - antenatal"	"February 2009"	"early pregnancy"
"44337"	"L307.00"	17	0	0	0	"failed trial of labour unspecified"	"February 2009"	"postnatal"
"103056"	"Z244.00"	1	0	0	0	"observation of pattern of labour"	"October 2011"	"postnatal"
"32555"	"L351000"	11	0	0	0	"rupture of uterus during and after labour unspecified"	"February 2009"	"postnatal"
"11760"	"L13z.00"	4015	0	162	0	"unspecified pregnancy vomiting"	"February 2009"	"unspecified"
"18500"	"Z22D100"	8394	0	11	0	"viable pregnancy"	"February 2009"	"unspecified"
"96739"	"Z262I00"	10	0	0	0	"placenta infarcted"	"April 2009"	"late pregnancy"
"62406"	"L323000"	24	0	0	0	"delayed delivery second twin unspecified"	"February 2009"	"postnatal"
"31254"	"L340100"	101	0	0	0	"first degree perineal tear during delivery - delivered"	"February 2009"	"postnatal"
"23394"	"7F16300"	1622	0	39	0	"mid forceps cephalic delivery nec"	"February 2009"	"postnatal"
"40870"	"Q020.00"	135	0	2	0	"fetus or neonate affected by placenta previa"	"February 2009"	"late pregnancy"
"54591"	"7F14z00"	73	0	0	0	"breech extraction delivery nos"	"February 2009"	"postnatal"
"3085"	"7F12z00"	10487	0	283	0	"elective caesarean delivery nos"	"February 2009"	"postnatal"
"42091"	"L411z00"	16	0	0	0	"varicose veins of perineum/vulva in pregnancy/puerperium nos"	"February 2009"	"postnatal"
"103173"	"L169100"	1	0	0	0	"herpes gestationis - delivered"	"October 2011"	"unspecified"
"107369"	"8IEw.00"	20	0	0	0	"postnatal examination declined"	"December 2013"	"postnatal"
"73765"	"L311200"	1	0	0	0	"secondary uterine inertia with antenatal problem"	"February 2009"	"early pregnancy"
"22491"	"Ly1..00"	567	0	3	0	"spontaneous breech delivery"	"February 2009"	"postnatal"
"113149"	"68bB.00"	2	0	0	0	"partner declined antenatal screening"	"December 2018"	"early pregnancy"
"69344"	"L11z200"	36	0	0	0	"antepartum haemorrhage nos - not deliv"	"February 2009"	"late pregnancy"
"73797"	"L353z00"	9	0	0	0	"obstetric laceration of cervix nos"	"February 2009"	"unspecified"
"35509"	"624..00"	254	0	1	0	"a/n care: precious pregnancy"	"February 2009"	"unspecified"
"109526"	"L402100"	61	0	0	0	"puerperal peritonitis - delivered with postnatal comp"	"April 2015"	"postnatal"
"102246"	"L265200"	7	0	0	0	"small-for-dates with antenatal problem"	"May 2011"	"early pregnancy"
"19609"	"L340600"	1528	0	65	0	"vaginal tear during delivery"	"February 2009"	"postnatal"
"3004"	"L14..11"	5472	0	846	1	"premature labour"	"February 2009"	"postnatal"
"69686"	"L417000"	10	0	0	0	"cerebral venous thrombosis in pregnancy"	"February 2009"	"unspecified"
"70487"	"L126200"	19	0	0	0	"eclampsia - delivered with postnatal complication"	"February 2009"	"postnatal"
"56279"	"L440.12"	16	0	0	0	"stroke in the puerperium"	"February 2009"	"postnatal"
"53661"	"L13z200"	10	0	0	0	"unspecified pregnancy vomiting - not delivered"	"February 2009"	"unspecified"
"96437"	"L170000"	6	0	0	0	"maternal syphilis, unspec whether in pregnancy or puerperium"	"April 2009"	"postnatal"
"94431"	"7L1ez00"	2	0	0	0	"delivery of oral chemotherapy for neoplasm nos"	"February 2009"	"postnatal"
"54480"	"L412600"	49	0	0	0	"superficial thrombophlebitis in the puerperium"	"February 2009"	"postnatal"
"116677"	"L221200"	3	0	0	0	"cephalic version nos with antenatal problem"	"January 2025"	"early pregnancy"
"39168"	"L342100"	164	0	0	0	"third degree perineal tear during delivery - delivered"	"February 2009"	"postnatal"
"2514"	"L360.11"	3760	0	167	0	"retained placenta nos"	"February 2009"	"late pregnancy"
"39136"	"7245700"	182	0	0	0	"amniotic membrane graft to cornea"	"February 2009"	"late pregnancy"
"30782"	"632Z.00"	252	0	0	0	"length of labour nos"	"February 2009"	"postnatal"
"65867"	"7M35011"	62	0	1	0	"entonox analgesia in labour"	"February 2009"	"postnatal"
"49663"	"Z261100"	81	0	0	0	"gestational sac present"	"February 2009"	"unspecified"
"61626"	"L247012"	1	0	0	0	"stenosis of vagina affecting obstetric care"	"February 2009"	"unspecified"
"104588"	"66Ay.00"	1038	0	1	0	"gestational diabetes mellitus annual review"	"July 2012"	"unspecified"
"60820"	"L452200"	10	0	0	0	"obstetric nonpurulent mastitis - deliv with p/n complication"	"February 2009"	"unspecified"
"4367"	"L362.00"	1472	0	251	0	"secondary and delayed postpartum haemorrhage"	"February 2009"	"postnatal"
"101752"	"L391000"	1	0	0	0	"obstetric shock unspecified"	"February 2011"	"unspecified"
"50236"	"7F1y.00"	28	0	0	0	"other specified induction or delivery operations"	"February 2009"	"postnatal"
"73191"	"L226200"	1	0	0	0	"brow presentation with antenatal problem"	"February 2009"	"early pregnancy"
"47546"	"7F12y00"	282	0	0	0	"other specified elective caesarean delivery"	"February 2009"	"postnatal"
"61422"	"L267800"	8	0	0	0	"placenta gritty"	"February 2009"	"late pregnancy"
"66843"	"L344200"	5	0	0	0	"unspecified perineal laceration during delivery + p/n prob"	"February 2009"	"postnatal"
"20850"	"L244.11"	95	0	3	0	"cystocele in pregnancy, childbirth and the puerperium"	"February 2009"	"postnatal"
"35903"	"L244.12"	26	0	10	0	"pendulous abdomen in pregnancy,childbirth and the puerperium"	"February 2009"	"postnatal"
"39492"	"L244.13"	60	0	4	0	"rectocele in pregnancy, childbirth and the puerperium"	"February 2009"	"postnatal"
"71943"	"L411000"	5	0	0	0	"vv's of perineum/vulva in pregnancy/puerperium unspecified"	"February 2009"	"postnatal"
"69254"	"L264200"	20	0	0	0	"intrauterine death with antenatal problem"	"February 2009"	"early pregnancy"
"85244"	"7F2B.00"	487	0	1	29	"obstetric ultrasound monitoring"	"February 2009"	"unspecified"
"106378"	"9mK..00"	4340	0	267	0	"pertussis vaccination in pregnancy invitation"	"June 2013"	"unspecified"
"12230"	"L263900"	76	0	5	0	"maternal care for fetal tachycardia during pregnancy"	"February 2009"	"unspecified"
"101963"	"4H2..00"	0	0	0	2	"amniotic fluid appearance"	"March 2011"	"late pregnancy"
"44235"	"L296.00"	91	0	1	0	"vaginal delivery following previous caesarean section"	"February 2009"	"postnatal"
"7515"	"L169.00"	403	0	15	0	"herpes gestationis"	"February 2009"	"unspecified"
"40706"	"L344z00"	116	0	0	0	"unspecified perineal laceration during delivery nos"	"February 2009"	"postnatal"
"93583"	"L096.00"	4	0	0	0	"embolism following abortive pregnancy"	"February 2009"	"unspecified"
"23549"	"L31z.00"	60	0	0	0	"abnormality of forces of labour nos"	"February 2009"	"postnatal"
"116229"	"L30y100"	1	0	0	0	"other causes of obstructed labour - delivered"	"February 2023"	"postnatal"
"22193"	"Z229100"	5355	0	6	0	"intrauterine pregnancy"	"February 2009"	"unspecified"
"116358"	"L143300"	1	0	0	0	"premature delivery without labour"	"July 2023"	"postnatal"
"56747"	"L46y400"	4	0	0	0	"other disorder of lactation with postnatal complication"	"February 2009"	"postnatal"
"3327"	"L13..11"	119202	0	4910	1	"hyperemesis gravidarum"	"February 2009"	"early pregnancy"
"15061"	"L13..12"	3721	0	50	0	"hyperemesis of pregnancy"	"February 2009"	"early pregnancy"
"37201"	"L16C100"	3	0	1	0	"gestational oedema with proteinuria"	"February 2009"	"unspecified"
"36037"	"Lyu6B00"	260	0	5	0	"[x]vaginitis following delivery"	"February 2009"	"postnatal"
"104766"	"L30z200"	1	0	0	0	"obstructed labour nos with antenatal problem"	"August 2012"	"early pregnancy"
"14877"	"621B.00"	448	0	91	1	"pregnant - ? planned"	"February 2009"	"early pregnancy"
"27672"	"7E13100"	614	0	5	0	"excision of ectopic ovarian pregnancy"	"February 2009"	"unspecified"
"66242"	"Z243400"	1	0	0	0	"rapid first stage of labour"	"February 2009"	"postnatal"
"27993"	"62V0.00"	382	0	3	0	"home delivery planned"	"February 2009"	"postnatal"
"58721"	"L20z.00"	12807	0	1	0	"normal delivery in completely normal case nos"	"February 2009"	"postnatal"
"50081"	"L41z512"	1	0	0	0	"gestational phlebopathy nos"	"February 2009"	"unspecified"
"58971"	"L41z513"	23	0	0	0	"gestational thrombosis nos"	"February 2009"	"unspecified"
"115279"	"L242000"	1	0	0	0	"uterine operation scar in pregnancy/childbirth/puerp unspec"	"January 2021"	"postnatal"
"107266"	"L181200"	2	0	0	0	"thyroid dysfunction in puerperium - baby delivered"	"November 2013"	"postnatal"
"5693"	"L16A.00"	1776	0	102	14	"glycosuria during pregnancy"	"February 2009"	"unspecified"
"70422"	"L093400"	2	0	0	0	"uraemia following abortive pregnancy"	"February 2009"	"unspecified"
"115225"	"L301600"	3	0	0	0	"obstruct labour due pelvic outlet and mid-cavity contract"	"October 2020"	"postnatal"
"36394"	"L16C.00"	79	0	3	0	"pregnancy induced oedema+proteinuria without hypertension"	"February 2009"	"unspecified"
"69921"	"L414000"	31	0	0	0	"postnatal deep vein thrombosis unspecified"	"February 2009"	"postnatal"
"39709"	"7F22100"	236	0	1	0	"expression of placenta"	"February 2009"	"late pregnancy"
"29620"	"L41..11"	105	0	4	0	"varicose veins - obstetric"	"February 2009"	"unspecified"
"103222"	"L248z11"	1	0	0	0	"persistent hymen in pregnancy/childbirth/puerperium nos"	"October 2011"	"postnatal"
