"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antihypertensives"
"57531"	2403	"Adalat LA 60 tablets (Waymade Healthcare Plc)"	"Nifedipine"	"60mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"25500"	33	"Hypertane 50 Tablet (Schwarz Pharma Ltd)"	"Hydrochlorothiazide/Amiloride"	"50mg + 5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics/Potassium-Sparing Diuretics With Other Diuretics"	"Hydrochlorothiazide/Amiloride"
"1448"	895709	"Propranolol 160mg modified-release capsules"	"Propranolol"	"160mg"	"Modified-release capsule"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"5416"	195138	"Co-triamterzide 50mg/25mg tablets"	"Hydrochlorothiazide/Triamterene"	"25mg + 50mg"	"Oral tablet"	"Oral"	"Potassium-Sparing Diuretics With Other Diuretics"	"Hydrochlorothiazide/Triamterene"
"63041"	1	"Nifedipine 10mg capsules (Viatris UK Healthcare Ltd)"	"Nifedipine"	"10mg"	"Oral capsule"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"90487"	6	"Sacubitril 15mg / Valsartan 16mg granules in capsules for opening"	"Valsartan"	"15mg + 16mg"	"Oral granules"	"Oral"	"Angiotensin-II Receptor Antagonists/Other Antihypertensives"	"Valsartan"
"73811"	0	"Candesartan 2mg tablets (Sun Pharma UK Ltd)"	"Candesartan"	"2mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Candesartan"
"47467"	4	"Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 5mg + 25mg Tablet"	"Amlodipine/Hydrochlorothiazide/Olmesartan"	"40mg + 5mg + 25mg"	"Tablet"	"Oral"	"Thiazides And Related Diuretics/Angiotensin-II Receptor Antagonists"	"Amlodipine/Hydrochlorothiazide/Olmesartan"
"9670"	58494	"Motens 4mg tablets (GlaxoSmithKline UK Ltd)"	"Lacidipine"	"4mg"	"Oral tablet"	"Oral"	"Calcium-Channel Blockers"	"Lacidipine"
"1006"	1029542	"Half Inderal LA 80mg capsules (AstraZeneca UK Ltd)"	"Propranolol"	"80mg"	"Modified-release capsule"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"68400"	0	"Propranolol 160mg tablets (DE Pharmaceuticals)"	"Propranolol"	"160mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"46674"	8	"Spironolactone 50mg/5ml Oral suspension sugar free (Rosemont Pharmaceuticals Ltd)"	"Spironolactone"	"50mg/5ml"	"Oral Suspension"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"4645"	1157000	"Valsartan 160mg capsules"	"Valsartan"	"160mg"	"Oral capsule"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Valsartan"
"17338"	131	"Nifedotard 20 mr 20mg Modified-release tablet (Galen Ltd)"	"Nifedipine"	"20mg"	"Modified-Release Tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"2117"	88724	"Doralese Tiltab 20mg tablets (Essential Generics Ltd)"	"Indoramin"	"20mg"	"Oral tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Indoramin"
"15488"	780	"Metoprolol tartrate with chlortalidone Tablet"	"Chlortalidone/Metoprolol"	NA	"Tablet"	"Oral"	"Thiazides And Related Diuretics/Beta-Adrenoceptor Blockers"	"Chlortalidone/Metoprolol"
"70135"	0	"Atenolol 25mg tablets (DE Pharmaceuticals)"	"Atenolol"	"25mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers"	"Atenolol"
"35174"	2763	"Valsartan 80mg with amlodipine 5mg tablets"	"Amlodipine/Valsartan"	"80mg + 5mg"	"Tablets"	"Oral"	"Angiotensin-II Receptor Antagonists/Calcium-Channel Blockers"	"Amlodipine/Valsartan"
"15874"	2441	"Amiloride 2.5mg / furosemide 20mg tablets"	"Amiloride"	"2.5mg + 20mg"	"Tablets"	"Oral"	"Loop Diuretics/Potassium-Sparing Diuretics With Other Diuretics"	"Amiloride"
"22696"	84	"Slofedipine 20mg tablets (Sterwin Medicines)"	"Nifedipine"	"20mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"71098"	7	"Metoprolol 50mg tablets (Accord-UK Ltd)"	"Metoprolol"	"50mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"Metoprolol"
"20468"	12318	"Half Beta-Prograne 80mg modified-release capsules (Tillomed Laboratories Ltd)"	"Propranolol"	"80mg"	"Modified-release capsule"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"27520"	1382	"Olmetec Plus 20mg/25mg tablets (Daiichi Sankyo UK Ltd)"	"Hydrochlorothiazide/Olmesartan"	"25mg + 20mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics/Angiotensin-II Receptor Antagonists"	"Hydrochlorothiazide/Olmesartan"
"41203"	724	"Sevikar 40mg/10mg tablets (Daiichi Sankyo UK Ltd)"	"Amlodipine/Olmesartan"	"10mg + 40mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists/Calcium-Channel Blockers"	"Amlodipine/Olmesartan"
"27401"	673	"Kenzem SR 90mg capsules (Kent Pharma (UK) Ltd)"	"Diltiazem"	"90mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"13363"	121	"Esidrex 50mg Tablet (Novartis Pharmaceuticals UK Ltd)"	"Hydrochlorothiazide"	"50mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics"	"Hydrochlorothiazide"
"410"	936547	"Nifedipine 10mg modified-release tablets"	"Nifedipine"	"10mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"66329"	18	"Ramipril oral solution"	"Ramipril"	NA	"Oral solution"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
