"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antihypertensives"
"91314"	9	"Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops (Aspire Pharma Ltd)"	"Timolol"	"300microgram/1ml + 5mg/1ml"	"Eye drops"	"Ocular"	"Prostaglandin Analogues (In Glaucoma)"	"Timolol"
"709"	11121766	"Ramipril 2.5mg capsules"	"Ramipril"	"2.5mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"47018"	2733	"Spironolactone 25mg/5ml oral suspension"	"Spironolactone"	"5mg/1ml"	"Oral suspension"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"83544"	21	"Spironolactone oral solution"	"Spironolactone"	NA	"Oral solution"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"17462"	773	"Bisoprolol 10mg / Hydrochlorothiazide 6.25mg tablets"	"Hydrochlorothiazide"	"10mg + 6.25mg"	"Oral tablet"	"Oral"	"Unknown"	"Hydrochlorothiazide"
"28586"	9684	"Lopace 5mg capsules (Discovery Pharmaceuticals)"	"Ramipril"	"5mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"85283"	0	"Cosopt 20mg/ml / 5mg/ml eye drops 0.2ml unit dose preservative free (CST Pharma Ltd)"	"Timolol"	"5mg/1ml + 20mg/1ml"	"Eye drops"	"Ocular"	"Beta-Blockers (In Glaucoma)/Carbonic Anhydrase Inhibitors And Systemic Drugs (In Glaucoma)"	"Timolol"
"15121"	1992	"Moexipril 7.5mg tablets"	"Moexipril"	"7.5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Moexipril"
"42908"	58	"Enalapril 5mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Enalapril"	"5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Enalapril"
"86378"	2	"Bedranol 160mg tablets (Ennogen Pharma Ltd)"	"Propranolol"	"160mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"53033"	0	"Doxzogen XL 4mg tablets (Viatris UK Healthcare Ltd)"	"Doxazosin"	"4mg"	"Modified-release tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Doxazosin"
"28949"	55	"Bi-carzem sr 120mg Modified-release capsule (Tillomed Laboratories Ltd)"	"Diltiazem"	"120mg"	"Modified-Release Capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"26237"	84	"Alphavase 500microgram Tablet (Ashbourne Pharmaceuticals Ltd)"	"Prazosin"	"500microgram"	"Oral tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Prazosin"
"74627"	16	"Captopril 25mg Tablet (C P Pharmaceuticals Ltd)"	"Captopril"	"25mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Captopril"
"64907"	1	"Bendroflumethiazide 5mg tablets (Almus Pharmaceuticals Ltd)"	"Bendroflumethiazide"	"5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics"	"Bendroflumethiazide"
"81042"	33	"Propranolol 40mg/5ml oral solution sugar free (Syri Ltd)"	"Propranolol"	"8mg/1ml"	"Oral solution"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"24228"	2704	"Nimodrel 20mg modified-release tablet (Opus Pharmaceuticals Ltd)"	"Nifedipine"	"20mg"	"Modified-Release Tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"34382"	9	"Ramipril 5mg capsules (Zentiva Pharma UK Ltd)"	"Ramipril"	"5mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"26252"	40	"Berkatens 160mg Tablet (Berk Pharmaceuticals Ltd)"	"Verapamil"	"160mg"	"Oral tablet"	"Oral"	"Supraventricular Arrhythmias/Calcium-Channel Blockers"	"Verapamil"
"1288"	352142	"Tenoret 50mg/12.5mg tablets (Atnahs Pharma UK Ltd)"	"Chlortalidone/Atenolol"	"12.5mg + 50mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics/Beta-Adrenoceptor Blockers"	"Chlortalidone/Atenolol"
"24196"	2434	"Dopamet 250mg Tablet (Berk Pharmaceuticals Ltd)"	"Methyldopa"	"250mg"	"Oral tablet"	"Oral"	"Centrally Acting Antihypertensive Products"	"Methyldopa"
"1294"	5668475	"Doxazosin 4mg tablets"	"Doxazosin"	"4mg"	"Oral tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Doxazosin"
"52017"	267	"Adalat LA 30 tablets (Mawdsley-Brooks & Company Ltd)"	"Nifedipine"	"30mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"40257"	111302	"Azarga 10mg/ml / 5mg/ml eye drops (Novartis Pharmaceuticals UK Ltd)"	"Timolol"	"5mg/1ml + 10mg/1ml"	"Eye drops"	"Ocular"	"Carbonic Anhydrase Inhibitors And Systemic Drugs (In Glaucoma)"	"Timolol"
"5181"	12519	"Angiopine MR 20mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Nifedipine"	"20mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"57658"	0	"Ramipril 1.25mg tablets (A A H Pharmaceuticals Ltd)"	"Ramipril"	"1.25mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"38995"	25570	"Zestoretic 20 tablets (Atnahs Pharma UK Ltd)"	"Hydrochlorothiazide/Lisinopril"	"20mg + 12.5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics/Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Hydrochlorothiazide/Lisinopril"
"48214"	0	"Perindopril erbumine 4mg tablets (Actavis UK Ltd)"	"Perindopril"	"4mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Perindopril"
"25965"	181	"Co-amilofruse 2.5mg/20mg tablets (Wockhardt UK Ltd)"	"Amiloride"	"2.5mg + 20mg"	"Oral tablet"	"Oral"	"Potassium-Sparing Diuretics With Other Diuretics"	"Amiloride"
"60020"	0	"Indapamide 1.5mg modified-release tablets (Waymade Healthcare Plc)"	"Indapamide"	"1.5mg"	"Modified-release tablet"	"Oral"	"Thiazides And Related Diuretics"	"Indapamide"
"4694"	3054	"Terazosin 2mg tablets and Terazosin 1mg tablets"	"Terazosin"	NA	"Not applicable"	"Route of administration not applicable"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Terazosin"
"68372"	3	"Ramipril 5mg tablets (Accord-UK Ltd)"	"Ramipril"	"5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"26788"	1	"PROPRANOLOL 2.5 MG ELI"	"Propranolol"	NA	NA	NA	"Unknown"	"Propranolol"
"34227"	1554	"Timolol 0.50% Eye drops (Lennon Pharmaceuticals)"	"Timolol"	"5mg/1ml"	"Eye drops"	"Ocular"	"Beta-Blockers (In Glaucoma)"	"Timolol"
"7338"	34440	"Aprovel 75mg tablets (Sanofi)"	"Irbesartan"	"75mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Irbesartan"
"26217"	1945	"Berkamil 5mg Tablet (Berk Pharmaceuticals Ltd)"	"Amiloride"	"5mg"	"Oral tablet"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Amiloride"
"74215"	0	"Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (DE Pharmaceuticals)"	"Hydrochlorothiazide/Losartan"	"50mg + 12.5mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists With Diuretic"	"Hydrochlorothiazide/Losartan"
"47998"	19	"Ramipril 2.5mg capsules (Accord-UK Ltd)"	"Ramipril"	"2.5mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"22289"	1	"GUANETHIDINE 3%/ADRENALINE 0.5% EYE"	"Guanethidine"	NA	NA	NA	"Unknown"	"Guanethidine"
"66517"	1	"Bendroflumethiazide 1.25mg/5ml oral suspension"	"Bendroflumethiazide"	"250microgram/1ml"	"Oral suspension"	"Oral"	"Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria"	"Bendroflumethiazide"
"76593"	0	"Atenolol 25mg/5ml oral solution sugar free (DE Pharmaceuticals)"	"Atenolol"	"5mg/1ml"	"Oral solution"	"Oral"	"Beta-Adrenoceptor Blockers"	"Atenolol"
"52399"	0	"Ramipril 1.25mg capsules (Kent Pharma (UK) Ltd)"	"Ramipril"	"1.25mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"56850"	3	"Ecopace 12.5mg tablets (Advanz Pharma)"	"Captopril"	"12.5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Captopril"
"21182"	5465	"Hydrochlorothiazide with timolol and amiloride 25mg with 10mg with 2.5mg Tablet"	"Hydrochlorothiazide/Amiloride/Timolol"	"25mg + 10mg + 2.5mg"	"Tablet"	"Oral"	"Thiazides And Related Diuretics/Beta-Adrenoceptor Blockers"	"Hydrochlorothiazide/Amiloride/Timolol"
"17902"	358	"Spirolone 100mg Tablet (Berk Pharmaceuticals Ltd)"	"Spironolactone"	"100mg"	"Oral tablet"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"11983"	2569	"Perindopril erbumine 4mg/5ml oral suspension"	"Perindopril"	"800microgram/1ml"	"Oral suspension"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Perindopril"
"34378"	70	"Propranolol 10mg tablets (A A H Pharmaceuticals Ltd)"	"Propranolol"	"10mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"11966"	61939	"Motens 2mg tablets (GlaxoSmithKline UK Ltd)"	"Lacidipine"	"2mg"	"Oral tablet"	"Oral"	"Calcium-Channel Blockers"	"Lacidipine"
"18903"	7204	"Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets"	"Hydrochlorothiazide/Olmesartan"	"25mg + 20mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics/Angiotensin-II Receptor Antagonists"	"Hydrochlorothiazide/Olmesartan"
"6694"	4792	"Clonidine 300microgram tablets"	"Clonidine"	"300microgram"	"Oral tablet"	"Oral"	"Centrally Acting Antihypertensive Products"	"Clonidine"
"5513"	22170	"Dilzem sr 60mg Capsule (Elan Pharma)"	"Diltiazem"	"60mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"65936"	25	"Ramipril 5mg capsules (DE Pharmaceuticals)"	"Ramipril"	"5mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"7543"	77364	"Kalten capsules (M & A Pharmachem Ltd)"	"Hydrochlorothiazide/Amiloride/Atenolol"	"50mg + 2.5mg + 25mg"	"Oral capsule"	"Oral"	"Beta-Blockers With Diuretics"	"Hydrochlorothiazide/Amiloride/Atenolol"
"13589"	34320	"Staril 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Fosinopril"	"20mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Fosinopril"
"56505"	2014	"Zestril 5mg tablets (Lexon (UK) Ltd)"	"Lisinopril"	"5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Lisinopril"
"88655"	7	"Hydralazine 50mg tablets (Morningside Healthcare Ltd)"	"Hydralazine"	"50mg"	"Oral tablet"	"Oral"	"Vasodilator Antihypertensive Products"	"Hydralazine"
"67664"	1	"Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd)"	"Hydrochlorothiazide/Valsartan"	"160mg + 12.5mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists With Diuretic"	"Hydrochlorothiazide/Valsartan"
"38964"	18393	"Adizem-SR 120mg tablets (Napp Pharmaceuticals Ltd)"	"Diltiazem"	"120mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"1211"	24551	"Bendroflumethiazide 2.5mg / Potassium chloride 630mg (potassium 8.4mmol) modified-release tablets"	"Bendroflumethiazide"	"2.5mg + 630mg"	"Modified-release tablet"	"Oral"	"Unknown"	"Bendroflumethiazide"
"13246"	348	"Chlorothiazide 150mg/5ml oral suspension"	"Chlorothiazide"	"30mg/1ml"	"Oral suspension"	"Oral"	"Thiazides And Related Diuretics"	"Chlorothiazide"
"3924"	129069	"Terazosin 5mg tablets"	"Terazosin"	"5mg"	"Oral tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Terazosin"
"47844"	2275	"Bendroflumethiazide 2.5mg tablets (Kent Pharma (UK) Ltd)"	"Bendroflumethiazide"	"2.5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics/Hypercalcaemia And Hypercalciuria"	"Bendroflumethiazide"
"47647"	14	"Co-amilofruse oral liquid"	"Amiloride"	NA	"Oral Liquid"	"Oral"	"Loop Diuretics/Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Amiloride"
"81241"	0	"Adalat LA 30 tablets (Pilsco Ltd)"	"Nifedipine"	"30mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"21231"	6	"Caralpha 20mg/12.5mg tablets (Actavis UK Ltd)"	"Hydrochlorothiazide/Lisinopril"	"20mg + 12.5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Hydrochlorothiazide/Lisinopril"
"75387"	132	"Amlodipine 5mg tablets (Arrow Generics Ltd)"	"Amlodipine"	"5mg"	"Oral tablet"	"Oral"	"Calcium-Channel Blockers"	"Amlodipine"
"38308"	8043	"Ramipril 2.5/5mg/10mg tablet"	"Ramipril"	"2.5mg + 5mg + 10mg"	"Tablets"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"26"	10217468	"Atenolol 25mg tablets"	"Atenolol"	"25mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers"	"Atenolol"
"54414"	0	"Candesartan 16mg tablets (Krka UK Ltd)"	"Candesartan"	"16mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Candesartan"
"66834"	1	"Uard 240XL capsules (Ennogen Healthcare Ltd)"	"Diltiazem"	"240mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"79005"	0	"Perindopril erbumine 4mg tablets (Waymade Healthcare Plc)"	"Perindopril"	"4mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Perindopril"
"61270"	34	"Perindopril erbumine 4mg tablets (Accord-UK Ltd)"	"Perindopril"	"4mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Perindopril"
"4068"	3721	"Dytac 50mg capsules (Advanz Pharma)"	"Triamterene"	"50mg"	"Oral capsule"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Triamterene"
"3676"	33529	"Dilzem xl mr 180mg Modified-release capsule (Elan Pharma)"	"Diltiazem"	"180mg"	"Modified-Release Capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"46233"	27	"Amlodipine Oral solution"	"Amlodipine"	NA	"Oral Solution"	"Oral"	"Calcium-Channel Blockers"	"Amlodipine"
"19690"	7736	"Verapamil 180mg modified-release / Trandolapril 2mg capsules"	"Trandolapril/Verapamil"	"180mg + 2mg"	"Modified-release capsule"	"Oral"	"Unknown"	"Trandolapril/Verapamil"
"21872"	456	"Angiopine 5mg Capsule (Ashbourne Pharmaceuticals Ltd)"	"Nifedipine"	"5mg"	"Oral capsule"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"16531"	121371	"Eplerenone 50mg tablets"	"Eplerenone"	"50mg"	"Oral tablet"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Eplerenone"
"34453"	91	"Enalapril 20mg tablets (Viatris UK Healthcare Ltd)"	"Enalapril"	"20mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Enalapril"
"86962"	1314	"Xaqua 5mg tablets (Renascience Pharma Ltd)"	"Metolazone"	"5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics"	"Metolazone"
"85693"	93	"Amlodipine 10mg tablets (Dowelhurst Ltd)"	"Amlodipine"	"10mg"	"Oral tablet"	"Oral"	"Calcium-Channel Blockers"	"Amlodipine"
"15096"	4834	"Accupro 40mg tablets (Pfizer Ltd)"	"Quinapril"	"40mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Quinapril"
"71744"	9	"Diltiazem 0.4% cream"	"Diltiazem"	"4mg/1gram"	"Cream"	"Route of administration not applicable"	"Local Products For Anal Or Rectal Problems/Calcium-Channel Blockers"	"Diltiazem"
"55416"	2	"Propranolol 40mg tablets (Almus Pharmaceuticals Ltd)"	"Propranolol"	"40mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"27135"	760	"Diltiazem sr 90mg Capsule (Hillcross Pharmaceuticals Ltd)"	"Diltiazem"	"90mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"61066"	0	"Doxazosin 2mg tablets (Bristol Laboratories Ltd)"	"Doxazosin"	"2mg"	"Oral tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Doxazosin"
"75040"	4	"Riociguat 1mg tablets"	"Riociguat"	"1mg"	"Oral tablet"	"Oral"	"Vasodilator Antihypertensive Products"	"Riociguat"
"31820"	2412	"Bendroflumethiazide 5mg tablets (Wockhardt UK Ltd)"	"Bendroflumethiazide"	"5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics"	"Bendroflumethiazide"
"77361"	865	"Capoten 25mg tablets (Waymade Healthcare Plc)"	"Captopril"	"25mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Captopril"
"5721"	659348	"Co-tenidone 100mg/25mg tablets"	"Chlortalidone/Atenolol"	"100mg + 25mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics/Beta-Adrenoceptor Blockers"	"Chlortalidone/Atenolol"
"23010"	453	"Rogitine 10mg/1ml solution for injection ampoules (Alliance Pharmaceuticals Ltd)"	"Phentolamine"	"10mg/1ml"	"Solution for injection"	"Intramuscular/Intravenous"	"Alpha-Adrenoceptor Blockers"	"Phentolamine"
"70732"	9	"Lercanidipine 20mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Lercanidipine"	"20mg"	"Oral tablet"	"Oral"	"Calcium-Channel Blockers"	"Lercanidipine"
"654"	31125	"Ramipril 2.5/5mg/10mg capsule"	"Ramipril"	"2.5mg + 5mg + 10mg"	"Capsules"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"79428"	0	"Candesartan 4mg tablets (Sun Pharma UK Ltd)"	"Candesartan"	"4mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Candesartan"
"12392"	34474	"Univer 180mg modified-release capsules (Teva UK Ltd)"	"Verapamil"	"180mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Verapamil"
"59209"	0	"Doxazosin 1mg tablets (Kent Pharma (UK) Ltd)"	"Doxazosin"	"1mg"	"Oral tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Doxazosin"
"4685"	39669	"Amias 4mg tablets (Neon Healthcare Ltd)"	"Candesartan"	"4mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Candesartan"
"89941"	1	"Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops (Alliance Healthcare (Distribution) Ltd)"	"Timolol"	"20mg/1ml + 5mg/1ml"	"Eye drops"	"Ocular"	"Beta-Blockers (In Glaucoma)/Carbonic Anhydrase Inhibitors And Systemic Drugs (In Glaucoma)"	"Timolol"
"66850"	6	"Diltiazem 240mg modified-release capsules (Icarus Pharmaceuticals Ltd)"	"Diltiazem"	"240mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"51328"	12	"Iloprost 50micrograms/0.5ml solution for infusion ampoules"	"Iloprost"	"100microgram/1ml"	"Solution for infusion"	"Intravenous"	"Vasodilator Antihypertensive Products"	"Iloprost"
"82526"	97	"Half Inderal LA 80mg capsules (Waymade Healthcare Plc)"	"Propranolol"	"80mg"	"Modified-release capsule"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"23458"	0	"VERAPAMIL SR"	"Verapamil"	NA	NA	NA	"Unknown"	"Verapamil"
"40167"	136	"Metoprolol 100mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Metoprolol"	"100mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"Metoprolol"
"59356"	27	"Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops 0.2ml unit dose preservative free (Teva UK Ltd)"	"Timolol"	"5mg/1ml + 20mg/1ml"	"Eye drops"	"Ocular"	"Beta-Blockers (In Glaucoma)/Carbonic Anhydrase Inhibitors And Systemic Drugs (In Glaucoma)"	"Timolol"
"26337"	96	"Cabren 10mg modified-release tablets (Teva UK Ltd)"	"Felodipine"	"10mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Felodipine"
"25646"	92	"Nivaten retard 20mg Modified-release tablet (Actavis UK Ltd)"	"Nifedipine"	"20mg"	"Modified-Release Tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"71150"	86	"Propranolol 5mg/5ml oral solution"	"Propranolol"	"1mg/1ml"	"Oral solution"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"68948"	175	"Valsartan 160mg capsules (Actavis UK Ltd)"	"Valsartan"	"160mg"	"Oral capsule"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Valsartan"
"2811"	57862	"Adizem sr 180mg Modified-release capsule (Napp Pharmaceuticals Ltd)"	"Diltiazem"	"180mg"	"Modified-Release Capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"18861"	425	"Hydralazine 10mg/5ml oral suspension"	"Hydralazine"	"2mg/1ml"	"Oral suspension"	"Oral"	"Vasodilator Antihypertensive Products"	"Hydralazine"
"47415"	11	"Diltiazem sr 60mg Capsule (Hillcross Pharmaceuticals Ltd)"	"Diltiazem"	"60mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"55849"	1	"Propranolol 160mg tablets (Viatris UK Healthcare Ltd)"	"Propranolol"	"160mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"57556"	60	"Spironolactone 12mg/5ml oral solution"	"Spironolactone"	"2.4mg/1ml"	"Oral solution"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"16708"	2227	"Enalapril titration pack"	"Enalapril"	NA	"Titration Pack"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Enalapril"
"4637"	112893	"Terazosin 2mg tablets"	"Terazosin"	"2mg"	"Oral tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Terazosin"
"25730"	335	"Timolol maleate with amiloride and hydrochlorothiazide Tablet"	"Hydrochlorothiazide/Amiloride/Timolol"	NA	"Tablet"	"Oral"	"Thiazides And Related Diuretics/Beta-Adrenoceptor Blockers"	"Hydrochlorothiazide/Amiloride/Timolol"
"89652"	0	"Spironolactone 100mg tablets (Bristol Laboratories Ltd)"	"Spironolactone"	"100mg"	"Oral tablet"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"7952"	24940	"Aldactone 100mg tablets (Pfizer Ltd)"	"Spironolactone"	"100mg"	"Oral tablet"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"2833"	17219	"CYCLOPENTHIAZIDE -K tablets"	"Cyclopenthiazide"	NA	"Tablets"	"Oral"	"Thiazides And Related Diuretics"	"Cyclopenthiazide"
"18247"	1313	"Esbatal 10mg Tablet (Wellcome Medical Division)"	"Betanidine"	"10mg"	"Tablet"	"Oral"	"Adrenergic Neurone Blockers"	"Betanidine"
"21839"	1165	"Berkolol 80mg Tablet (Berk Pharmaceuticals Ltd)"	"Propranolol"	"80mg"	"Oral tablet"	"Oral"	"Supraventricular Arrhythmias/Beta-Adrenoceptor Blockers"	"Propranolol"
"62249"	0	"Co-amilozide 5mg/50mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Hydrochlorothiazide/Amiloride"	"50mg + 5mg"	"Oral tablet"	"Oral"	"Potassium-Sparing Diuretics With Other Diuretics"	"Hydrochlorothiazide/Amiloride"
"58649"	0	"Losartan 25mg tablets (Bristol Laboratories Ltd)"	"Losartan"	"25mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Losartan"
"35592"	193939	"Cardioplen XL 2.5mg tablets (Chiesi Ltd)"	"Felodipine"	"2.5mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Felodipine"
"19055"	1364	"Chlortalidone 12.5mg with Atenolol 50mg tablets"	"Chlortalidone/Atenolol"	"12.5mg+50mg"	"Tablets"	"Oral"	"Thiazides And Related Diuretics/Beta-Adrenoceptor Blockers"	"Chlortalidone/Atenolol"
"12517"	114	"Timolol maleate with bendroflumethiazide 20mg + 5mg Tablet"	"Bendroflumethiazide/Timolol"	"20mg + 5mg"	"Tablet"	"Oral"	"Thiazides And Related Diuretics/Beta-Adrenoceptor Blockers"	"Bendroflumethiazide/Timolol"
"39447"	148	"Varbim XL 1.5mg tablets (Teva UK Ltd)"	"Indapamide"	"1.5mg"	"Modified-release tablet"	"Oral"	"Thiazides And Related Diuretics"	"Indapamide"
