"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"	"period"
"7475941000006116"	1	"^ESCTCO747594"	NA	"continuing pregnancy after intrauterine death of one twin with intrauterine retention of dead twin"	"472321009"	"2951130011"	31	"unspecified"
"7478631000006114"	8	"^ESCTTE747863"	NA	"termination of pregnancy after first trimester"	"472839005"	"2951953011"	31	"unspecified"
"7478641000006116"	29	"^ESCTTE747864"	NA	"termination of pregnancy after first twelve weeks of pregnancy"	"472839005"	"2951963015"	31	"unspecified"
"7479411000006114"	1	"^ESCTSW747941"	NA	"swab from placenta"	"472879001"	"2952062013"	31	"late pregnancy"
"7484011000006111"	1	"^ESCTDI748401"	NA	"discussion about diabetic ketoacidosis in pregnancy"	"473180009"	"2956116017"	31	"unspecified"
"7484021000006115"	6	"^ESCTDI748402"	NA	"discussion about hypoglycaemia in pregnancy"	"473181008"	"2956049011"	31	"unspecified"
"7484081000006116"	6	"^ESCTDI748408"	NA	"discussion about gestational hypertension"	"473184000"	"2955875019"	31	"unspecified"
"7493511000006117"	3	"^ESCTSH749351"	NA	"short cervical length in pregnancy"	"609133009"	"2958769016"	31	"unspecified"
"7493521000006113"	2	"^ESCTSH749352"	NA	"short cervix in pregnancy"	"609133009"	"2958473019"	31	"unspecified"
"7498111000006117"	2	"^ESCTFE749811"	NA	"fetal or neonatal effect of breech delivery"	"609441001"	"2965756019"	32	"postnatal"
"7498141000006118"	1024	"^ESCTRE749814"	NA	"retained products of conception following induced termination of pregnancy"	"609443003"	"2966347019"	32	"unspecified"
"7498191000006110"	2	"^ESCTIN749819"	NA	"induced termination of pregnancy with complication"	"609446006"	"2966908011"	32	"unspecified"
"7498201000006113"	1	"^ESCTIN749820"	NA	"induced termination of pregnancy complicated by damage to pelvic organs and/or tissues"	"609447002"	"2966962010"	32	"unspecified"
"7498221000006115"	1	"^ESCTIN749822"	NA	"induced termination of pregnancy complicated by delayed and/or excessive haemorrhage"	"609448007"	"2966958016"	32	"unspecified"
"7498281000006116"	13	"^ESCTIN749828"	NA	"induced termination of pregnancy complicated by genital-pelvic infection"	"609450004"	"2966921016"	32	"unspecified"
"7498321000006110"	2	"^ESCTIN749832"	NA	"induced termination of pregnancy complicated by renal failure"	"609452007"	"2966959012"	32	"unspecified"
"7498571000006116"	17	"^ESCTIN749857"	NA	"induced termination of pregnancy complicated by endometritis"	"609464004"	"2966940010"	32	"unspecified"
"7498941000006116"	1	"^ESCTIN749894"	NA	"induced termination of pregnancy complicated by salpingitis"	"609483006"	"2967034014"	32	"unspecified"
"7498981000006110"	4	"^ESCTIN749898"	NA	"induced termination of pregnancy complicated by sepsis"	"609485004"	"2966945017"	32	"unspecified"
"7499031000006117"	1	"^ESCTTE749903"	NA	"termination of pregnancy complicated by septic shock"	"609487007"	"2966756012"	31	"unspecified"
"7499111000006110"	1	"^ESCTTE749911"	NA	"termination of pregnancy complicated by urinary tract infection"	"609491002"	"2966807017"	32	"unspecified"
"7499121000006119"	1	"^ESCTTE749912"	NA	"termination of pregnancy without complication"	"609492009"	"2966833013"	32	"unspecified"
"7499311000006113"	1	"^ESCTIN749931"	NA	"induced termination of pregnancy complicated by cardiac arrest"	"609506003"	"2966899014"	32	"unspecified"
"7499351000006114"	4	"^ESCTIN749935"	NA	"induced termination of pregnancy complicated by infectious disease"	"609510000"	"2967281016"	31	"unspecified"
"7499431000006114"	5	"^ESCTGE749943"	NA	"gestational trophoblastic neoplasia"	"609517002"	"2967173011"	31	"unspecified"
"7499451000006119"	7	"^ESCTGE749945"	NA	"gestational trophoblastic neoplasia"	"609519004"	"2967308011"	31	"unspecified"
"7499471000006112"	1	"^ESCTPE749947"	NA	"persistent gestational trophoblastic disease"	"609519004"	"2967233011"	31	"unspecified"
