"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Antidepressant"
"1454741000033115"	"Trimipramine 50mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Trimipramine"	"50.000mg"	"04030100"	"Trimipramine"
"1455241000033113"	"Trazodone 100mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Trazodone"	"100.000mg"	"04030100"	"Trazodone"
"1461941000033113"	"Trazodone 50mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Trazodone"	"10.000mg/1.000ml"	"04030100"	"Trazodone"
"1462241000033110"	"Trazodone 150mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Trazodone"	"150.000mg"	"04030100"	"Trazodone"
"1469441000033116"	"Tranylcypromine 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Tranylcypromine"	"10.000mg"	"04030200"	"Tranylcypromine"
"1471341000033116"	"Trimipramine 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Trimipramine"	"10.000mg"	"04030100"	"Trimipramine"
"1471441000033110"	"Trimipramine 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Trimipramine"	"25.000mg"	"04030100"	"Trimipramine"
"1473341000033117"	"Triptafen tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amitriptyline"	"25.000mg + 2.000mg"	NA	"Amitriptyline"
"1473441000033111"	"Triptafen-M tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amitriptyline"	"10.000mg + 2.000mg"	NA	"Amitriptyline"
"1473641000033113"	"Trazodone 150mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Trazodone"	"150.000mg"	"04030100"	"Trazodone"
"1474141000033117"	"Tryptophan 500mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Tryptophan"	"500.000mg"	"04030400"	"Tryptophan"
"1509241000033110"	"Venlafaxine 150mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	"04030400"	"Venlafaxine"
"1509341000033117"	"Venlafaxine 75mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	"04030400"	"Venlafaxine"
"1512241000033119"	"Venlafaxine 37.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Venlafaxine"	"37.500mg"	"04030400"	"Venlafaxine"
"1512341000033112"	"Venlafaxine 75mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Venlafaxine"	"75.000mg"	"04030400"	"Venlafaxine"
"1512441000033118"	"Venlafaxine 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Venlafaxine"	"50.000mg"	"04030400"	"Venlafaxine"
"1558041000033118"	"Zispin 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Mirtazapine"	"30.000mg"	NA	"Mirtazapine"
"1583041000033115"	"Cipramil 40mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Citalopram"	"40.000mg"	NA	"Citalopram"
"1583141000033116"	"Citalopram 40mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Citalopram"	"40.000mg"	"04030300"	"Citalopram"
"1583241000033111"	"Cipramil 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Citalopram"	"10.000mg"	NA	"Citalopram"
"1583341000033118"	"Citalopram 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Citalopram"	"10.000mg"	"04030300"	"Citalopram"
"1603341000033112"	"Doxepin 5% cream"	"Cream/ Cutaneous cream"	"Cutaneous"	"Doxepin"	"50.000mg/1.000gram"	"13030000"	"Doxepin"
"1662441000033114"	"Paroxetine 10mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Paroxetine"	"2.000mg/1.000ml"	"04030300"	"Paroxetine"
"1686141000033119"	"Seroxat 20mg/10ml liquid"	"Oral suspension"	"Oral"	"Paroxetine"	"2.000mg/1.000ml"	NA	"Paroxetine"
"1712041000033111"	"Xepin 5% cream"	"Cream/ Cutaneous cream"	"Cutaneous"	"Doxepin"	"50.000mg/1.000gram"	NA	"Doxepin"
"1900641000033112"	"Citalopram 40mg/ml oral drops sugar free"	"Oral drops"	"Oral"	"Citalopram"	"40.000mg/1.000ml"	"04030300"	"Citalopram"
"1900741000033115"	"Cipramil 40mg/ml drops"	"Oral drops"	"Oral"	"Citalopram"	"40.000mg/1.000ml"	NA	"Citalopram"
"1923141000033118"	"Felicium 20mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Fluoxetine"	"20.000mg"	NA	"Fluoxetine"
"2078841000033114"	"Lomont 70mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Lofepramine"	"14.000mg/1.000ml"	NA	"Lofepramine"
"2215541000033118"	"Feprapax 70mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Lofepramine"	"70.000mg"	NA	"Lofepramine"
"2602041000033119"	"Oxactin 20mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Fluoxetine"	"20.000mg"	NA	"Fluoxetine"
"2710441000033119"	"Ranflutin 20mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Fluoxetine"	"20.000mg"	NA	"Fluoxetine"
"2749541000033116"	"Escitalopram 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Escitalopram"	"10.000mg"	"04030300"	"Escitalopram"
"2749641000033115"	"Cipralex 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Escitalopram"	"10.000mg"	NA	"Escitalopram"
"2770541000033113"	"Prozit 20mg/5ml oral solution"	"Oral solution"	"Oral"	"Fluoxetine"	"4.000mg/1.000ml"	NA	"Fluoxetine"
"2770641000033114"	"Fluoxetine 20mg/5ml oral solution"	"Oral solution"	"Oral"	"Fluoxetine"	"4.000mg/1.000ml"	"04030300"	"Fluoxetine"
"2951341000033116"	"Escitalopram 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Escitalopram"	"20.000mg"	"04030300"	"Escitalopram"
"2951441000033110"	"Cipralex 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Escitalopram"	"20.000mg"	NA	"Escitalopram"
"2974841000033114"	"Mirtazapine 30mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30.000mg"	"04030400"	"Mirtazapine"
"3029641000033112"	"Mirtazapine 15mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15.000mg"	"04030400"	"Mirtazapine"
"3029741000033115"	"Mirtazapine 45mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"45.000mg"	"04030400"	"Mirtazapine"
"3029841000033113"	"Zispin SolTab 15mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15.000mg"	NA	"Mirtazapine"
"3029941000033117"	"Zispin SolTab 45mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"45.000mg"	NA	"Mirtazapine"
