"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Antidepressant"
"5896441000033118"	"Depefex XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"5975341000033119"	"Sertraline 100mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline"	"20.000mg/1.000ml"	"04030300"	"Sertraline"
"5992241000033114"	"Dosulepin 75mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Dosulepin"	"15.000mg/1.000ml"	"04030100"	"Dosulepin"
"5996641000033111"	"Lofepramine 70mg/5ml oral solution"	"Oral solution"	"Oral"	"Lofepramine"	"14.000mg/1.000ml"	"04030100"	"Lofepramine"
"5996741000033119"	"Lofepramine 70mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Lofepramine"	"14.000mg/1.000ml"	"04030100"	"Lofepramine"
"6000441000033115"	"Venlafaxine 37.5mg/5ml oral solution"	"Oral solution"	"Oral"	"Venlafaxine"	"7.500mg/1.000ml"	"04030400"	"Venlafaxine"
"6024841000033116"	"Vamin 14 Electrolyte-Free solution for infusion 500ml bottles"	"Solution for infusion"	"Intravenous"	"Tryptophan"	"5.900gram/1.000litre + 12.000gram/1.000litre + 8.400gram/1.000litre + 2.500gram/1.000litre + 420.000mg/1.000litre + 4.200gram/1.000litre + 5.100gram/1.000litre + 4.200gram/1.000litre + 5.900gram/1.000litre + 6.800gram/1.000litre + 4.200gram/1.000litre + 5.900gram/1.000litre + 5.100gram/1.000litre + 3.400gram/1.000litre + 4.200gram/1.000litre + 1.400gram/1.000litre + 170.000mg/1.000litre + 5.500gram/1.000litre"	NA	"Tryptophan"
"6029641000033116"	"Venlaneo XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"6029741000033113"	"Venlaneo XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"6111841000033117"	"Nutrineal PD4 with 1.1% amino acids solution for peritoneal dialysis 2.5litre twin bags with luer connector"	"Solution for peritoneal dialysis"	"Intraperitoneal"	"Tryptophan"	"184.000mg/1.000litre + 510.000mg/1.000litre + 951.000mg/1.000litre + 1.071gram/1.000litre + 714.000mg/1.000litre + 850.000mg/1.000litre + 1.020gram/1.000litre + 955.000mg/1.000litre + 850.000mg/1.000litre + 570.000mg/1.000litre + 595.000mg/1.000litre + 510.000mg/1.000litre + 646.000mg/1.000litre + 270.000mg/1.000litre + 300.000mg/1.000litre + 1.393gram/1.000litre + 51.000mg/1.000litre + 5.380gram/1.000litre + 4.480gram/1.000litre"	NA	"Tryptophan"
"6161741000033111"	"Venlafaxine 37.5mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"37.500mg"	"04030400"	"Venlafaxine"
"6161841000033118"	"Venlalic XL 37.5mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"37.500mg"	NA	"Venlafaxine"
"6496341000033116"	"Fluoxetine 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluoxetine"	"10.000mg"	"04030300"	"Fluoxetine"
"8247941000033115"	"Tryptophan 500mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Tryptophan"	"500.000mg"	"04030400"	"Tryptophan"
"8248041000033117"	"Optimax 500mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Tryptophan"	"500.000mg"	NA	"Tryptophan"
"8265541000033112"	"Bonilux XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"8265641000033113"	"Bonilux XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"8298641000033115"	"Sunveniz XL 150mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"8298741000033112"	"Sunveniz XL 75mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"8867941000033118"	"Venlafaxine 75mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Venlafaxine"	"15.000mg/1.000ml"	"04030400"	"Venlafaxine"
"8885441000033118"	"Venlafaxine 37.5mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"37.500mg"	"04030400"	"Venlafaxine"
"8885541000033117"	"Venlablue XL 37.5mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"37.500mg"	NA	"Venlafaxine"
"9120641000033112"	"Fluoxetine 20mg dispersible tablets sugar free"	"Dispersible tablet/"	"Oral"	"Fluoxetine"	"20.000mg"	"04030300"	"Fluoxetine"
"9120741000033115"	"Olena 20mg dispersible tablets"	"Dispersible tablet/"	"Oral"	"Fluoxetine"	"20.000mg"	NA	"Fluoxetine"
"9300741000033116"	"Amphero XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"9300841000033114"	"Amphero XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"10332441000033118"	"Amitriptyline 10mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amitriptyline"	"2.000mg/1.000ml"	"04030100"	"Amitriptyline"
"10616941000033112"	"Vortioxetine 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Vortioxetine"	"5.000mg"	"04030400"	"Vortioxetine"
"10617041000033113"	"Vortioxetine 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Vortioxetine"	"10.000mg"	"04030400"	"Vortioxetine"
"10617141000033112"	"Vortioxetine 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Vortioxetine"	"20.000mg"	"04030400"	"Vortioxetine"
"10617241000033117"	"Brintellix 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Vortioxetine"	"5.000mg"	NA	"Vortioxetine"
"10617341000033110"	"Brintellix 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Vortioxetine"	"10.000mg"	NA	"Vortioxetine"
"10617441000033116"	"Brintellix 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Vortioxetine"	"20.000mg"	NA	"Vortioxetine"
"10701841000033115"	"Duciltia 30mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"30.000mg"	NA	"Duloxetine"
"10701941000033111"	"Duciltia 60mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"60.000mg"	NA	"Duloxetine"
"10730041000033110"	"Venlafaxine 225mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"225.000mg"	"04030400"	"Venlafaxine"
"10730141000033114"	"Efexor XL 225mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"225.000mg"	NA	"Venlafaxine"
"11072841000033114"	"Nortriptyline 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Nortriptyline"	"2.000mg/1.000ml"	"04030100"	"Nortriptyline"
"11603841000033119"	"Fluoxetine 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Fluoxetine"	"10.000mg"	"04030300"	"Fluoxetine"
"11693641000033117"	"Vensir XL 225mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"225.000mg"	NA	"Venlafaxine"
"11707441000033119"	"Fluoxetine 30mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Fluoxetine"	"30.000mg"	"04030300"	"Fluoxetine"
"11707541000033118"	"Fluoxetine 40mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Fluoxetine"	"40.000mg"	"04030300"	"Fluoxetine"
"11755441000033119"	"Paroxetine 40mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Paroxetine"	"40.000mg"	"04030300"	"Paroxetine"
"12194541000033118"	"Vencarm XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"12194641000033117"	"Vencarm XL 225mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"225.000mg"	NA	"Venlafaxine"
"12194741000033114"	"Vencarm XL 37.5mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"37.500mg"	NA	"Venlafaxine"
"12194841000033116"	"Vencarm XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"12257841000033117"	"Nortriptyline 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Nortriptyline"	"2.000mg/1.000ml"	"04030100"	"Nortriptyline"
"12292341000033116"	"Nortriptyline 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nortriptyline"	"50.000mg"	"04030100"	"Nortriptyline"
"12389941000033119"	"Venlasov XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"12390341000033114"	"Venlasov XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"12475941000033119"	"Depalta 30mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"30.000mg"	NA	"Duloxetine"
"12476041000033112"	"Depalta 60mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"60.000mg"	NA	"Duloxetine"
"12476541000033119"	"Trazodone 100mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Trazodone"	"20.000mg/1.000ml"	"04030100"	"Trazodone"
"12605341000033111"	"Venladex XL 75mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"12605441000033117"	"Venladex XL 150mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"12605541000033116"	"Venladex XL 225mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"225.000mg"	NA	"Venlafaxine"
"12641541000033113"	"Venzip XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"12641641000033114"	"Venzip XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"12900941000033117"	"Sertraline 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Sertraline"	"5.000mg/1.000ml"	"04030300"	"Sertraline"
"12901041000033110"	"Majoven XL 37.5mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"37.500mg"	NA	"Venlafaxine"
"12901141000033114"	"Majoven XL 75mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75.000mg"	NA	"Venlafaxine"
"12901241000033119"	"Majoven XL 150mg capsules"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"150.000mg"	NA	"Venlafaxine"
"12904541000033119"	"ViePax XL 225mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"225.000mg"	NA	"Venlafaxine"
"12989241000033116"	"Dutor 20mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"20.000mg"	NA	"Duloxetine"
"13292141000033111"	"SmofKabiven Low Osmo Peripheral infusion 1.4litre bags"	"Infusion"	"Intravenous"	"Tryptophan"	"140.000mg/1.000litre + 5.300gram/1.000litre + 68.000gram/1.000litre + 2.800gram/1.000litre + 3.500gram/1.000litre + 3.000gram/1.000litre + 750.000mg/1.000litre + 1.300gram/1.000litre + 1.900gram/1.000litre + 1.700gram/1.000litre + 1.100gram/1.000litre + 1.300gram/1.000litre + 2.800gram/1.000litre + 1.600gram/1.000litre + 1.100gram/1.000litre + 500.000mg/1.000litre + 100.000mg/1.000litre + 1.600gram/1.000litre + 300.000mg/1.000litre + 11.000gram/1.000litre + 8.800gram/1.000litre + 1.100gram/1.000litre + 850.000mg/1.000litre + 1.000gram/1.000litre + 11.000gram/1.000litre + 250.000mg/1.000litre + 3.200mg/1.000litre"	NA	"Tryptophan"
"13292341000033114"	"SmofKabiven Low Osmo Peripheral infusion 2.5litre bags"	"Infusion"	"Intravenous"	"Tryptophan"	"140.000mg/1.000litre + 5.300gram/1.000litre + 68.000gram/1.000litre + 2.800gram/1.000litre + 3.500gram/1.000litre + 3.000gram/1.000litre + 750.000mg/1.000litre + 1.300gram/1.000litre + 1.900gram/1.000litre + 1.700gram/1.000litre + 1.100gram/1.000litre + 1.300gram/1.000litre + 2.800gram/1.000litre + 1.600gram/1.000litre + 1.100gram/1.000litre + 500.000mg/1.000litre + 100.000mg/1.000litre + 1.600gram/1.000litre + 300.000mg/1.000litre + 11.000gram/1.000litre + 8.800gram/1.000litre + 1.100gram/1.000litre + 850.000mg/1.000litre + 1.000gram/1.000litre + 11.000gram/1.000litre + 250.000mg/1.000litre + 3.200mg/1.000litre"	NA	"Tryptophan"
"13300841000033111"	"Nortriptyline 10mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Nortriptyline"	"2.000mg/1.000ml"	"04030100"	"Nortriptyline"
"13300941000033115"	"Nortriptyline 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Nortriptyline"	"5.000mg/1.000ml"	"04030100"	"Nortriptyline"
"13318341000033119"	"Venlafaxine 300mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"300.000mg"	"04030400"	"Venlafaxine"
"13318441000033113"	"Venlalic XL 300mg tablets"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"300.000mg"	NA	"Venlafaxine"
"13444241000033119"	"Trazodone 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Trazodone"	"50.000mg"	"04030100"	"Trazodone"
"13444341000033112"	"Trazodone 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Trazodone"	"100.000mg"	"04030100"	"Trazodone"
"13719241000033117"	"Phenelzine 15mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Phenelzine"	"15.000mg"	"04030200"	"Phenelzine"
"13740541000033117"	"Fluoxetine 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fluoxetine"	"10.000mg"	NA	"Fluoxetine"
"13740641000033116"	"Fluoxetine 30mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Fluoxetine"	"30.000mg"	NA	"Fluoxetine"
"13743641000033113"	"Sertraline 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sertraline"	"25.000mg"	"04030300"	"Sertraline"
"13747441000033117"	"Phenelzine 15mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Phenelzine"	"15.000mg"	NA	"Phenelzine"
"13747541000033116"	"Phenelzine (Special Order)  Capsules  15 mg"	"Capsule"	"Oral"	"Phenelzine"	NA	NA	"Phenelzine"
"13898641000033112"	"Duloxetine 90mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"90.000mg"	"04030400"	"Duloxetine"
"13898741000033115"	"Duloxetine 120mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"120.000mg"	"04030400"	"Duloxetine"
"13916241000033115"	"Venlafaxine 37.5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Venlafaxine"	"7.500mg/1.000ml"	"04030400"	"Venlafaxine"
"13916341000033113"	"Venlafaxine 75mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Venlafaxine"	"15.000mg/1.000ml"	"04030400"	"Venlafaxine"
"14061741000033112"	"Contulen 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sertraline"	"50.000mg"	NA	"Sertraline"
"14061841000033119"	"Contulen 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sertraline"	"100.000mg"	NA	"Sertraline"
"14116141000033111"	"Sertraline 150mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sertraline"	"150.000mg"	"04030300"	"Sertraline"
"14116241000033116"	"Sertraline 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Sertraline"	"200.000mg"	"04030300"	"Sertraline"
"14183941000033115"	"Fluoxetine 20mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Fluoxetine"	"4.000mg/1.000ml"	"04030300"	"Fluoxetine"
"14190441000033119"	"Sertraline 100mg/5ml concentrate for oral solution sugar free"	"Oral solution/ Concentrate for oral solution"	"Oral"	"Sertraline"	"20.000mg/1.000ml"	"04030300"	"Sertraline"
"14265941000033116"	"Duloxetine 30mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Duloxetine"	"6.000mg/1.000ml"	"07040200"	"Duloxetine"
"14507641000033111"	"Sertraline 50mg/5ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Sertraline"	"10.000mg/1.000ml"	"04030300"	"Sertraline"
