"medcode"	"term"	"database"
"839191000006115"	"weight control education"	"Aurum"
"854681000006113"	"weight reducing diet advised"	"Aurum"
"857321000006113"	"moderately obese"	"Aurum"
"857681000006117"	"weight reduction clinic"	"Aurum"
"857911000006118"	"very obese"	"Aurum"
"881831000006116"	"hyperalimentation incl.obesity"	"Aurum"
"903061000006114"	"weight loss"	"Aurum"
"907161000006115"	"[rfc] reason for care : obesity"	"Aurum"
"908721000006111"	"[rfc] reason for care : overweight/ underweight"	"Aurum"
"909921000006118"	"[rfc] reason for care : weight problem"	"Aurum"
"910251000006110"	"[rfc] reason for care : overweight"	"Aurum"
"910261000006112"	"[rfc] reason for care : underweight"	"Aurum"
"923831000006115"	"o/e - height"	"Aurum"
"923851000006110"	"o/e - weight"	"Aurum"
"923861000006112"	"body mass index"	"Aurum"
"923871000006117"	"ideal weight"	"Aurum"
"957731000006119"	"height weight & bp"	"Aurum"
"960561000006110"	"unexplained/progressive weight loss"	"Aurum"
"977951000006110"	"health education - weight management"	"Aurum"
"982581000006118"	"weight (over)"	"Aurum"
"982591000006115"	"weight (under)"	"Aurum"
"982601000006111"	"height (over)"	"Aurum"
"982611000006114"	"height (under)"	"Aurum"
"1124961000000110"	"referral to weight management service declined"	"Aurum"
"1551651000000111"	"body mass index centile"	"Aurum"
"1566361000006112"	"attempted to lose weight in the past"	"Aurum"
"1566371000006117"	"successfully lost weight in the past"	"Aurum"
"1572931000006113"	"refuses obesity monitoring"	"Aurum"
"1662431000000112"	"advice given about weight management"	"Aurum"
"1662471000000114"	"weight management advice declined"	"Aurum"
"1667951000000110"	"excepted from obesity quality indicators: patient unsuitable"	"Aurum"
"1667961000000113"	"excepted from obesity quality indicators: informed dissent"	"Aurum"
"1708211000006118"	"percentage weight loss"	"Aurum"
"1709681000000111"	"referral to weight management service offered"	"Aurum"
"1714571000000114"	"reason for initial weight gain"	"Aurum"
"1715211000000118"	"unintentional weight loss"	"Aurum"
"1721501000000113"	"referral to local authority weight management programme"	"Aurum"
"1728141000006115"	"bmi centile"	"Aurum"
"1735631000000119"	"discussion about weight management programme"	"Aurum"
"1737991000000117"	"pattern of weight gain"	"Aurum"
"1738991000000118"	"expectation of weight management programme"	"Aurum"
"1739561000000111"	"h/o attempted weight loss"	"Aurum"
"1747301000000110"	"unsuitable for weight management programme"	"Aurum"
